Orthogroup	OWEFU	BRAFL
OG0000005	OFUSG01432.2.p1, OFUSG01432.1.p1, OFUSG01434.1.p1, OFUSG01434.2.p1, OFUSG22435.1.p1, OFUSG07985.1.p1, OFUSG00507.1.p1, OFUSG04765.1.p1, OFUSG01152.1.p1, OFUSG04763.1.p1, OFUSG04764.1.p1, OFUSG17307.1.p1, OFUSG01079.1.p1, OFUSG20722.1.p1, OFUSG20723.1.p1, OFUSG20721.1.p1, OFUSG03976.2.p1, OFUSG03976.3.p1, OFUSG03976.1.p1, OFUSG20962.1.p1, OFUSG26395.1.p1, OFUSG26404.1.p1, OFUSG17086.1.p1, OFUSG23479.1.p1, OFUSG23482.2.p1, OFUSG23482.1.p1	bflo_26492, bflo_15967, bflo_15868, bflo_16776, bflo_21372
OG0000005	OFUSG15197.1.p1, OFUSG15195.1.p1	bflo_13407
OG0000005	OFUSG04131.1.p1, OFUSG08841.1.p1, OFUSG17326.1.p1, OFUSG20156.1.p1, OFUSG19966.1.p1, OFUSG09231.1.p1, OFUSG09655.1.p1	bflo_10917
OG0000006	OFUSG11531.1.p1	bflo_03612
OG0000006	OFUSG17934.3.p1, OFUSG17934.2.p1, OFUSG17934.1.p1	bflo_07660
OG0000006	OFUSG02905.1.p1	bflo_14856, bflo_15258
OG0000006	OFUSG14509.1.p1	bflo_22120
OG0000006	OFUSG25514.1.p1	bflo_16305
OG0000006	OFUSG14428.1.p1	bflo_22526
OG0000006	OFUSG07929.1.p1	bflo_10066, bflo_10065
OG0000006	OFUSG05068.1.p1, OFUSG21700.1.p1, OFUSG21701.1.p1	bflo_12576
OG0000006	OFUSG10782.1.p1	bflo_23572
OG0000006	OFUSG14810.1.p1	bflo_22579
OG0000006	OFUSG09474.1.p1, OFUSG09474.2.p1	bflo_06220
OG0000006	OFUSG07465.1.p1	bflo_09963
OG0000006	OFUSG21061.1.p1, OFUSG18090.1.p1	bflo_08237
OG0000006	OFUSG08659.1.p1	bflo_06222
OG0000006	OFUSG18494.1.p1, OFUSG18494.2.p1	bflo_08431
OG0000006	OFUSG11740.1.p1	bflo_22598
OG0000006	OFUSG11532.2.p1, OFUSG11532.1.p1, OFUSG11532.3.p1	bflo_15412
OG0000006	OFUSG11470.1.p1	bflo_10980
OG0000007	OFUSG09476.1.p1	bflo_05651
OG0000007	OFUSG21527.1.p1	bflo_16444, bflo_15598
OG0000007	OFUSG09642.1.p1, OFUSG09693.1.p1	bflo_06255
OG0000007	OFUSG13716.1.p1	bflo_25603
OG0000007	OFUSG23682.1.p1	bflo_23632
OG0000007	OFUSG05364.1.p1	bflo_13761
OG0000007	OFUSG04867.2.p1, OFUSG04867.1.p1	bflo_13742
OG0000007	OFUSG23111.1.p1	bflo_13892
OG0000007	OFUSG04768.1.p1	bflo_13084
OG0000007	OFUSG09682.1.p1, OFUSG09683.1.p1	bflo_00716
OG0000007	OFUSG08948.1.p1	bflo_16800
OG0000007	OFUSG25429.1.p1	bflo_12369
OG0000007	OFUSG21828.2.p1, OFUSG21828.1.p1	bflo_23309
OG0000007	OFUSG10613.1.p1	bflo_23283
OG0000007	OFUSG23528.4.p1, OFUSG23528.1.p1, OFUSG23528.2.p1, OFUSG23528.3.p1	bflo_24497
OG0000007	OFUSG25241.1.p1	bflo_11392
OG0000008	OFUSG01560.1.p1	bflo_25964, bflo_01367, bflo_00741, bflo_24920
OG0000008	OFUSG15555.1.p1	bflo_04328
OG0000008	OFUSG10082.1.p1	bflo_19282
OG0000008	OFUSG15533.1.p1	bflo_14409, bflo_10580
OG0000008	OFUSG01705.1.p1, OFUSG01704.1.p1, OFUSG01067.1.p1	bflo_12140
OG0000008	OFUSG18646.1.p1	bflo_24820, bflo_25017, bflo_24835, bflo_05883, bflo_24836, bflo_23968, bflo_00088, bflo_24054, bflo_24837, bflo_24839, bflo_24838, bflo_24924
OG0000008	OFUSG05918.1.p1	bflo_11080
OG0000008	OFUSG11860.1.p1	bflo_07954, bflo_07942, bflo_07547, bflo_04028, bflo_18374, bflo_24491, bflo_04327, bflo_04330, bflo_04337, bflo_04336, bflo_07550, bflo_22064, bflo_10972, bflo_19398
OG0000008	OFUSG08842.1.p1, OFUSG26620.1.p1, OFUSG13268.1.p1	bflo_17599
OG0000010	OFUSG26732.1.p1, OFUSG03629.1.p1, OFUSG16394.1.p1, OFUSG18342.1.p1, OFUSG21206.1.p1, OFUSG23433.1.p1	bflo_01925, bflo_02047, bflo_02046, bflo_01877, bflo_01910, bflo_21331, bflo_22061, bflo_21857
OG0000010	OFUSG09248.1.p1	bflo_00973
OG0000010	OFUSG09897.1.p1, OFUSG08323.1.p1, OFUSG09247.1.p1	bflo_25814, bflo_01084
OG0000010	OFUSG10776.1.p1	bflo_08401
OG0000010	OFUSG08801.1.p1, OFUSG04629.1.p1, OFUSG16371.1.p1, OFUSG03904.1.p1	bflo_21956
OG0000010	OFUSG10415.1.p1, OFUSG10415.2.p1	bflo_08393, bflo_07884, bflo_12780, bflo_08406, bflo_13136
OG0000011	OFUSG08075.1.p1	bflo_13676
OG0000012	OFUSG12918.1.p1, OFUSG08171.1.p1, OFUSG25983.1.p1, OFUSG24954.1.p1, OFUSG14292.1.p1, OFUSG14293.1.p1, OFUSG14294.1.p1, OFUSG21301.1.p1, OFUSG24591.1.p1, OFUSG24955.1.p1	bflo_10914, bflo_11151, bflo_12368, bflo_25561, bflo_24862
OG0000012	OFUSG14153.2.p1, OFUSG14153.1.p1, OFUSG14153.3.p1	bflo_21286, bflo_18299, bflo_13503, bflo_03860, bflo_20457, bflo_22922, bflo_23585, bflo_22923, bflo_21880, bflo_18018, bflo_03629, bflo_05980, bflo_05981, bflo_05336, bflo_21370
OG0000012	OFUSG20656.1.p1, OFUSG20658.1.p1, OFUSG06519.1.p1, OFUSG06521.1.p1, OFUSG05812.1.p1, OFUSG06520.1.p1, OFUSG20570.1.p1, OFUSG20324.1.p1, OFUSG20571.1.p1, OFUSG10133.2.p1, OFUSG07223.1.p1	bflo_13556, bflo_22373, bflo_23580, bflo_22924, bflo_13858, bflo_23041, bflo_08994, bflo_08989, bflo_13492, bflo_13855, bflo_27094, bflo_13060, bflo_15354, bflo_14447
OG0000012	OFUSG12200.1.p1, OFUSG04333.1.p1, OFUSG15962.2.p1, OFUSG15962.1.p1, OFUSG16395.2.p1, OFUSG16395.1.p1, OFUSG16273.2.p1, OFUSG16273.1.p1, OFUSG16273.3.p1, OFUSG04682.1.p1, OFUSG22368.1.p1, OFUSG22367.1.p1, OFUSG22366.1.p1	bflo_14731, bflo_13607, bflo_24594
OG0000012	OFUSG04462.1.p1, OFUSG04460.1.p1, OFUSG22117.1.p1	bflo_16244, bflo_17650, bflo_27278
OG0000013	OFUSG13136.1.p1, OFUSG22072.1.p1, OFUSG02692.1.p1, OFUSG22268.1.p1, OFUSG23241.1.p1	bflo_11697, bflo_11698
OG0000013	OFUSG01707.1.p1, OFUSG01708.1.p1, OFUSG22026.1.p1, OFUSG22025.1.p1, OFUSG17332.1.p1, OFUSG12573.1.p1, OFUSG09407.1.p1, OFUSG09404.1.p1, OFUSG09402.1.p1, OFUSG09408.1.p1, OFUSG09406.1.p1, OFUSG09400.1.p1, OFUSG19545.1.p1, OFUSG21789.1.p1, OFUSG21797.1.p1, OFUSG21790.1.p1, OFUSG21798.1.p1, OFUSG19408.1.p1	bflo_12350, bflo_25396, bflo_04269, bflo_21374, bflo_15079, bflo_14235, bflo_24199, bflo_11867, bflo_21976, bflo_21462, bflo_21463, bflo_14721, bflo_14629, bflo_04810, bflo_11784, bflo_21577, bflo_26129, bflo_21900, bflo_25566, bflo_21578, bflo_03861, bflo_16342, bflo_25995, bflo_16188, bflo_16183, bflo_16341, bflo_15584, bflo_14996, bflo_14997, bflo_14998, bflo_00389, bflo_21646, bflo_00400, bflo_21337, bflo_21640, bflo_06006, bflo_21919, bflo_21643, bflo_21642, bflo_21641, bflo_21338
OG0000014	OFUSG09895.2.p1, OFUSG09895.1.p1, OFUSG25487.1.p1, OFUSG16820.1.p1, OFUSG25374.2.p1, OFUSG25374.3.p1, OFUSG25374.1.p1, OFUSG26341.1.p1, OFUSG07532.1.p1, OFUSG25831.1.p1, OFUSG10758.1.p1, OFUSG23286.1.p1, OFUSG03351.1.p1, OFUSG22799.1.p1	bflo_15593, bflo_15583, bflo_06812, bflo_06282, bflo_09943, bflo_00188, bflo_05813, bflo_02920, bflo_08010, bflo_08009, bflo_26434, bflo_00922, bflo_18033, bflo_03941, bflo_22331, bflo_22489, bflo_01842, bflo_22542, bflo_25978, bflo_21218, bflo_10799, bflo_22565, bflo_06456, bflo_22034, bflo_22564, bflo_21315, bflo_06680, bflo_02758, bflo_20044, bflo_19893, bflo_18525, bflo_05141
OG0000014	OFUSG05464.1.p1, OFUSG05465.1.p1, OFUSG06729.1.p1, OFUSG06729.2.p1, OFUSG06620.1.p1, OFUSG05782.1.p1, OFUSG05806.1.p1, OFUSG25239.1.p1, OFUSG05463.1.p1, OFUSG06975.1.p1, OFUSG19549.1.p1, OFUSG05975.1.p1	bflo_01206, bflo_05905
OG0000014	OFUSG00805.1.p1	bflo_04326, bflo_04339, bflo_04331
OG0000015	OFUSG02213.1.p1, OFUSG02213.2.p1, OFUSG03120.2.p1, OFUSG03120.3.p1, OFUSG03120.1.p1	bflo_14874
OG0000015	OFUSG17779.2.p1, OFUSG17779.1.p1, OFUSG02838.1.p1	bflo_24142, bflo_23928
OG0000015	OFUSG03112.2.p1, OFUSG03112.1.p1, OFUSG03112.5.p1, OFUSG03112.4.p1, OFUSG03112.3.p1, OFUSG03383.1.p1, OFUSG21185.4.p1, OFUSG21185.2.p1, OFUSG21185.3.p1, OFUSG21185.5.p1, OFUSG21185.1.p1, OFUSG13739.4.p1, OFUSG13739.2.p1, OFUSG13739.1.p1, OFUSG13739.3.p1, OFUSG13739.5.p1, OFUSG20919.1.p1, OFUSG20919.2.p1, OFUSG20920.1.p1, OFUSG20920.4.p1, OFUSG20920.3.p1, OFUSG20920.2.p1, OFUSG02048.2.p1, OFUSG02048.1.p1, OFUSG03297.1.p1	bflo_13822, bflo_22604, bflo_21321, bflo_22116, bflo_21512, bflo_22110, bflo_22066, bflo_22701, bflo_24955, bflo_17773, bflo_17747, bflo_17701, bflo_14970
OG0000016	OFUSG24893.1.p1	bflo_21268, bflo_21464, bflo_21269
OG0000016	OFUSG10402.1.p1	bflo_22718, bflo_13606, bflo_23097, bflo_23092
OG0000016	OFUSG13895.1.p1	bflo_22486, bflo_01469, bflo_09907, bflo_10149, bflo_21276
OG0000016	OFUSG11848.1.p1	bflo_12769
OG0000016	OFUSG14920.1.p1, OFUSG23914.1.p1	bflo_02107, bflo_22757, bflo_23260, bflo_02738, bflo_02096, bflo_02737, bflo_02551, bflo_26656, bflo_01790, bflo_20387
OG0000019	OFUSG23776.1.p1	bflo_24292
OG0000019	OFUSG23567.1.p1, OFUSG09103.1.p1	bflo_22767, bflo_06001, bflo_05746, bflo_23533
OG0000019	OFUSG04421.1.p1, OFUSG13833.1.p1, OFUSG25829.1.p1, OFUSG14065.1.p1, OFUSG25830.1.p1, OFUSG14040.1.p1	bflo_10160, bflo_26497, bflo_00628
OG0000019	OFUSG11853.1.p1, OFUSG11853.3.p1, OFUSG11853.2.p1	bflo_26518, bflo_26519, bflo_04870
OG0000019	OFUSG19407.1.p1, OFUSG06826.1.p1	bflo_15319, bflo_14638, bflo_14407, bflo_14408, bflo_21582, bflo_05781, bflo_06551, bflo_06786, bflo_05478, bflo_06552, bflo_02039, bflo_04152, bflo_18281, bflo_02884, bflo_17342, bflo_17343, bflo_02918, bflo_02876, bflo_25580, bflo_02890, bflo_06715, bflo_06719, bflo_02868, bflo_04218, bflo_15434, bflo_14556
OG0000020	OFUSG17234.1.p1	bflo_12668
OG0000020	OFUSG19131.1.p1	bflo_19465
OG0000020	OFUSG13406.1.p1	bflo_13699, bflo_11209, bflo_11497, bflo_01316, bflo_26255, bflo_05601, bflo_05497, bflo_24504, bflo_09206, bflo_24474, bflo_24384, bflo_16833, bflo_26236, bflo_20748, bflo_09699, bflo_21336, bflo_13053, bflo_12684, bflo_25143, bflo_24001, bflo_22065, bflo_14513
OG0000020	OFUSG14744.1.p1	bflo_01292
OG0000021	OFUSG18643.1.p1	bflo_11723
OG0000021	OFUSG03663.1.p1	bflo_11166, bflo_11165, bflo_11164
OG0000021	OFUSG26914.2.p1, OFUSG26914.3.p1, OFUSG26914.1.p1	bflo_12821
OG0000021	OFUSG24230.1.p1, OFUSG15132.1.p1, OFUSG15132.2.p1	bflo_20935
OG0000021	OFUSG19689.1.p1, OFUSG09303.1.p1, OFUSG14494.2.p1, OFUSG14494.1.p1, OFUSG26703.1.p1, OFUSG06096.1.p1, OFUSG07156.1.p1	bflo_27402, bflo_22537, bflo_22539, bflo_22305
OG0000021	OFUSG25558.2.p1, OFUSG25558.1.p1, OFUSG03208.1.p1, OFUSG03209.1.p1, OFUSG03193.1.p1, OFUSG03185.1.p1, OFUSG03188.1.p1	bflo_14957, bflo_14617, bflo_14568
OG0000023	OFUSG06069.1.p1	bflo_10816, bflo_10061
OG0000023	OFUSG15304.2.p1, OFUSG15304.1.p1, OFUSG15456.2.p1, OFUSG15456.1.p1	bflo_24815, bflo_00728, bflo_26486, bflo_18293, bflo_17225, bflo_17512, bflo_20456
OG0000023	OFUSG14875.1.p1, OFUSG15289.1.p1, OFUSG15289.2.p1	bflo_03971, bflo_03972, bflo_00874, bflo_06832, bflo_14042, bflo_20896, bflo_10033, bflo_02724, bflo_02807
OG0000023	OFUSG14126.1.p1	bflo_02853
OG0000026	OFUSG08116.1.p1, OFUSG06159.1.p1, OFUSG25623.1.p1	bflo_21516, bflo_21519, bflo_21523
OG0000026	OFUSG02601.1.p1	bflo_14643, bflo_14642, bflo_14973
OG0000026	OFUSG26427.1.p1	bflo_26853, bflo_07376
OG0000026	OFUSG24229.1.p1	bflo_06473
OG0000027	OFUSG26650.1.p1	bflo_08030, bflo_00219, bflo_00221, bflo_00220, bflo_22002, bflo_20174
OG0000027	OFUSG21901.2.p1, OFUSG21901.1.p1	bflo_00954, bflo_21377, bflo_21771, bflo_21770, bflo_21767, bflo_21295, bflo_27379, bflo_21769, bflo_21480, bflo_16406, bflo_21376, bflo_21766, bflo_20722, bflo_08571, bflo_13573, bflo_15160, bflo_18041, bflo_15157, bflo_15155, bflo_15156, bflo_01209, bflo_15798, bflo_12491, bflo_18645, bflo_18636, bflo_10841, bflo_00669, bflo_00360, bflo_26536, bflo_26537, bflo_19407, bflo_19400, bflo_19409, bflo_19408, bflo_19405, bflo_05073, bflo_08278, bflo_24610
OG0000028	OFUSG21057.1.p1, OFUSG21057.2.p1	bflo_15045, bflo_23186, bflo_23170, bflo_06699, bflo_04841, bflo_14636, bflo_15358
OG0000028	OFUSG05527.1.p1, OFUSG03389.1.p1	bflo_07777
OG0000028	OFUSG09732.1.p1, OFUSG14981.3.p1, OFUSG14981.2.p1, OFUSG14981.1.p1, OFUSG09734.1.p1, OFUSG08335.1.p1, OFUSG09733.1.p1, OFUSG09733.2.p1	bflo_06411, bflo_06696, bflo_05765, bflo_05766, bflo_06406, bflo_05767, bflo_05958, bflo_06305, bflo_05959, bflo_06498, bflo_18107, bflo_25761, bflo_19766, bflo_19099
OG0000028	OFUSG13583.2.p1, OFUSG13583.4.p1, OFUSG13584.1.p1, OFUSG13583.3.p1, OFUSG13583.1.p1, OFUSG09817.1.p1, OFUSG09817.2.p1, OFUSG09817.4.p1, OFUSG09817.3.p1, OFUSG09817.5.p1	bflo_06341
OG0000028	OFUSG16442.1.p1, OFUSG16442.2.p1	bflo_01235, bflo_02042
OG0000028	OFUSG12432.2.p1, OFUSG12432.1.p1, OFUSG25286.1.p1, OFUSG11555.1.p1	bflo_24390, bflo_24387, bflo_05196
OG0000029	OFUSG25151.1.p1, OFUSG10698.1.p1, OFUSG20711.1.p1	bflo_00003
OG0000029	OFUSG21155.1.p1	bflo_25831
OG0000029	OFUSG16858.1.p1	bflo_13634
OG0000030	OFUSG16143.1.p1	bflo_08323, bflo_05230
OG0000030	OFUSG16141.1.p1, OFUSG16142.2.p1, OFUSG16142.1.p1	bflo_21886
OG0000030	OFUSG21119.1.p1	bflo_25955
OG0000030	OFUSG17928.1.p1	bflo_23616
OG0000030	OFUSG12869.1.p1	bflo_23730
OG0000030	OFUSG26562.1.p1, OFUSG14908.1.p1, OFUSG24122.1.p1, OFUSG13621.1.p1, OFUSG26418.1.p1, OFUSG03647.1.p1, OFUSG12449.1.p1, OFUSG03648.1.p1, OFUSG03242.1.p1	bflo_09678, bflo_10382
OG0000030	OFUSG14128.1.p1, OFUSG14128.2.p1	bflo_22462
OG0000031	OFUSG03747.1.p1, OFUSG01964.1.p1	bflo_04592, bflo_05889, bflo_05515, bflo_02310, bflo_00531, bflo_15662
OG0000031	OFUSG03902.1.p1, OFUSG03902.2.p1	bflo_02624
OG0000031	OFUSG16479.2.p1, OFUSG16479.1.p1	bflo_02501
OG0000031	OFUSG03938.1.p1	bflo_02849
OG0000031	OFUSG09754.1.p1	bflo_06021, bflo_25562
OG0000031	OFUSG12627.1.p1	bflo_06369
OG0000031	OFUSG02210.1.p1	bflo_15458
OG0000031	OFUSG16797.1.p1	bflo_02405
OG0000032	OFUSG07861.1.p1	bflo_12824, bflo_01429
OG0000032	OFUSG26521.2.p1, OFUSG26521.1.p1	bflo_23561, bflo_23038, bflo_01635
OG0000032	OFUSG17627.1.p1, OFUSG17627.2.p1, OFUSG17268.1.p1	bflo_08328, bflo_07783, bflo_19844, bflo_19585, bflo_19127, bflo_19062, bflo_19061, bflo_19371, bflo_18653, bflo_19388
OG0000034	OFUSG15530.3.p1, OFUSG15530.1.p1, OFUSG15530.2.p1	bflo_20326
OG0000034	OFUSG01833.2.p1, OFUSG01833.1.p1	bflo_03308, bflo_13145
OG0000034	OFUSG08780.1.p1	bflo_05871
OG0000034	OFUSG00313.1.p1	bflo_03310
OG0000034	OFUSG10792.1.p1, OFUSG10792.2.p1	bflo_07712
OG0000034	OFUSG08088.1.p1	bflo_15884
OG0000034	OFUSG09735.1.p1	bflo_03379
OG0000035	OFUSG16461.1.p1	bflo_02157
OG0000035	OFUSG07703.1.p1	bflo_10387, bflo_26954
OG0000035	OFUSG07007.1.p1, OFUSG07007.2.p1	bflo_10385
OG0000035	OFUSG07851.1.p1	bflo_09462
OG0000035	OFUSG25460.1.p1, OFUSG07717.1.p1	bflo_09767, bflo_09277
OG0000035	OFUSG07099.1.p1, OFUSG07288.1.p1, OFUSG07098.1.p1	bflo_10386
OG0000036	OFUSG05112.1.p1	bflo_13405, bflo_09641, bflo_13747, bflo_13748
OG0000036	OFUSG06787.1.p1, OFUSG20561.1.p1, OFUSG20712.1.p1, OFUSG08497.1.p1, OFUSG08495.1.p1	bflo_13764, bflo_12886, bflo_13765, bflo_13767, bflo_03188
OG0000036	OFUSG16630.1.p1, OFUSG16630.2.p1, OFUSG14389.1.p1, OFUSG16691.1.p1	bflo_08259, bflo_08260, bflo_16423, bflo_16325
OG0000036	OFUSG05272.1.p1	bflo_12806, bflo_12805
OG0000037	OFUSG11734.1.p1, OFUSG11735.1.p1, OFUSG11736.1.p1, OFUSG25144.1.p1	bflo_18550, bflo_02879
OG0000037	OFUSG11664.2.p1, OFUSG11664.3.p1, OFUSG11664.1.p1	bflo_10999
OG0000037	OFUSG13518.1.p1	bflo_01343
OG0000037	OFUSG24232.1.p1, OFUSG22475.1.p1	bflo_10180
OG0000038	OFUSG08090.1.p1	bflo_16371
OG0000038	OFUSG09678.1.p1	bflo_18868
OG0000038	OFUSG07063.1.p1, OFUSG04821.1.p1, OFUSG19292.1.p1	bflo_18833
OG0000038	OFUSG26080.1.p1, OFUSG26080.2.p1	bflo_18855
OG0000039	OFUSG12767.1.p1, OFUSG04725.1.p1	bflo_02223, bflo_02227, bflo_03136, bflo_27317, bflo_19899, bflo_03164, bflo_20754, bflo_03799, bflo_03159, bflo_03174, bflo_20755, bflo_19898, bflo_16202, bflo_02225, bflo_27318, bflo_00568, bflo_03800
OG0000039	OFUSG17021.1.p1	bflo_27127, bflo_15187, bflo_27466, bflo_26974, bflo_01763, bflo_23061, bflo_22995, bflo_23026, bflo_12184, bflo_10698, bflo_10998, bflo_10878, bflo_10625, bflo_09250, bflo_23001, bflo_01761, bflo_10810, bflo_23007, bflo_01762, bflo_15400
OG0000039	OFUSG13129.1.p1	bflo_25339
OG0000039	OFUSG05314.1.p1	bflo_22047, bflo_13127, bflo_13500
OG0000039	OFUSG13135.1.p1	bflo_26070
OG0000039	OFUSG21070.1.p1, OFUSG21072.1.p1, OFUSG21071.1.p1, OFUSG07209.1.p1	bflo_06186
OG0000039	OFUSG11857.1.p1	bflo_16063, bflo_05536, bflo_26754, bflo_26837, bflo_07279, bflo_07260, bflo_07251, bflo_26843, bflo_07252, bflo_25456, bflo_04828, bflo_25467, bflo_08429, bflo_04543, bflo_04541, bflo_25412
OG0000039	OFUSG09877.1.p1, OFUSG09877.2.p1, OFUSG09879.1.p1, OFUSG09879.3.p1	bflo_15832
OG0000041	OFUSG07896.1.p1	bflo_09009, bflo_26911, bflo_03344, bflo_12945
OG0000041	OFUSG21324.4.p1, OFUSG21324.2.p1, OFUSG21324.1.p1, OFUSG21324.3.p1	bflo_05956
OG0000043	OFUSG22688.1.p1	bflo_23211, bflo_07587
OG0000043	OFUSG21723.1.p1	bflo_23226, bflo_23242, bflo_23238, bflo_23225, bflo_23224
OG0000044	OFUSG03166.1.p1	bflo_14922
OG0000044	OFUSG06861.1.p1, OFUSG10172.1.p1, OFUSG19783.1.p1	bflo_09554
OG0000044	OFUSG11434.1.p1, OFUSG13798.1.p1, OFUSG12158.2.p1, OFUSG12158.1.p1	bflo_21687
OG0000044	OFUSG22654.1.p1, OFUSG22653.1.p1, OFUSG15735.1.p1, OFUSG15574.1.p1, OFUSG15256.2.p1, OFUSG15256.1.p1, OFUSG15731.1.p1, OFUSG15125.1.p1, OFUSG23742.1.p1, OFUSG15245.1.p1	bflo_00108, bflo_00107, bflo_01958, bflo_01243, bflo_26025, bflo_26127, bflo_26635
OG0000045	OFUSG07522.1.p1	bflo_00609
OG0000045	OFUSG07521.1.p1	bflo_00608
OG0000045	OFUSG11066.2.p1, OFUSG11066.1.p1	bflo_23162
OG0000045	OFUSG07524.1.p1, OFUSG00566.1.p1, OFUSG00564.1.p1, OFUSG00563.1.p1, OFUSG00567.1.p1	bflo_01071
OG0000046	OFUSG14160.1.p1	bflo_09128, bflo_05621
OG0000046	OFUSG02356.1.p1, OFUSG13304.1.p1, OFUSG25123.1.p1	bflo_12973, bflo_25564, bflo_11116, bflo_21984, bflo_17346, bflo_17140, bflo_17411, bflo_17138, bflo_15946, bflo_19960, bflo_03865, bflo_11219, bflo_01794, bflo_19942, bflo_19982, bflo_19954, bflo_19961, bflo_19955, bflo_19958, bflo_19956, bflo_19962, bflo_11929, bflo_19932, bflo_10620, bflo_14470, bflo_15030
