Orthogroup	OWEFU	PFLAV
OG0000018	OFUSG14111.1.p3	TCONS_00023315.p1, TCONS_00041625.p1, TCONS_00044910.p1, TCONS_00038805.p1, TCONS_00030540.p1, TCONS_00010862.p1, TCONS_00033771.p1, TCONS_00004553.p1, TCONS_00008715.p1, TCONS_00016618.p3, TCONS_00049850.p1, TCONS_00002610.p1, TCONS_00055180.p1, TCONS_00026726.p1, TCONS_00024721.p1, TCONS_00024488.p1, TCONS_00007886.p1, TCONS_00034740.p1, TCONS_00008316.p1, TCONS_00039716.p1
OG0000019	OFUSG14039.1.p1, OFUSG23776.1.p1	TCONS_00042378.p1
OG0000019	OFUSG08823.1.p1	TCONS_00025657.p1, TCONS_00025658.p1, TCONS_00025659.p1, TCONS_00028088.p1, TCONS_00029505.p1, TCONS_00028039.p1, TCONS_00028037.p1, TCONS_00028042.p1, TCONS_00028040.p1, TCONS_00028035.p1, TCONS_00029509.p1, TCONS_00014266.p1, TCONS_00027859.p1
OG0000019	OFUSG23567.1.p1, OFUSG09103.1.p1	TCONS_00028459.p1, TCONS_00028453.p1, TCONS_00028457.p1, TCONS_00028458.p1, TCONS_00028452.p1, TCONS_00028462.p1, TCONS_00028460.p1, TCONS_00028461.p1, TCONS_00029609.p1
OG0000019	OFUSG04421.1.p1, OFUSG13833.1.p1, OFUSG25829.1.p1, OFUSG14065.1.p1, OFUSG25830.1.p1, OFUSG14040.1.p1	TCONS_00007298.p1, TCONS_00007301.p1, TCONS_00016343.p1, TCONS_00053172.p1, TCONS_00050837.p1, TCONS_00056903.p1, TCONS_00053134.p1, TCONS_00017582.p1, TCONS_00048059.p1
OG0000019	OFUSG20813.1.p1, OFUSG20814.1.p1, OFUSG18686.1.p1	TCONS_00047760.p1
OG0000019	OFUSG11853.1.p1, OFUSG11853.3.p1, OFUSG11853.2.p1	TCONS_00020725.p1, TCONS_00007955.p1, TCONS_00020293.p1, TCONS_00020282.p1
OG0000019	OFUSG19407.1.p1, OFUSG06826.1.p1	TCONS_00042480.p1
OG0000020	OFUSG13197.1.p1	TCONS_00042133.p1
OG0000020	OFUSG19131.1.p1	TCONS_00055662.p1
OG0000020	OFUSG13406.1.p1	TCONS_00020870.p1, TCONS_00009371.p1, TCONS_00020242.p1, TCONS_00045845.p1, TCONS_00028429.p1, TCONS_00029461.p1, TCONS_00053209.p1, TCONS_00022182.p1
OG0000020	OFUSG14744.1.p1	TCONS_00019497.p1
OG0000020	OFUSG12274.1.p1, OFUSG12274.2.p1	TCONS_00020535.p1
OG0000021	OFUSG19367.2.p1, OFUSG19367.1.p1	TCONS_00048454.p1
OG0000021	OFUSG26914.2.p1, OFUSG26914.3.p1, OFUSG26914.1.p1	TCONS_00007765.p1
OG0000021	OFUSG24230.1.p1, OFUSG15132.1.p1, OFUSG15132.2.p1	TCONS_00006555.p1
OG0000021	OFUSG13532.1.p1, OFUSG13532.2.p1	TCONS_00047524.p1
OG0000021	OFUSG03542.1.p1, OFUSG03403.1.p1, OFUSG03403.2.p1, OFUSG16515.1.p1, OFUSG16515.2.p1, OFUSG16222.2.p1, OFUSG16222.1.p1, OFUSG13726.2.p1, OFUSG13726.1.p1, OFUSG22547.2.p1, OFUSG22547.1.p1	TCONS_00048529.p1, TCONS_00048461.p1, TCONS_00048530.p1, TCONS_00048462.p1, TCONS_00048631.p1, TCONS_00047352.p1, TCONS_00044070.p1, TCONS_00044077.p1
OG0000021	OFUSG19689.1.p1, OFUSG09303.1.p1, OFUSG14494.2.p1, OFUSG14494.1.p1, OFUSG26703.1.p1, OFUSG06096.1.p1, OFUSG07156.1.p1	TCONS_00016243.p1
OG0000021	OFUSG25558.2.p1, OFUSG25558.1.p1, OFUSG03208.1.p1, OFUSG03209.1.p1, OFUSG03193.1.p1, OFUSG03185.1.p1, OFUSG03188.1.p1	TCONS_00042218.p1, TCONS_00044055.p1, TCONS_00043288.p1, TCONS_00043292.p1, TCONS_00042744.p1, TCONS_00020733.p1, TCONS_00020708.p1, TCONS_00042745.p1, TCONS_00043294.p1, TCONS_00043289.p1, TCONS_00043283.p1, TCONS_00041935.p1, TCONS_00044068.p1
OG0000023	OFUSG06069.1.p1	TCONS_00026137.p1
OG0000023	OFUSG15304.2.p1, OFUSG15304.1.p1, OFUSG15456.2.p1, OFUSG15456.1.p1	TCONS_00004930.p1
OG0000023	OFUSG14875.1.p1, OFUSG15289.1.p1, OFUSG15289.2.p1	TCONS_00029827.p1, TCONS_00006339.p1, TCONS_00006341.p1, TCONS_00023484.p1, TCONS_00023448.p1, TCONS_00023486.p1, TCONS_00023450.p1, TCONS_00023451.p1, TCONS_00023489.p1, TCONS_00006187.p1, TCONS_00006188.p1, TCONS_00006190.p1
OG0000026	OFUSG07096.1.p1, OFUSG14450.1.p1, OFUSG11988.1.p1, OFUSG07552.1.p1, OFUSG06751.1.p1, OFUSG08116.1.p1, OFUSG06159.1.p1, OFUSG25623.1.p1	TCONS_00003307.p1, TCONS_00043299.p1
OG0000026	OFUSG11075.1.p1, OFUSG12487.1.p1	TCONS_00005841.p2
OG0000026	OFUSG24598.1.p1	TCONS_00052076.p1
OG0000026	OFUSG26427.1.p1	TCONS_00017322.p1
OG0000026	OFUSG00817.1.p1	TCONS_00027263.p1, TCONS_00054188.p1
OG0000026	OFUSG25446.1.p1	TCONS_00006376.p1, TCONS_00020194.p1
OG0000026	OFUSG06547.2.p1, OFUSG06547.1.p1	TCONS_00034547.p1, TCONS_00040975.p1
OG0000026	OFUSG24229.1.p1	TCONS_00043670.p1
OG0000027	OFUSG07714.1.p1, OFUSG07714.2.p1, OFUSG21523.1.p1, OFUSG02454.1.p1, OFUSG18692.1.p1, OFUSG08461.1.p1, OFUSG07492.1.p1, OFUSG07492.3.p1, OFUSG07492.2.p1, OFUSG21969.1.p1, OFUSG21968.1.p1, OFUSG13255.1.p1	TCONS_00037910.p1, TCONS_00000070.p1, TCONS_00041506.p1, TCONS_00037953.p1, TCONS_00037911.p1, TCONS_00037954.p1, TCONS_00037955.p1, TCONS_00041505.p1, TCONS_00037956.p1, TCONS_00051662.p1, TCONS_00051534.p1, TCONS_00051531.p1, TCONS_00051545.p1, TCONS_00051542.p1, TCONS_00051540.p1, TCONS_00050429.p1, TCONS_00051539.p1, TCONS_00051538.p1, TCONS_00051546.p1, TCONS_00051544.p1, TCONS_00051543.p1, TCONS_00051530.p1, TCONS_00051529.p1, TCONS_00051660.p1, TCONS_00051659.p1, TCONS_00051657.p1, TCONS_00051550.p1, TCONS_00018215.p1, TCONS_00050742.p1, TCONS_00050164.p1, TCONS_00050163.p1, TCONS_00050166.p1, TCONS_00050169.p1, TCONS_00050160.p1, TCONS_00050162.p1, TCONS_00050173.p1, TCONS_00050168.p1
OG0000027	OFUSG21901.2.p1, OFUSG21901.1.p1	TCONS_00021458.p1, TCONS_00021461.p1, TCONS_00022575.p1
OG0000028	OFUSG21057.1.p1, OFUSG21057.2.p1	TCONS_00008790.p1
OG0000028	OFUSG05527.1.p1, OFUSG03389.1.p1	TCONS_00030328.p1, TCONS_00030338.p1, TCONS_00030608.p1, TCONS_00053821.p1, TCONS_00031464.p1, TCONS_00041062.p1
OG0000028	OFUSG09732.1.p1, OFUSG14981.3.p1, OFUSG14981.2.p1, OFUSG14981.1.p1, OFUSG09734.1.p1, OFUSG08335.1.p1, OFUSG09733.1.p1, OFUSG09733.2.p1	TCONS_00026901.p1, TCONS_00027219.p1, TCONS_00001048.p1, TCONS_00005463.p1, TCONS_00006513.p1, TCONS_00029701.p1, TCONS_00029704.p1, TCONS_00029474.p1, TCONS_00029475.p1
OG0000028	OFUSG13583.2.p1, OFUSG13583.4.p1, OFUSG13584.1.p1, OFUSG13583.3.p1, OFUSG13583.1.p1, OFUSG09817.1.p1, OFUSG09817.2.p1, OFUSG09817.4.p1, OFUSG09817.3.p1, OFUSG09817.5.p1	TCONS_00029777.p1, TCONS_00029776.p1
OG0000028	OFUSG16442.1.p1, OFUSG16442.2.p1	TCONS_00002058.p1, TCONS_00002059.p1, TCONS_00042376.p1, TCONS_00051030.p1
OG0000028	OFUSG12432.2.p1, OFUSG12432.1.p1, OFUSG25286.1.p1, OFUSG11555.1.p1	TCONS_00029577.p1, TCONS_00029851.p1, TCONS_00028862.p1
OG0000029	OFUSG25151.1.p1, OFUSG10698.1.p1	TCONS_00004006.p1
OG0000029	OFUSG21155.1.p1	TCONS_00053078.p1
OG0000029	OFUSG16858.1.p1	TCONS_00020525.p1
OG0000029	OFUSG15790.1.p1, OFUSG00743.1.p1, OFUSG20635.1.p1, OFUSG20634.1.p1, OFUSG14781.1.p1, OFUSG14779.1.p1, OFUSG14780.1.p1, OFUSG14783.1.p1, OFUSG20636.1.p1, OFUSG20271.1.p1, OFUSG26756.1.p1, OFUSG04638.1.p1, OFUSG03243.1.p1, OFUSG11383.1.p1, OFUSG19505.1.p1, OFUSG16898.2.p1, OFUSG16898.1.p1	TCONS_00019133.p1, TCONS_00019127.p1, TCONS_00019135.p1, TCONS_00019138.p1, TCONS_00019136.p1, TCONS_00019137.p1, TCONS_00019126.p1, TCONS_00050506.p1, TCONS_00051607.p1
OG0000030	OFUSG16141.1.p1, OFUSG16142.2.p1, OFUSG16142.1.p1	TCONS_00022258.p1, TCONS_00022256.p1, TCONS_00021153.p1, TCONS_00022346.p1, TCONS_00021156.p1, TCONS_00021155.p1, TCONS_00022226.p1, TCONS_00019519.p1, TCONS_00020559.p1, TCONS_00019429.p1, TCONS_00019523.p1, TCONS_00020417.p1, TCONS_00020557.p1
OG0000030	OFUSG07789.1.p1, OFUSG07787.1.p1	TCONS_00020726.p1, TCONS_00020728.p1, TCONS_00020088.p1
OG0000030	OFUSG04213.1.p1	TCONS_00019673.p1
OG0000030	OFUSG21119.1.p1	TCONS_00054176.p1, TCONS_00054136.p1
OG0000030	OFUSG17928.1.p1	TCONS_00014295.p1, TCONS_00013116.p1
OG0000030	OFUSG17612.1.p1	TCONS_00008414.p1
OG0000030	OFUSG26562.1.p1, OFUSG14908.1.p1, OFUSG24122.1.p1, OFUSG13621.1.p1, OFUSG26418.1.p1, OFUSG03647.1.p1, OFUSG12449.1.p1, OFUSG03648.1.p1, OFUSG03242.1.p1	TCONS_00006375.p1, TCONS_00014700.p1, TCONS_00005306.p1, TCONS_00006227.p1, TCONS_00006230.p1, TCONS_00006229.p1
OG0000030	OFUSG14128.1.p1, OFUSG14128.2.p1	TCONS_00021382.p1
OG0000030	OFUSG15638.1.p1, OFUSG15630.1.p1, OFUSG05089.1.p1, OFUSG05089.2.p1	TCONS_00042392.p1
OG0000031	OFUSG02441.1.p1	TCONS_00032922.p1
OG0000031	OFUSG03747.1.p1, OFUSG01964.1.p1	TCONS_00047108.p1, TCONS_00005437.p1
OG0000031	OFUSG16479.2.p1, OFUSG16479.1.p1	TCONS_00003900.p1
OG0000031	OFUSG03938.1.p1	TCONS_00002937.p1
OG0000031	OFUSG09754.1.p1	TCONS_00028162.p1
OG0000031	OFUSG12627.1.p1	TCONS_00046710.p1, TCONS_00045709.p1
OG0000031	OFUSG02210.1.p1	TCONS_00041599.p1
OG0000031	OFUSG17671.1.p1	TCONS_00054588.p1
OG0000031	OFUSG16797.1.p1	TCONS_00003964.p1
OG0000032	OFUSG07861.1.p1	TCONS_00018159.p1
