Orthogroup	OWEFU	YEAST
OG0000031	OFUSG03747.1.p1, OFUSG01964.1.p1, OFUSG03902.1.p1, OFUSG03902.2.p1, OFUSG16479.2.p1, OFUSG16479.1.p1, OFUSG03938.1.p1, OFUSG09754.1.p1, OFUSG12627.1.p1, OFUSG02210.1.p1, OFUSG17671.1.p1, OFUSG16797.1.p1, OFUSG02928.1.p1, OFUSG02926.1.p1	YEAST02238
OG0000034	OFUSG15530.3.p1, OFUSG15530.1.p1, OFUSG15530.2.p1, OFUSG01833.2.p1, OFUSG01833.1.p1, OFUSG08780.1.p1, OFUSG00313.1.p1, OFUSG10792.1.p1, OFUSG10792.2.p1, OFUSG08088.1.p1, OFUSG09735.1.p1	YEAST04436, YEAST05550, YEAST05115
OG0000036	OFUSG05112.1.p1, OFUSG06787.1.p1, OFUSG20561.1.p1, OFUSG20712.1.p1, OFUSG08497.1.p1, OFUSG08495.1.p1, OFUSG16630.1.p1, OFUSG16630.2.p1, OFUSG14389.1.p1, OFUSG16691.1.p1, OFUSG05272.1.p1	YEAST02545, YEAST02806
OG0000037	OFUSG11734.1.p1, OFUSG11735.1.p1, OFUSG11736.1.p1, OFUSG25144.1.p1, OFUSG11664.2.p1, OFUSG11664.3.p1, OFUSG11664.1.p1, OFUSG13518.1.p1, OFUSG06378.1.p1, OFUSG06379.1.p1, OFUSG24232.1.p1, OFUSG22475.1.p1	YEAST03227
OG0000038	OFUSG06853.1.p1, OFUSG15211.1.p1, OFUSG08090.1.p1, OFUSG09678.1.p1, OFUSG15797.1.p1, OFUSG08931.1.p1, OFUSG15236.1.p1, OFUSG15237.1.p1, OFUSG07063.1.p1, OFUSG04821.1.p1, OFUSG19292.1.p1, OFUSG03339.1.p1, OFUSG04771.1.p1, OFUSG03340.1.p1, OFUSG26080.1.p1, OFUSG26080.2.p1	YEAST04422, YEAST04379
OG0000043	OFUSG12022.1.p1, OFUSG22688.1.p1, OFUSG21723.1.p1	YEAST00224, YEAST01200
OG0000048	OFUSG03456.1.p1, OFUSG15815.1.p1, OFUSG16887.1.p1, OFUSG15705.1.p1, OFUSG19541.1.p1, OFUSG11586.1.p1, OFUSG11584.1.p1, OFUSG11585.1.p1, OFUSG11583.1.p1, OFUSG11587.1.p1, OFUSG11562.2.p1, OFUSG11562.1.p1, OFUSG07757.1.p1, OFUSG07755.1.p1, OFUSG07756.1.p1, OFUSG07755.2.p2, OFUSG07756.2.p1, OFUSG07027.1.p1, OFUSG04756.1.p1	YEAST05707
OG0000053	OFUSG20645.1.p1, OFUSG14768.1.p1, OFUSG14768.2.p1, OFUSG08427.1.p1, OFUSG03733.1.p1, OFUSG03731.1.p1, OFUSG01857.1.p1, OFUSG01854.1.p1, OFUSG01855.1.p1, OFUSG01843.1.p1, OFUSG14442.1.p1, OFUSG14446.1.p1, OFUSG25893.1.p1, OFUSG25892.1.p1, OFUSG19918.1.p1, OFUSG19918.2.p1, OFUSG08627.1.p1, OFUSG08658.1.p1, OFUSG21657.1.p1	YEAST05460, YEAST01800
OG0000053	OFUSG05563.1.p1, OFUSG05175.1.p1	YEAST00656
OG0000054	OFUSG08102.2.p1, OFUSG08102.1.p1, OFUSG09960.1.p1, OFUSG09960.2.p1, OFUSG09960.4.p1, OFUSG09960.5.p1, OFUSG09960.3.p1, OFUSG23922.1.p1, OFUSG23922.2.p1, OFUSG23922.3.p1, OFUSG13461.1.p1, OFUSG13461.2.p1, OFUSG22292.2.p1, OFUSG22292.1.p1, OFUSG00951.1.p1, OFUSG00949.1.p1, OFUSG16065.1.p1, OFUSG16065.2.p1, OFUSG16715.1.p1	YEAST01385
OG0000055	OFUSG10859.2.p1, OFUSG10859.1.p1, OFUSG21722.1.p2, OFUSG08892.1.p1	YEAST01199, YEAST00225
OG0000058	OFUSG21852.1.p1, OFUSG06504.1.p1	YEAST02989
OG0000058	OFUSG18325.1.p1, OFUSG07699.1.p1, OFUSG25338.1.p1	YEAST02120
OG0000069	OFUSG26968.1.p1	YEAST03661
OG0000079	OFUSG21029.1.p1, OFUSG23598.1.p1, OFUSG13995.1.p1, OFUSG00197.1.p1, OFUSG00197.2.p1, OFUSG13998.1.p1, OFUSG10422.3.p1, OFUSG10422.2.p1, OFUSG10422.1.p1, OFUSG10422.4.p1, OFUSG24101.1.p1, OFUSG19660.3.p1, OFUSG19660.2.p1, OFUSG19660.1.p1	YEAST05330
OG0000082	OFUSG08036.1.p1	YEAST03287
OG0000082	OFUSG05603.1.p1	YEAST04267, YEAST01834, YEAST03359
OG0000082	OFUSG21176.1.p1, OFUSG21175.1.p1, OFUSG21079.1.p1, OFUSG10604.1.p1	YEAST03862, YEAST00076, YEAST01992, YEAST00148
OG0000095	OFUSG11139.1.p1, OFUSG11139.2.p1, OFUSG20731.1.p1, OFUSG10751.1.p1, OFUSG10752.1.p1, OFUSG05076.1.p1, OFUSG05077.1.p1, OFUSG04927.1.p1, OFUSG04834.1.p1, OFUSG05311.1.p1, OFUSG05311.3.p1, OFUSG05311.2.p1, OFUSG23053.1.p1, OFUSG20564.2.p1, OFUSG20564.1.p1, OFUSG06065.1.p1, OFUSG03477.1.p1, OFUSG05320.1.p1	YEAST02993
OG0000096	OFUSG14354.1.p1, OFUSG06591.1.p1	YEAST02643
OG0000096	OFUSG12705.1.p1	YEAST00638
OG0000096	OFUSG09090.1.p1, OFUSG08225.1.p1, OFUSG00268.1.p1	YEAST05104, YEAST05564
OG0000103	OFUSG11159.3.p1, OFUSG11159.1.p1, OFUSG11159.4.p1, OFUSG11159.2.p1, OFUSG11159.5.p1, OFUSG10643.2.p1, OFUSG10643.1.p1	YEAST02873
OG0000107	OFUSG26967.1.p1	YEAST05173
OG0000113	OFUSG08222.1.p1, OFUSG08222.2.p1, OFUSG19702.1.p1, OFUSG06848.1.p1, OFUSG19695.1.p1, OFUSG19696.1.p1, OFUSG19222.1.p1, OFUSG19222.2.p1, OFUSG07831.1.p1	YEAST00378, YEAST01351, YEAST05581
OG0000116	OFUSG04355.1.p1, OFUSG16925.1.p1, OFUSG16925.2.p1, OFUSG08215.1.p1, OFUSG08212.1.p1	YEAST04456
OG0000122	OFUSG16654.1.p1, OFUSG16654.2.p1, OFUSG16654.5.p1, OFUSG16654.4.p1, OFUSG16654.3.p1, OFUSG07637.2.p1, OFUSG07637.1.p1, OFUSG24096.1.p1, OFUSG24096.2.p1, OFUSG25442.1.p1, OFUSG16403.1.p1, OFUSG07655.1.p1, OFUSG09651.1.p1, OFUSG16404.3.p1, OFUSG16404.1.p1, OFUSG16404.4.p1, OFUSG16404.2.p1	YEAST04928
OG0000124	OFUSG13980.1.p1	YEAST05021
OG0000124	OFUSG17649.1.p1	YEAST04122
OG0000127	OFUSG13933.1.p1, OFUSG14194.1.p1, OFUSG17604.1.p1, OFUSG10843.1.p1, OFUSG12542.1.p1, OFUSG00465.1.p1	YEAST06208
OG0000132	OFUSG10605.1.p1	YEAST06016
OG0000137	OFUSG10777.1.p1, OFUSG13550.1.p1, OFUSG13550.2.p1, OFUSG11144.1.p1, OFUSG11145.1.p1, OFUSG11143.1.p1, OFUSG21640.1.p1, OFUSG06514.1.p1, OFUSG06514.2.p1, OFUSG00060.1.p1, OFUSG01896.1.p1	YEAST01851, YEAST00637
OG0000142	OFUSG00775.1.p1, OFUSG05109.1.p1, OFUSG05117.1.p1, OFUSG05355.1.p1	YEAST02122
OG0000158	OFUSG13412.1.p1, OFUSG13412.2.p1, OFUSG07944.1.p1	YEAST05568
OG0000160	OFUSG12783.1.p2, OFUSG00793.1.p1, OFUSG00792.1.p1, OFUSG22540.1.p1, OFUSG22545.1.p1, OFUSG22542.1.p1, OFUSG22546.1.p1, OFUSG23989.1.p1, OFUSG24121.1.p1, OFUSG24120.1.p1, OFUSG24159.1.p1, OFUSG25908.1.p1, OFUSG25908.2.p1, OFUSG25907.1.p1, OFUSG14146.1.p1, OFUSG23990.1.p1, OFUSG12782.1.p1, OFUSG03406.1.p1, OFUSG03404.1.p1, OFUSG13774.1.p1, OFUSG13799.1.p1, OFUSG10294.1.p1, OFUSG13209.1.p1, OFUSG25532.1.p1, OFUSG25530.1.p1, OFUSG00766.1.p1, OFUSG13210.1.p1	YEAST04194
OG0000175	OFUSG13733.3.p1, OFUSG13733.4.p1, OFUSG13733.1.p1, OFUSG13733.2.p1, OFUSG13733.5.p1, OFUSG13162.2.p1, OFUSG13162.1.p1, OFUSG17209.1.p1, OFUSG17416.1.p1	YEAST00850, YEAST04327
OG0000179	OFUSG10862.2.p1, OFUSG10862.1.p1	YEAST01123, YEAST04430
OG0000179	OFUSG09587.1.p1, OFUSG20769.1.p1, OFUSG09586.1.p1	YEAST02911, YEAST01281
OG0000181	OFUSG16146.1.p1, OFUSG05616.1.p1, OFUSG21931.1.p1, OFUSG07326.1.p1, OFUSG26101.1.p1	YEAST00824, YEAST00771
OG0000186	OFUSG19249.1.p1, OFUSG07317.1.p1, OFUSG14800.1.p1, OFUSG14836.1.p1, OFUSG14836.3.p1, OFUSG14836.2.p1, OFUSG06957.1.p1, OFUSG21935.1.p1, OFUSG21938.2.p2, OFUSG21938.1.p1, OFUSG21934.1.p1, OFUSG21934.2.p1, OFUSG21934.3.p1, OFUSG21937.1.p1, OFUSG17936.1.p1, OFUSG17936.2.p1, OFUSG09456.1.p1	YEAST00336
OG0000194	OFUSG13910.1.p1, OFUSG20742.1.p1	YEAST01410
OG0000195	OFUSG14819.1.p1, OFUSG14479.2.p1, OFUSG14479.1.p1, OFUSG23590.1.p1, OFUSG23591.1.p1, OFUSG17223.2.p1, OFUSG23589.1.p1, OFUSG17223.1.p1, OFUSG24484.1.p1, OFUSG18426.1.p1, OFUSG17323.1.p1, OFUSG05634.1.p1	YEAST03414
OG0000211	OFUSG09374.1.p1, OFUSG00599.1.p1, OFUSG12452.1.p1, OFUSG19871.1.p1, OFUSG19638.1.p1, OFUSG20005.1.p1	YEAST04964
OG0000221	OFUSG10844.1.p1, OFUSG10678.1.p1, OFUSG10678.2.p1, OFUSG07107.3.p1, OFUSG07107.2.p1, OFUSG07107.1.p1	YEAST05872
OG0000222	OFUSG08668.1.p1, OFUSG08666.1.p1, OFUSG07845.3.p1, OFUSG07845.2.p1, OFUSG07845.1.p1, OFUSG26535.1.p1, OFUSG26532.1.p1, OFUSG17221.1.p1, OFUSG17222.1.p1, OFUSG26534.1.p1	YEAST01460
OG0000225	OFUSG19279.1.p1, OFUSG19278.1.p1, OFUSG06916.1.p1, OFUSG02515.1.p1, OFUSG18793.3.p1, OFUSG18793.2.p1, OFUSG18793.1.p1, OFUSG15666.1.p1, OFUSG21902.1.p1, OFUSG18792.1.p1	YEAST06146
OG0000227	OFUSG16437.1.p1, OFUSG20133.1.p1, OFUSG07297.1.p1, OFUSG15888.1.p1	YEAST05815
OG0000228	OFUSG22169.1.p1, OFUSG15698.1.p1, OFUSG22300.1.p1, OFUSG10121.1.p1, OFUSG09209.1.p1, OFUSG22352.1.p1, OFUSG22357.1.p1, OFUSG22354.1.p1, OFUSG22355.1.p1, OFUSG22356.1.p1, OFUSG22353.1.p1, OFUSG22353.2.p2, OFUSG22351.1.p1	YEAST04750
OG0000233	OFUSG22180.1.p1, OFUSG22179.1.p1, OFUSG22807.1.p1, OFUSG04214.1.p1, OFUSG04215.1.p1, OFUSG09139.1.p1, OFUSG01316.1.p1, OFUSG19827.1.p1, OFUSG08337.2.p1, OFUSG08337.1.p1, OFUSG23199.1.p1, OFUSG02520.1.p1, OFUSG02517.1.p1, OFUSG22405.1.p1, OFUSG01871.1.p1, OFUSG17286.1.p1, OFUSG00704.1.p1	YEAST03726, YEAST03241, YEAST03242
OG0000238	OFUSG12838.1.p1, OFUSG10164.1.p1, OFUSG20653.1.p1, OFUSG20654.1.p1, OFUSG20654.3.p1, OFUSG20654.2.p1, OFUSG20655.1.p1, OFUSG04116.1.p1, OFUSG20552.1.p1	YEAST06340, YEAST03834
OG0000240	OFUSG25838.1.p1, OFUSG23383.1.p1, OFUSG01957.1.p1, OFUSG25513.1.p1, OFUSG13581.1.p1, OFUSG02370.1.p1, OFUSG00223.1.p1, OFUSG24220.1.p1, OFUSG20470.1.p1, OFUSG20471.1.p1, OFUSG13190.2.p1, OFUSG13190.1.p1, OFUSG22069.1.p1, OFUSG22658.1.p1	YEAST03827
OG0000240	OFUSG00810.1.p1, OFUSG20290.1.p1	YEAST04973
OG0000242	OFUSG00360.1.p1, OFUSG06127.1.p1, OFUSG01194.1.p1	YEAST00734
OG0000246	OFUSG07024.1.p1, OFUSG19485.1.p1, OFUSG24660.1.p1, OFUSG15357.1.p1, OFUSG24208.1.p1, OFUSG02163.1.p1, OFUSG11581.1.p1, OFUSG12761.1.p1, OFUSG23769.1.p1, OFUSG03328.1.p1, OFUSG07874.1.p1	YEAST01746, YEAST01747
OG0000255	OFUSG12117.1.p1, OFUSG14942.1.p1, OFUSG14943.1.p2, OFUSG19654.1.p1, OFUSG20039.1.p1, OFUSG19653.1.p1, OFUSG19652.1.p1	YEAST02822
OG0000256	OFUSG07066.1.p1, OFUSG09071.1.p1, OFUSG09064.1.p1	YEAST00266
OG0000258	OFUSG10276.3.p1, OFUSG10276.1.p1, OFUSG10276.2.p1, OFUSG10276.4.p1, OFUSG10276.5.p1, OFUSG06329.2.p1, OFUSG06329.4.p1, OFUSG06329.3.p1, OFUSG06329.1.p1, OFUSG11356.1.p1	YEAST00118
OG0000260	OFUSG05664.1.p1, OFUSG19110.1.p1	YEAST04323
OG0000265	OFUSG06040.2.p1, OFUSG06040.1.p1	YEAST03885, YEAST03714
OG0000272	OFUSG23999.1.p1, OFUSG23997.1.p1, OFUSG23401.1.p1	YEAST02076, YEAST01066
OG0000274	OFUSG03961.1.p1, OFUSG03959.1.p1, OFUSG03960.2.p1, OFUSG03960.1.p1, OFUSG02232.1.p1, OFUSG08981.1.p1, OFUSG11810.1.p1, OFUSG11809.1.p1, OFUSG07292.1.p1, OFUSG16837.1.p1, OFUSG16837.2.p1, OFUSG24073.1.p1, OFUSG24518.1.p1, OFUSG24528.1.p1, OFUSG19723.1.p1, OFUSG19722.1.p1, OFUSG14159.1.p1	YEAST02118, YEAST04573, YEAST01485
OG0000284	OFUSG08095.1.p1, OFUSG26052.1.p1, OFUSG26476.1.p1	YEAST05621
OG0000289	OFUSG12822.1.p1, OFUSG17374.1.p1, OFUSG20928.1.p1, OFUSG07765.1.p1, OFUSG07764.1.p1, OFUSG07764.2.p1	YEAST00645
OG0000305	OFUSG19461.1.p1, OFUSG10811.3.p1, OFUSG10811.1.p1, OFUSG10811.2.p1, OFUSG26317.1.p1, OFUSG13253.1.p1, OFUSG13253.2.p1	YEAST04899
OG0000308	OFUSG03864.1.p1, OFUSG10583.1.p1, OFUSG21018.2.p1, OFUSG21018.1.p1, OFUSG08393.1.p1	YEAST02548
OG0000310	OFUSG14794.1.p1, OFUSG20216.1.p1, OFUSG14762.1.p1, OFUSG14796.1.p1, OFUSG18181.1.p1, OFUSG14795.1.p1	YEAST02635
OG0000312	OFUSG09739.1.p1, OFUSG26916.1.p1, OFUSG22955.1.p1, OFUSG18429.2.p1, OFUSG18429.1.p1, OFUSG13897.1.p1, OFUSG02203.1.p1	YEAST06260, YEAST02598, YEAST06261, YEAST02599, YEAST00807, YEAST04102
OG0000313	OFUSG03227.1.p1, OFUSG21287.1.p1, OFUSG21288.1.p1	YEAST05106
OG0000315	OFUSG06254.1.p1	YEAST04684
OG0000316	OFUSG04602.1.p1, OFUSG01326.1.p1, OFUSG10765.1.p1, OFUSG09113.1.p1, OFUSG23462.1.p1, OFUSG05708.1.p1	YEAST01673
OG0000317	OFUSG07531.1.p1, OFUSG16935.1.p1, OFUSG06026.1.p1, OFUSG16936.1.p1	YEAST01356
OG0000321	OFUSG23367.1.p1, OFUSG03674.1.p1, OFUSG26848.1.p1, OFUSG02412.1.p1	YEAST03264
OG0000323	OFUSG15391.1.p1, OFUSG18500.1.p1, OFUSG25439.1.p1, OFUSG12798.1.p1	YEAST02249
OG0000326	OFUSG13065.1.p1, OFUSG13065.5.p1, OFUSG13065.3.p1, OFUSG13065.4.p1, OFUSG13065.2.p1	YEAST06268, YEAST05286
OG0000326	OFUSG15828.2.p1, OFUSG15828.1.p1, OFUSG08906.2.p1, OFUSG08906.1.p1	YEAST06056
OG0000326	OFUSG03813.1.p1	YEAST03472, YEAST00720, YEAST00712, YEAST04873, YEAST02103, YEAST02102
OG0000327	OFUSG10793.1.p1, OFUSG00794.1.p1, OFUSG00795.1.p1, OFUSG00797.1.p1, OFUSG08866.1.p1, OFUSG04729.1.p1, OFUSG18560.1.p1, OFUSG19666.1.p1, OFUSG13620.1.p1, OFUSG10444.1.p1, OFUSG10647.1.p1, OFUSG10647.2.p1, OFUSG10965.1.p1, OFUSG18221.1.p1, OFUSG02099.1.p1, OFUSG02101.1.p1, OFUSG02101.2.p1, OFUSG02279.1.p1, OFUSG12119.1.p1, OFUSG12119.2.p1, OFUSG21543.2.p1, OFUSG21543.1.p1, OFUSG21543.4.p1, OFUSG21543.3.p1, OFUSG10440.1.p1, OFUSG18407.1.p1, OFUSG10376.1.p1, OFUSG10892.1.p1, OFUSG02102.1.p1	YEAST01354
OG0000338	OFUSG24006.1.p1, OFUSG24008.1.p1, OFUSG24008.2.p1, OFUSG24008.3.p1	YEAST02967
OG0000338	OFUSG22814.1.p1	YEAST04211
OG0000343	OFUSG01032.2.p1, OFUSG01032.4.p1, OFUSG01032.3.p1, OFUSG01032.1.p1, OFUSG01032.5.p1	YEAST03024, YEAST02736
OG0000345	OFUSG10856.2.p1, OFUSG10856.1.p1, OFUSG17887.1.p1, OFUSG17887.2.p1	YEAST01884
OG0000352	OFUSG17642.2.p1, OFUSG17642.3.p1, OFUSG17642.1.p1, OFUSG25663.1.p1, OFUSG25409.1.p1, OFUSG09355.1.p1	YEAST04069
OG0000357	OFUSG22195.1.p1, OFUSG06172.1.p1	YEAST01925
OG0000359	OFUSG10615.1.p1, OFUSG11235.1.p1, OFUSG22159.1.p1, OFUSG14850.1.p1	YEAST02489
OG0000363	OFUSG11269.1.p1, OFUSG22438.1.p1, OFUSG22436.1.p1, OFUSG22439.1.p1, OFUSG14838.2.p1, OFUSG14843.1.p1, OFUSG14838.1.p1, OFUSG14847.1.p1	YEAST04081, YEAST05870
OG0000365	OFUSG24709.1.p1, OFUSG08238.3.p1, OFUSG08238.1.p1, OFUSG08238.2.p1, OFUSG17927.1.p1, OFUSG17929.1.p1, OFUSG08661.1.p1, OFUSG08661.2.p1, OFUSG01740.1.p1, OFUSG08239.1.p2, OFUSG01612.1.p1, OFUSG26178.1.p1, OFUSG12372.1.p1	YEAST05831
OG0000367	OFUSG06474.2.p1, OFUSG06474.1.p1, OFUSG17028.4.p1, OFUSG17028.3.p1, OFUSG17028.1.p1, OFUSG17028.5.p1, OFUSG17028.2.p1, OFUSG17029.1.p1	YEAST02141, YEAST03746, YEAST03210
OG0000372	OFUSG09903.2.p1, OFUSG09903.3.p1, OFUSG09903.1.p1, OFUSG03577.1.p1, OFUSG07884.1.p1	YEAST05988
OG0000373	OFUSG15217.1.p1, OFUSG11653.1.p1	YEAST02023
OG0000373	OFUSG11079.1.p1	YEAST04495, YEAST01417, YEAST05964
OG0000385	OFUSG24563.1.p1, OFUSG09484.1.p1, OFUSG09484.2.p1, OFUSG16822.1.p1, OFUSG01405.2.p1, OFUSG01405.1.p1	YEAST03496
OG0000393	OFUSG05092.1.p1	YEAST01302
OG0000397	OFUSG03578.1.p1	YEAST05080
OG0000399	OFUSG08246.1.p1, OFUSG23662.1.p1, OFUSG15843.1.p1	YEAST02160
OG0000400	OFUSG03752.1.p1, OFUSG03748.1.p1, OFUSG03751.1.p1, OFUSG03755.1.p1, OFUSG02014.1.p1, OFUSG06218.1.p1, OFUSG03620.1.p1, OFUSG02567.1.p1, OFUSG02565.1.p1, OFUSG03617.1.p1, OFUSG03742.1.p1, OFUSG03742.2.p1, OFUSG03275.1.p1, OFUSG02903.1.p1, OFUSG17194.1.p1, OFUSG03741.1.p1, OFUSG02885.1.p1, OFUSG03746.1.p2, OFUSG02012.1.p1, OFUSG02010.1.p1, OFUSG02011.1.p1, OFUSG02009.1.p1, OFUSG02013.1.p1, OFUSG03619.1.p1, OFUSG02886.1.p1, OFUSG03744.1.p1, OFUSG03777.1.p1, OFUSG02006.1.p1, OFUSG03768.1.p1, OFUSG01973.1.p1, OFUSG03621.1.p1, OFUSG11893.1.p1, OFUSG11892.1.p1, OFUSG11899.1.p1, OFUSG11875.1.p1, OFUSG01962.1.p1	YEAST05911
OG0000402	OFUSG05767.1.p1, OFUSG20342.1.p1	YEAST01657, YEAST01929
OG0000405	OFUSG08998.1.p1	YEAST06055, YEAST00411
OG0000412	OFUSG25298.1.p1, OFUSG11300.1.p1, OFUSG10577.1.p1, OFUSG08255.1.p1	YEAST04469
OG0000413	OFUSG25104.1.p1	YEAST04905, YEAST05340
OG0000413	OFUSG14302.1.p1, OFUSG18641.3.p1, OFUSG18641.2.p1, OFUSG18641.1.p1	YEAST02838
OG0000419	OFUSG07802.1.p1, OFUSG07802.3.p1, OFUSG07802.2.p1	YEAST05989
OG0000420	OFUSG02462.1.p1, OFUSG02367.1.p1, OFUSG13052.1.p1, OFUSG12160.1.p1, OFUSG14138.1.p1, OFUSG18570.1.p1, OFUSG06710.1.p1	YEAST03886
OG0000424	OFUSG00190.1.p1	YEAST03563
OG0000426	OFUSG19099.2.p1, OFUSG19099.1.p1, OFUSG19099.4.p1, OFUSG19099.3.p1	YEAST03440
OG0000426	OFUSG19099.5.p1	YEAST04098, YEAST00799
OG0000427	OFUSG07420.1.p1, OFUSG07419.1.p1, OFUSG16981.1.p1, OFUSG16981.2.p1	YEAST02655, YEAST02439
OG0000429	OFUSG18903.1.p1, OFUSG23592.1.p1, OFUSG23592.2.p1, OFUSG12856.1.p1	YEAST02285
OG0000431	OFUSG18259.1.p1, OFUSG02223.1.p1, OFUSG25902.1.p1	YEAST04014
OG0000433	OFUSG10457.2.p1, OFUSG10457.1.p1, OFUSG10457.3.p1, OFUSG01097.1.p1	YEAST06177, YEAST00117
OG0000437	OFUSG01424.1.p1	YEAST03074, YEAST02073
OG0000442	OFUSG14066.1.p1, OFUSG00335.1.p1, OFUSG00657.1.p1	YEAST05012
OG0000444	OFUSG07387.1.p1, OFUSG19063.1.p1, OFUSG07141.1.p1, OFUSG07141.3.p1, OFUSG07141.2.p1	YEAST01115, YEAST04019
OG0000445	OFUSG23731.1.p1, OFUSG22703.1.p1, OFUSG23732.1.p1, OFUSG22714.1.p1, OFUSG22711.1.p1, OFUSG04109.1.p1, OFUSG02436.1.p1, OFUSG02435.1.p1, OFUSG02434.1.p1, OFUSG16774.1.p1	YEAST03068
OG0000450	OFUSG22336.1.p1, OFUSG14988.1.p1, OFUSG08152.1.p1	YEAST04709, YEAST05909
OG0000461	OFUSG15748.3.p1, OFUSG15748.1.p1, OFUSG15748.4.p1, OFUSG15748.2.p1, OFUSG00679.1.p1	YEAST00120
