Orthogroup	OWEFU	SCHMD
OG0000003	OFUSG04319.1.p1, OFUSG05925.1.p1, OFUSG18436.1.p1, OFUSG18438.1.p1, OFUSG26303.1.p1, OFUSG26296.1.p1, OFUSG05924.1.p1, OFUSG23734.1.p1, OFUSG18791.1.p1, OFUSG23315.1.p1, OFUSG04335.1.p1, OFUSG23618.1.p1	SCHMD00325
OG0000004	OFUSG20734.1.p1	SCHMD22004
OG0000005	OFUSG15197.1.p1, OFUSG15195.1.p1	SCHMD06848
OG0000005	OFUSG14951.1.p1, OFUSG10608.1.p1, OFUSG04131.1.p1, OFUSG08841.1.p1, OFUSG17326.1.p1, OFUSG20156.1.p1, OFUSG19966.1.p1, OFUSG09231.1.p1, OFUSG09655.1.p1, OFUSG26276.1.p1	SCHMD15919
OG0000006	OFUSG11531.1.p1	SCHMD08632
OG0000006	OFUSG02905.1.p1	SCHMD00178
OG0000006	OFUSG14509.1.p1	SCHMD18704
OG0000006	OFUSG03891.1.p1, OFUSG14428.1.p1, OFUSG07929.1.p1, OFUSG05068.1.p1, OFUSG21700.1.p1, OFUSG21701.1.p1, OFUSG10782.1.p1, OFUSG14810.1.p1, OFUSG09474.1.p1, OFUSG09474.2.p1, OFUSG07465.1.p1, OFUSG08660.1.p1	SCHMD09638
OG0000006	OFUSG18090.1.p1	SCHMD23237
OG0000006	OFUSG18494.1.p1, OFUSG18494.2.p1	SCHMD13710
OG0000006	OFUSG11470.1.p1	SCHMD18814
OG0000007	OFUSG21527.1.p1	SCHMD08294
OG0000007	OFUSG09642.1.p1, OFUSG09693.1.p1	SCHMD22164, SCHMD13502
OG0000007	OFUSG13716.1.p1	SCHMD14635, SCHMD17075
OG0000007	OFUSG04867.2.p1, OFUSG04867.1.p1, OFUSG23111.1.p1, OFUSG04768.1.p1	SCHMD12296, SCHMD02893
OG0000007	OFUSG09682.1.p1, OFUSG09683.1.p1, OFUSG03082.1.p1, OFUSG03081.1.p1, OFUSG03083.1.p1, OFUSG03084.1.p1, OFUSG24642.1.p1, OFUSG20993.1.p1, OFUSG09684.1.p1, OFUSG19661.1.p1, OFUSG08948.1.p1	SCHMD08423
OG0000007	OFUSG10014.1.p1	SCHMD08922, SCHMD00556
OG0000007	OFUSG25429.1.p1, OFUSG21828.2.p1, OFUSG21828.1.p1	SCHMD22068, SCHMD08894, SCHMD06998
OG0000007	OFUSG10613.1.p1	SCHMD00558, SCHMD06747, SCHMD22968, SCHMD29142, SCHMD15439, SCHMD19350, SCHMD15440, SCHMD11082, SCHMD05985
OG0000007	OFUSG25241.1.p1	SCHMD02246
OG0000008	OFUSG10082.1.p1	SCHMD02053
OG0000010	OFUSG09248.1.p1	SCHMD19321
OG0000010	OFUSG10271.1.p1	SCHMD12053
OG0000010	OFUSG10776.1.p1	SCHMD02594, SCHMD02592
OG0000010	OFUSG08801.1.p1, OFUSG04629.1.p1, OFUSG16371.1.p1, OFUSG03904.1.p1	SCHMD14061
OG0000010	OFUSG01743.1.p1	SCHMD09515
OG0000010	OFUSG10415.1.p1, OFUSG10415.2.p1	SCHMD05789, SCHMD04868
OG0000012	OFUSG23981.1.p1, OFUSG23977.1.p1, OFUSG23979.1.p1, OFUSG23978.1.p1, OFUSG14153.2.p1, OFUSG14153.1.p1, OFUSG14153.3.p1	SCHMD06044, SCHMD24599, SCHMD26528, SCHMD04657, SCHMD00960
OG0000012	OFUSG13750.1.p1, OFUSG26096.1.p1	SCHMD06045, SCHMD22580
OG0000014	OFUSG09895.2.p1, OFUSG09895.1.p1, OFUSG25487.1.p1, OFUSG16820.1.p1, OFUSG25374.2.p1, OFUSG25374.3.p1, OFUSG25374.1.p1, OFUSG26341.1.p1, OFUSG07532.1.p1, OFUSG25831.1.p1, OFUSG10758.1.p1, OFUSG23286.1.p1, OFUSG03351.1.p1, OFUSG22799.1.p1	SCHMD11444
OG0000014	OFUSG17822.1.p1, OFUSG17822.2.p1, OFUSG17822.3.p1	SCHMD22676, SCHMD26730
OG0000014	OFUSG19797.2.p1, OFUSG19797.1.p1, OFUSG07199.1.p1, OFUSG09163.2.p1, OFUSG09163.1.p1, OFUSG13990.1.p1, OFUSG08633.1.p1, OFUSG08630.1.p1, OFUSG25989.2.p1, OFUSG25989.1.p1, OFUSG14771.1.p1	SCHMD25903, SCHMD23025, SCHMD25904, SCHMD07386, SCHMD27174, SCHMD27072, SCHMD26433, SCHMD26360, SCHMD08949, SCHMD06657, SCHMD08950, SCHMD10401, SCHMD15215, SCHMD08948, SCHMD27260, SCHMD22821, SCHMD18998, SCHMD27894, SCHMD21669, SCHMD28940, SCHMD25178, SCHMD18458, SCHMD17107, SCHMD17106, SCHMD04686, SCHMD16431, SCHMD18460, SCHMD25052, SCHMD18459, SCHMD25054, SCHMD25184, SCHMD28601, SCHMD23423, SCHMD23923, SCHMD18997, SCHMD16115
OG0000014	OFUSG25832.1.p1	SCHMD17936, SCHMD15732, SCHMD17591, SCHMD13208
OG0000015	OFUSG02213.1.p1, OFUSG02213.2.p1, OFUSG03120.2.p1, OFUSG03120.3.p1, OFUSG03120.1.p1	SCHMD20432
OG0000015	OFUSG21186.1.p1	SCHMD21895, SCHMD16722
OG0000016	OFUSG06389.1.p1	SCHMD21264, SCHMD01350, SCHMD17302
OG0000016	OFUSG14051.1.p1	SCHMD13031, SCHMD03292, SCHMD08192
OG0000016	OFUSG06387.1.p1, OFUSG05927.1.p1, OFUSG10030.1.p1, OFUSG10824.1.p1, OFUSG18493.1.p1, OFUSG18488.1.p1, OFUSG18491.1.p1	SCHMD13029
OG0000016	OFUSG06386.1.p1, OFUSG05926.1.p1	SCHMD08193, SCHMD03294, SCHMD13027, SCHMD08194
OG0000016	OFUSG14053.2.p1, OFUSG14053.1.p1, OFUSG15777.1.p1	SCHMD01357, SCHMD21350
OG0000016	OFUSG06388.1.p1, OFUSG18492.1.p1	SCHMD16694
OG0000016	OFUSG11848.1.p1	SCHMD02183
OG0000016	OFUSG06227.1.p1	SCHMD05700
OG0000018	OFUSG02956.1.p1	SCHMD07328, SCHMD06128, SCHMD00596, SCHMD22969
OG0000019	OFUSG04719.1.p1, OFUSG12907.1.p1, OFUSG10398.1.p1, OFUSG21257.1.p1, OFUSG19550.1.p1, OFUSG19551.1.p1, OFUSG19552.1.p1, OFUSG16793.1.p1, OFUSG10455.1.p1	SCHMD12011, SCHMD20948
OG0000020	OFUSG19131.1.p1	SCHMD00005
OG0000021	OFUSG26914.2.p1, OFUSG26914.3.p1, OFUSG26914.1.p1	SCHMD09794
OG0000021	OFUSG24044.1.p1	SCHMD14458
OG0000021	OFUSG03542.1.p1, OFUSG03403.1.p1, OFUSG03403.2.p1, OFUSG16515.1.p1, OFUSG16515.2.p1, OFUSG16222.2.p1, OFUSG16222.1.p1, OFUSG13726.2.p1, OFUSG13726.1.p1, OFUSG22547.2.p1, OFUSG22547.1.p1	SCHMD10526, SCHMD19498
OG0000021	OFUSG19689.1.p1, OFUSG09303.1.p1, OFUSG14494.2.p1, OFUSG14494.1.p1, OFUSG26703.1.p1, OFUSG06096.1.p1, OFUSG07156.1.p1	SCHMD09793, SCHMD07893
OG0000023	OFUSG26468.1.p1	SCHMD04923
OG0000026	OFUSG07096.1.p1, OFUSG14450.1.p1, OFUSG11988.1.p1, OFUSG07552.1.p1, OFUSG06751.1.p1, OFUSG08116.1.p1, OFUSG06159.1.p1, OFUSG25623.1.p1	SCHMD10899
OG0000026	OFUSG02974.1.p1	SCHMD02068, SCHMD03522
OG0000026	OFUSG24598.1.p1	SCHMD00612
OG0000026	OFUSG24229.1.p1	SCHMD22460
OG0000027	OFUSG07714.1.p1, OFUSG07714.2.p1, OFUSG21523.1.p1, OFUSG02454.1.p1, OFUSG18692.1.p1, OFUSG08461.1.p1, OFUSG07492.1.p1, OFUSG07492.3.p1, OFUSG07492.2.p1, OFUSG21969.1.p1, OFUSG21968.1.p1, OFUSG13255.1.p1	SCHMD01186, SCHMD06349, SCHMD09742, SCHMD23029, SCHMD18531
OG0000028	OFUSG21057.1.p1, OFUSG21057.2.p1	SCHMD09456, SCHMD01093
OG0000028	OFUSG09732.1.p1	SCHMD06702, SCHMD02905, SCHMD16738
OG0000028	OFUSG14981.3.p1, OFUSG14981.2.p1, OFUSG14981.1.p1, OFUSG09734.1.p1, OFUSG08335.1.p1, OFUSG09733.1.p1, OFUSG09733.2.p1	SCHMD14368, SCHMD23495, SCHMD26353, SCHMD14450
OG0000028	OFUSG13583.2.p1, OFUSG13583.4.p1, OFUSG13584.1.p1, OFUSG13583.3.p1, OFUSG13583.1.p1, OFUSG09817.1.p1, OFUSG09817.2.p1, OFUSG09817.4.p1, OFUSG09817.3.p1, OFUSG09817.5.p1	SCHMD09824, SCHMD14808, SCHMD01092, SCHMD08075
OG0000029	OFUSG25151.1.p1, OFUSG10698.1.p1, OFUSG20711.1.p1	SCHMD10229, SCHMD16285, SCHMD03695, SCHMD08074, SCHMD15862
OG0000029	OFUSG01397.1.p1, OFUSG01400.1.p1, OFUSG01402.1.p1, OFUSG03457.2.p1, OFUSG03457.1.p1, OFUSG05746.3.p1, OFUSG05746.2.p1, OFUSG05746.1.p1, OFUSG18779.1.p1, OFUSG08105.1.p1, OFUSG09439.1.p1, OFUSG26816.1.p1, OFUSG22757.1.p1, OFUSG11381.1.p1, OFUSG11380.1.p1, OFUSG07090.1.p1, OFUSG07089.1.p1	SCHMD11804, SCHMD02858, SCHMD00228, SCHMD00039, SCHMD09250, SCHMD09249
OG0000029	OFUSG26611.2.p1, OFUSG26611.1.p1	SCHMD18727
OG0000030	OFUSG16143.1.p1	SCHMD17295
OG0000030	OFUSG04213.1.p1	SCHMD17204, SCHMD27027, SCHMD25154, SCHMD28242, SCHMD23250
OG0000030	OFUSG21892.1.p1, OFUSG11273.1.p1	SCHMD25384, SCHMD27555
OG0000030	OFUSG21119.1.p1	SCHMD26819, SCHMD26942, SCHMD20336, SCHMD29499, SCHMD22579
OG0000030	OFUSG17612.1.p1, OFUSG12869.1.p1, OFUSG05001.1.p1	SCHMD25391
OG0000030	OFUSG14128.1.p1, OFUSG14128.2.p1	SCHMD25427
OG0000031	OFUSG03902.1.p1, OFUSG03902.2.p1, OFUSG16479.2.p1, OFUSG16479.1.p1	SCHMD16950
OG0000031	OFUSG03938.1.p1	SCHMD11094
OG0000031	OFUSG12627.1.p1	SCHMD00185
OG0000031	OFUSG02210.1.p1, OFUSG17671.1.p1	SCHMD17865
OG0000034	OFUSG15530.3.p1, OFUSG15530.1.p1, OFUSG15530.2.p1	SCHMD13190, SCHMD26745
OG0000034	OFUSG01833.2.p1, OFUSG01833.1.p1	SCHMD11160, SCHMD18247
OG0000034	OFUSG08780.1.p1	SCHMD04875
OG0000034	OFUSG09735.1.p1	SCHMD07081
OG0000035	OFUSG08016.1.p1, OFUSG08016.2.p1	SCHMD06303
OG0000035	OFUSG16461.1.p1	SCHMD10019, SCHMD14794, SCHMD08606
OG0000035	OFUSG25460.1.p1, OFUSG07717.1.p1	SCHMD15627, SCHMD19701
OG0000035	OFUSG09471.1.p1	SCHMD23652, SCHMD05993
OG0000036	OFUSG06787.1.p1	SCHMD19876, SCHMD28731, SCHMD01107, SCHMD15808
OG0000036	OFUSG16630.1.p1, OFUSG16630.2.p1, OFUSG14389.1.p1, OFUSG16691.1.p1	SCHMD03343, SCHMD25206, SCHMD18787, SCHMD10086
OG0000037	OFUSG11734.1.p1, OFUSG11735.1.p1, OFUSG11736.1.p1, OFUSG25144.1.p1, OFUSG11664.2.p1, OFUSG11664.3.p1, OFUSG11664.1.p1	SCHMD19933
OG0000037	OFUSG13518.1.p1	SCHMD19522, SCHMD00541
OG0000037	OFUSG06378.1.p1, OFUSG06379.1.p1	SCHMD03362
OG0000037	OFUSG24232.1.p1, OFUSG22475.1.p1	SCHMD27948, SCHMD18423, SCHMD18687, SCHMD12192, SCHMD12010, SCHMD26652, SCHMD27204, SCHMD04781
OG0000038	OFUSG08090.1.p1, OFUSG09678.1.p1, OFUSG15797.1.p1	SCHMD06293
OG0000038	OFUSG04771.1.p1	SCHMD07372, SCHMD06914, SCHMD04983
OG0000038	OFUSG03340.1.p1	SCHMD00416, SCHMD02854, SCHMD10875, SCHMD25466, SCHMD05088, SCHMD12852, SCHMD01036
OG0000039	OFUSG18528.1.p1, OFUSG18528.2.p1, OFUSG12767.1.p1, OFUSG04725.1.p1, OFUSG17021.1.p1, OFUSG19834.1.p1, OFUSG26646.1.p1, OFUSG23983.1.p1, OFUSG19239.1.p1, OFUSG06237.1.p1, OFUSG06237.2.p1, OFUSG00510.1.p1, OFUSG02549.1.p1, OFUSG13134.1.p1, OFUSG13129.1.p1, OFUSG05314.1.p1, OFUSG13135.1.p1, OFUSG07045.1.p1, OFUSG04852.1.p1, OFUSG04321.1.p1, OFUSG21070.1.p1, OFUSG21072.1.p1, OFUSG21071.1.p1, OFUSG07209.1.p1, OFUSG11857.1.p1, OFUSG09877.1.p1, OFUSG09877.2.p1, OFUSG09879.1.p1, OFUSG09879.3.p1	SCHMD12270
OG0000040	OFUSG17305.1.p1	SCHMD01748, SCHMD12016, SCHMD05917, SCHMD01746
OG0000040	OFUSG26663.1.p1, OFUSG26665.1.p1, OFUSG26662.1.p1, OFUSG26667.2.p1, OFUSG26667.1.p1, OFUSG26660.1.p1, OFUSG26661.1.p1, OFUSG26664.2.p1, OFUSG26661.2.p1, OFUSG26664.1.p1, OFUSG00178.1.p1, OFUSG00136.1.p1, OFUSG00136.2.p1, OFUSG26668.1.p1, OFUSG00137.1.p1	SCHMD25293, SCHMD21694, SCHMD27504, SCHMD01749, SCHMD05916, SCHMD12013, SCHMD13146
OG0000041	OFUSG15030.1.p1	SCHMD08254, SCHMD16501, SCHMD03485, SCHMD03487
OG0000041	OFUSG24031.1.p1, OFUSG24027.1.p1	SCHMD24504, SCHMD27330, SCHMD22218, SCHMD24321, SCHMD16915
OG0000041	OFUSG06586.2.p1, OFUSG06586.1.p1	SCHMD27375, SCHMD19541
OG0000041	OFUSG06587.1.p1	SCHMD24652, SCHMD18848
OG0000041	OFUSG07896.1.p1	SCHMD18236, SCHMD01855, SCHMD05642, SCHMD04611, SCHMD00627, SCHMD25467, SCHMD20856
OG0000041	OFUSG21324.4.p1, OFUSG21324.2.p1, OFUSG21324.1.p1, OFUSG21324.3.p1	SCHMD01473, SCHMD17447, SCHMD15880, SCHMD14684, SCHMD25470, SCHMD01841, SCHMD06678
OG0000043	OFUSG12022.1.p1	SCHMD05570, SCHMD05172, SCHMD24343, SCHMD10917, SCHMD15077, SCHMD11820
OG0000043	OFUSG22688.1.p1	SCHMD11455
OG0000043	OFUSG21723.1.p1	SCHMD17991, SCHMD07284, SCHMD04436, SCHMD10964, SCHMD10708, SCHMD11041, SCHMD12622, SCHMD10248, SCHMD06829, SCHMD01198, SCHMD04068
OG0000048	OFUSG11584.1.p1	SCHMD20183, SCHMD25913, SCHMD12614, SCHMD16550, SCHMD17319
OG0000049	OFUSG00390.1.p1	SCHMD02961, SCHMD14840
OG0000049	OFUSG14032.1.p1	SCHMD07231, SCHMD18899, SCHMD19386
OG0000049	OFUSG23568.1.p1	SCHMD17006
OG0000051	OFUSG18065.1.p1, OFUSG26208.1.p1, OFUSG26207.1.p1, OFUSG09394.2.p1, OFUSG09394.1.p1, OFUSG09393.1.p1, OFUSG06466.2.p1, OFUSG06466.1.p1, OFUSG06468.1.p1, OFUSG06467.1.p1, OFUSG22449.1.p1, OFUSG01450.1.p2, OFUSG23177.1.p1, OFUSG10302.1.p1, OFUSG14314.1.p1, OFUSG17623.1.p1, OFUSG24736.1.p1	SCHMD14701, SCHMD19681, SCHMD00914, SCHMD02148, SCHMD06279
OG0000056	OFUSG00148.1.p1	SCHMD18401, SCHMD20469
OG0000057	OFUSG08336.1.p1	SCHMD08094
OG0000058	OFUSG06504.1.p1	SCHMD04270
OG0000059	OFUSG10738.1.p1	SCHMD15435, SCHMD14720, SCHMD05184, SCHMD07481, SCHMD24928
OG0000059	OFUSG03529.1.p1, OFUSG03529.2.p1	SCHMD27096
OG0000060	OFUSG21371.2.p1, OFUSG21371.1.p1	SCHMD17528
OG0000060	OFUSG25748.1.p1, OFUSG06220.1.p1, OFUSG06220.2.p1, OFUSG22689.1.p1, OFUSG15770.2.p1, OFUSG15770.1.p1, OFUSG17254.1.p1, OFUSG17256.1.p1, OFUSG07484.1.p1, OFUSG07264.1.p1, OFUSG04665.1.p1, OFUSG04666.1.p1, OFUSG13147.1.p1, OFUSG04875.1.p1	SCHMD16998
OG0000060	OFUSG08326.1.p1, OFUSG08326.2.p1	SCHMD17292
OG0000061	OFUSG16362.1.p1, OFUSG16362.3.p1, OFUSG16362.2.p1	SCHMD24930
OG0000061	OFUSG16682.2.p1, OFUSG16682.1.p1	SCHMD11039
OG0000062	OFUSG19725.1.p1, OFUSG05205.1.p1	SCHMD03372
OG0000062	OFUSG20078.1.p1, OFUSG20078.2.p1, OFUSG20834.1.p1, OFUSG20834.2.p1, OFUSG05008.1.p1	SCHMD29099, SCHMD15194, SCHMD14172, SCHMD18015, SCHMD15195, SCHMD23769
OG0000063	OFUSG17109.2.p1, OFUSG17109.1.p1	SCHMD04855
OG0000063	OFUSG05823.2.p1, OFUSG05823.1.p1	SCHMD09653
OG0000063	OFUSG20081.1.p1	SCHMD24452
OG0000063	OFUSG22244.1.p1	SCHMD26478, SCHMD21709
OG0000065	OFUSG22574.1.p1, OFUSG23358.1.p1, OFUSG12395.1.p1, OFUSG23801.1.p1, OFUSG23802.1.p1, OFUSG23800.1.p1, OFUSG01605.1.p1, OFUSG15392.1.p1, OFUSG01606.1.p1, OFUSG01817.1.p1, OFUSG16109.1.p1, OFUSG08606.1.p1, OFUSG25251.1.p1, OFUSG10638.1.p1, OFUSG03941.1.p1, OFUSG20646.1.p1, OFUSG26222.1.p1, OFUSG00747.1.p1, OFUSG00365.1.p1, OFUSG20533.1.p1, OFUSG15764.2.p1, OFUSG15764.4.p1, OFUSG15764.3.p1, OFUSG15764.1.p1, OFUSG13353.1.p1, OFUSG22698.1.p1, OFUSG15763.1.p1, OFUSG02049.1.p1, OFUSG22680.1.p1, OFUSG22697.1.p1, OFUSG16096.1.p1, OFUSG15767.1.p1, OFUSG12866.1.p1, OFUSG09226.1.p1, OFUSG09226.2.p1, OFUSG25542.1.p1, OFUSG21873.1.p1, OFUSG21872.1.p1, OFUSG07631.1.p1, OFUSG23384.1.p1, OFUSG15143.1.p1, OFUSG15928.1.p1, OFUSG00649.1.p1, OFUSG25620.1.p1, OFUSG08202.1.p1, OFUSG19583.1.p1, OFUSG13387.1.p1, OFUSG05640.1.p1, OFUSG08086.1.p1, OFUSG08011.1.p1	SCHMD25936, SCHMD21821, SCHMD20931, SCHMD12953
OG0000066	OFUSG11553.1.p1	SCHMD27134
OG0000066	OFUSG25801.1.p1	SCHMD02363
OG0000066	OFUSG16714.1.p1	SCHMD06601
OG0000066	OFUSG23527.1.p1	SCHMD06030
OG0000066	OFUSG16951.1.p1, OFUSG16951.2.p1, OFUSG09162.1.p1, OFUSG22461.1.p1, OFUSG03668.1.p1, OFUSG23652.3.p1, OFUSG23652.1.p1, OFUSG23652.2.p1, OFUSG12986.1.p1, OFUSG23651.1.p1, OFUSG23651.2.p1, OFUSG23651.3.p1, OFUSG07546.1.p1, OFUSG14827.1.p1, OFUSG13498.2.p1, OFUSG13498.1.p1	SCHMD05807
OG0000066	OFUSG19426.1.p2	SCHMD26212
OG0000066	OFUSG21693.1.p1	SCHMD01829
OG0000066	OFUSG14092.1.p1	SCHMD17583, SCHMD06603, SCHMD09194
OG0000068	OFUSG06649.2.p1, OFUSG06649.1.p1	SCHMD05762, SCHMD05760, SCHMD05763
OG0000069	OFUSG26968.1.p1	SCHMD01685, SCHMD16207, SCHMD06596, SCHMD09060, SCHMD03554, SCHMD11437
OG0000070	OFUSG12766.1.p1, OFUSG13486.2.p1, OFUSG13486.1.p1, OFUSG01308.1.p1, OFUSG01308.2.p1	SCHMD06745
OG0000070	OFUSG09432.1.p1	SCHMD27266, SCHMD15308
OG0000070	OFUSG19636.1.p1, OFUSG12494.1.p1, OFUSG12493.1.p1, OFUSG19637.1.p1, OFUSG25749.1.p1	SCHMD25128, SCHMD25923, SCHMD18099, SCHMD09836, SCHMD24858
OG0000071	OFUSG17431.1.p1, OFUSG17011.1.p1, OFUSG17010.1.p1, OFUSG08342.1.p1, OFUSG25772.1.p1, OFUSG15787.1.p1, OFUSG16028.1.p2, OFUSG18632.1.p1, OFUSG13731.1.p1	SCHMD08674, SCHMD04226
OG0000072	OFUSG02543.3.p1, OFUSG02543.1.p1, OFUSG02543.2.p1	SCHMD10090
OG0000073	OFUSG13409.1.p1	SCHMD10978, SCHMD10977, SCHMD12234
OG0000073	OFUSG20747.2.p1, OFUSG20747.1.p1, OFUSG03929.1.p1, OFUSG03929.2.p1	SCHMD07917, SCHMD02585, SCHMD02588
OG0000073	OFUSG09086.1.p1, OFUSG00356.1.p1, OFUSG20720.1.p1	SCHMD28862, SCHMD24546, SCHMD24547, SCHMD27237, SCHMD14430, SCHMD15760, SCHMD20122, SCHMD26801, SCHMD20121, SCHMD12548, SCHMD21957, SCHMD02329, SCHMD02330, SCHMD01699, SCHMD20600, SCHMD05889, SCHMD20601, SCHMD01751, SCHMD01750, SCHMD01753, SCHMD08749, SCHMD05891, SCHMD13211, SCHMD02332, SCHMD02336, SCHMD11064, SCHMD14641, SCHMD02335, SCHMD01698, SCHMD23534, SCHMD15686, SCHMD10005, SCHMD20123
OG0000075	OFUSG26879.2.p1, OFUSG26879.1.p1	SCHMD10965
OG0000075	OFUSG06373.1.p1	SCHMD03704
OG0000075	OFUSG05709.1.p1	SCHMD21424
OG0000077	OFUSG19468.1.p1	SCHMD17571
OG0000077	OFUSG05894.1.p1	SCHMD10331, SCHMD20020
OG0000077	OFUSG05945.4.p1, OFUSG05945.3.p1, OFUSG05945.2.p1, OFUSG05945.1.p1	SCHMD23576
OG0000077	OFUSG04692.1.p1	SCHMD21560, SCHMD20774, SCHMD21636, SCHMD20499
OG0000077	OFUSG05776.1.p1, OFUSG24718.1.p1	SCHMD17078, SCHMD07689, SCHMD07695, SCHMD07696, SCHMD19383, SCHMD13911, SCHMD21639, SCHMD26936, SCHMD03670, SCHMD19917, SCHMD15537, SCHMD13624
OG0000077	OFUSG19471.1.p1, OFUSG19327.1.p1	SCHMD15208, SCHMD02698
OG0000077	OFUSG06337.1.p1	SCHMD27373
OG0000077	OFUSG24311.1.p1	SCHMD27493
OG0000078	OFUSG04718.1.p1	SCHMD04824, SCHMD04525
OG0000079	OFUSG21029.1.p1	SCHMD05256, SCHMD13292, SCHMD04383, SCHMD07952, SCHMD12114
OG0000079	OFUSG23598.1.p1, OFUSG13995.1.p1, OFUSG00197.1.p1, OFUSG00197.2.p1, OFUSG13998.1.p1, OFUSG10422.3.p1, OFUSG10422.2.p1, OFUSG10422.1.p1, OFUSG10422.4.p1	SCHMD16559, SCHMD24052, SCHMD18199
OG0000079	OFUSG19660.3.p1, OFUSG19660.2.p1, OFUSG19660.1.p1	SCHMD06941, SCHMD04736
OG0000082	OFUSG08036.1.p1	SCHMD03263, SCHMD10119
OG0000082	OFUSG21079.1.p1, OFUSG10604.1.p1	SCHMD03363
OG0000083	OFUSG01946.1.p1, OFUSG01948.1.p1, OFUSG15718.1.p1, OFUSG15670.1.p1, OFUSG02089.1.p1, OFUSG15713.1.p1, OFUSG15719.1.p1, OFUSG15669.1.p1, OFUSG22685.1.p1, OFUSG02135.1.p1, OFUSG02088.1.p1, OFUSG02066.1.p1, OFUSG15714.1.p1, OFUSG22686.1.p1, OFUSG22684.1.p1, OFUSG02760.1.p1, OFUSG14324.1.p1, OFUSG15219.1.p1, OFUSG03973.1.p1	SCHMD16633
OG0000084	OFUSG06238.1.p1, OFUSG06238.2.p1	SCHMD21815, SCHMD19883, SCHMD02823, SCHMD10292, SCHMD19762
OG0000084	OFUSG05733.1.p1, OFUSG06631.1.p1	SCHMD19821, SCHMD23941, SCHMD23870
OG0000084	OFUSG10414.1.p1, OFUSG10414.2.p1, OFUSG10414.3.p1, OFUSG10519.1.p1	SCHMD28183
OG0000084	OFUSG10110.1.p1, OFUSG10110.2.p1, OFUSG10016.2.p1, OFUSG10016.1.p1	SCHMD22494, SCHMD00101, SCHMD19528, SCHMD27116, SCHMD16538, SCHMD01409
OG0000084	OFUSG10734.1.p1	SCHMD21106
OG0000085	OFUSG17241.1.p1	SCHMD12837
OG0000085	OFUSG24119.1.p1	SCHMD12836
OG0000085	OFUSG04918.1.p1	SCHMD12466
OG0000085	OFUSG15502.1.p1	SCHMD18327
OG0000087	OFUSG13953.1.p1	SCHMD09399
OG0000087	OFUSG13949.1.p1	SCHMD09406
OG0000087	OFUSG13948.1.p1	SCHMD09409, SCHMD09408
OG0000087	OFUSG12025.1.p1	SCHMD25358
OG0000087	OFUSG16017.1.p1, OFUSG16017.2.p1	SCHMD05857
OG0000087	OFUSG16016.1.p1	SCHMD03393
OG0000087	OFUSG19306.1.p1, OFUSG19306.2.p1	SCHMD17003, SCHMD07336
OG0000087	OFUSG19309.2.p1, OFUSG19309.1.p1	SCHMD07337
OG0000090	OFUSG17930.1.p1	SCHMD15560
OG0000093	OFUSG05725.1.p1, OFUSG13508.1.p1, OFUSG03293.1.p1	SCHMD03688, SCHMD07490
OG0000093	OFUSG01070.1.p1	SCHMD11838
OG0000093	OFUSG03290.1.p1	SCHMD04238, SCHMD14744, SCHMD00352, SCHMD04239
OG0000093	OFUSG00610.1.p1	SCHMD02917
