Orthogroup	OWEFU	AENJA_ok
OG0000005	OFUSG15197.1.p1, OFUSG15195.1.p1	AENJA_12565
OG0000005	OFUSG16580.1.p1, OFUSG23825.1.p1, OFUSG23824.1.p1	AENJA_03582
OG0000005	OFUSG04131.1.p1, OFUSG08841.1.p1, OFUSG17326.1.p1, OFUSG20156.1.p1, OFUSG19966.1.p1, OFUSG09231.1.p1, OFUSG09655.1.p1	AENJA_24820
OG0000005	OFUSG26276.1.p1	AENJA_26322, AENJA_26127, AENJA_12569, AENJA_08345
OG0000005	OFUSG20119.1.p1, OFUSG08484.1.p1	AENJA_02291, AENJA_00056, AENJA_09464
OG0000006	OFUSG17934.3.p1, OFUSG17934.2.p1, OFUSG17934.1.p1	AENJA_22158
OG0000006	OFUSG02905.1.p1	AENJA_13126
OG0000006	OFUSG14509.1.p1	AENJA_02691
OG0000006	OFUSG25514.1.p1	AENJA_20911
OG0000006	OFUSG07929.1.p1	AENJA_07226
OG0000006	OFUSG05068.1.p1, OFUSG21700.1.p1, OFUSG21701.1.p1	AENJA_22522
OG0000006	OFUSG10782.1.p1	AENJA_09814
OG0000006	OFUSG09474.1.p1, OFUSG09474.2.p1	AENJA_00662
OG0000006	OFUSG21061.1.p1	AENJA_07549
OG0000006	OFUSG18090.1.p1	AENJA_15373
OG0000006	OFUSG18494.1.p1, OFUSG18494.2.p1	AENJA_18450
OG0000006	OFUSG11740.1.p1	AENJA_01590
OG0000006	OFUSG11532.2.p1, OFUSG11532.1.p1, OFUSG11532.3.p1	AENJA_09210
OG0000006	OFUSG11470.1.p1	AENJA_15474
OG0000007	OFUSG09476.1.p1	AENJA_18163
OG0000007	OFUSG21527.1.p1	AENJA_00810
OG0000007	OFUSG13716.1.p1	AENJA_25020
OG0000007	OFUSG23682.1.p1	AENJA_19234
OG0000007	OFUSG05364.1.p1	AENJA_18326
OG0000007	OFUSG04867.2.p1, OFUSG04867.1.p1	AENJA_06479, AENJA_16018
OG0000007	OFUSG04768.1.p1	AENJA_18328
OG0000007	OFUSG09682.1.p1, OFUSG09683.1.p1	AENJA_07512
OG0000007	OFUSG08948.1.p1	AENJA_11851
OG0000007	OFUSG10014.1.p1	AENJA_07359
OG0000007	OFUSG24641.1.p1	AENJA_15955
OG0000007	OFUSG25429.1.p1	AENJA_09687
OG0000007	OFUSG21828.2.p1, OFUSG21828.1.p1	AENJA_07358
OG0000007	OFUSG10613.1.p1	AENJA_22886
OG0000007	OFUSG23528.4.p1, OFUSG23528.1.p1, OFUSG23528.2.p1, OFUSG23528.3.p1	AENJA_16981
OG0000007	OFUSG25241.1.p1	AENJA_26507
OG0000008	OFUSG01560.1.p1	AENJA_15934, AENJA_26738
OG0000008	OFUSG14096.1.p1	AENJA_21419
OG0000008	OFUSG10082.1.p1	AENJA_24738, AENJA_04336, AENJA_08081, AENJA_21611, AENJA_18286, AENJA_19574, AENJA_03105
OG0000008	OFUSG15533.1.p1	AENJA_01158
OG0000008	OFUSG00781.1.p1, OFUSG00781.2.p1, OFUSG11535.1.p1, OFUSG02555.1.p1, OFUSG00311.1.p1, OFUSG02548.1.p1, OFUSG18114.1.p1, OFUSG03040.1.p1, OFUSG07904.1.p1, OFUSG03922.1.p1	AENJA_24404, AENJA_14450
OG0000008	OFUSG01705.1.p1, OFUSG01704.1.p1, OFUSG01067.1.p1	AENJA_00959
OG0000009	OFUSG23060.1.p1	AENJA_10638
OG0000009	OFUSG25126.1.p1	AENJA_13736, AENJA_17094
OG0000010	OFUSG05937.1.p1	AENJA_06639
OG0000010	OFUSG10415.1.p1, OFUSG10415.2.p1	AENJA_04234
OG0000012	OFUSG14153.2.p1, OFUSG14153.1.p1, OFUSG14153.3.p1	AENJA_21729, AENJA_07862, AENJA_07861, AENJA_02014
OG0000012	OFUSG12200.1.p1, OFUSG04333.1.p1, OFUSG15962.2.p1, OFUSG15962.1.p1, OFUSG16395.2.p1, OFUSG16395.1.p1, OFUSG16273.2.p1, OFUSG16273.1.p1, OFUSG16273.3.p1, OFUSG04682.1.p1, OFUSG22368.1.p1, OFUSG22367.1.p1, OFUSG22366.1.p1	AENJA_02869
OG0000013	OFUSG11222.1.p1, OFUSG06042.1.p1, OFUSG00249.1.p1, OFUSG06180.1.p1, OFUSG08166.1.p1, OFUSG15690.1.p1, OFUSG15877.1.p1, OFUSG07440.1.p1, OFUSG04377.1.p1, OFUSG04674.1.p1, OFUSG09984.1.p1, OFUSG22598.1.p1, OFUSG22594.1.p1, OFUSG22593.1.p1, OFUSG22595.1.p1, OFUSG22599.1.p1, OFUSG22597.1.p1, OFUSG22596.1.p1	AENJA_23415
OG0000014	OFUSG09895.2.p1, OFUSG09895.1.p1, OFUSG25487.1.p1, OFUSG16820.1.p1, OFUSG25374.2.p1, OFUSG25374.3.p1, OFUSG25374.1.p1, OFUSG26341.1.p1, OFUSG07532.1.p1, OFUSG25831.1.p1, OFUSG10758.1.p1, OFUSG23286.1.p1, OFUSG03351.1.p1, OFUSG22799.1.p1	AENJA_09518, AENJA_09012, AENJA_17358, AENJA_16625
OG0000014	OFUSG05464.1.p1, OFUSG05465.1.p1, OFUSG06729.1.p1, OFUSG06729.2.p1, OFUSG06620.1.p1, OFUSG05782.1.p1, OFUSG05806.1.p1, OFUSG25239.1.p1, OFUSG05463.1.p1, OFUSG06975.1.p1, OFUSG19549.1.p1, OFUSG05975.1.p1	AENJA_12276, AENJA_23299
OG0000014	OFUSG00805.1.p1	AENJA_25536
OG0000014	OFUSG25832.1.p1	AENJA_02819, AENJA_17724, AENJA_13039, AENJA_13036, AENJA_17723, AENJA_02820, AENJA_17722, AENJA_02818
OG0000015	OFUSG16912.1.p1	AENJA_18555, AENJA_02651, AENJA_19635
OG0000015	OFUSG02213.1.p1, OFUSG02213.2.p1, OFUSG03120.2.p1, OFUSG03120.3.p1, OFUSG03120.1.p1	AENJA_18653
OG0000015	OFUSG17779.2.p1, OFUSG17779.1.p1, OFUSG02838.1.p1	AENJA_17614
OG0000015	OFUSG03112.2.p1, OFUSG03112.1.p1, OFUSG03112.5.p1, OFUSG03112.4.p1, OFUSG03112.3.p1, OFUSG03383.1.p1, OFUSG21185.4.p1, OFUSG21185.2.p1, OFUSG21185.3.p1, OFUSG21185.5.p1, OFUSG21185.1.p1, OFUSG13739.4.p1, OFUSG13739.2.p1, OFUSG13739.1.p1, OFUSG13739.3.p1, OFUSG13739.5.p1, OFUSG20919.1.p1, OFUSG20919.2.p1, OFUSG20920.1.p1, OFUSG20920.4.p1, OFUSG20920.3.p1, OFUSG20920.2.p1, OFUSG02048.2.p1, OFUSG02048.1.p1, OFUSG03297.1.p1	AENJA_19630
OG0000015	OFUSG21186.1.p1	AENJA_02597
OG0000016	OFUSG16773.1.p1	AENJA_04784, AENJA_04814, AENJA_14549, AENJA_07664
OG0000016	OFUSG10402.1.p1	AENJA_11513
OG0000016	OFUSG06388.1.p1, OFUSG18492.1.p1	AENJA_26671, AENJA_26677
OG0000016	OFUSG13895.1.p1	AENJA_21813, AENJA_16651
OG0000016	OFUSG11848.1.p1	AENJA_02781
OG0000016	OFUSG14920.1.p1, OFUSG23914.1.p1	AENJA_03281, AENJA_03282, AENJA_18791, AENJA_08816, AENJA_02864
OG0000018	OFUSG02956.1.p1	AENJA_26707, AENJA_02019, AENJA_10850, AENJA_17832, AENJA_06089, AENJA_04764, AENJA_25702, AENJA_25620, AENJA_26224, AENJA_03350, AENJA_17081
OG0000018	OFUSG14111.1.p3	AENJA_03018, AENJA_12247
OG0000019	OFUSG04719.1.p1, OFUSG12907.1.p1, OFUSG10398.1.p1, OFUSG21257.1.p1, OFUSG19550.1.p1, OFUSG19551.1.p1, OFUSG19552.1.p1, OFUSG16793.1.p1, OFUSG10455.1.p1	AENJA_17710
OG0000019	OFUSG14039.1.p1, OFUSG23776.1.p1	AENJA_03417, AENJA_02272, AENJA_02277
OG0000019	OFUSG08823.1.p1	AENJA_02275, AENJA_02276, AENJA_10509, AENJA_19272
OG0000019	OFUSG04421.1.p1, OFUSG13833.1.p1, OFUSG25829.1.p1, OFUSG14065.1.p1, OFUSG25830.1.p1, OFUSG14040.1.p1	AENJA_02273
OG0000019	OFUSG11853.1.p1, OFUSG11853.3.p1, OFUSG11853.2.p1	AENJA_24818, AENJA_20016
OG0000019	OFUSG19407.1.p1, OFUSG06826.1.p1	AENJA_14332, AENJA_12746, AENJA_14337, AENJA_14334, AENJA_14338
OG0000019	OFUSG17410.2.p1, OFUSG17410.1.p1, OFUSG19531.1.p1, OFUSG18124.1.p1, OFUSG15190.1.p1, OFUSG15188.1.p1	AENJA_14331
OG0000020	OFUSG13197.1.p1	AENJA_06180, AENJA_02090
OG0000020	OFUSG19131.1.p1	AENJA_21688, AENJA_05309
OG0000020	OFUSG13406.1.p1	AENJA_16747, AENJA_14074, AENJA_08287, AENJA_18052, AENJA_23718, AENJA_02408
OG0000020	OFUSG14744.1.p1	AENJA_15954
OG0000021	OFUSG18643.1.p1	AENJA_14639
OG0000021	OFUSG26914.2.p1, OFUSG26914.3.p1, OFUSG26914.1.p1	AENJA_16593
OG0000021	OFUSG24230.1.p1, OFUSG15132.1.p1, OFUSG15132.2.p1	AENJA_24950
OG0000021	OFUSG03542.1.p1, OFUSG03403.1.p1, OFUSG03403.2.p1, OFUSG16515.1.p1, OFUSG16515.2.p1, OFUSG16222.2.p1, OFUSG16222.1.p1, OFUSG13726.2.p1, OFUSG13726.1.p1, OFUSG22547.2.p1, OFUSG22547.1.p1	AENJA_25124
OG0000021	OFUSG19689.1.p1, OFUSG09303.1.p1, OFUSG14494.2.p1, OFUSG14494.1.p1, OFUSG26703.1.p1, OFUSG06096.1.p1, OFUSG07156.1.p1	AENJA_24226, AENJA_26459, AENJA_15672, AENJA_17125, AENJA_13315, AENJA_06809, AENJA_17731, AENJA_05163, AENJA_10523, AENJA_13306, AENJA_20227
OG0000021	OFUSG25558.2.p1, OFUSG25558.1.p1, OFUSG03208.1.p1, OFUSG03209.1.p1, OFUSG03193.1.p1, OFUSG03185.1.p1, OFUSG03188.1.p1	AENJA_01732, AENJA_19095, AENJA_24409, AENJA_17711
OG0000023	OFUSG06069.1.p1	AENJA_06341
OG0000023	OFUSG15304.2.p1, OFUSG15304.1.p1, OFUSG15456.2.p1, OFUSG15456.1.p1	AENJA_11919, AENJA_06566, AENJA_06565, AENJA_12125, AENJA_11618, AENJA_11620, AENJA_11621, AENJA_22520, AENJA_19106, AENJA_11920
OG0000023	OFUSG14875.1.p1, OFUSG15289.1.p1, OFUSG15289.2.p1	AENJA_26230, AENJA_07520, AENJA_17438, AENJA_19908, AENJA_19909
OG0000023	OFUSG11068.1.p1, OFUSG06762.1.p1, OFUSG02690.3.p1, OFUSG02690.2.p1, OFUSG02690.1.p1, OFUSG10023.2.p1, OFUSG10023.1.p1, OFUSG10022.3.p1, OFUSG10022.4.p1, OFUSG10022.1.p1, OFUSG10022.2.p1, OFUSG13724.2.p1, OFUSG13724.1.p1	AENJA_17571
OG0000026	OFUSG24983.1.p1, OFUSG24982.1.p1, OFUSG22806.1.p1, OFUSG15814.1.p1, OFUSG04509.1.p1, OFUSG25030.1.p1, OFUSG08716.1.p1, OFUSG23811.1.p1, OFUSG07410.1.p1, OFUSG07411.1.p1, OFUSG02117.1.p1, OFUSG04992.1.p1, OFUSG04993.1.p1, OFUSG22113.1.p1, OFUSG23954.1.p1, OFUSG23953.1.p1, OFUSG15116.1.p1, OFUSG02635.1.p1, OFUSG07188.1.p1, OFUSG14518.1.p1, OFUSG06741.1.p1, OFUSG04994.1.p1, OFUSG10925.1.p1	AENJA_09725, AENJA_09726, AENJA_07548
OG0000026	OFUSG26427.1.p1	AENJA_21657
OG0000026	OFUSG00817.1.p1	AENJA_12006, AENJA_16045, AENJA_18652, AENJA_16032, AENJA_17356, AENJA_20833, AENJA_17360, AENJA_18651
OG0000026	OFUSG24229.1.p1	AENJA_10129
OG0000028	OFUSG08406.1.p1, OFUSG07639.1.p1	AENJA_03335, AENJA_05182, AENJA_05184, AENJA_05181
OG0000028	OFUSG21057.1.p1, OFUSG21057.2.p1	AENJA_21123, AENJA_04861, AENJA_01184
OG0000028	OFUSG05527.1.p1, OFUSG03389.1.p1	AENJA_02610, AENJA_09622
OG0000028	OFUSG09732.1.p1, OFUSG14981.3.p1, OFUSG14981.2.p1, OFUSG14981.1.p1, OFUSG09734.1.p1, OFUSG08335.1.p1, OFUSG09733.1.p1, OFUSG09733.2.p1	AENJA_02274
OG0000028	OFUSG16442.1.p1, OFUSG16442.2.p1	AENJA_19954
OG0000029	OFUSG25151.1.p1, OFUSG10698.1.p1, OFUSG20711.1.p1	AENJA_10650
OG0000029	OFUSG21155.1.p1	AENJA_26395
OG0000029	OFUSG15790.1.p1, OFUSG00743.1.p1, OFUSG20635.1.p1, OFUSG20634.1.p1, OFUSG14781.1.p1, OFUSG14779.1.p1, OFUSG14780.1.p1, OFUSG14783.1.p1, OFUSG20636.1.p1, OFUSG20271.1.p1, OFUSG26756.1.p1, OFUSG04638.1.p1, OFUSG03243.1.p1, OFUSG11383.1.p1, OFUSG19505.1.p1, OFUSG16898.2.p1, OFUSG16898.1.p1	AENJA_05280
OG0000030	OFUSG04213.1.p1	AENJA_17283
OG0000030	OFUSG21119.1.p1	AENJA_12274
OG0000030	OFUSG17928.1.p1	AENJA_21030
OG0000031	OFUSG03902.1.p1, OFUSG03902.2.p1	AENJA_09856
OG0000031	OFUSG16479.2.p1, OFUSG16479.1.p1	AENJA_09858
OG0000031	OFUSG03938.1.p1	AENJA_20966
OG0000031	OFUSG09754.1.p1	AENJA_08759
OG0000031	OFUSG12627.1.p1	AENJA_10722
OG0000031	OFUSG02210.1.p1	AENJA_05740
OG0000031	OFUSG17671.1.p1	AENJA_14258, AENJA_15917, AENJA_14260
OG0000031	OFUSG16797.1.p1	AENJA_15028
OG0000032	OFUSG07861.1.p1	AENJA_06514
OG0000032	OFUSG18519.1.p1, OFUSG17008.1.p1, OFUSG09556.1.p1, OFUSG07282.1.p1, OFUSG25694.1.p1, OFUSG01271.1.p1, OFUSG01272.1.p1, OFUSG09756.1.p1, OFUSG20192.1.p1	AENJA_15445, AENJA_10949, AENJA_16462, AENJA_19113, AENJA_19112, AENJA_01972, AENJA_01667, AENJA_01332
OG0000032	OFUSG26521.2.p1, OFUSG26521.1.p1	AENJA_12718, AENJA_12280, AENJA_12491
OG0000032	OFUSG17627.1.p1, OFUSG17627.2.p1, OFUSG17268.1.p1	AENJA_12283
OG0000034	OFUSG15530.3.p1, OFUSG15530.1.p1, OFUSG15530.2.p1	AENJA_21749
OG0000034	OFUSG01833.2.p1, OFUSG01833.1.p1	AENJA_02791
OG0000034	OFUSG08780.1.p1	AENJA_23686
OG0000034	OFUSG00313.1.p1	AENJA_13785
OG0000034	OFUSG08088.1.p1	AENJA_24919
OG0000034	OFUSG09735.1.p1	AENJA_16616
OG0000035	OFUSG16461.1.p1	AENJA_01174
OG0000035	OFUSG07703.1.p1	AENJA_26793
OG0000035	OFUSG09470.1.p1	AENJA_22033
OG0000035	OFUSG07007.1.p1, OFUSG07007.2.p1	AENJA_08825
OG0000035	OFUSG07851.1.p1	AENJA_12732
OG0000035	OFUSG25460.1.p1, OFUSG07717.1.p1	AENJA_12364, AENJA_26037
OG0000035	OFUSG07099.1.p1, OFUSG07288.1.p1, OFUSG07098.1.p1	AENJA_21682, AENJA_21683
OG0000035	OFUSG09471.1.p1	AENJA_26795, AENJA_18623, AENJA_14012
OG0000036	OFUSG20712.1.p1, OFUSG08497.1.p1, OFUSG08495.1.p1	AENJA_22120, AENJA_22191, AENJA_22190
OG0000036	OFUSG16630.1.p1, OFUSG16630.2.p1, OFUSG14389.1.p1, OFUSG16691.1.p1	AENJA_26206, AENJA_19267, AENJA_16633, AENJA_06167, AENJA_03477, AENJA_19964, AENJA_15639, AENJA_09986, AENJA_15638, AENJA_15641, AENJA_15644
OG0000036	OFUSG05272.1.p1	AENJA_21299, AENJA_21302, AENJA_21301
OG0000037	OFUSG11734.1.p1, OFUSG11735.1.p1, OFUSG11736.1.p1, OFUSG25144.1.p1	AENJA_20944
OG0000037	OFUSG11664.2.p1, OFUSG11664.3.p1, OFUSG11664.1.p1	AENJA_05483, AENJA_06274
OG0000037	OFUSG24232.1.p1, OFUSG22475.1.p1	AENJA_06403, AENJA_22611, AENJA_22610
OG0000038	OFUSG07063.1.p1, OFUSG04821.1.p1, OFUSG19292.1.p1	AENJA_09925
OG0000038	OFUSG03339.1.p1	AENJA_05691
OG0000038	OFUSG04771.1.p1	AENJA_26313
OG0000038	OFUSG03340.1.p1	AENJA_09724
OG0000039	OFUSG19834.1.p1, OFUSG26646.1.p1	AENJA_12474, AENJA_05354
OG0000039	OFUSG05314.1.p1	AENJA_20870
OG0000039	OFUSG04852.1.p1, OFUSG04321.1.p1	AENJA_26803, AENJA_05351
OG0000039	OFUSG21070.1.p1, OFUSG21072.1.p1, OFUSG21071.1.p1, OFUSG07209.1.p1	AENJA_26786
OG0000039	OFUSG11857.1.p1	AENJA_20163
OG0000039	OFUSG09877.1.p1, OFUSG09877.2.p1, OFUSG09879.1.p1, OFUSG09879.3.p1	AENJA_07277
OG0000040	OFUSG17305.1.p1	AENJA_23333
OG0000041	OFUSG15030.1.p1	AENJA_08471
OG0000041	OFUSG07896.1.p1	AENJA_24560
OG0000041	OFUSG21324.4.p1, OFUSG21324.2.p1, OFUSG21324.1.p1, OFUSG21324.3.p1	AENJA_03404, AENJA_03405
OG0000043	OFUSG12022.1.p1	AENJA_11260, AENJA_12781, AENJA_18038, AENJA_19392
OG0000044	OFUSG03166.1.p1	AENJA_26664
OG0000044	OFUSG11434.1.p1, OFUSG13798.1.p1, OFUSG12158.2.p1, OFUSG12158.1.p1	AENJA_06141
OG0000045	OFUSG07526.1.p1	AENJA_24300
OG0000045	OFUSG07524.1.p1, OFUSG00566.1.p1, OFUSG00564.1.p1, OFUSG00563.1.p1, OFUSG00567.1.p1	AENJA_10338, AENJA_06988, AENJA_18923, AENJA_18166, AENJA_08775, AENJA_24135, AENJA_24507, AENJA_18165, AENJA_24504, AENJA_24136, AENJA_24130
OG0000045	OFUSG21045.1.p1, OFUSG07523.1.p1	AENJA_20791
OG0000046	OFUSG14160.1.p1	AENJA_09090, AENJA_10596, AENJA_20156, AENJA_21759
OG0000046	OFUSG08597.1.p1, OFUSG08595.1.p1	AENJA_13407, AENJA_01687
OG0000046	OFUSG25817.1.p1, OFUSG06162.1.p1	AENJA_01592
OG0000046	OFUSG17068.1.p1	AENJA_15828
OG0000048	OFUSG15705.1.p1	AENJA_11619
OG0000048	OFUSG19541.1.p1	AENJA_23226
OG0000048	OFUSG11584.1.p1	AENJA_21270, AENJA_21713
OG0000048	OFUSG11587.1.p1	AENJA_09360
OG0000048	OFUSG11562.2.p1, OFUSG11562.1.p1	AENJA_16735
OG0000048	OFUSG04756.1.p1	AENJA_25506
OG0000049	OFUSG00390.1.p1	AENJA_20702
OG0000049	OFUSG06038.1.p1	AENJA_25756
OG0000049	OFUSG14032.1.p1	AENJA_17800
OG0000049	OFUSG10735.1.p1, OFUSG14837.1.p1, OFUSG06810.1.p1, OFUSG18275.1.p1, OFUSG20360.1.p1, OFUSG20359.1.p1, OFUSG20362.1.p1, OFUSG14327.1.p1, OFUSG01468.1.p1, OFUSG04791.1.p1, OFUSG24665.1.p1, OFUSG04926.1.p1, OFUSG10567.1.p1	AENJA_24984, AENJA_12834, AENJA_18082
OG0000049	OFUSG21750.1.p1, OFUSG17729.1.p1, OFUSG17727.1.p1, OFUSG17730.1.p1, OFUSG19421.1.p1, OFUSG19423.1.p1, OFUSG19424.1.p1	AENJA_02953, AENJA_07586
OG0000049	OFUSG19056.1.p1, OFUSG22443.1.p1	AENJA_17680
OG0000050	OFUSG14496.1.p1	AENJA_04055, AENJA_09800, AENJA_19193
OG0000050	OFUSG09384.1.p1	AENJA_09597, AENJA_17561
OG0000050	OFUSG00506.1.p1	AENJA_14035
OG0000051	OFUSG17623.1.p1, OFUSG24736.1.p1	AENJA_18491, AENJA_12662
OG0000053	OFUSG05561.1.p1	AENJA_04227, AENJA_07517
OG0000053	OFUSG08626.1.p1	AENJA_19076
OG0000054	OFUSG09960.1.p1, OFUSG09960.2.p1, OFUSG09960.4.p1, OFUSG09960.5.p1, OFUSG09960.3.p1	AENJA_06676, AENJA_23371
OG0000055	OFUSG10859.2.p1, OFUSG10859.1.p1	AENJA_19390, AENJA_19388, AENJA_19387
OG0000056	OFUSG00150.1.p1	AENJA_07746, AENJA_20577, AENJA_26131
OG0000056	OFUSG17281.1.p1	AENJA_20268
OG0000056	OFUSG00880.1.p1, OFUSG00880.2.p1	AENJA_05228
OG0000056	OFUSG00149.1.p1	AENJA_20631
OG0000056	OFUSG00148.1.p1	AENJA_19769, AENJA_19772, AENJA_25728, AENJA_23915, AENJA_20579, AENJA_01631, AENJA_03114
OG0000057	OFUSG18495.1.p1	AENJA_16752, AENJA_23652
OG0000057	OFUSG08808.1.p1	AENJA_23993
OG0000057	OFUSG16420.2.p1, OFUSG16420.3.p1, OFUSG16419.2.p1, OFUSG16420.1.p1, OFUSG16419.1.p1, OFUSG16418.1.p1	AENJA_17618, AENJA_26136, AENJA_26132, AENJA_08684, AENJA_22887, AENJA_05276, AENJA_22882, AENJA_00547, AENJA_00284, AENJA_08678, AENJA_20325, AENJA_14624, AENJA_22206, AENJA_08076, AENJA_04680, AENJA_04677
OG0000057	OFUSG02050.1.p1, OFUSG18016.1.p1, OFUSG01943.1.p1, OFUSG22981.1.p1, OFUSG23264.1.p1, OFUSG15744.1.p1, OFUSG15744.2.p1, OFUSG15743.1.p1, OFUSG15746.1.p1, OFUSG15746.2.p1, OFUSG15747.1.p1, OFUSG12096.1.p1, OFUSG12095.1.p1, OFUSG17581.1.p1	AENJA_11025
OG0000057	OFUSG08336.1.p1	AENJA_15044, AENJA_21589, AENJA_13773
OG0000058	OFUSG06504.1.p1	AENJA_23345
OG0000058	OFUSG18325.1.p1	AENJA_12354
OG0000058	OFUSG07699.1.p1	AENJA_14024
OG0000058	OFUSG25338.1.p1	AENJA_10634
OG0000059	OFUSG03529.1.p1, OFUSG03529.2.p1	AENJA_17651
OG0000059	OFUSG05392.2.p1, OFUSG05392.1.p1	AENJA_11199, AENJA_02561, AENJA_02562
OG0000060	OFUSG14955.1.p1, OFUSG23392.1.p1	AENJA_17233
OG0000060	OFUSG21371.2.p1, OFUSG21371.1.p1	AENJA_19748
OG0000061	OFUSG24472.3.p1, OFUSG24472.1.p1, OFUSG24472.2.p1, OFUSG16519.1.p1, OFUSG16362.1.p1, OFUSG16362.3.p1, OFUSG16362.2.p1	AENJA_07301
OG0000061	OFUSG04221.4.p1, OFUSG04221.3.p1, OFUSG04221.1.p1, OFUSG04221.2.p1	AENJA_07183
OG0000061	OFUSG16682.2.p1, OFUSG16682.1.p1	AENJA_26614, AENJA_08766
OG0000061	OFUSG04054.2.p1, OFUSG04054.1.p1, OFUSG04054.3.p1	AENJA_06999
OG0000061	OFUSG16363.1.p1, OFUSG16363.2.p1	AENJA_07304
OG0000062	OFUSG20078.1.p1, OFUSG20078.2.p1	AENJA_00352, AENJA_09642, AENJA_22683
OG0000062	OFUSG20834.1.p1, OFUSG20834.2.p1, OFUSG05008.1.p1	AENJA_08106, AENJA_05257, AENJA_04997, AENJA_21915, AENJA_04995
OG0000063	OFUSG17109.2.p1, OFUSG17109.1.p1	AENJA_20321
OG0000063	OFUSG05823.2.p1, OFUSG05823.1.p1	AENJA_03789
OG0000063	OFUSG01195.1.p1, OFUSG20081.1.p1, OFUSG22244.1.p1, OFUSG01196.1.p1, OFUSG17598.1.p1, OFUSG17396.1.p1, OFUSG23292.1.p1	AENJA_04323
