Orthogroup	OWEFU	DANRE
OG0000002	OFUSG12055.1.p1	DANRE16673
OG0000002	OFUSG09076.1.p1	DANRE28829, DANRE28823, DANRE28819, DANRE28822, DANRE28825, DANRE28824, DANRE28826, DANRE28828, DANRE28827, DANRE17907, DANRE17906, DANRE17905, DANRE17904, DANRE17908, DANRE23589, DANRE23588, DANRE17903, DANRE17912, DANRE17913, DANRE17914, DANRE17918, DANRE17917, DANRE17916, DANRE17915, DANRE17919
OG0000002	OFUSG22946.2.p1	DANRE28739
OG0000003	OFUSG12884.1.p1	DANRE05700
OG0000004	OFUSG14165.1.p1	DANRE02933
OG0000004	OFUSG26229.2.p1, OFUSG18850.1.p1, OFUSG20734.1.p1	DANRE31040
OG0000004	OFUSG24712.2.p1, OFUSG24712.1.p1, OFUSG20755.1.p1, OFUSG20753.1.p1, OFUSG20754.1.p1, OFUSG14752.1.p1	DANRE41389, DANRE41390
OG0000005	OFUSG24728.1.p1, OFUSG03693.1.p1	DANRE20576, DANRE20588, DANRE20587, DANRE20586
OG0000005	OFUSG01432.2.p1, OFUSG01432.1.p1, OFUSG01434.1.p1, OFUSG01434.2.p1, OFUSG22435.1.p1, OFUSG07985.1.p1, OFUSG00507.1.p1, OFUSG04765.1.p1, OFUSG01152.1.p1, OFUSG04763.1.p1, OFUSG04764.1.p1, OFUSG17307.1.p1, OFUSG01079.1.p1, OFUSG20722.1.p1, OFUSG20723.1.p1, OFUSG20721.1.p1, OFUSG03976.2.p1, OFUSG03976.3.p1, OFUSG03976.1.p1, OFUSG20962.1.p1, OFUSG26395.1.p1, OFUSG26404.1.p1, OFUSG17086.1.p1, OFUSG23479.1.p1, OFUSG23482.2.p1, OFUSG23482.1.p1	DANRE18161
OG0000005	OFUSG20119.1.p1, OFUSG08484.1.p1	DANRE11160
OG0000006	OFUSG17934.3.p1, OFUSG17934.2.p1, OFUSG17934.1.p1	DANRE40167, DANRE35529, DANRE26614, DANRE26613
OG0000006	OFUSG02905.1.p1	DANRE15761, DANRE06496, DANRE06495, DANRE06497, DANRE08940
OG0000006	OFUSG14509.1.p1	DANRE07561, DANRE07562, DANRE42479, DANRE42480, DANRE07564
OG0000006	OFUSG25514.1.p1	DANRE18291, DANRE26970, DANRE26971, DANRE18292
OG0000006	OFUSG14428.1.p1	DANRE20396, DANRE24336
OG0000006	OFUSG07929.1.p1	DANRE40393, DANRE12604, DANRE38227, DANRE13192, DANRE13191
OG0000006	OFUSG05068.1.p1, OFUSG21700.1.p1, OFUSG21701.1.p1	DANRE11213, DANRE11212, DANRE11601
OG0000006	OFUSG10782.1.p1	DANRE30064, DANRE15483
OG0000006	OFUSG09474.1.p1, OFUSG09474.2.p1	DANRE19266, DANRE19265, DANRE34833, DANRE34834
OG0000006	OFUSG21061.1.p1, OFUSG18090.1.p1	DANRE05395
OG0000006	OFUSG08659.1.p1	DANRE20981, DANRE28318, DANRE19321
OG0000006	OFUSG18494.1.p1, OFUSG18494.2.p1	DANRE07087, DANRE07088, DANRE04631, DANRE04632, DANRE20580
OG0000006	OFUSG11740.1.p1	DANRE11156, DANRE11155
OG0000006	OFUSG11532.2.p1, OFUSG11532.1.p1, OFUSG11532.3.p1	DANRE34403, DANRE08961, DANRE11849, DANRE11850, DANRE16704, DANRE11329
OG0000006	OFUSG11470.1.p1	DANRE04654, DANRE04655
OG0000007	OFUSG09476.1.p1	DANRE38320, DANRE26009, DANRE40798, DANRE40799
OG0000007	OFUSG21527.1.p1	DANRE07019, DANRE07017, DANRE07018, DANRE13390, DANRE11787, DANRE11788, DANRE10909, DANRE10908
OG0000007	OFUSG13716.1.p1	DANRE40583, DANRE36378, DANRE29354, DANRE34325, DANRE40143
OG0000007	OFUSG23682.1.p1	DANRE23214, DANRE28394, DANRE07751, DANRE07750
OG0000007	OFUSG05364.1.p1	DANRE12664
OG0000007	OFUSG04867.2.p1, OFUSG04867.1.p1	DANRE03447
OG0000007	OFUSG23111.1.p1	DANRE26278, DANRE26279, DANRE17980, DANRE17979
OG0000007	OFUSG04768.1.p1	DANRE26277, DANRE17981, DANRE12992, DANRE12991
OG0000007	OFUSG08948.1.p1	DANRE21702
OG0000007	OFUSG10014.1.p1	DANRE03039
OG0000007	OFUSG25429.1.p1	DANRE08320, DANRE33659
OG0000007	OFUSG21828.2.p1, OFUSG21828.1.p1	DANRE06830, DANRE11124, DANRE11125, DANRE11123, DANRE17691, DANRE17692, DANRE03760, DANRE05908
OG0000007	OFUSG10613.1.p1	DANRE30495, DANRE03657, DANRE03658
OG0000007	OFUSG23528.4.p1, OFUSG23528.1.p1, OFUSG23528.2.p1, OFUSG23528.3.p1	DANRE02453, DANRE09326, DANRE09325
OG0000007	OFUSG25241.1.p1	DANRE11519, DANRE13255, DANRE02905, DANRE04393
OG0000008	OFUSG01560.1.p1	DANRE27059, DANRE36385, DANRE36384, DANRE36386, DANRE36383
OG0000008	OFUSG00781.1.p1, OFUSG00781.2.p1, OFUSG11535.1.p1, OFUSG02555.1.p1, OFUSG00311.1.p1, OFUSG02548.1.p1, OFUSG18114.1.p1, OFUSG03040.1.p1, OFUSG07904.1.p1, OFUSG03922.1.p1	DANRE34310, DANRE39865
OG0000008	OFUSG01705.1.p1, OFUSG01704.1.p1, OFUSG01067.1.p1	DANRE15160, DANRE15161, DANRE09428, DANRE27450, DANRE27451, DANRE27453, DANRE27452
OG0000008	OFUSG05918.1.p1	DANRE36653, DANRE31436, DANRE25708, DANRE25705, DANRE25707, DANRE25706
OG0000008	OFUSG01483.1.p1, OFUSG11572.1.p1	DANRE15525
OG0000008	OFUSG08842.1.p1, OFUSG26620.1.p1, OFUSG13268.1.p1	DANRE18586
OG0000010	OFUSG26732.1.p1, OFUSG03629.1.p1, OFUSG16394.1.p1, OFUSG18342.1.p1, OFUSG21206.1.p1, OFUSG23433.1.p1	DANRE38562, DANRE38564, DANRE38563, DANRE08709, DANRE08676, DANRE08677, DANRE08708
OG0000010	OFUSG09248.1.p1	DANRE28016, DANRE28015, DANRE28014, DANRE30968
OG0000010	OFUSG10271.1.p1	DANRE25470
OG0000010	OFUSG09897.1.p1, OFUSG08323.1.p1, OFUSG09247.1.p1	DANRE34456, DANRE07824, DANRE29658, DANRE03180, DANRE03179, DANRE29163, DANRE29161, DANRE29162, DANRE03165, DANRE25582, DANRE36540, DANRE36542, DANRE36541
OG0000012	OFUSG14153.2.p1, OFUSG14153.1.p1, OFUSG14153.3.p1	DANRE38177, DANRE38176
OG0000012	OFUSG12200.1.p1, OFUSG04333.1.p1, OFUSG15962.2.p1, OFUSG15962.1.p1, OFUSG16395.2.p1, OFUSG16395.1.p1, OFUSG16273.2.p1, OFUSG16273.1.p1, OFUSG16273.3.p1, OFUSG04682.1.p1, OFUSG22368.1.p1, OFUSG22367.1.p1, OFUSG22366.1.p1	DANRE12655, DANRE12656, DANRE12659
OG0000013	OFUSG01707.1.p1, OFUSG01708.1.p1, OFUSG22026.1.p1, OFUSG22025.1.p1, OFUSG17332.1.p1, OFUSG12573.1.p1, OFUSG09407.1.p1, OFUSG09404.1.p1, OFUSG09402.1.p1, OFUSG09408.1.p1, OFUSG09406.1.p1, OFUSG09400.1.p1, OFUSG19545.1.p1, OFUSG21789.1.p1, OFUSG21797.1.p1, OFUSG21790.1.p1, OFUSG21798.1.p1, OFUSG19408.1.p1	DANRE02564, DANRE02565, DANRE02567, DANRE02566, DANRE02563, DANRE02568, DANRE41664, DANRE41663, DANRE41661, DANRE41662, DANRE41659, DANRE41658, DANRE41657, DANRE35359, DANRE35361, DANRE35360, DANRE35367, DANRE35365, DANRE35366, DANRE35364, DANRE33461, DANRE33468, DANRE33462, DANRE33466, DANRE33467, DANRE33465, DANRE33464, DANRE33463, DANRE24713, DANRE39935, DANRE39936, DANRE00714, DANRE37989, DANRE12210, DANRE15499, DANRE15493, DANRE15492, DANRE15491, DANRE15498, DANRE15497, DANRE15495, DANRE15494, DANRE25903, DANRE25904, DANRE25905, DANRE13233, DANRE13234, DANRE13231, DANRE13232, DANRE13235, DANRE00838
OG0000014	OFUSG09895.2.p1, OFUSG09895.1.p1, OFUSG25487.1.p1, OFUSG16820.1.p1, OFUSG25374.2.p1, OFUSG25374.3.p1, OFUSG25374.1.p1, OFUSG26341.1.p1, OFUSG07532.1.p1, OFUSG25831.1.p1, OFUSG10758.1.p1, OFUSG23286.1.p1, OFUSG03351.1.p1, OFUSG22799.1.p1	DANRE37898, DANRE35206, DANRE12526, DANRE12528, DANRE12527, DANRE40509, DANRE36844, DANRE43146, DANRE22544, DANRE03629, DANRE29858, DANRE04027, DANRE04029, DANRE04028, DANRE30100, DANRE03816, DANRE11299, DANRE03520, DANRE40391
OG0000014	OFUSG00805.1.p1	DANRE17251, DANRE43403
OG0000015	OFUSG02249.1.p1	DANRE15829, DANRE07077
OG0000015	OFUSG03121.2.p1, OFUSG03121.1.p1	DANRE11101, DANRE11100, DANRE17308, DANRE17307, DANRE17306, DANRE17304, DANRE17305, DANRE12114, DANRE24410, DANRE01122, DANRE24409
OG0000015	OFUSG02213.1.p1, OFUSG02213.2.p1, OFUSG03120.2.p1, OFUSG03120.3.p1, OFUSG03120.1.p1	DANRE20436, DANRE20437, DANRE20438, DANRE04834, DANRE04833, DANRE36515, DANRE06150, DANRE04832, DANRE04831, DANRE20439, DANRE20441, DANRE20440, DANRE20520, DANRE36517, DANRE36516, DANRE06608, DANRE06609, DANRE06176, DANRE20442
OG0000015	OFUSG17779.2.p1, OFUSG17779.1.p1, OFUSG02838.1.p1, OFUSG03112.2.p1, OFUSG03112.1.p1, OFUSG03112.5.p1, OFUSG03112.4.p1, OFUSG03112.3.p1, OFUSG03383.1.p1, OFUSG21185.4.p1, OFUSG21185.2.p1, OFUSG21185.3.p1, OFUSG21185.5.p1, OFUSG21185.1.p1, OFUSG13739.4.p1, OFUSG13739.2.p1, OFUSG13739.1.p1, OFUSG13739.3.p1, OFUSG13739.5.p1, OFUSG20919.1.p1, OFUSG20919.2.p1, OFUSG20920.1.p1, OFUSG20920.4.p1, OFUSG20920.3.p1, OFUSG20920.2.p1, OFUSG02048.2.p1, OFUSG02048.1.p1, OFUSG03297.1.p1	DANRE42903, DANRE42902, DANRE07145, DANRE07146, DANRE07144, DANRE33766, DANRE16271, DANRE06691, DANRE06693, DANRE06694, DANRE06695, DANRE06692
OG0000016	OFUSG16773.1.p1	DANRE38616, DANRE06628, DANRE06627, DANRE13366
OG0000016	OFUSG10402.1.p1	DANRE29900, DANRE29901, DANRE29903, DANRE29904, DANRE35774, DANRE03065, DANRE03064
OG0000016	OFUSG06386.1.p1, OFUSG05926.1.p1, OFUSG14053.2.p1, OFUSG14053.1.p1, OFUSG15777.1.p1	DANRE04448
OG0000016	OFUSG06388.1.p1, OFUSG18492.1.p1	DANRE35611
OG0000016	OFUSG11848.1.p1	DANRE02012
OG0000016	OFUSG06227.1.p1	DANRE13447
OG0000016	OFUSG14920.1.p1, OFUSG23914.1.p1	DANRE31212, DANRE31213, DANRE31211, DANRE25754, DANRE13449, DANRE13448, DANRE25751, DANRE25753
OG0000018	OFUSG14111.1.p3	DANRE13954, DANRE13946
OG0000019	OFUSG14039.1.p1, OFUSG23776.1.p1	DANRE41681
OG0000019	OFUSG11853.1.p1, OFUSG11853.3.p1, OFUSG11853.2.p1	DANRE39715, DANRE24632, DANRE24631, DANRE21113, DANRE21112, DANRE29948, DANRE29945, DANRE29947, DANRE41684, DANRE41682, DANRE41683, DANRE35868, DANRE35867, DANRE35869
OG0000020	OFUSG17234.1.p1	DANRE03458
OG0000020	OFUSG19131.1.p1	DANRE10827, DANRE10826, DANRE10743
OG0000020	OFUSG11418.1.p1, OFUSG09345.1.p1	DANRE06739
OG0000020	OFUSG13406.1.p1	DANRE14742, DANRE09733, DANRE18650, DANRE10748, DANRE23011, DANRE42755, DANRE24424, DANRE24423, DANRE27995, DANRE27624, DANRE27625
OG0000020	OFUSG14744.1.p1, OFUSG12274.1.p1, OFUSG12274.2.p1	DANRE30414
OG0000021	OFUSG18643.1.p1	DANRE01661, DANRE22424, DANRE31606, DANRE31605
OG0000021	OFUSG19367.2.p1, OFUSG19367.1.p1	DANRE39795, DANRE39796, DANRE22480
OG0000021	OFUSG03663.1.p1	DANRE39722, DANRE22090, DANRE36686, DANRE36683, DANRE36685, DANRE36633, DANRE13240, DANRE13243, DANRE13242, DANRE13246, DANRE13245, DANRE13241, DANRE24996, DANRE01663, DANRE01662
OG0000021	OFUSG26914.2.p1, OFUSG26914.3.p1, OFUSG26914.1.p1	DANRE38577, DANRE08977, DANRE08978, DANRE08976
OG0000021	OFUSG24230.1.p1, OFUSG15132.1.p1, OFUSG15132.2.p1	DANRE08348, DANRE33679
OG0000021	OFUSG19689.1.p1, OFUSG09303.1.p1, OFUSG14494.2.p1, OFUSG14494.1.p1, OFUSG26703.1.p1, OFUSG06096.1.p1, OFUSG07156.1.p1	DANRE37717, DANRE02277
OG0000021	OFUSG25558.2.p1, OFUSG25558.1.p1, OFUSG03208.1.p1, OFUSG03209.1.p1, OFUSG03193.1.p1, OFUSG03185.1.p1, OFUSG03188.1.p1	DANRE27401, DANRE27403, DANRE27400
OG0000023	OFUSG15304.2.p1, OFUSG15304.1.p1, OFUSG15456.2.p1, OFUSG15456.1.p1	DANRE19492, DANRE40604, DANRE27752, DANRE38057, DANRE39283, DANRE25540, DANRE36925, DANRE26382, DANRE26381, DANRE29650, DANRE29649, DANRE03181, DANRE19476, DANRE19477
OG0000023	OFUSG14875.1.p1, OFUSG15289.1.p1, OFUSG15289.2.p1	DANRE07548, DANRE07547, DANRE01757
OG0000026	OFUSG08116.1.p1	DANRE25537
OG0000026	OFUSG06159.1.p1, OFUSG25623.1.p1	DANRE36265
OG0000026	OFUSG04596.1.p1, OFUSG10470.1.p1, OFUSG09501.1.p1	DANRE09875
OG0000026	OFUSG26427.1.p1	DANRE42258, DANRE07529
OG0000027	OFUSG07714.1.p1, OFUSG07714.2.p1, OFUSG21523.1.p1, OFUSG02454.1.p1, OFUSG18692.1.p1, OFUSG08461.1.p1, OFUSG07492.1.p1, OFUSG07492.3.p1, OFUSG07492.2.p1, OFUSG21969.1.p1, OFUSG21968.1.p1, OFUSG13255.1.p1	DANRE03471, DANRE22990, DANRE22989, DANRE41021, DANRE41022, DANRE41023, DANRE41020, DANRE41018, DANRE41275, DANRE41019, DANRE41017, DANRE41008, DANRE41009
OG0000027	OFUSG21901.2.p1, OFUSG21901.1.p1	DANRE02909
OG0000028	OFUSG21057.1.p1, OFUSG21057.2.p1	DANRE15903, DANRE06013, DANRE08736, DANRE08737, DANRE20375, DANRE07178
OG0000028	OFUSG09732.1.p1, OFUSG14981.3.p1, OFUSG14981.2.p1, OFUSG14981.1.p1, OFUSG09734.1.p1, OFUSG08335.1.p1, OFUSG09733.1.p1, OFUSG09733.2.p1	DANRE07176, DANRE07177, DANRE15857, DANRE15856, DANRE09600, DANRE09601, DANRE13468, DANRE13469, DANRE13470, DANRE15855, DANRE10772, DANRE17755, DANRE17756, DANRE02083, DANRE07180, DANRE07179, DANRE15853, DANRE35763
OG0000028	OFUSG13583.2.p1, OFUSG13583.4.p1, OFUSG13584.1.p1, OFUSG13583.3.p1, OFUSG13583.1.p1, OFUSG09817.1.p1, OFUSG09817.2.p1, OFUSG09817.4.p1, OFUSG09817.3.p1, OFUSG09817.5.p1	DANRE39088, DANRE39089, DANRE24974, DANRE15851, DANRE15850, DANRE13964
OG0000029	OFUSG25151.1.p1, OFUSG10698.1.p1, OFUSG20711.1.p1	DANRE22154
OG0000029	OFUSG16858.1.p1	DANRE41268, DANRE41269, DANRE26531, DANRE01944
OG0000030	OFUSG16143.1.p1	DANRE34589, DANRE34588
OG0000030	OFUSG16141.1.p1, OFUSG16142.2.p1, OFUSG16142.1.p1	DANRE16388, DANRE16389
OG0000030	OFUSG04213.1.p1	DANRE14546, DANRE09884, DANRE09883, DANRE34902
OG0000030	OFUSG12869.1.p1	DANRE41079, DANRE41078
OG0000030	OFUSG14128.1.p1, OFUSG14128.2.p1	DANRE08391
OG0000030	OFUSG15638.1.p1, OFUSG15630.1.p1, OFUSG05089.1.p1, OFUSG05089.2.p1	DANRE03978
OG0000031	OFUSG03747.1.p1, OFUSG01964.1.p1	DANRE20694
OG0000031	OFUSG03902.1.p1, OFUSG03902.2.p1	DANRE41496, DANRE35535, DANRE23155
OG0000031	OFUSG16479.2.p1, OFUSG16479.1.p1	DANRE37079, DANRE41454, DANRE13621, DANRE09507, DANRE09506, DANRE09505
OG0000031	OFUSG03938.1.p1	DANRE13622, DANRE13623
OG0000031	OFUSG09754.1.p1	DANRE26516, DANRE26019
OG0000031	OFUSG12627.1.p1	DANRE11621
OG0000031	OFUSG02210.1.p1	DANRE20276, DANRE16190, DANRE42316
OG0000031	OFUSG17671.1.p1	DANRE27399, DANRE21472, DANRE14252
OG0000031	OFUSG16797.1.p1	DANRE28106, DANRE23847, DANRE23848
OG0000032	OFUSG07861.1.p1	DANRE24196, DANRE27892, DANRE27891
OG0000032	OFUSG18519.1.p1, OFUSG17008.1.p1, OFUSG09556.1.p1, OFUSG07282.1.p1, OFUSG25694.1.p1, OFUSG01271.1.p1, OFUSG01272.1.p1, OFUSG09756.1.p1, OFUSG20192.1.p1	DANRE30726, DANRE30725, DANRE33206, DANRE33207, DANRE33205, DANRE33204, DANRE33199, DANRE32929, DANRE32926, DANRE32927, DANRE33203, DANRE33202, DANRE32928, DANRE33200, DANRE33201, DANRE36261, DANRE20344, DANRE20343, DANRE12884, DANRE39037
OG0000032	OFUSG26521.2.p1, OFUSG26521.1.p1	DANRE22486, DANRE22485, DANRE22487, DANRE22488
OG0000034	OFUSG15530.3.p1, OFUSG15530.1.p1, OFUSG15530.2.p1	DANRE35041
OG0000034	OFUSG01833.2.p1, OFUSG01833.1.p1	DANRE29602, DANRE23932, DANRE37022, DANRE22465, DANRE31461, DANRE31460, DANRE12388, DANRE12387, DANRE25947
OG0000034	OFUSG08780.1.p1	DANRE14484, DANRE09880, DANRE38036
OG0000034	OFUSG00313.1.p1	DANRE37614, DANRE37615, DANRE25091, DANRE25092, DANRE37613
OG0000034	OFUSG10792.1.p1, OFUSG10792.2.p1	DANRE04100
OG0000034	OFUSG09735.1.p1	DANRE25182
OG0000035	OFUSG16461.1.p1	DANRE23313
OG0000035	OFUSG09470.1.p1	DANRE40563, DANRE38347, DANRE12928, DANRE12929, DANRE27654
OG0000035	OFUSG07007.1.p1, OFUSG07007.2.p1	DANRE31052, DANRE25078, DANRE12998, DANRE12997
OG0000035	OFUSG07851.1.p1	DANRE29644, DANRE29645, DANRE13480, DANRE13479, DANRE12467, DANRE12466, DANRE30988
OG0000035	OFUSG25460.1.p1, OFUSG07717.1.p1	DANRE36852, DANRE22281, DANRE12942, DANRE38472, DANRE12371, DANRE12370, DANRE30757, DANRE30760, DANRE30759, DANRE30758, DANRE30761
OG0000035	OFUSG23601.1.p1	DANRE12947, DANRE38221
OG0000035	OFUSG07099.1.p1, OFUSG07288.1.p1, OFUSG07098.1.p1	DANRE38222, DANRE38223, DANRE12948
OG0000036	OFUSG05112.1.p1	DANRE37867, DANRE38271, DANRE14697
OG0000036	OFUSG06787.1.p1, OFUSG20561.1.p1, OFUSG20712.1.p1, OFUSG08497.1.p1, OFUSG08495.1.p1	DANRE25335, DANRE27775, DANRE38068, DANRE26145, DANRE38623
OG0000036	OFUSG16630.1.p1, OFUSG16630.2.p1, OFUSG14389.1.p1, OFUSG16691.1.p1	DANRE07186, DANRE30853
OG0000036	OFUSG05272.1.p1	DANRE11991, DANRE38630
OG0000037	OFUSG11734.1.p1, OFUSG11735.1.p1, OFUSG11736.1.p1, OFUSG25144.1.p1	DANRE11959, DANRE17549, DANRE11958, DANRE11635, DANRE11634, DANRE17282, DANRE17582, DANRE10717, DANRE10716, DANRE06286, DANRE06287
OG0000037	OFUSG11664.2.p1, OFUSG11664.3.p1, OFUSG11664.1.p1	DANRE03950, DANRE03951, DANRE05592, DANRE05591, DANRE37805, DANRE37804, DANRE13383
OG0000037	OFUSG13518.1.p1	DANRE22289, DANRE22290, DANRE13745, DANRE11904, DANRE17607
OG0000037	OFUSG24232.1.p1, OFUSG22475.1.p1	DANRE11315
OG0000038	OFUSG08090.1.p1	DANRE01550, DANRE01549
OG0000038	OFUSG04771.1.p1	DANRE23401
OG0000038	OFUSG03340.1.p1	DANRE41584
OG0000038	OFUSG26080.1.p1, OFUSG26080.2.p1	DANRE15348
OG0000039	OFUSG18528.1.p1, OFUSG18528.2.p1	DANRE18250, DANRE18249, DANRE18251, DANRE18253, DANRE18252
OG0000039	OFUSG13129.1.p1, OFUSG05314.1.p1	DANRE38069, DANRE38070
OG0000039	OFUSG09877.1.p1, OFUSG09877.2.p1, OFUSG09879.1.p1, OFUSG09879.3.p1	DANRE09344
OG0000041	OFUSG15030.1.p1	DANRE24726, DANRE30701
OG0000041	OFUSG19628.1.p1, OFUSG17131.1.p1, OFUSG15513.1.p1, OFUSG15137.1.p1, OFUSG07153.1.p1, OFUSG07153.2.p1	DANRE29584, DANRE29586, DANRE29583, DANRE29585, DANRE24718, DANRE38473, DANRE38474, DANRE38475, DANRE25228, DANRE30702, DANRE30703, DANRE30699, DANRE30704, DANRE30700, DANRE40396, DANRE40397
OG0000041	OFUSG07896.1.p1	DANRE29492, DANRE36857, DANRE22432, DANRE25655, DANRE33053, DANRE36856, DANRE25654, DANRE43342, DANRE38441
OG0000041	OFUSG21324.4.p1, OFUSG21324.2.p1, OFUSG21324.1.p1, OFUSG21324.3.p1	DANRE36805, DANRE27215, DANRE24076, DANRE27216
OG0000044	OFUSG03166.1.p1	DANRE06946, DANRE06947, DANRE06457, DANRE17818, DANRE24284, DANRE24283, DANRE24280
OG0000045	OFUSG21045.1.p1, OFUSG07523.1.p1	DANRE05823
OG0000046	OFUSG14160.1.p1	DANRE15742
OG0000046	OFUSG02356.1.p1, OFUSG13304.1.p1, OFUSG25123.1.p1	DANRE20292, DANRE09276, DANRE42278, DANRE42280, DANRE42172, DANRE42168, DANRE42170, DANRE42174, DANRE42171, DANRE42169, DANRE42167, DANRE42279, DANRE42166, DANRE42173, DANRE42277, DANRE09606, DANRE09605
OG0000048	OFUSG03456.1.p1	DANRE16164, DANRE16166, DANRE16167, DANRE16163
OG0000048	OFUSG15705.1.p1	DANRE33718
OG0000048	OFUSG19541.1.p1	DANRE19398
OG0000048	OFUSG11584.1.p1	DANRE08311, DANRE38354, DANRE14945, DANRE10170, DANRE10169
OG0000048	OFUSG11562.2.p1, OFUSG11562.1.p1	DANRE17556, DANRE05472
OG0000048	OFUSG04756.1.p1	DANRE26183
OG0000049	OFUSG00390.1.p1	DANRE18176, DANRE10819, DANRE00818, DANRE08853, DANRE08855, DANRE08854
OG0000049	OFUSG06038.1.p1	DANRE36715, DANRE36714, DANRE02678, DANRE12445
OG0000049	OFUSG18823.3.p1, OFUSG18823.1.p1, OFUSG18823.2.p1	DANRE22104, DANRE39773, DANRE39775, DANRE39774, DANRE02437, DANRE02436, DANRE36818, DANRE36819, DANRE30745, DANRE25833
OG0000049	OFUSG21750.1.p1, OFUSG17729.1.p1, OFUSG17727.1.p1, OFUSG17730.1.p1, OFUSG19421.1.p1, OFUSG19423.1.p1, OFUSG19424.1.p1	DANRE13089, DANRE13098, DANRE13083, DANRE35265
OG0000050	OFUSG00506.1.p1	DANRE33098, DANRE32869, DANRE33097, DANRE32870
OG0000054	OFUSG09960.1.p1, OFUSG09960.2.p1, OFUSG09960.4.p1, OFUSG09960.5.p1, OFUSG09960.3.p1	DANRE06791, DANRE15743
OG0000054	OFUSG23922.1.p1, OFUSG23922.2.p1, OFUSG23922.3.p1, OFUSG13461.1.p1, OFUSG13461.2.p1, OFUSG22292.2.p1, OFUSG22292.1.p1, OFUSG00951.1.p1, OFUSG00949.1.p1, OFUSG16065.1.p1, OFUSG16065.2.p1, OFUSG16715.1.p1	DANRE09041, DANRE09042
OG0000055	OFUSG10859.2.p1, OFUSG10859.1.p1	DANRE24633
OG0000056	OFUSG17281.1.p1	DANRE01913, DANRE01914, DANRE39460, DANRE39459, DANRE15877, DANRE15878, DANRE15879, DANRE39458, DANRE26297, DANRE26296, DANRE26298, DANRE26299, DANRE30224, DANRE30223, DANRE17147, DANRE17148, DANRE17149, DANRE30238, DANRE01911, DANRE01910
OG0000056	OFUSG00880.1.p1, OFUSG00880.2.p1	DANRE40924, DANRE40923
OG0000056	OFUSG00148.1.p1	DANRE30239
OG0000057	OFUSG18495.1.p1	DANRE01491, DANRE01492, DANRE34768, DANRE34769, DANRE25607, DANRE38933
OG0000057	OFUSG02050.1.p1, OFUSG18016.1.p1, OFUSG01943.1.p1, OFUSG22981.1.p1, OFUSG23264.1.p1, OFUSG15744.1.p1, OFUSG15744.2.p1, OFUSG15743.1.p1, OFUSG15746.1.p1, OFUSG15746.2.p1, OFUSG15747.1.p1, OFUSG12096.1.p1, OFUSG12095.1.p1, OFUSG17581.1.p1	DANRE02560, DANRE02558, DANRE02559
OG0000058	OFUSG06504.1.p1	DANRE01466, DANRE01467
OG0000058	OFUSG18325.1.p1	DANRE15130, DANRE18090, DANRE05159, DANRE10661, DANRE16833, DANRE17579, DANRE25419, DANRE25420, DANRE03527
