Orthogroup	OWEFU	DROME
OG0000007	OFUSG25429.1.p1	DROME14142
OG0000007	OFUSG21828.2.p1, OFUSG21828.1.p1	DROME19603, DROME19602
OG0000007	OFUSG25241.1.p1	DROME21792, DROME00712, DROME00713
OG0000008	OFUSG10082.1.p1	DROME05669
OG0000008	OFUSG01705.1.p1, OFUSG01704.1.p1, OFUSG01067.1.p1	DROME04622, DROME21421, DROME02754, DROME07701, DROME07700, DROME07702, DROME01169, DROME06573, DROME06574
OG0000008	OFUSG05918.1.p1	DROME15136
OG0000010	OFUSG20029.1.p1	DROME18661
OG0000010	OFUSG10271.1.p1	DROME04358
OG0000010	OFUSG10776.1.p1	DROME10941
OG0000010	OFUSG08801.1.p1, OFUSG04629.1.p1, OFUSG16371.1.p1, OFUSG03904.1.p1	DROME16990, DROME16989, DROME00823, DROME00824, DROME11242, DROME07645, DROME07646, DROME07652
OG0000012	OFUSG23981.1.p1, OFUSG23977.1.p1, OFUSG23979.1.p1, OFUSG23978.1.p1, OFUSG14153.2.p1, OFUSG14153.1.p1, OFUSG14153.3.p1	DROME14687, DROME14686
OG0000012	OFUSG04462.1.p1, OFUSG04460.1.p1, OFUSG22117.1.p1	DROME06410, DROME06409, DROME07595, DROME19081, DROME01821, DROME14253, DROME01820
OG0000013	OFUSG13136.1.p1, OFUSG22072.1.p1, OFUSG02692.1.p1, OFUSG22268.1.p1, OFUSG23241.1.p1	DROME14257, DROME14247, DROME14258, DROME18111, DROME14254, DROME14255, DROME14256, DROME14251, DROME14252, DROME14250, DROME03185, DROME16203, DROME07507, DROME07508, DROME03238, DROME03237, DROME00659, DROME03236, DROME01152, DROME14613, DROME14614, DROME03497, DROME02996, DROME02995, DROME06577, DROME02994
OG0000014	OFUSG09895.2.p1, OFUSG09895.1.p1, OFUSG25487.1.p1, OFUSG16820.1.p1, OFUSG25374.2.p1, OFUSG25374.3.p1, OFUSG25374.1.p1, OFUSG26341.1.p1, OFUSG07532.1.p1, OFUSG25831.1.p1, OFUSG10758.1.p1, OFUSG23286.1.p1, OFUSG03351.1.p1, OFUSG22799.1.p1	DROME05409, DROME03987
OG0000014	OFUSG00805.1.p1	DROME14595, DROME14594
OG0000014	OFUSG17822.1.p1, OFUSG17822.2.p1, OFUSG17822.3.p1	DROME04096
OG0000014	OFUSG19797.2.p1, OFUSG19797.1.p1, OFUSG07199.1.p1, OFUSG09163.2.p1, OFUSG09163.1.p1	DROME08642
OG0000014	OFUSG13990.1.p1	DROME18828
OG0000015	OFUSG03122.3.p1, OFUSG03122.2.p1, OFUSG03122.1.p1	DROME10325, DROME10328, DROME10327, DROME10326, DROME10329
OG0000015	OFUSG03121.2.p1, OFUSG03121.1.p1	DROME20983
OG0000015	OFUSG02213.1.p1, OFUSG02213.2.p1, OFUSG03120.2.p1, OFUSG03120.3.p1, OFUSG03120.1.p1	DROME20981, DROME20982
OG0000015	OFUSG03112.2.p1, OFUSG03112.1.p1, OFUSG03112.5.p1, OFUSG03112.4.p1, OFUSG03112.3.p1, OFUSG03383.1.p1, OFUSG21185.4.p1, OFUSG21185.2.p1, OFUSG21185.3.p1, OFUSG21185.5.p1, OFUSG21185.1.p1, OFUSG13739.4.p1, OFUSG13739.2.p1, OFUSG13739.1.p1, OFUSG13739.3.p1, OFUSG13739.5.p1, OFUSG20919.1.p1, OFUSG20919.2.p1, OFUSG20920.1.p1, OFUSG20920.4.p1, OFUSG20920.3.p1, OFUSG20920.2.p1, OFUSG02048.2.p1, OFUSG02048.1.p1, OFUSG03297.1.p1	DROME15824, DROME15834, DROME15829, DROME15825, DROME15826, DROME15832, DROME15828, DROME15833, DROME15830, DROME15827, DROME15831
OG0000016	OFUSG06387.1.p1, OFUSG05927.1.p1, OFUSG10030.1.p1, OFUSG10824.1.p1, OFUSG18493.1.p1, OFUSG18488.1.p1, OFUSG18491.1.p1, OFUSG10402.1.p1, OFUSG06386.1.p1, OFUSG05926.1.p1, OFUSG14053.2.p1, OFUSG14053.1.p1, OFUSG15777.1.p1, OFUSG03176.1.p1	DROME02422, DROME02430, DROME02437, DROME02423, DROME02429, DROME02435, DROME02434, DROME02428, DROME02433, DROME02424, DROME02436, DROME02427, DROME02426, DROME02431, DROME02432, DROME02425
OG0000016	OFUSG06388.1.p1, OFUSG18492.1.p1	DROME16828, DROME17675, DROME07519, DROME17674, DROME04855, DROME04854, DROME01619, DROME03269, DROME14337, DROME15853, DROME15855, DROME15854, DROME03271, DROME03270, DROME03589
OG0000016	OFUSG11848.1.p1	DROME01609
OG0000019	OFUSG14039.1.p1, OFUSG23776.1.p1	DROME09905, DROME12984, DROME12983, DROME02695, DROME19029, DROME19028, DROME21231, DROME01851, DROME06537, DROME07290
OG0000020	OFUSG19131.1.p1	DROME22108
OG0000021	OFUSG18643.1.p1	DROME18320, DROME18321
OG0000021	OFUSG24044.1.p1	DROME06512, DROME06511
OG0000021	OFUSG24230.1.p1, OFUSG15132.1.p1, OFUSG15132.2.p1	DROME08269
OG0000021	OFUSG19689.1.p1, OFUSG09303.1.p1, OFUSG14494.2.p1, OFUSG14494.1.p1, OFUSG26703.1.p1, OFUSG06096.1.p1, OFUSG07156.1.p1	DROME08091
OG0000023	OFUSG15304.2.p1, OFUSG15304.1.p1, OFUSG15456.2.p1, OFUSG15456.1.p1	DROME04919, DROME04917, DROME04918
OG0000023	OFUSG14875.1.p1, OFUSG15289.1.p1, OFUSG15289.2.p1	DROME08346, DROME08342, DROME08344, DROME08347, DROME08345, DROME08343
OG0000026	OFUSG02974.1.p1	DROME19866, DROME19867
OG0000027	OFUSG26650.1.p1	DROME13849, DROME08050
OG0000028	OFUSG21057.1.p1, OFUSG21057.2.p1	DROME00133, DROME09421
OG0000028	OFUSG09732.1.p1	DROME09420
OG0000028	OFUSG14981.3.p1, OFUSG14981.2.p1, OFUSG14981.1.p1, OFUSG09734.1.p1, OFUSG08335.1.p1, OFUSG09733.1.p1, OFUSG09733.2.p1	DROME12803, DROME12802, DROME12800, DROME12804, DROME12801, DROME19724, DROME16819, DROME16820, DROME16816, DROME16815, DROME16818
OG0000028	OFUSG13583.2.p1, OFUSG13583.4.p1, OFUSG13584.1.p1, OFUSG13583.3.p1, OFUSG13583.1.p1, OFUSG09817.1.p1, OFUSG09817.2.p1, OFUSG09817.4.p1, OFUSG09817.3.p1, OFUSG09817.5.p1	DROME01857, DROME01860, DROME01861, DROME01859, DROME01862, DROME01858, DROME21647, DROME21646, DROME02664
OG0000029	OFUSG01397.1.p1, OFUSG01400.1.p1, OFUSG01402.1.p1, OFUSG03457.2.p1, OFUSG03457.1.p1, OFUSG05746.3.p1, OFUSG05746.2.p1, OFUSG05746.1.p1, OFUSG18779.1.p1, OFUSG08105.1.p1, OFUSG09439.1.p1, OFUSG26816.1.p1, OFUSG22757.1.p1, OFUSG11381.1.p1, OFUSG11380.1.p1, OFUSG07090.1.p1, OFUSG07089.1.p1, OFUSG06802.1.p1	DROME18440, DROME18439, DROME18441, DROME09446
OG0000029	OFUSG26611.2.p1, OFUSG26611.1.p1	DROME19091
OG0000029	OFUSG13634.2.p1, OFUSG13634.1.p1, OFUSG01580.1.p1	DROME01527, DROME01529
OG0000030	OFUSG16143.1.p1	DROME12966
OG0000030	OFUSG07789.1.p1, OFUSG07787.1.p1	DROME07429, DROME07428
OG0000030	OFUSG04213.1.p1	DROME15149
OG0000030	OFUSG17928.1.p1	DROME11112, DROME11110, DROME11113, DROME11111
OG0000030	OFUSG18203.1.p1, OFUSG10901.1.p1, OFUSG10241.1.p1	DROME02191, DROME02193, DROME02192
OG0000030	OFUSG17612.1.p1, OFUSG12869.1.p1, OFUSG05001.1.p1	DROME06898
OG0000030	OFUSG14128.1.p1, OFUSG14128.2.p1	DROME12965
OG0000031	OFUSG03902.1.p1, OFUSG03902.2.p1	DROME19945
OG0000031	OFUSG16479.2.p1, OFUSG16479.1.p1	DROME19947, DROME19946, DROME19949, DROME19948
OG0000031	OFUSG02210.1.p1	DROME09230
OG0000031	OFUSG17671.1.p1	DROME05246
OG0000032	OFUSG13377.1.p1, OFUSG13377.2.p1	DROME01806, DROME01807
OG0000032	OFUSG18519.1.p1, OFUSG17008.1.p1, OFUSG09556.1.p1, OFUSG07282.1.p1, OFUSG25694.1.p1, OFUSG01271.1.p1, OFUSG01272.1.p1, OFUSG09756.1.p1, OFUSG20192.1.p1	DROME02386
OG0000032	OFUSG26521.2.p1, OFUSG26521.1.p1	DROME01213
OG0000034	OFUSG15530.3.p1, OFUSG15530.1.p1, OFUSG15530.2.p1	DROME20092, DROME20090, DROME20091
OG0000034	OFUSG01833.2.p1, OFUSG01833.1.p1	DROME00494, DROME00490, DROME00493, DROME00492, DROME00491, DROME00489
OG0000034	OFUSG08780.1.p1	DROME13496
OG0000034	OFUSG00313.1.p1	DROME18268, DROME18267, DROME18266, DROME18269
OG0000034	OFUSG08088.1.p1	DROME03104, DROME03105
OG0000034	OFUSG09735.1.p1	DROME20524
OG0000035	OFUSG08016.1.p1, OFUSG08016.2.p1	DROME11928
OG0000035	OFUSG16461.1.p1	DROME05348, DROME01725, DROME03666, DROME01724
OG0000035	OFUSG07851.1.p1	DROME19358, DROME19359
OG0000035	OFUSG25460.1.p1, OFUSG07717.1.p1	DROME17164, DROME17163
OG0000035	OFUSG23601.1.p1	DROME10260
OG0000036	OFUSG06787.1.p1	DROME18108, DROME18109
OG0000036	OFUSG20712.1.p1, OFUSG08497.1.p1, OFUSG08495.1.p1	DROME02324, DROME17378, DROME11305
OG0000036	OFUSG05272.1.p1	DROME20717, DROME20716, DROME20719, DROME20718
OG0000037	OFUSG13518.1.p1	DROME13887, DROME14759, DROME14760
OG0000037	OFUSG06378.1.p1, OFUSG06379.1.p1	DROME07468, DROME07469
OG0000037	OFUSG24232.1.p1, OFUSG22475.1.p1	DROME08695, DROME15640, DROME04516
OG0000038	OFUSG03339.1.p1	DROME13535, DROME13441
OG0000038	OFUSG26080.1.p1, OFUSG26080.2.p1	DROME13993
OG0000039	OFUSG23983.1.p1, OFUSG19239.1.p1, OFUSG06237.1.p1, OFUSG06237.2.p1, OFUSG00510.1.p1	DROME20351, DROME20350
OG0000039	OFUSG09877.1.p1, OFUSG09877.2.p1, OFUSG09879.1.p1, OFUSG09879.3.p1	DROME03375, DROME03374, DROME03372, DROME03373
OG0000040	OFUSG17305.1.p1	DROME20303
OG0000041	OFUSG26511.5.p1, OFUSG26511.1.p1, OFUSG26511.3.p1, OFUSG26511.2.p1, OFUSG26511.4.p1	DROME00693, DROME00694, DROME00695, DROME00691, DROME00692
OG0000041	OFUSG15030.1.p1, OFUSG24031.1.p1, OFUSG24027.1.p1	DROME01788, DROME01789
OG0000041	OFUSG07896.1.p1	DROME21438, DROME21440, DROME21441, DROME21439, DROME21435, DROME21437, DROME21436, DROME21444, DROME21442, DROME21443, DROME21445
OG0000041	OFUSG21324.4.p1, OFUSG21324.2.p1, OFUSG21324.1.p1, OFUSG21324.3.p1	DROME09067, DROME09061, DROME09065, DROME09068, DROME09063, DROME09062, DROME09064, DROME09066, DROME09069
OG0000043	OFUSG12022.1.p1	DROME03726, DROME03741, DROME03696, DROME03781, DROME03716, DROME03731, DROME03721, DROME03706, DROME03711, DROME03751, DROME03746, DROME03678, DROME03736, DROME03701, DROME03687, DROME03756, DROME03776, DROME03766, DROME03761, DROME03771
OG0000044	OFUSG23614.1.p1, OFUSG23614.2.p1, OFUSG09537.1.p1	DROME15544, DROME11199
OG0000044	OFUSG03166.1.p1	DROME01579, DROME01581, DROME01575, DROME01577, DROME01571, DROME01572, DROME01573, DROME01580, DROME01574, DROME01578, DROME01576
OG0000044	OFUSG22654.1.p1, OFUSG22653.1.p1, OFUSG15735.1.p1, OFUSG15574.1.p1, OFUSG15256.2.p1, OFUSG15256.1.p1, OFUSG15731.1.p1, OFUSG15125.1.p1, OFUSG23742.1.p1, OFUSG15245.1.p1	DROME17013
OG0000045	OFUSG07524.1.p1, OFUSG00566.1.p1, OFUSG00564.1.p1, OFUSG00563.1.p1, OFUSG00567.1.p1	DROME00740, DROME05490, DROME00741, DROME00650
OG0000046	OFUSG01015.1.p1, OFUSG26772.1.p1, OFUSG12279.1.p1	DROME12318, DROME12319
OG0000046	OFUSG17068.1.p1	DROME13515, DROME01755, DROME02563, DROME17305, DROME17304
OG0000046	OFUSG10763.1.p1, OFUSG10761.1.p1	DROME11364, DROME11369
OG0000048	OFUSG03456.1.p1	DROME07309
OG0000048	OFUSG19541.1.p1	DROME15626, DROME15625
OG0000048	OFUSG11586.1.p1	DROME15613
OG0000048	OFUSG11584.1.p1, OFUSG11585.1.p1, OFUSG11583.1.p1, OFUSG11587.1.p1	DROME19410, DROME04387, DROME04385, DROME04384, DROME04383, DROME04388, DROME04389
OG0000048	OFUSG04756.1.p1	DROME01500
OG0000049	OFUSG23568.1.p1	DROME04610, DROME04609, DROME04608, DROME04607, DROME04606
OG0000051	OFUSG14314.1.p1, OFUSG17623.1.p1, OFUSG24736.1.p1	DROME06654, DROME06655
OG0000054	OFUSG08102.2.p1, OFUSG08102.1.p1	DROME20361
OG0000054	OFUSG09960.1.p1, OFUSG09960.2.p1, OFUSG09960.4.p1, OFUSG09960.5.p1, OFUSG09960.3.p1	DROME11951, DROME18814, DROME18815, DROME18820, DROME18819, DROME01420, DROME08996, DROME18821, DROME09916, DROME18822, DROME04594, DROME04595, DROME01843, DROME04592, DROME04593, DROME20803, DROME20238, DROME18477, DROME18041, DROME06360
OG0000054	OFUSG23922.1.p1, OFUSG23922.2.p1, OFUSG23922.3.p1, OFUSG13461.1.p1, OFUSG13461.2.p1, OFUSG22292.2.p1, OFUSG22292.1.p1, OFUSG00951.1.p1, OFUSG00949.1.p1, OFUSG16065.1.p1, OFUSG16065.2.p1, OFUSG16715.1.p1	DROME21992
OG0000055	OFUSG10859.2.p1, OFUSG10859.1.p1, OFUSG21722.1.p2, OFUSG08892.1.p1	DROME03691, DROME03682, DROME03686, DROME03760, DROME03750, DROME03735, DROME03720, DROME03770, DROME03765, DROME03740, DROME03755, DROME03725, DROME03710, DROME03730, DROME03700, DROME03780, DROME03705, DROME03775, DROME03715, DROME03745, DROME03695, DROME03673, DROME03677
OG0000056	OFUSG00148.1.p1	DROME04626, DROME04628, DROME04625, DROME04627, DROME04623, DROME04624
OG0000058	OFUSG06504.1.p1	DROME14598
OG0000058	OFUSG18325.1.p1	DROME04020, DROME19327, DROME12667, DROME15093, DROME07418, DROME14731
OG0000059	OFUSG10738.1.p1	DROME17819, DROME17820
OG0000059	OFUSG03206.4.p1, OFUSG03206.2.p1, OFUSG03206.1.p1, OFUSG03206.3.p1	DROME04929, DROME02944, DROME02943
OG0000060	OFUSG21371.2.p1, OFUSG21371.1.p1	DROME18201
OG0000060	OFUSG25748.1.p1, OFUSG06220.1.p1, OFUSG06220.2.p1, OFUSG22689.1.p1, OFUSG15770.2.p1, OFUSG15770.1.p1, OFUSG17254.1.p1, OFUSG17256.1.p1, OFUSG07484.1.p1, OFUSG07264.1.p1, OFUSG04665.1.p1, OFUSG04666.1.p1, OFUSG13147.1.p1, OFUSG04875.1.p1	DROME07035, DROME07034, DROME07036, DROME07859, DROME07858, DROME04014, DROME07857, DROME07856, DROME07855, DROME07854, DROME18200, DROME07037, DROME07038, DROME04458, DROME04457, DROME19175, DROME06539, DROME06538, DROME20480, DROME07291, DROME06112, DROME00867, DROME00220
OG0000060	OFUSG09429.1.p1	DROME15948
OG0000060	OFUSG08326.1.p1, OFUSG08326.2.p1	DROME00430
OG0000061	OFUSG16362.1.p1, OFUSG16362.3.p1, OFUSG16362.2.p1	DROME05786, DROME05785, DROME05787, DROME20453
OG0000061	OFUSG16682.2.p1, OFUSG16682.1.p1	DROME05579, DROME05580, DROME06033
OG0000061	OFUSG04054.2.p1, OFUSG04054.1.p1, OFUSG04054.3.p1	DROME18900, DROME18901, DROME18899
OG0000062	OFUSG20834.1.p1, OFUSG20834.2.p1, OFUSG05008.1.p1	DROME03387, DROME03389, DROME03388, DROME03386, DROME03390, DROME01439, DROME01441, DROME01443, DROME01440, DROME01442, DROME02848, DROME01444
OG0000063	OFUSG17109.2.p1, OFUSG17109.1.p1	DROME03407, DROME03409, DROME03405, DROME03404, DROME03403, DROME03408, DROME03406
OG0000063	OFUSG05823.2.p1, OFUSG05823.1.p1	DROME17704, DROME17705, DROME17706, DROME17703, DROME17707
OG0000065	OFUSG22574.1.p1, OFUSG23358.1.p1, OFUSG12395.1.p1, OFUSG23801.1.p1, OFUSG23802.1.p1, OFUSG23800.1.p1, OFUSG01605.1.p1, OFUSG15392.1.p1, OFUSG01606.1.p1, OFUSG01817.1.p1, OFUSG16109.1.p1, OFUSG08606.1.p1, OFUSG25251.1.p1, OFUSG10638.1.p1, OFUSG03941.1.p1, OFUSG20646.1.p1, OFUSG26222.1.p1, OFUSG00747.1.p1, OFUSG00365.1.p1, OFUSG20533.1.p1	DROME22058
OG0000065	OFUSG05640.1.p1, OFUSG08086.1.p1, OFUSG08011.1.p1	DROME11358
OG0000066	OFUSG11553.1.p1	DROME14379
OG0000067	OFUSG01517.1.p1, OFUSG21774.1.p1	DROME11908, DROME11924, DROME11927, DROME05633
OG0000068	OFUSG19455.1.p1	DROME18366, DROME18368, DROME18367
OG0000068	OFUSG06649.2.p1, OFUSG06649.1.p1	DROME18209
OG0000069	OFUSG26968.1.p1, OFUSG26973.1.p1, OFUSG26972.1.p1	DROME03713
OG0000070	OFUSG13486.2.p1, OFUSG13486.1.p1, OFUSG01308.1.p1, OFUSG01308.2.p1	DROME04028, DROME04029, DROME06783
OG0000070	OFUSG07601.1.p1, OFUSG19636.1.p1, OFUSG12494.1.p1, OFUSG12493.1.p1, OFUSG19637.1.p1, OFUSG25749.1.p1	DROME17588, DROME17589, DROME19032
OG0000071	OFUSG18279.1.p1, OFUSG18280.1.p1, OFUSG18277.1.p1, OFUSG13697.1.p1, OFUSG09087.1.p1	DROME14965
OG0000071	OFUSG08108.1.p1	DROME21550, DROME16775, DROME16543, DROME02809, DROME02810, DROME02811, DROME02814, DROME02808, DROME02812
OG0000072	OFUSG02543.3.p1, OFUSG02543.1.p1, OFUSG02543.2.p1	DROME12247, DROME12248
OG0000072	OFUSG02679.1.p1, OFUSG02679.2.p1	DROME00154
OG0000072	OFUSG03079.1.p1	DROME00750
OG0000072	OFUSG10198.1.p1	DROME14913
OG0000073	OFUSG13409.1.p1	DROME14684
OG0000074	OFUSG24829.1.p1, OFUSG06062.1.p1	DROME03014
OG0000075	OFUSG16172.1.p1	DROME01374
OG0000075	OFUSG16504.1.p1	DROME01373
OG0000075	OFUSG16171.1.p1, OFUSG16171.2.p1	DROME01375
OG0000075	OFUSG18892.2.p1, OFUSG18892.1.p1	DROME04883, DROME04882
OG0000077	OFUSG05945.4.p1, OFUSG05945.3.p1, OFUSG05945.2.p1, OFUSG05945.1.p1	DROME15696, DROME15698, DROME15697
OG0000077	OFUSG04692.1.p1	DROME07079, DROME07077, DROME07078
OG0000077	OFUSG05776.1.p1, OFUSG24718.1.p1	DROME18051
OG0000077	OFUSG19471.1.p1, OFUSG19327.1.p1	DROME15502, DROME15501
OG0000077	OFUSG06337.1.p1	DROME12670
OG0000078	OFUSG16348.1.p1, OFUSG16350.1.p1, OFUSG04342.1.p1, OFUSG04340.1.p1, OFUSG04336.1.p1, OFUSG16350.2.p1, OFUSG16350.3.p1, OFUSG14729.1.p1, OFUSG25407.3.p1, OFUSG25407.2.p1, OFUSG25408.1.p1, OFUSG25407.1.p1, OFUSG06117.1.p1, OFUSG13932.1.p1, OFUSG09478.1.p1, OFUSG04630.1.p1, OFUSG00727.1.p1	DROME15695
OG0000079	OFUSG21029.1.p1	DROME14752, DROME17573, DROME17572, DROME17571, DROME17570, DROME14753, DROME17315, DROME17314, DROME17316
OG0000079	OFUSG23598.1.p1, OFUSG13995.1.p1, OFUSG00197.1.p1, OFUSG00197.2.p1, OFUSG13998.1.p1, OFUSG10422.3.p1, OFUSG10422.2.p1, OFUSG10422.1.p1, OFUSG10422.4.p1	DROME14749, DROME14748, DROME14747, DROME14750
OG0000079	OFUSG24101.1.p1	DROME11804, DROME11805, DROME11807, DROME11806, DROME11809, DROME11808, DROME11810
OG0000079	OFUSG19660.3.p1, OFUSG19660.2.p1, OFUSG19660.1.p1	DROME01298
OG0000081	OFUSG09486.1.p1, OFUSG22553.1.p1, OFUSG14298.1.p1, OFUSG14123.1.p1	DROME17351, DROME17349, DROME17350, DROME17347, DROME17348, DROME17352, DROME17353, DROME01507, DROME01508, DROME09227, DROME00965, DROME00434, DROME00435, DROME00431, DROME03003, DROME06593
OG0000081	OFUSG22027.1.p1	DROME19345, DROME19344
OG0000082	OFUSG08036.1.p1	DROME20298
OG0000082	OFUSG05603.1.p1	DROME05998
OG0000082	OFUSG21176.1.p1, OFUSG21175.1.p1	DROME11174, DROME11173, DROME15008
OG0000082	OFUSG21079.1.p1, OFUSG10604.1.p1	DROME14666, DROME14429, DROME14428, DROME14566, DROME14568, DROME14567, DROME14565, DROME16705
OG0000083	OFUSG03380.1.p1, OFUSG03380.2.p1	DROME17112
OG0000083	OFUSG00967.1.p1	DROME20486, DROME20487
OG0000084	OFUSG06238.1.p1, OFUSG06238.2.p1	DROME12251
OG0000084	OFUSG05733.1.p1, OFUSG06631.1.p1	DROME13292, DROME13291, DROME13289, DROME13290
OG0000084	OFUSG10435.1.p1	DROME09544
OG0000084	OFUSG10110.1.p1, OFUSG10110.2.p1, OFUSG10016.2.p1, OFUSG10016.1.p1	DROME17344, DROME17343, DROME17345
OG0000084	OFUSG10136.1.p1	DROME14181, DROME14182, DROME17832, DROME17834, DROME17833
OG0000085	OFUSG24119.1.p1	DROME19132, DROME19130, DROME19134, DROME19131, DROME19133
OG0000085	OFUSG04918.1.p1	DROME00999, DROME00998, DROME01000
OG0000085	OFUSG15502.1.p1	DROME19740
OG0000085	OFUSG00479.1.p1	DROME10832, DROME10831
OG0000086	OFUSG04354.1.p1, OFUSG19606.1.p1	DROME14954
OG0000087	OFUSG13953.1.p1, OFUSG13950.1.p1, OFUSG13949.1.p1	DROME22088
OG0000087	OFUSG13948.1.p1	DROME06460
OG0000087	OFUSG16017.1.p1, OFUSG16017.2.p1	DROME21450
OG0000087	OFUSG04733.1.p1, OFUSG16016.1.p1	DROME03097
OG0000087	OFUSG06740.2.p1, OFUSG06740.1.p1	DROME08842
OG0000087	OFUSG18253.1.p1, OFUSG18250.1.p1, OFUSG19306.1.p1, OFUSG19306.2.p1, OFUSG19309.2.p1, OFUSG19309.1.p1	DROME09495
OG0000088	OFUSG20048.1.p1, OFUSG23490.1.p1, OFUSG08607.1.p1, OFUSG26461.1.p1, OFUSG13369.1.p1, OFUSG19453.1.p1, OFUSG13367.1.p1, OFUSG13344.1.p1, OFUSG13368.1.p1, OFUSG16490.1.p1, OFUSG13107.1.p1, OFUSG01471.1.p1, OFUSG04058.1.p1, OFUSG21839.1.p1, OFUSG21838.1.p1, OFUSG14789.1.p1	DROME01198, DROME01197
OG0000090	OFUSG07976.1.p1	DROME02752
