Orthogroup	OWEFU	HUMAN
OG0000005	OFUSG20119.1.p1, OFUSG08484.1.p1	HUMAN01465
OG0000006	OFUSG11531.1.p1	HUMAN17033
OG0000006	OFUSG17934.3.p1, OFUSG17934.2.p1, OFUSG17934.1.p1	HUMAN00944
OG0000006	OFUSG02905.1.p1	HUMAN22351, HUMAN05133
OG0000006	OFUSG14509.1.p1	HUMAN21718, HUMAN29537
OG0000006	OFUSG25514.1.p1	HUMAN02118, HUMAN29294
OG0000006	OFUSG14428.1.p1	HUMAN29691
OG0000006	OFUSG07929.1.p1	HUMAN01388, HUMAN06884, HUMAN04380
OG0000006	OFUSG05068.1.p1, OFUSG21700.1.p1, OFUSG21701.1.p1	HUMAN18782, HUMAN18784, HUMAN18783, HUMAN08640
OG0000006	OFUSG10782.1.p1	HUMAN25905
OG0000006	OFUSG09474.1.p1, OFUSG09474.2.p1	HUMAN23524
OG0000006	OFUSG21061.1.p1, OFUSG18090.1.p1	HUMAN03111
OG0000006	OFUSG08659.1.p1	HUMAN14017
OG0000006	OFUSG18494.1.p1, OFUSG18494.2.p1	HUMAN22793, HUMAN22791, HUMAN22792, HUMAN03581, HUMAN23822, HUMAN23823
OG0000006	OFUSG11740.1.p1	HUMAN08856, HUMAN19716
OG0000006	OFUSG11532.2.p1, OFUSG11532.1.p1, OFUSG11532.3.p1	HUMAN08442, HUMAN17032, HUMAN15898
OG0000006	OFUSG11470.1.p1	HUMAN24331
OG0000007	OFUSG09476.1.p1	HUMAN09570, HUMAN28803
OG0000007	OFUSG21527.1.p1	HUMAN15831, HUMAN18759, HUMAN08323
OG0000007	OFUSG13716.1.p1	HUMAN28730, HUMAN28754, HUMAN28742, HUMAN28745, HUMAN28436, HUMAN17539, HUMAN01097, HUMAN23486, HUMAN00971
OG0000007	OFUSG23682.1.p1	HUMAN21567
OG0000007	OFUSG05364.1.p1	HUMAN11539
OG0000007	OFUSG04867.2.p1, OFUSG04867.1.p1	HUMAN28408
OG0000007	OFUSG23111.1.p1	HUMAN24416
OG0000007	OFUSG04768.1.p1	HUMAN24417, HUMAN11533
OG0000007	OFUSG10014.1.p1	HUMAN13635
OG0000007	OFUSG25429.1.p1	HUMAN12258, HUMAN07103
OG0000007	OFUSG21828.2.p1, OFUSG21828.1.p1	HUMAN08775, HUMAN08776, HUMAN08774, HUMAN16949
OG0000007	OFUSG10613.1.p1	HUMAN13395
OG0000007	OFUSG23528.4.p1, OFUSG23528.1.p1, OFUSG23528.2.p1, OFUSG23528.3.p1	HUMAN00818, HUMAN00819, HUMAN05935
OG0000007	OFUSG25241.1.p1	HUMAN08248
OG0000008	OFUSG01560.1.p1	HUMAN14538, HUMAN01095
OG0000008	OFUSG00781.1.p1, OFUSG00781.2.p1, OFUSG11535.1.p1, OFUSG02555.1.p1, OFUSG00311.1.p1, OFUSG02548.1.p1, OFUSG18114.1.p1, OFUSG03040.1.p1, OFUSG07904.1.p1, OFUSG03922.1.p1	HUMAN29311, HUMAN29312
OG0000008	OFUSG18646.1.p1	HUMAN14600
OG0000008	OFUSG05918.1.p1	HUMAN26474
OG0000008	OFUSG01483.1.p1, OFUSG11572.1.p1	HUMAN22971
OG0000010	OFUSG26732.1.p1, OFUSG03629.1.p1, OFUSG16394.1.p1, OFUSG18342.1.p1, OFUSG21206.1.p1, OFUSG23433.1.p1	HUMAN11412, HUMAN11410, HUMAN11411, HUMAN11268
OG0000010	OFUSG09248.1.p1	HUMAN18382
OG0000010	OFUSG10271.1.p1	HUMAN20806, HUMAN20807
OG0000010	OFUSG09897.1.p1, OFUSG08323.1.p1, OFUSG09247.1.p1	HUMAN10343, HUMAN10940, HUMAN10342, HUMAN10337
OG0000012	OFUSG14153.2.p1, OFUSG14153.1.p1, OFUSG14153.3.p1	HUMAN21758, HUMAN26719, HUMAN26720
OG0000012	OFUSG12200.1.p1, OFUSG04333.1.p1, OFUSG15962.2.p1, OFUSG15962.1.p1, OFUSG16395.2.p1, OFUSG16395.1.p1, OFUSG16273.2.p1, OFUSG16273.1.p1, OFUSG16273.3.p1, OFUSG04682.1.p1, OFUSG22368.1.p1, OFUSG22367.1.p1, OFUSG22366.1.p1	HUMAN11190
OG0000012	OFUSG13750.1.p1, OFUSG26096.1.p1	HUMAN11191
OG0000013	OFUSG01707.1.p1, OFUSG01708.1.p1, OFUSG22026.1.p1, OFUSG22025.1.p1, OFUSG17332.1.p1, OFUSG12573.1.p1, OFUSG09407.1.p1, OFUSG09404.1.p1, OFUSG09402.1.p1, OFUSG09408.1.p1, OFUSG09406.1.p1, OFUSG09400.1.p1, OFUSG19545.1.p1, OFUSG21789.1.p1, OFUSG21797.1.p1, OFUSG21790.1.p1, OFUSG21798.1.p1, OFUSG19408.1.p1	HUMAN18418, HUMAN18417, HUMAN18416, HUMAN18419, HUMAN18410, HUMAN18413, HUMAN18411, HUMAN18412, HUMAN18415, HUMAN22469, HUMAN22470, HUMAN22464, HUMAN22463, HUMAN22465, HUMAN22466, HUMAN22467, HUMAN22462, HUMAN22468, HUMAN22460, HUMAN22461
OG0000014	OFUSG09895.2.p1, OFUSG09895.1.p1, OFUSG25487.1.p1, OFUSG16820.1.p1, OFUSG25374.2.p1, OFUSG25374.3.p1, OFUSG25374.1.p1, OFUSG26341.1.p1, OFUSG07532.1.p1, OFUSG25831.1.p1, OFUSG10758.1.p1, OFUSG23286.1.p1, OFUSG03351.1.p1, OFUSG22799.1.p1	HUMAN11875, HUMAN11876, HUMAN01436, HUMAN06713, HUMAN20148, HUMAN13605, HUMAN13607, HUMAN13308, HUMAN13309, HUMAN03416, HUMAN01394
OG0000014	OFUSG00805.1.p1	HUMAN25476, HUMAN30053
OG0000015	OFUSG02249.1.p1	HUMAN22985
OG0000015	OFUSG03121.2.p1, OFUSG03121.1.p1	HUMAN25367, HUMAN25365, HUMAN21195
OG0000015	OFUSG02213.1.p1, OFUSG02213.2.p1, OFUSG03120.2.p1, OFUSG03120.3.p1, OFUSG03120.1.p1	HUMAN24184, HUMAN22368, HUMAN09174, HUMAN09175, HUMAN30469, HUMAN22369, HUMAN24183, HUMAN30472, HUMAN09173, HUMAN22372, HUMAN24180, HUMAN24179, HUMAN24178
OG0000015	OFUSG17779.2.p1, OFUSG17779.1.p1, OFUSG02838.1.p1, OFUSG03112.2.p1, OFUSG03112.1.p1, OFUSG03112.5.p1, OFUSG03112.4.p1, OFUSG03112.3.p1, OFUSG03383.1.p1, OFUSG21185.4.p1, OFUSG21185.2.p1, OFUSG21185.3.p1, OFUSG21185.5.p1, OFUSG21185.1.p1, OFUSG13739.4.p1, OFUSG13739.2.p1, OFUSG13739.1.p1, OFUSG13739.3.p1, OFUSG13739.5.p1, OFUSG20919.1.p1, OFUSG20919.2.p1, OFUSG20920.1.p1, OFUSG20920.4.p1, OFUSG20920.3.p1, OFUSG20920.2.p1, OFUSG02048.2.p1, OFUSG02048.1.p1, OFUSG03297.1.p1	HUMAN29611, HUMAN30168, HUMAN23062, HUMAN24113
OG0000015	OFUSG21186.1.p1	HUMAN30169, HUMAN09177
OG0000016	OFUSG06389.1.p1	HUMAN26870
OG0000016	OFUSG16773.1.p1	HUMAN11007, HUMAN11006, HUMAN21858
OG0000016	OFUSG10402.1.p1	HUMAN10581, HUMAN10583, HUMAN12987
OG0000016	OFUSG06386.1.p1, OFUSG05926.1.p1, OFUSG14053.2.p1, OFUSG14053.1.p1, OFUSG15777.1.p1	HUMAN03528
OG0000016	OFUSG06388.1.p1, OFUSG18492.1.p1	HUMAN07767
OG0000016	OFUSG11848.1.p1	HUMAN25103
OG0000016	OFUSG06227.1.p1	HUMAN25104
OG0000016	OFUSG14920.1.p1, OFUSG23914.1.p1	HUMAN06120, HUMAN04223
OG0000019	OFUSG23567.1.p1, OFUSG09103.1.p1	HUMAN00033, HUMAN05851, HUMAN10700, HUMAN10699, HUMAN10698
OG0000019	OFUSG11853.1.p1, OFUSG11853.3.p1, OFUSG11853.2.p1	HUMAN27262, HUMAN06385, HUMAN06383, HUMAN12384, HUMAN12385, HUMAN18277
OG0000019	OFUSG19407.1.p1, OFUSG06826.1.p1	HUMAN22980
OG0000020	OFUSG17234.1.p1	HUMAN26158
OG0000020	OFUSG19131.1.p1	HUMAN12659
OG0000020	OFUSG13406.1.p1	HUMAN28205, HUMAN16669, HUMAN00163, HUMAN17840, HUMAN05209, HUMAN21854, HUMAN21853
OG0000021	OFUSG18643.1.p1	HUMAN20500
OG0000021	OFUSG19367.2.p1, OFUSG19367.1.p1	HUMAN30680, HUMAN30504
OG0000021	OFUSG03663.1.p1	HUMAN20539, HUMAN05765, HUMAN05766, HUMAN20499
OG0000021	OFUSG26914.2.p1, OFUSG26914.3.p1, OFUSG26914.1.p1	HUMAN11054, HUMAN23166
OG0000021	OFUSG24230.1.p1, OFUSG15132.1.p1, OFUSG15132.2.p1	HUMAN12331
OG0000021	OFUSG19689.1.p1, OFUSG09303.1.p1, OFUSG14494.2.p1, OFUSG14494.1.p1, OFUSG26703.1.p1, OFUSG06096.1.p1, OFUSG07156.1.p1	HUMAN04273, HUMAN30251
OG0000021	OFUSG25558.2.p1, OFUSG25558.1.p1, OFUSG03208.1.p1, OFUSG03209.1.p1, OFUSG03193.1.p1, OFUSG03185.1.p1, OFUSG03188.1.p1	HUMAN00882, HUMAN00880, HUMAN00881
OG0000023	OFUSG06069.1.p1	HUMAN03767
OG0000023	OFUSG15304.2.p1, OFUSG15304.1.p1, OFUSG15456.2.p1, OFUSG15456.1.p1	HUMAN19878, HUMAN19879, HUMAN08127, HUMAN08129, HUMAN11129, HUMAN18897, HUMAN27999, HUMAN07398, HUMAN10368, HUMAN10367
OG0000023	OFUSG14875.1.p1, OFUSG15289.1.p1, OFUSG15289.2.p1	HUMAN12427, HUMAN06585, HUMAN06584
OG0000026	OFUSG06159.1.p1, OFUSG25623.1.p1	HUMAN00402
OG0000026	OFUSG04596.1.p1, OFUSG10470.1.p1, OFUSG09501.1.p1	HUMAN16545
OG0000026	OFUSG26427.1.p1	HUMAN07669, HUMAN21745
OG0000026	OFUSG25446.1.p1, OFUSG06547.2.p1, OFUSG06547.1.p1, OFUSG24229.1.p1, OFUSG03608.1.p1, OFUSG03465.1.p1, OFUSG09167.1.p1, OFUSG15979.1.p1, OFUSG18705.1.p1, OFUSG16962.1.p1, OFUSG18029.1.p1	HUMAN26724, HUMAN26725
OG0000027	OFUSG07714.1.p1, OFUSG07714.2.p1, OFUSG21523.1.p1, OFUSG02454.1.p1, OFUSG18692.1.p1, OFUSG08461.1.p1, OFUSG07492.1.p1, OFUSG07492.3.p1, OFUSG07492.2.p1, OFUSG21969.1.p1, OFUSG21968.1.p1, OFUSG13255.1.p1	HUMAN17464, HUMAN17465, HUMAN17466, HUMAN17463, HUMAN22472, HUMAN10869, HUMAN10811, HUMAN10777, HUMAN10778, HUMAN10779, HUMAN10781, HUMAN10780, HUMAN22471
OG0000027	OFUSG21901.2.p1, OFUSG21901.1.p1	HUMAN16847
OG0000028	OFUSG21057.1.p1, OFUSG21057.2.p1	HUMAN22344, HUMAN03982, HUMAN09209
OG0000028	OFUSG09732.1.p1, OFUSG14981.3.p1, OFUSG14981.2.p1, OFUSG14981.1.p1, OFUSG09734.1.p1, OFUSG08335.1.p1, OFUSG09733.1.p1, OFUSG09733.2.p1	HUMAN01776, HUMAN09895, HUMAN09894, HUMAN27765, HUMAN27611, HUMAN19281, HUMAN27764, HUMAN17889
OG0000028	OFUSG13583.2.p1, OFUSG13583.4.p1, OFUSG13584.1.p1, OFUSG13583.3.p1, OFUSG13583.1.p1, OFUSG09817.1.p1, OFUSG09817.2.p1, OFUSG09817.4.p1, OFUSG09817.3.p1, OFUSG09817.5.p1	HUMAN09193, HUMAN09206
OG0000029	OFUSG25151.1.p1, OFUSG10698.1.p1, OFUSG20711.1.p1	HUMAN15611
OG0000029	OFUSG16858.1.p1	HUMAN24898, HUMAN21852
OG0000030	OFUSG16143.1.p1	HUMAN23234, HUMAN23233, HUMAN23232
OG0000030	OFUSG04213.1.p1	HUMAN01740, HUMAN28679
OG0000031	OFUSG03902.1.p1, OFUSG03902.2.p1	HUMAN17850
OG0000031	OFUSG16479.2.p1, OFUSG16479.1.p1	HUMAN06489, HUMAN17883, HUMAN26042
OG0000031	OFUSG03938.1.p1	HUMAN26043
OG0000031	OFUSG09754.1.p1	HUMAN09203
OG0000031	OFUSG12627.1.p1	HUMAN26979, HUMAN14235
OG0000031	OFUSG02210.1.p1	HUMAN07725
OG0000031	OFUSG17671.1.p1	HUMAN14922, HUMAN14786
OG0000031	OFUSG16797.1.p1	HUMAN02818, HUMAN02819
OG0000032	OFUSG07861.1.p1	HUMAN27902
OG0000032	OFUSG18519.1.p1, OFUSG17008.1.p1, OFUSG09556.1.p1, OFUSG07282.1.p1, OFUSG25694.1.p1, OFUSG01271.1.p1, OFUSG01272.1.p1, OFUSG09756.1.p1, OFUSG20192.1.p1	HUMAN06107, HUMAN06100, HUMAN06101, HUMAN06103, HUMAN06106, HUMAN06104, HUMAN06102, HUMAN06105, HUMAN21527, HUMAN05202, HUMAN10072
OG0000032	OFUSG26521.2.p1, OFUSG26521.1.p1	HUMAN19258
OG0000032	OFUSG17627.1.p1, OFUSG17627.2.p1, OFUSG17268.1.p1	HUMAN23633, HUMAN23632
OG0000034	OFUSG15530.3.p1, OFUSG15530.1.p1, OFUSG15530.2.p1	HUMAN11672, HUMAN11673
OG0000034	OFUSG01833.2.p1, OFUSG01833.1.p1	HUMAN16339, HUMAN16340, HUMAN02345, HUMAN06854, HUMAN03933
OG0000034	OFUSG08780.1.p1	HUMAN01831, HUMAN13891
OG0000034	OFUSG00313.1.p1	HUMAN04678
OG0000034	OFUSG10792.1.p1, OFUSG10792.2.p1	HUMAN03081, HUMAN03094, HUMAN03080, HUMAN03093
OG0000034	OFUSG09735.1.p1	HUMAN04988
OG0000035	OFUSG16461.1.p1	HUMAN06576
OG0000035	OFUSG09470.1.p1	HUMAN09866
OG0000035	OFUSG07007.1.p1, OFUSG07007.2.p1	HUMAN06191, HUMAN03898
OG0000035	OFUSG07851.1.p1	HUMAN01402, HUMAN03900, HUMAN05812, HUMAN05810
OG0000035	OFUSG25460.1.p1, OFUSG07717.1.p1	HUMAN06812, HUMAN01460, HUMAN03952, HUMAN03954, HUMAN03955, HUMAN03951, HUMAN03953, HUMAN05843, HUMAN05844
OG0000035	OFUSG23601.1.p1	HUMAN04381, HUMAN04382
OG0000035	OFUSG07099.1.p1, OFUSG07288.1.p1, OFUSG07098.1.p1	HUMAN04383
OG0000036	OFUSG05112.1.p1	HUMAN08124, HUMAN11288
OG0000036	OFUSG06787.1.p1, OFUSG20561.1.p1, OFUSG20712.1.p1, OFUSG08497.1.p1, OFUSG08495.1.p1	HUMAN11555, HUMAN08152, HUMAN08151, HUMAN15233
OG0000036	OFUSG16630.1.p1, OFUSG16630.2.p1, OFUSG14389.1.p1, OFUSG16691.1.p1	HUMAN11289, HUMAN22872
OG0000036	OFUSG05272.1.p1	HUMAN27983, HUMAN15223
OG0000037	OFUSG11734.1.p1, OFUSG11735.1.p1, OFUSG11736.1.p1, OFUSG25144.1.p1	HUMAN25007, HUMAN25008, HUMAN25010, HUMAN25009, HUMAN25006, HUMAN02504, HUMAN08759, HUMAN04817
OG0000037	OFUSG11664.2.p1, OFUSG11664.3.p1, OFUSG11664.1.p1	HUMAN02659, HUMAN02660, HUMAN04897, HUMAN15443
OG0000037	OFUSG13518.1.p1	HUMAN19040, HUMAN28273, HUMAN16721
OG0000037	OFUSG24232.1.p1, OFUSG22475.1.p1	HUMAN03689
OG0000038	OFUSG03339.1.p1	HUMAN17661, HUMAN07446, HUMAN17632
OG0000038	OFUSG04771.1.p1	HUMAN18258
OG0000038	OFUSG26080.1.p1, OFUSG26080.2.p1	HUMAN18257
OG0000039	OFUSG18528.1.p1, OFUSG18528.2.p1	HUMAN02107, HUMAN02110, HUMAN02111
OG0000039	OFUSG13129.1.p1, OFUSG05314.1.p1	HUMAN29023
OG0000039	OFUSG09877.1.p1, OFUSG09877.2.p1, OFUSG09879.1.p1, OFUSG09879.3.p1	HUMAN13199
OG0000041	OFUSG15030.1.p1	HUMAN01392
OG0000041	OFUSG19628.1.p1, OFUSG17131.1.p1, OFUSG15513.1.p1, OFUSG15137.1.p1, OFUSG07153.1.p1, OFUSG07153.2.p1	HUMAN16072, HUMAN04227, HUMAN06826, HUMAN01391
OG0000041	OFUSG07896.1.p1	HUMAN15981, HUMAN01398, HUMAN05838, HUMAN01400, HUMAN01399, HUMAN05837, HUMAN01401, HUMAN05836, HUMAN04298
OG0000041	OFUSG21324.4.p1, OFUSG21324.2.p1, OFUSG21324.1.p1, OFUSG21324.3.p1	HUMAN19139, HUMAN27913
OG0000044	OFUSG03166.1.p1	HUMAN22417, HUMAN24391, HUMAN07519, HUMAN07517
OG0000046	OFUSG14160.1.p1	HUMAN23116
OG0000046	OFUSG02356.1.p1, OFUSG13304.1.p1, OFUSG25123.1.p1	HUMAN29094
OG0000048	OFUSG03456.1.p1	HUMAN29550
OG0000048	OFUSG11587.1.p1	HUMAN16328
OG0000048	OFUSG11562.2.p1, OFUSG11562.1.p1	HUMAN16644
OG0000048	OFUSG04756.1.p1	HUMAN11449
OG0000049	OFUSG00390.1.p1	HUMAN25699, HUMAN05316
OG0000049	OFUSG06038.1.p1	HUMAN20965, HUMAN26499
OG0000049	OFUSG18823.3.p1, OFUSG18823.1.p1, OFUSG18823.2.p1	HUMAN24353, HUMAN24922, HUMAN24921, HUMAN26912, HUMAN20433
OG0000051	OFUSG14314.1.p1	HUMAN22678
OG0000054	OFUSG09960.1.p1, OFUSG09960.2.p1, OFUSG09960.4.p1, OFUSG09960.5.p1, OFUSG09960.3.p1	HUMAN23119
OG0000054	OFUSG23922.1.p1, OFUSG23922.2.p1, OFUSG23922.3.p1, OFUSG13461.1.p1, OFUSG13461.2.p1, OFUSG22292.2.p1, OFUSG22292.1.p1, OFUSG00951.1.p1, OFUSG00949.1.p1, OFUSG16065.1.p1, OFUSG16065.2.p1, OFUSG16715.1.p1	HUMAN00960, HUMAN00959, HUMAN00963, HUMAN00962, HUMAN00961, HUMAN00964
OG0000056	OFUSG17281.1.p1	HUMAN22445, HUMAN01195, HUMAN14849, HUMAN14869, HUMAN14864, HUMAN14480, HUMAN01194
OG0000056	OFUSG00880.1.p1, OFUSG00880.2.p1	HUMAN07396, HUMAN07395
OG0000056	OFUSG00148.1.p1	HUMAN14865
OG0000057	OFUSG18495.1.p1	HUMAN23569, HUMAN10014
OG0000057	OFUSG02050.1.p1, OFUSG18016.1.p1, OFUSG01943.1.p1, OFUSG22981.1.p1, OFUSG23264.1.p1, OFUSG15744.1.p1, OFUSG15744.2.p1, OFUSG15743.1.p1, OFUSG15746.1.p1, OFUSG15746.2.p1, OFUSG15747.1.p1, OFUSG12096.1.p1, OFUSG12095.1.p1, OFUSG17581.1.p1	HUMAN29650
OG0000058	OFUSG21852.1.p1	HUMAN21777, HUMAN00114, HUMAN30319, HUMAN14551
OG0000058	OFUSG06504.1.p1	HUMAN17378, HUMAN03592
OG0000058	OFUSG18325.1.p1	HUMAN02623, HUMAN09237, HUMAN17157, HUMAN03406
OG0000059	OFUSG05392.2.p1, OFUSG05392.1.p1	HUMAN05382, HUMAN22839, HUMAN23845
OG0000060	OFUSG14955.1.p1, OFUSG23392.1.p1	HUMAN25284
OG0000061	OFUSG24472.3.p1, OFUSG24472.1.p1, OFUSG24472.2.p1, OFUSG16519.1.p1, OFUSG16362.1.p1, OFUSG16362.3.p1, OFUSG16362.2.p1	HUMAN17964, HUMAN26554
OG0000061	OFUSG04221.4.p1, OFUSG04221.3.p1, OFUSG04221.1.p1, OFUSG04221.2.p1	HUMAN18142, HUMAN20809
OG0000061	OFUSG16682.2.p1, OFUSG16682.1.p1	HUMAN26138, HUMAN26137, HUMAN12821
OG0000062	OFUSG20078.1.p1, OFUSG20078.2.p1	HUMAN05950, HUMAN05959, HUMAN05958, HUMAN06195
OG0000062	OFUSG20834.1.p1, OFUSG20834.2.p1, OFUSG05008.1.p1	HUMAN25285
OG0000063	OFUSG17109.2.p1, OFUSG17109.1.p1	HUMAN14398, HUMAN28499, HUMAN00858
OG0000063	OFUSG05823.2.p1, OFUSG05823.1.p1	HUMAN21099
OG0000063	OFUSG20081.1.p1	HUMAN00859, HUMAN28501
OG0000065	OFUSG22574.1.p1, OFUSG23358.1.p1, OFUSG12395.1.p1, OFUSG23801.1.p1, OFUSG23802.1.p1, OFUSG23800.1.p1, OFUSG01605.1.p1, OFUSG15392.1.p1, OFUSG01606.1.p1, OFUSG01817.1.p1, OFUSG16109.1.p1, OFUSG08606.1.p1, OFUSG25251.1.p1, OFUSG10638.1.p1, OFUSG03941.1.p1, OFUSG20646.1.p1, OFUSG26222.1.p1, OFUSG00747.1.p1, OFUSG00365.1.p1, OFUSG20533.1.p1, OFUSG15764.2.p1, OFUSG15764.4.p1, OFUSG15764.3.p1, OFUSG15764.1.p1, OFUSG13353.1.p1, OFUSG22698.1.p1, OFUSG15763.1.p1, OFUSG02049.1.p1, OFUSG22680.1.p1, OFUSG22697.1.p1, OFUSG16096.1.p1, OFUSG15767.1.p1, OFUSG12866.1.p1, OFUSG09226.1.p1, OFUSG09226.2.p1, OFUSG25542.1.p1, OFUSG21873.1.p1, OFUSG21872.1.p1, OFUSG07631.1.p1, OFUSG23384.1.p1, OFUSG15143.1.p1, OFUSG15928.1.p1, OFUSG00649.1.p1, OFUSG25620.1.p1, OFUSG08202.1.p1, OFUSG19583.1.p1, OFUSG13387.1.p1	HUMAN29458, HUMAN05357, HUMAN25383, HUMAN14424, HUMAN14423, HUMAN14422
OG0000066	OFUSG23527.1.p1	HUMAN29798
OG0000067	OFUSG07801.1.p1, OFUSG07801.2.p1, OFUSG09800.1.p1	HUMAN24070, HUMAN22809
OG0000068	OFUSG19455.1.p1	HUMAN30510, HUMAN30509, HUMAN20837, HUMAN20380, HUMAN30511, HUMAN21486, HUMAN06933
OG0000068	OFUSG06649.2.p1, OFUSG06649.1.p1	HUMAN20381
OG0000069	OFUSG26970.1.p1, OFUSG26971.1.p1, OFUSG26969.1.p1	HUMAN01569
OG0000070	OFUSG13486.2.p1, OFUSG13486.1.p1, OFUSG01308.1.p1, OFUSG01308.2.p1	HUMAN25671, HUMAN29634, HUMAN30393
OG0000070	OFUSG12713.1.p1	HUMAN20129, HUMAN13391, HUMAN14097
OG0000071	OFUSG13633.1.p1, OFUSG18328.1.p1	HUMAN17352
OG0000072	OFUSG02543.3.p1, OFUSG02543.1.p1, OFUSG02543.2.p1	HUMAN24108, HUMAN23125, HUMAN05334
OG0000072	OFUSG02679.1.p1, OFUSG02679.2.p1	HUMAN22965, HUMAN22964, HUMAN04101
OG0000072	OFUSG03079.1.p1	HUMAN22852
OG0000073	OFUSG09086.1.p1, OFUSG00356.1.p1, OFUSG20720.1.p1	HUMAN25174, HUMAN25175
OG0000074	OFUSG24829.1.p1, OFUSG06062.1.p1	HUMAN07045, HUMAN07044, HUMAN21437
OG0000075	OFUSG16172.1.p1	HUMAN18233
OG0000075	OFUSG16504.1.p1	HUMAN06329
OG0000075	OFUSG13755.2.p1, OFUSG13755.1.p1	HUMAN00444
OG0000075	OFUSG26879.2.p1, OFUSG26879.1.p1	HUMAN05218
OG0000075	OFUSG16171.1.p1, OFUSG16171.2.p1	HUMAN18234, HUMAN06328
OG0000075	OFUSG06373.1.p1	HUMAN01424, HUMAN01425, HUMAN26867
OG0000075	OFUSG05709.1.p1	HUMAN05783, HUMAN21047
OG0000075	OFUSG18892.2.p1, OFUSG18892.1.p1	HUMAN20335, HUMAN20336, HUMAN20532
OG0000075	OFUSG19094.1.p1	HUMAN26884
OG0000077	OFUSG19468.1.p1	HUMAN18656, HUMAN24161, HUMAN27605, HUMAN27606
OG0000077	OFUSG05945.4.p1, OFUSG05945.3.p1, OFUSG05945.2.p1, OFUSG05945.1.p1	HUMAN17351, HUMAN03646, HUMAN22147, HUMAN22146
OG0000077	OFUSG04692.1.p1	HUMAN25299, HUMAN00457, HUMAN21175, HUMAN25341, HUMAN23402
OG0000078	OFUSG04718.1.p1	HUMAN15000, HUMAN04284, HUMAN06996
