Orthogroup	OWEFU	APOSC_ok
OG0000003	OFUSG23734.1.p1, OFUSG18791.1.p1, OFUSG23315.1.p1	APOSC_20479
OG0000003	OFUSG02265.1.p1, OFUSG04605.1.p1, OFUSG24540.1.p1, OFUSG24474.1.p1, OFUSG20752.1.p1, OFUSG01393.1.p1, OFUSG25330.1.p1	APOSC_06472
OG0000004	OFUSG24712.2.p1, OFUSG24712.1.p1, OFUSG20755.1.p1, OFUSG20753.1.p1, OFUSG20754.1.p1, OFUSG14752.1.p1	APOSC_28059
OG0000005	OFUSG15197.1.p1, OFUSG15195.1.p1	APOSC_24691
OG0000005	OFUSG04131.1.p1, OFUSG08841.1.p1, OFUSG17326.1.p1, OFUSG20156.1.p1, OFUSG19966.1.p1, OFUSG09231.1.p1, OFUSG09655.1.p1	APOSC_15445, APOSC_13185, APOSC_03153
OG0000005	OFUSG26276.1.p1	APOSC_23541
OG0000005	OFUSG20119.1.p1, OFUSG08484.1.p1	APOSC_21707
OG0000006	OFUSG17934.3.p1, OFUSG17934.2.p1, OFUSG17934.1.p1	APOSC_10640
OG0000006	OFUSG02905.1.p1	APOSC_17637
OG0000006	OFUSG14509.1.p1	APOSC_08216
OG0000006	OFUSG25514.1.p1	APOSC_08805
OG0000006	OFUSG07929.1.p1	APOSC_27173, APOSC_08430, APOSC_08431
OG0000006	OFUSG05068.1.p1, OFUSG21700.1.p1, OFUSG21701.1.p1	APOSC_25251, APOSC_25252
OG0000006	OFUSG10782.1.p1	APOSC_19228
OG0000006	OFUSG09474.1.p1, OFUSG09474.2.p1	APOSC_11581
OG0000006	OFUSG18090.1.p1	APOSC_02745
OG0000006	OFUSG08659.1.p1	APOSC_10711
OG0000006	OFUSG18494.1.p1, OFUSG18494.2.p1	APOSC_28483, APOSC_20785, APOSC_25644
OG0000006	OFUSG11532.2.p1, OFUSG11532.1.p1, OFUSG11532.3.p1	APOSC_06790, APOSC_06791
OG0000006	OFUSG05485.1.p1	APOSC_23470
OG0000007	OFUSG09476.1.p1	APOSC_19545
OG0000007	OFUSG21527.1.p1	APOSC_11262
OG0000007	OFUSG09642.1.p1, OFUSG09693.1.p1	APOSC_11791
OG0000007	OFUSG13716.1.p1	APOSC_29119
OG0000007	OFUSG05364.1.p1	APOSC_11745
OG0000007	OFUSG04867.2.p1, OFUSG04867.1.p1	APOSC_20868
OG0000007	OFUSG23111.1.p1	APOSC_21514
OG0000007	OFUSG04768.1.p1	APOSC_25152
OG0000007	OFUSG08948.1.p1	APOSC_15698
OG0000007	OFUSG25429.1.p1	APOSC_04562
OG0000007	OFUSG21828.2.p1, OFUSG21828.1.p1	APOSC_09541, APOSC_09542
OG0000007	OFUSG10613.1.p1	APOSC_10715
OG0000007	OFUSG23528.4.p1, OFUSG23528.1.p1, OFUSG23528.2.p1, OFUSG23528.3.p1	APOSC_17950
OG0000007	OFUSG25241.1.p1	APOSC_07482
OG0000008	OFUSG25732.1.p1	APOSC_02254, APOSC_22517
OG0000008	OFUSG14096.1.p1	APOSC_12318
OG0000008	OFUSG20435.1.p1	APOSC_29142
OG0000008	OFUSG00781.1.p1, OFUSG00781.2.p1, OFUSG11535.1.p1, OFUSG02555.1.p1, OFUSG00311.1.p1, OFUSG02548.1.p1, OFUSG18114.1.p1, OFUSG03040.1.p1, OFUSG07904.1.p1, OFUSG03922.1.p1	APOSC_05395
OG0000008	OFUSG01705.1.p1, OFUSG01704.1.p1, OFUSG01067.1.p1	APOSC_25161
OG0000010	OFUSG26732.1.p1, OFUSG03629.1.p1, OFUSG16394.1.p1, OFUSG18342.1.p1, OFUSG21206.1.p1, OFUSG23433.1.p1	APOSC_17642
OG0000010	OFUSG05937.1.p1	APOSC_12174
OG0000012	OFUSG14153.2.p1, OFUSG14153.1.p1, OFUSG14153.3.p1	APOSC_26906, APOSC_13089
OG0000012	OFUSG12200.1.p1, OFUSG04333.1.p1, OFUSG15962.2.p1, OFUSG15962.1.p1, OFUSG16395.2.p1, OFUSG16395.1.p1, OFUSG16273.2.p1, OFUSG16273.1.p1, OFUSG16273.3.p1, OFUSG04682.1.p1, OFUSG22368.1.p1, OFUSG22367.1.p1, OFUSG22366.1.p1	APOSC_26545
OG0000012	OFUSG13750.1.p1, OFUSG26096.1.p1	APOSC_14826
OG0000013	OFUSG01707.1.p1, OFUSG01708.1.p1, OFUSG22026.1.p1, OFUSG22025.1.p1, OFUSG17332.1.p1, OFUSG12573.1.p1, OFUSG09407.1.p1, OFUSG09404.1.p1, OFUSG09402.1.p1, OFUSG09408.1.p1, OFUSG09406.1.p1, OFUSG09400.1.p1, OFUSG19545.1.p1, OFUSG21789.1.p1, OFUSG21797.1.p1, OFUSG21790.1.p1, OFUSG21798.1.p1, OFUSG19408.1.p1	APOSC_26024, APOSC_17612
OG0000014	OFUSG09895.2.p1, OFUSG09895.1.p1, OFUSG25487.1.p1, OFUSG16820.1.p1, OFUSG25374.2.p1, OFUSG25374.3.p1, OFUSG25374.1.p1, OFUSG26341.1.p1, OFUSG07532.1.p1, OFUSG25831.1.p1, OFUSG10758.1.p1, OFUSG23286.1.p1, OFUSG03351.1.p1, OFUSG22799.1.p1	APOSC_12674, APOSC_23467, APOSC_12182, APOSC_12181, APOSC_04687, APOSC_28041, APOSC_18468, APOSC_13472
OG0000014	OFUSG05464.1.p1, OFUSG05465.1.p1, OFUSG06729.1.p1, OFUSG06729.2.p1, OFUSG06620.1.p1, OFUSG05782.1.p1, OFUSG05806.1.p1, OFUSG25239.1.p1, OFUSG05463.1.p1, OFUSG06975.1.p1, OFUSG19549.1.p1, OFUSG05975.1.p1	APOSC_19789
OG0000014	OFUSG00805.1.p1	APOSC_00187
OG0000015	OFUSG02249.1.p1	APOSC_22269
OG0000015	OFUSG03122.3.p1, OFUSG03122.2.p1, OFUSG03122.1.p1	APOSC_28752
OG0000015	OFUSG02213.1.p1, OFUSG02213.2.p1, OFUSG03120.2.p1, OFUSG03120.3.p1, OFUSG03120.1.p1	APOSC_04279
OG0000016	OFUSG16773.1.p1	APOSC_05404, APOSC_06852, APOSC_19259
OG0000016	OFUSG06387.1.p1, OFUSG05927.1.p1, OFUSG10030.1.p1, OFUSG10824.1.p1, OFUSG18493.1.p1, OFUSG18488.1.p1, OFUSG18491.1.p1	APOSC_09217
OG0000016	OFUSG10402.1.p1	APOSC_09216
OG0000016	OFUSG13895.1.p1	APOSC_26372, APOSC_26868, APOSC_26028
OG0000016	OFUSG11848.1.p1	APOSC_14883
OG0000016	OFUSG06227.1.p1	APOSC_28721
OG0000016	OFUSG14920.1.p1, OFUSG23914.1.p1	APOSC_27534, APOSC_05485, APOSC_19884
OG0000018	OFUSG02956.1.p1	APOSC_17923
OG0000018	OFUSG14111.1.p3	APOSC_01211
OG0000019	OFUSG08823.1.p1	APOSC_15479, APOSC_17249, APOSC_17250, APOSC_21840
OG0000019	OFUSG04421.1.p1, OFUSG13833.1.p1, OFUSG25829.1.p1, OFUSG14065.1.p1, OFUSG25830.1.p1, OFUSG14040.1.p1	APOSC_11237, APOSC_00757, APOSC_06078, APOSC_12007, APOSC_14511, APOSC_21290, APOSC_03807, APOSC_15494
OG0000019	OFUSG11853.1.p1, OFUSG11853.3.p1, OFUSG11853.2.p1	APOSC_14801, APOSC_11507
OG0000020	OFUSG19131.1.p1	APOSC_14708
OG0000020	OFUSG13406.1.p1	APOSC_26550
OG0000020	OFUSG14744.1.p1	APOSC_09964
OG0000021	OFUSG18643.1.p1	APOSC_11990
OG0000021	OFUSG19367.2.p1, OFUSG19367.1.p1	APOSC_06563, APOSC_06562
OG0000021	OFUSG24230.1.p1, OFUSG15132.1.p1, OFUSG15132.2.p1	APOSC_02202
OG0000021	OFUSG03542.1.p1, OFUSG03403.1.p1, OFUSG03403.2.p1, OFUSG16515.1.p1, OFUSG16515.2.p1, OFUSG16222.2.p1, OFUSG16222.1.p1, OFUSG13726.2.p1, OFUSG13726.1.p1, OFUSG22547.2.p1, OFUSG22547.1.p1	APOSC_09814
OG0000021	OFUSG19689.1.p1, OFUSG09303.1.p1, OFUSG14494.2.p1, OFUSG14494.1.p1, OFUSG26703.1.p1, OFUSG06096.1.p1, OFUSG07156.1.p1	APOSC_03399, APOSC_23486, APOSC_20200, APOSC_20201, APOSC_00458, APOSC_17587, APOSC_13199, APOSC_11609, APOSC_23651, APOSC_17223, APOSC_20614
OG0000021	OFUSG25558.2.p1, OFUSG25558.1.p1, OFUSG03208.1.p1, OFUSG03209.1.p1, OFUSG03193.1.p1, OFUSG03185.1.p1, OFUSG03188.1.p1	APOSC_04995, APOSC_08508, APOSC_08509, APOSC_11901, APOSC_23082
OG0000023	OFUSG06069.1.p1	APOSC_14758
OG0000023	OFUSG15304.2.p1, OFUSG15304.1.p1, OFUSG15456.2.p1, OFUSG15456.1.p1	APOSC_23823, APOSC_12992, APOSC_08983, APOSC_08982
OG0000023	OFUSG14875.1.p1, OFUSG15289.1.p1, OFUSG15289.2.p1	APOSC_18183, APOSC_27088, APOSC_07209, APOSC_18870, APOSC_12268, APOSC_15754, APOSC_15753
OG0000026	OFUSG07096.1.p1, OFUSG14450.1.p1, OFUSG11988.1.p1, OFUSG07552.1.p1, OFUSG06751.1.p1, OFUSG08116.1.p1, OFUSG06159.1.p1, OFUSG25623.1.p1	APOSC_12180
OG0000026	OFUSG26427.1.p1	APOSC_13965
OG0000026	OFUSG25446.1.p1	APOSC_19946, APOSC_16869, APOSC_02238, APOSC_26096, APOSC_26099, APOSC_26100, APOSC_26095, APOSC_02237, APOSC_26097, APOSC_26098, APOSC_26101, APOSC_29011, APOSC_29010
OG0000026	OFUSG24229.1.p1	APOSC_14214
OG0000028	OFUSG08406.1.p1, OFUSG07639.1.p1	APOSC_00641
OG0000028	OFUSG09732.1.p1, OFUSG14981.3.p1, OFUSG14981.2.p1, OFUSG14981.1.p1, OFUSG09734.1.p1, OFUSG08335.1.p1, OFUSG09733.1.p1, OFUSG09733.2.p1	APOSC_18684
OG0000028	OFUSG13583.2.p1, OFUSG13583.4.p1, OFUSG13584.1.p1, OFUSG13583.3.p1, OFUSG13583.1.p1, OFUSG09817.1.p1, OFUSG09817.2.p1, OFUSG09817.4.p1, OFUSG09817.3.p1, OFUSG09817.5.p1	APOSC_17838, APOSC_17839
OG0000028	OFUSG16442.1.p1, OFUSG16442.2.p1	APOSC_22919, APOSC_22920
OG0000028	OFUSG12432.2.p1, OFUSG12432.1.p1, OFUSG25286.1.p1, OFUSG11555.1.p1	APOSC_04255, APOSC_27024, APOSC_04522
OG0000029	OFUSG26611.2.p1, OFUSG26611.1.p1	APOSC_07574, APOSC_20436
OG0000029	OFUSG21155.1.p1	APOSC_04700
OG0000029	OFUSG15790.1.p1, OFUSG00743.1.p1, OFUSG20635.1.p1, OFUSG20634.1.p1, OFUSG14781.1.p1, OFUSG14779.1.p1, OFUSG14780.1.p1, OFUSG14783.1.p1, OFUSG20636.1.p1, OFUSG20271.1.p1, OFUSG26756.1.p1, OFUSG04638.1.p1, OFUSG03243.1.p1, OFUSG11383.1.p1, OFUSG19505.1.p1, OFUSG16898.2.p1, OFUSG16898.1.p1	APOSC_15506
OG0000030	OFUSG16143.1.p1	APOSC_06833, APOSC_14874, APOSC_04381
OG0000030	OFUSG07789.1.p1, OFUSG07787.1.p1	APOSC_23944, APOSC_11647, APOSC_21982
OG0000030	OFUSG04213.1.p1	APOSC_21869, APOSC_21866, APOSC_21868, APOSC_21867
OG0000030	OFUSG21119.1.p1	APOSC_00359
OG0000030	OFUSG17928.1.p1	APOSC_18052, APOSC_19478
OG0000030	OFUSG17612.1.p1, OFUSG12869.1.p1	APOSC_12149
OG0000031	OFUSG02441.1.p1	APOSC_16590
OG0000031	OFUSG03747.1.p1, OFUSG01964.1.p1	APOSC_14603
OG0000031	OFUSG03902.1.p1, OFUSG03902.2.p1	APOSC_14687
OG0000031	OFUSG16479.2.p1, OFUSG16479.1.p1	APOSC_14535
OG0000031	OFUSG09754.1.p1	APOSC_00328
OG0000031	OFUSG12627.1.p1	APOSC_01319
OG0000031	OFUSG02210.1.p1	APOSC_17680
OG0000031	OFUSG17671.1.p1	APOSC_02579
OG0000031	OFUSG16797.1.p1	APOSC_22997
OG0000032	OFUSG18519.1.p1, OFUSG17008.1.p1, OFUSG09556.1.p1, OFUSG07282.1.p1, OFUSG25694.1.p1, OFUSG01271.1.p1, OFUSG01272.1.p1, OFUSG09756.1.p1, OFUSG20192.1.p1	APOSC_07613, APOSC_02397, APOSC_12691, APOSC_10351, APOSC_01318, APOSC_23129, APOSC_10044
OG0000032	OFUSG26521.2.p1, OFUSG26521.1.p1	APOSC_24218, APOSC_15369, APOSC_23030, APOSC_14347, APOSC_17486, APOSC_15168, APOSC_06921, APOSC_26892, APOSC_15726
OG0000034	OFUSG15530.3.p1, OFUSG15530.1.p1, OFUSG15530.2.p1	APOSC_28767, APOSC_28766
OG0000034	OFUSG01833.2.p1, OFUSG01833.1.p1	APOSC_00389
OG0000034	OFUSG08780.1.p1	APOSC_10138
OG0000034	OFUSG00313.1.p1	APOSC_10830
OG0000034	OFUSG08088.1.p1	APOSC_00072
OG0000034	OFUSG09735.1.p1	APOSC_15909
OG0000035	OFUSG08016.1.p1, OFUSG08016.2.p1	APOSC_21179
OG0000035	OFUSG16461.1.p1	APOSC_27035
OG0000035	OFUSG07703.1.p1	APOSC_22023, APOSC_22024, APOSC_12588, APOSC_03857, APOSC_23863, APOSC_01826
OG0000035	OFUSG09470.1.p1	APOSC_25872
OG0000035	OFUSG07007.1.p1, OFUSG07007.2.p1	APOSC_04998
OG0000035	OFUSG07851.1.p1	APOSC_25573
OG0000035	OFUSG25460.1.p1, OFUSG07717.1.p1	APOSC_08656, APOSC_21135, APOSC_21136
OG0000035	OFUSG07099.1.p1, OFUSG07288.1.p1, OFUSG07098.1.p1	APOSC_16251, APOSC_27270
OG0000036	OFUSG20712.1.p1, OFUSG08497.1.p1, OFUSG08495.1.p1	APOSC_08020, APOSC_04631, APOSC_04630, APOSC_25667
OG0000036	OFUSG16630.1.p1, OFUSG16630.2.p1, OFUSG14389.1.p1, OFUSG16691.1.p1	APOSC_05772, APOSC_15090, APOSC_26588, APOSC_00378, APOSC_07168, APOSC_20421, APOSC_22182, APOSC_21353, APOSC_15807, APOSC_21905, APOSC_27485
OG0000036	OFUSG05272.1.p1	APOSC_22964, APOSC_22965, APOSC_06557, APOSC_05790, APOSC_07698, APOSC_26587, APOSC_05773, APOSC_15091, APOSC_15092
OG0000037	OFUSG11734.1.p1, OFUSG11735.1.p1, OFUSG11736.1.p1, OFUSG25144.1.p1	APOSC_01516
OG0000037	OFUSG11664.2.p1, OFUSG11664.3.p1, OFUSG11664.1.p1	APOSC_24133
OG0000037	OFUSG24232.1.p1, OFUSG22475.1.p1	APOSC_09580, APOSC_09579
OG0000038	OFUSG06853.1.p1	APOSC_27834
OG0000038	OFUSG15211.1.p1	APOSC_14280, APOSC_05817, APOSC_20988
OG0000038	OFUSG03339.1.p1	APOSC_26556, APOSC_03113
OG0000038	OFUSG04771.1.p1	APOSC_05456, APOSC_13411, APOSC_17001, APOSC_06556
OG0000038	OFUSG26080.1.p1, OFUSG26080.2.p1	APOSC_25222, APOSC_10656
OG0000039	OFUSG18528.1.p1, OFUSG18528.2.p1	APOSC_12842, APOSC_27514
OG0000039	OFUSG23983.1.p1, OFUSG19239.1.p1, OFUSG06237.1.p1, OFUSG06237.2.p1, OFUSG00510.1.p1, OFUSG02549.1.p1, OFUSG13134.1.p1, OFUSG13129.1.p1, OFUSG05314.1.p1, OFUSG13135.1.p1, OFUSG07045.1.p1	APOSC_00666
OG0000039	OFUSG11857.1.p1	APOSC_22387
OG0000039	OFUSG09877.1.p1, OFUSG09877.2.p1, OFUSG09879.1.p1, OFUSG09879.3.p1	APOSC_06140, APOSC_06138, APOSC_06139, APOSC_14138, APOSC_03802, APOSC_26119, APOSC_03803, APOSC_06401, APOSC_25262
OG0000040	OFUSG26663.1.p1, OFUSG26665.1.p1, OFUSG26662.1.p1, OFUSG26667.2.p1, OFUSG26667.1.p1, OFUSG26660.1.p1, OFUSG26661.1.p1, OFUSG26664.2.p1, OFUSG26661.2.p1, OFUSG26664.1.p1, OFUSG00178.1.p1, OFUSG00136.1.p1, OFUSG00136.2.p1, OFUSG26668.1.p1, OFUSG00137.1.p1	APOSC_11722
OG0000041	OFUSG26511.5.p1, OFUSG26511.1.p1, OFUSG26511.3.p1, OFUSG26511.2.p1, OFUSG26511.4.p1, OFUSG15030.1.p1, OFUSG24031.1.p1, OFUSG24027.1.p1, OFUSG19628.1.p1, OFUSG17131.1.p1, OFUSG15513.1.p1, OFUSG15137.1.p1, OFUSG07153.1.p1, OFUSG07153.2.p1	APOSC_19034
OG0000041	OFUSG07896.1.p1	APOSC_26184
OG0000041	OFUSG21324.4.p1, OFUSG21324.2.p1, OFUSG21324.1.p1, OFUSG21324.3.p1	APOSC_00445
OG0000043	OFUSG22688.1.p1	APOSC_07558
OG0000044	OFUSG03166.1.p1	APOSC_03195, APOSC_22317, APOSC_27143
OG0000044	OFUSG11434.1.p1, OFUSG13798.1.p1, OFUSG12158.2.p1, OFUSG12158.1.p1	APOSC_11406
OG0000044	OFUSG22654.1.p1, OFUSG22653.1.p1, OFUSG15735.1.p1, OFUSG15574.1.p1, OFUSG15256.2.p1, OFUSG15256.1.p1, OFUSG15731.1.p1, OFUSG15125.1.p1, OFUSG23742.1.p1, OFUSG15245.1.p1	APOSC_23682, APOSC_07549
OG0000045	OFUSG07522.1.p1	APOSC_00620, APOSC_28402, APOSC_22340
OG0000045	OFUSG07521.1.p1	APOSC_21821
OG0000045	OFUSG11066.2.p1, OFUSG11066.1.p1	APOSC_04551
OG0000045	OFUSG07524.1.p1, OFUSG00566.1.p1, OFUSG00564.1.p1, OFUSG00563.1.p1, OFUSG00567.1.p1	APOSC_08754
OG0000045	OFUSG21045.1.p1, OFUSG07523.1.p1	APOSC_22210, APOSC_25137, APOSC_21940
OG0000046	OFUSG08597.1.p1, OFUSG08595.1.p1, OFUSG25817.1.p1, OFUSG06162.1.p1, OFUSG17068.1.p1, OFUSG10763.1.p1, OFUSG10761.1.p1	APOSC_17204, APOSC_26711
OG0000048	OFUSG15815.1.p1	APOSC_08378
OG0000048	OFUSG15705.1.p1	APOSC_06436
OG0000048	OFUSG11584.1.p1	APOSC_03154
OG0000048	OFUSG11587.1.p1	APOSC_05588
OG0000048	OFUSG11562.2.p1, OFUSG11562.1.p1	APOSC_11695
OG0000048	OFUSG07757.1.p1, OFUSG07755.1.p1, OFUSG07756.1.p1, OFUSG07755.2.p2, OFUSG07756.2.p1, OFUSG07027.1.p1	APOSC_20195, APOSC_19960, APOSC_08567, APOSC_07074, APOSC_07656
OG0000048	OFUSG04756.1.p1	APOSC_03220
OG0000049	OFUSG00390.1.p1	APOSC_16875
OG0000049	OFUSG06038.1.p1	APOSC_03799
OG0000049	OFUSG18823.3.p1, OFUSG18823.1.p1, OFUSG18823.2.p1	APOSC_10378
OG0000049	OFUSG23568.1.p1, OFUSG21437.1.p1	APOSC_00932
OG0000049	OFUSG21750.1.p1, OFUSG17729.1.p1, OFUSG17727.1.p1, OFUSG17730.1.p1, OFUSG19421.1.p1, OFUSG19423.1.p1, OFUSG19424.1.p1	APOSC_12037, APOSC_12038
OG0000049	OFUSG19056.1.p1, OFUSG22443.1.p1	APOSC_06675, APOSC_16013, APOSC_03058, APOSC_16012
OG0000050	OFUSG14496.1.p1	APOSC_13214, APOSC_23760, APOSC_25497
OG0000050	OFUSG00506.1.p1	APOSC_04902
OG0000051	OFUSG17623.1.p1, OFUSG24736.1.p1	APOSC_27336, APOSC_26514, APOSC_20666, APOSC_22461, APOSC_22344, APOSC_05956, APOSC_05955, APOSC_12406, APOSC_19227, APOSC_13392, APOSC_24381, APOSC_14991, APOSC_06697, APOSC_26726, APOSC_24540, APOSC_13520, APOSC_16788, APOSC_16789
OG0000053	OFUSG05561.1.p1	APOSC_18028
OG0000053	OFUSG08626.1.p1	APOSC_02303
OG0000054	OFUSG09960.1.p1, OFUSG09960.2.p1, OFUSG09960.4.p1, OFUSG09960.5.p1, OFUSG09960.3.p1	APOSC_11718, APOSC_21385, APOSC_21386, APOSC_08913, APOSC_09151
OG0000055	OFUSG21722.1.p2, OFUSG08892.1.p1	APOSC_22457
OG0000056	OFUSG17281.1.p1	APOSC_00208, APOSC_00207, APOSC_00209
OG0000056	OFUSG19663.1.p1	APOSC_17578, APOSC_21646
OG0000057	OFUSG02050.1.p1, OFUSG18016.1.p1, OFUSG01943.1.p1, OFUSG22981.1.p1, OFUSG23264.1.p1, OFUSG15744.1.p1, OFUSG15744.2.p1, OFUSG15743.1.p1, OFUSG15746.1.p1, OFUSG15746.2.p1, OFUSG15747.1.p1, OFUSG12096.1.p1, OFUSG12095.1.p1, OFUSG17581.1.p1	APOSC_23236, APOSC_24402, APOSC_06368
OG0000058	OFUSG06504.1.p1	APOSC_09888
OG0000058	OFUSG25338.1.p1	APOSC_22361, APOSC_16962, APOSC_27470, APOSC_25169, APOSC_25682
OG0000059	OFUSG03529.1.p1, OFUSG03529.2.p1	APOSC_17410
OG0000059	OFUSG05392.2.p1, OFUSG05392.1.p1	APOSC_00480
OG0000060	OFUSG14955.1.p1, OFUSG23392.1.p1	APOSC_15645
OG0000060	OFUSG21371.2.p1, OFUSG21371.1.p1	APOSC_26756
OG0000061	OFUSG24472.3.p1, OFUSG24472.1.p1, OFUSG24472.2.p1, OFUSG16519.1.p1, OFUSG16362.1.p1, OFUSG16362.3.p1, OFUSG16362.2.p1	APOSC_14996
OG0000061	OFUSG04221.4.p1, OFUSG04221.3.p1, OFUSG04221.1.p1, OFUSG04221.2.p1	APOSC_00292
OG0000061	OFUSG16682.2.p1, OFUSG16682.1.p1	APOSC_26114, APOSC_02472
OG0000061	OFUSG04054.2.p1, OFUSG04054.1.p1, OFUSG04054.3.p1	APOSC_22657, APOSC_15254
OG0000061	OFUSG16363.1.p1, OFUSG16363.2.p1	APOSC_00372
OG0000062	OFUSG20078.1.p1, OFUSG20078.2.p1	APOSC_13553, APOSC_13555, APOSC_22259, APOSC_22260, APOSC_26763
OG0000062	OFUSG20834.1.p1, OFUSG20834.2.p1, OFUSG05008.1.p1	APOSC_18486, APOSC_01084
OG0000063	OFUSG17109.2.p1, OFUSG17109.1.p1	APOSC_25041
OG0000063	OFUSG05823.2.p1, OFUSG05823.1.p1	APOSC_17949
OG0000063	OFUSG01195.1.p1, OFUSG20081.1.p1, OFUSG22244.1.p1, OFUSG01196.1.p1	APOSC_22074, APOSC_13172, APOSC_22080
OG0000063	OFUSG17598.1.p1, OFUSG17396.1.p1	APOSC_00283, APOSC_03289, APOSC_03344, APOSC_25427, APOSC_07856, APOSC_00623
OG0000064	OFUSG18700.1.p1, OFUSG11503.1.p1, OFUSG24568.1.p1, OFUSG14688.1.p1, OFUSG24348.1.p1, OFUSG04845.1.p1, OFUSG24050.1.p1	APOSC_21665, APOSC_24643, APOSC_02073, APOSC_18105, APOSC_02888, APOSC_19510, APOSC_15388, APOSC_20038, APOSC_07444, APOSC_02613, APOSC_05716, APOSC_25945, APOSC_15039, APOSC_20441, APOSC_24674, APOSC_13863, APOSC_14837, APOSC_08886
OG0000066	OFUSG16714.1.p1	APOSC_23538
OG0000066	OFUSG12881.1.p1, OFUSG12880.1.p1	APOSC_13619, APOSC_03780
OG0000066	OFUSG19426.1.p2	APOSC_07080, APOSC_23919
OG0000066	OFUSG14092.1.p1	APOSC_19084
OG0000067	OFUSG01517.1.p1, OFUSG21774.1.p1	APOSC_04289, APOSC_00615, APOSC_00616
OG0000067	OFUSG07801.1.p1, OFUSG07801.2.p1, OFUSG09800.1.p1	APOSC_06312, APOSC_24028, APOSC_22826, APOSC_27789, APOSC_07620, APOSC_22825, APOSC_12297, APOSC_15268, APOSC_06846
OG0000068	OFUSG06649.2.p1, OFUSG06649.1.p1	APOSC_04447, APOSC_04446, APOSC_11083, APOSC_11080, APOSC_11082, APOSC_20989, APOSC_25395, APOSC_02568
OG0000069	OFUSG26968.1.p1	APOSC_25357, APOSC_25356
