Orthogroup	OWEFU	BRALA
OG0000001	OFUSG10216.1.p1, OFUSG15117.1.p1	BRALA08781, BRALA24139, BRALA05562, BRALA26164, BRALA11954, BRALA26697, BRALA02698, BRALA05570, BRALA30227, BRALA11820, BRALA12085, BRALA30418, BRALA12110, BRALA00838
OG0000001	OFUSG22334.1.p1	BRALA34804
OG0000001	OFUSG18749.1.p1	BRALA17450, BRALA31564
OG0000001	OFUSG21348.1.p1	BRALA23764
OG0000001	OFUSG06637.1.p1	BRALA05603, BRALA05601, BRALA05597, BRALA11577, BRALA11578, BRALA16539, BRALA17939
OG0000001	OFUSG04205.1.p1, OFUSG01600.1.p1, OFUSG03605.1.p1	BRALA14819
OG0000001	OFUSG07127.1.p1	BRALA09015
OG0000002	OFUSG00560.1.p1	BRALA19734, BRALA28971, BRALA28972, BRALA28973, BRALA13962, BRALA24414, BRALA24243, BRALA17824, BRALA28952, BRALA33640, BRALA28951, BRALA34586
OG0000002	OFUSG12055.1.p1	BRALA02394, BRALA02393, BRALA12208, BRALA06193, BRALA06192, BRALA12524, BRALA04416, BRALA20174, BRALA26760, BRALA23949, BRALA18644, BRALA02269, BRALA16429, BRALA10636, BRALA22142, BRALA19929, BRALA19930, BRALA32338, BRALA20554, BRALA19928, BRALA04417, BRALA20500
OG0000002	OFUSG22946.2.p1	BRALA20754
OG0000002	OFUSG18506.1.p1	BRALA27121
OG0000002	OFUSG12538.1.p1	BRALA24331, BRALA13772, BRALA12787, BRALA28959, BRALA12788, BRALA12298, BRALA22141, BRALA22208, BRALA01522, BRALA21191, BRALA02619, BRALA12358, BRALA12505, BRALA16485, BRALA09406, BRALA12797
OG0000003	OFUSG18790.1.p1	BRALA33939, BRALA01916
OG0000003	OFUSG26533.1.p1	BRALA21392, BRALA32239
OG0000003	OFUSG17555.1.p1	BRALA31353
OG0000003	OFUSG08772.1.p1	BRALA05750
OG0000003	OFUSG21334.1.p1	BRALA07140
OG0000003	OFUSG16265.1.p1, OFUSG21683.1.p1	BRALA25224
OG0000003	OFUSG12884.1.p1	BRALA30232, BRALA07610
OG0000003	OFUSG13877.1.p1, OFUSG13877.2.p1	BRALA09721, BRALA02709
OG0000003	OFUSG04319.1.p1	BRALA24754
OG0000003	OFUSG05924.1.p1	BRALA10124
OG0000003	OFUSG23734.1.p1	BRALA02711
OG0000003	OFUSG23315.1.p1	BRALA07069
OG0000003	OFUSG23618.1.p1	BRALA07154
OG0000003	OFUSG08977.2.p1, OFUSG08977.1.p1	BRALA23384
OG0000003	OFUSG02265.1.p1	BRALA01914
OG0000003	OFUSG23317.1.p1	BRALA23910
OG0000004	OFUSG24397.1.p1, OFUSG24469.1.p1, OFUSG24469.2.p1, OFUSG24395.1.p1, OFUSG24554.2.p1, OFUSG24554.1.p1, OFUSG24396.1.p1, OFUSG24470.1.p1	BRALA23654, BRALA07044
OG0000005	OFUSG24728.1.p1, OFUSG03693.1.p1	BRALA11141, BRALA20236, BRALA24081, BRALA25210, BRALA25209, BRALA24049, BRALA24867, BRALA34270, BRALA18306, BRALA18305, BRALA22610, BRALA18416
OG0000005	OFUSG01432.2.p1, OFUSG01432.1.p1, OFUSG01434.1.p1, OFUSG01434.2.p1, OFUSG22435.1.p1, OFUSG07985.1.p1, OFUSG00507.1.p1, OFUSG04765.1.p1, OFUSG01152.1.p1, OFUSG04763.1.p1, OFUSG04764.1.p1, OFUSG17307.1.p1, OFUSG01079.1.p1, OFUSG20722.1.p1, OFUSG20723.1.p1, OFUSG20721.1.p1, OFUSG03976.2.p1, OFUSG03976.3.p1, OFUSG03976.1.p1, OFUSG20962.1.p1, OFUSG26395.1.p1, OFUSG26404.1.p1, OFUSG17086.1.p1, OFUSG23479.1.p1, OFUSG23482.2.p1, OFUSG23482.1.p1	BRALA00625, BRALA18455, BRALA18454, BRALA18460, BRALA18459, BRALA12234
OG0000005	OFUSG15197.1.p1, OFUSG15195.1.p1	BRALA25414, BRALA34368
OG0000005	OFUSG04131.1.p1, OFUSG08841.1.p1, OFUSG17326.1.p1, OFUSG20156.1.p1, OFUSG19966.1.p1, OFUSG09231.1.p1, OFUSG09655.1.p1	BRALA15288, BRALA15287
OG0000006	OFUSG11531.1.p1	BRALA27911
OG0000006	OFUSG17934.3.p1, OFUSG17934.2.p1, OFUSG17934.1.p1	BRALA06686
OG0000006	OFUSG02905.1.p1	BRALA19242
OG0000006	OFUSG14509.1.p1	BRALA06109
OG0000006	OFUSG14428.1.p1	BRALA23800
OG0000006	OFUSG07929.1.p1	BRALA07568, BRALA29276
OG0000006	OFUSG05068.1.p1, OFUSG21700.1.p1, OFUSG21701.1.p1	BRALA22280
OG0000006	OFUSG10782.1.p1	BRALA06185
OG0000006	OFUSG14810.1.p1	BRALA24212
OG0000006	OFUSG09474.1.p1, OFUSG09474.2.p1	BRALA17603
OG0000006	OFUSG07465.1.p1	BRALA30843
OG0000006	OFUSG21061.1.p1, OFUSG18090.1.p1	BRALA03602
OG0000006	OFUSG08659.1.p1	BRALA17591
OG0000006	OFUSG18494.1.p1, OFUSG18494.2.p1	BRALA24372
OG0000006	OFUSG11740.1.p1	BRALA24993
OG0000006	OFUSG11532.2.p1, OFUSG11532.1.p1, OFUSG11532.3.p1	BRALA24994
OG0000006	OFUSG11470.1.p1	BRALA22628
OG0000007	OFUSG09476.1.p1	BRALA13447, BRALA13448
OG0000007	OFUSG21527.1.p1	BRALA20872, BRALA20870
OG0000007	OFUSG09642.1.p1, OFUSG09693.1.p1	BRALA09541
OG0000007	OFUSG23682.1.p1	BRALA11149
OG0000007	OFUSG05364.1.p1	BRALA03260
OG0000007	OFUSG04867.2.p1, OFUSG04867.1.p1	BRALA20579
OG0000007	OFUSG23111.1.p1	BRALA03286
OG0000007	OFUSG04768.1.p1	BRALA03282
OG0000007	OFUSG09682.1.p1, OFUSG09683.1.p1	BRALA08350
OG0000007	OFUSG08948.1.p1	BRALA25787
OG0000007	OFUSG25429.1.p1	BRALA26097
OG0000007	OFUSG21828.2.p1, OFUSG21828.1.p1	BRALA22487
OG0000007	OFUSG10613.1.p1	BRALA18647
OG0000007	OFUSG23528.4.p1, OFUSG23528.1.p1, OFUSG23528.2.p1, OFUSG23528.3.p1	BRALA05625
OG0000007	OFUSG25241.1.p1	BRALA30788
OG0000008	OFUSG01560.1.p1	BRALA16035, BRALA05591
OG0000008	OFUSG15555.1.p1	BRALA27338
OG0000008	OFUSG15533.1.p1	BRALA10079, BRALA21454
OG0000008	OFUSG00781.1.p1, OFUSG00781.2.p1, OFUSG11535.1.p1, OFUSG02555.1.p1, OFUSG00311.1.p1, OFUSG02548.1.p1, OFUSG18114.1.p1, OFUSG03040.1.p1, OFUSG07904.1.p1, OFUSG03922.1.p1	BRALA27340
OG0000008	OFUSG01705.1.p1, OFUSG01704.1.p1, OFUSG01067.1.p1	BRALA20539
OG0000008	OFUSG18646.1.p1	BRALA05759, BRALA05754, BRALA05767, BRALA05758, BRALA05753, BRALA05580, BRALA32014
OG0000008	OFUSG05918.1.p1	BRALA28057
OG0000008	OFUSG11860.1.p1	BRALA03967, BRALA19653, BRALA26177, BRALA05739, BRALA19700, BRALA02027, BRALA02016, BRALA02018, BRALA22041, BRALA05740, BRALA09034
OG0000008	OFUSG08842.1.p1, OFUSG26620.1.p1, OFUSG13268.1.p1	BRALA19645
OG0000010	OFUSG20029.1.p1	BRALA05894
OG0000010	OFUSG26732.1.p1, OFUSG03629.1.p1, OFUSG16394.1.p1, OFUSG18342.1.p1, OFUSG21206.1.p1, OFUSG23433.1.p1	BRALA13736, BRALA14215, BRALA13464, BRALA24211, BRALA24209
OG0000010	OFUSG09248.1.p1	BRALA24210, BRALA03886
OG0000010	OFUSG05937.1.p1	BRALA08739, BRALA05744
OG0000010	OFUSG09897.1.p1, OFUSG08323.1.p1, OFUSG09247.1.p1	BRALA01026, BRALA09806
OG0000010	OFUSG10776.1.p1	BRALA20380, BRALA25997
OG0000010	OFUSG01743.1.p1	BRALA23788
OG0000010	OFUSG10415.1.p1, OFUSG10415.2.p1	BRALA23978, BRALA26010, BRALA26008, BRALA26958, BRALA23969
OG0000011	OFUSG08075.1.p1	BRALA34301
OG0000012	OFUSG12918.1.p1, OFUSG08171.1.p1, OFUSG25983.1.p1, OFUSG24954.1.p1, OFUSG14292.1.p1, OFUSG14293.1.p1, OFUSG14294.1.p1, OFUSG21301.1.p1, OFUSG24591.1.p1, OFUSG24955.1.p1	BRALA09401, BRALA09395, BRALA26096, BRALA05662
OG0000012	OFUSG14153.2.p1, OFUSG14153.1.p1, OFUSG14153.3.p1	BRALA12212, BRALA16898, BRALA21507, BRALA26960, BRALA19503, BRALA19502, BRALA19501, BRALA18532, BRALA31453, BRALA26961, BRALA08455, BRALA12215
OG0000012	OFUSG20656.1.p1, OFUSG20658.1.p1, OFUSG06519.1.p1, OFUSG06521.1.p1, OFUSG05812.1.p1, OFUSG06520.1.p1, OFUSG20570.1.p1, OFUSG20324.1.p1, OFUSG20571.1.p1, OFUSG10133.2.p1, OFUSG07223.1.p1	BRALA22013, BRALA27149, BRALA13116, BRALA30617, BRALA01515, BRALA11191, BRALA13154, BRALA13813, BRALA30615, BRALA30614, BRALA30613, BRALA35525, BRALA30616, BRALA30612, BRALA33283, BRALA20556, BRALA29089, BRALA20557, BRALA20559
OG0000012	OFUSG12200.1.p1, OFUSG04333.1.p1, OFUSG15962.2.p1, OFUSG15962.1.p1, OFUSG16395.2.p1, OFUSG16395.1.p1, OFUSG16273.2.p1, OFUSG16273.1.p1, OFUSG16273.3.p1, OFUSG04682.1.p1, OFUSG22368.1.p1, OFUSG22367.1.p1, OFUSG22366.1.p1	BRALA22947
OG0000012	OFUSG13750.1.p1, OFUSG26096.1.p1	BRALA20558, BRALA12213, BRALA23779, BRALA32735
OG0000013	OFUSG13136.1.p1, OFUSG22072.1.p1, OFUSG02692.1.p1, OFUSG22268.1.p1, OFUSG23241.1.p1	BRALA10995, BRALA11091, BRALA10996
OG0000013	OFUSG01707.1.p1, OFUSG01708.1.p1, OFUSG22026.1.p1, OFUSG22025.1.p1, OFUSG17332.1.p1, OFUSG12573.1.p1, OFUSG09407.1.p1, OFUSG09404.1.p1, OFUSG09402.1.p1, OFUSG09408.1.p1, OFUSG09406.1.p1, OFUSG09400.1.p1, OFUSG19545.1.p1, OFUSG21789.1.p1, OFUSG21797.1.p1, OFUSG21790.1.p1, OFUSG21798.1.p1, OFUSG19408.1.p1	BRALA32294, BRALA12236, BRALA30121, BRALA23251, BRALA30117, BRALA15745, BRALA16184, BRALA26074, BRALA19927, BRALA16969, BRALA20536, BRALA31575, BRALA04855, BRALA20488, BRALA16980, BRALA30511, BRALA16953, BRALA16964, BRALA28033, BRALA16970, BRALA23206, BRALA31240, BRALA23084, BRALA03245, BRALA05270, BRALA21240, BRALA11603, BRALA32226, BRALA32225, BRALA14863, BRALA11595, BRALA11594, BRALA14897, BRALA10656, BRALA10655, BRALA22697, BRALA13629, BRALA13628, BRALA10659, BRALA13631
OG0000013	OFUSG11222.1.p1, OFUSG06042.1.p1, OFUSG00249.1.p1, OFUSG06180.1.p1, OFUSG08166.1.p1, OFUSG15690.1.p1, OFUSG15877.1.p1, OFUSG07440.1.p1, OFUSG04377.1.p1, OFUSG04674.1.p1, OFUSG09984.1.p1, OFUSG22598.1.p1, OFUSG22594.1.p1, OFUSG22593.1.p1, OFUSG22595.1.p1, OFUSG22599.1.p1, OFUSG22597.1.p1, OFUSG22596.1.p1	BRALA20932
OG0000014	OFUSG09895.2.p1, OFUSG09895.1.p1, OFUSG25487.1.p1, OFUSG16820.1.p1, OFUSG25374.2.p1, OFUSG25374.3.p1, OFUSG25374.1.p1, OFUSG26341.1.p1, OFUSG07532.1.p1, OFUSG25831.1.p1, OFUSG10758.1.p1, OFUSG23286.1.p1, OFUSG03351.1.p1, OFUSG22799.1.p1	BRALA21801, BRALA21800, BRALA21799, BRALA01526, BRALA01524, BRALA18301, BRALA01520, BRALA04327, BRALA00445, BRALA00446, BRALA17457, BRALA17456, BRALA05967, BRALA05963, BRALA16193, BRALA05964, BRALA05965, BRALA06004, BRALA12570, BRALA24203, BRALA14273, BRALA09954, BRALA14267, BRALA14269, BRALA14274, BRALA07196, BRALA14079
OG0000014	OFUSG05464.1.p1, OFUSG05465.1.p1, OFUSG06729.1.p1, OFUSG06729.2.p1, OFUSG06620.1.p1, OFUSG05782.1.p1, OFUSG05806.1.p1, OFUSG25239.1.p1, OFUSG05463.1.p1, OFUSG06975.1.p1, OFUSG19549.1.p1, OFUSG05975.1.p1	BRALA21274
OG0000014	OFUSG00805.1.p1	BRALA28626, BRALA28625, BRALA28624
OG0000015	OFUSG16912.1.p1	BRALA21863
OG0000015	OFUSG02213.1.p1, OFUSG02213.2.p1, OFUSG03120.2.p1, OFUSG03120.3.p1, OFUSG03120.1.p1	BRALA22447
OG0000015	OFUSG17779.2.p1, OFUSG17779.1.p1, OFUSG02838.1.p1	BRALA18748, BRALA15755
OG0000015	OFUSG03112.2.p1, OFUSG03112.1.p1, OFUSG03112.5.p1, OFUSG03112.4.p1, OFUSG03112.3.p1, OFUSG03383.1.p1, OFUSG21185.4.p1, OFUSG21185.2.p1, OFUSG21185.3.p1, OFUSG21185.5.p1, OFUSG21185.1.p1, OFUSG13739.4.p1, OFUSG13739.2.p1, OFUSG13739.1.p1, OFUSG13739.3.p1, OFUSG13739.5.p1, OFUSG20919.1.p1, OFUSG20919.2.p1, OFUSG20920.1.p1, OFUSG20920.4.p1, OFUSG20920.3.p1, OFUSG20920.2.p1, OFUSG02048.2.p1, OFUSG02048.1.p1, OFUSG03297.1.p1	BRALA03405, BRALA12137, BRALA14251, BRALA11669, BRALA11671, BRALA11672, BRALA13048, BRALA14342, BRALA19701, BRALA22042, BRALA22048, BRALA22438
OG0000016	OFUSG06389.1.p1	BRALA34743
OG0000016	OFUSG16773.1.p1	BRALA00485
OG0000016	OFUSG24893.1.p1	BRALA14185, BRALA14188, BRALA14187, BRALA14186
OG0000016	OFUSG10402.1.p1	BRALA32113, BRALA10406
OG0000016	OFUSG13895.1.p1	BRALA21418, BRALA29534, BRALA13585
OG0000016	OFUSG11848.1.p1	BRALA24127
OG0000016	OFUSG14920.1.p1, OFUSG23914.1.p1	BRALA33945, BRALA35656, BRALA16777, BRALA04807, BRALA04808, BRALA09686, BRALA22170, BRALA33982
OG0000018	OFUSG02956.1.p1	BRALA26433
OG0000018	OFUSG14111.1.p3	BRALA29803, BRALA00712
OG0000019	OFUSG23776.1.p1	BRALA17788
OG0000019	OFUSG23567.1.p1, OFUSG09103.1.p1	BRALA16757, BRALA35055, BRALA10428
OG0000019	OFUSG04421.1.p1, OFUSG13833.1.p1, OFUSG25829.1.p1, OFUSG14065.1.p1, OFUSG25830.1.p1, OFUSG14040.1.p1	BRALA00309, BRALA00310, BRALA00311
OG0000019	OFUSG11853.1.p1, OFUSG11853.3.p1, OFUSG11853.2.p1	BRALA00404, BRALA00405
OG0000019	OFUSG19407.1.p1, OFUSG06826.1.p1	BRALA23253, BRALA16935, BRALA16938, BRALA16161, BRALA13485, BRALA13484, BRALA13482, BRALA33941, BRALA13483, BRALA08371, BRALA00611, BRALA01467, BRALA08352, BRALA01468, BRALA26666, BRALA08383, BRALA00610, BRALA13160
OG0000020	OFUSG17234.1.p1	BRALA12010
OG0000020	OFUSG13197.1.p1	BRALA11913
OG0000020	OFUSG19131.1.p1	BRALA09136, BRALA09135
OG0000020	OFUSG13406.1.p1	BRALA03076, BRALA19763, BRALA21902, BRALA16840, BRALA01910, BRALA05743, BRALA25854, BRALA14414, BRALA16287, BRALA19612, BRALA00988, BRALA00987, BRALA34428, BRALA17137, BRALA26917, BRALA04450, BRALA19326, BRALA17705, BRALA01370, BRALA04503, BRALA22183, BRALA09492, BRALA12060, BRALA03276, BRALA03275, BRALA15785, BRALA31112, BRALA12011, BRALA22630, BRALA11869, BRALA14062
OG0000021	OFUSG18643.1.p1	BRALA18963
OG0000021	OFUSG03663.1.p1	BRALA18043
OG0000021	OFUSG26914.2.p1, OFUSG26914.3.p1, OFUSG26914.1.p1	BRALA22428
OG0000021	OFUSG24230.1.p1, OFUSG15132.1.p1, OFUSG15132.2.p1	BRALA30352
OG0000021	OFUSG19689.1.p1, OFUSG09303.1.p1, OFUSG14494.2.p1, OFUSG14494.1.p1, OFUSG26703.1.p1, OFUSG06096.1.p1, OFUSG07156.1.p1	BRALA06012
OG0000021	OFUSG25558.2.p1, OFUSG25558.1.p1, OFUSG03208.1.p1, OFUSG03209.1.p1, OFUSG03193.1.p1, OFUSG03185.1.p1, OFUSG03188.1.p1	BRALA20360, BRALA20164
OG0000023	OFUSG06069.1.p1	BRALA34393, BRALA34449, BRALA33273
OG0000023	OFUSG15304.2.p1, OFUSG15304.1.p1, OFUSG15456.2.p1, OFUSG15456.1.p1	BRALA05747, BRALA25168, BRALA25184, BRALA25185, BRALA29062, BRALA25437
OG0000023	OFUSG14875.1.p1, OFUSG15289.1.p1, OFUSG15289.2.p1	BRALA17881, BRALA21074, BRALA03421, BRALA29841, BRALA06984, BRALA06983
OG0000023	OFUSG14126.1.p1	BRALA04762
OG0000026	OFUSG06751.1.p1	BRALA07901, BRALA07423
OG0000026	OFUSG24983.1.p1, OFUSG24982.1.p1, OFUSG22806.1.p1, OFUSG15814.1.p1, OFUSG04509.1.p1, OFUSG25030.1.p1, OFUSG08716.1.p1, OFUSG23811.1.p1, OFUSG07410.1.p1, OFUSG07411.1.p1, OFUSG02117.1.p1, OFUSG04992.1.p1, OFUSG04993.1.p1, OFUSG22113.1.p1, OFUSG23954.1.p1, OFUSG23953.1.p1, OFUSG15116.1.p1, OFUSG02635.1.p1, OFUSG07188.1.p1, OFUSG14518.1.p1, OFUSG06741.1.p1, OFUSG04994.1.p1, OFUSG10925.1.p1	BRALA01049
OG0000026	OFUSG10470.1.p1, OFUSG09501.1.p1	BRALA11498
OG0000026	OFUSG02601.1.p1	BRALA22923, BRALA12678, BRALA12677
OG0000026	OFUSG11075.1.p1, OFUSG12487.1.p1	BRALA33267
OG0000026	OFUSG26427.1.p1	BRALA18399, BRALA07898, BRALA07900, BRALA07899
OG0000026	OFUSG00817.1.p1	BRALA01048
OG0000026	OFUSG24229.1.p1	BRALA01767
OG0000027	OFUSG26650.1.p1	BRALA20955, BRALA26178, BRALA25170, BRALA33815
OG0000027	OFUSG21901.2.p1, OFUSG21901.1.p1	BRALA15148, BRALA12240, BRALA23216, BRALA17841, BRALA12241, BRALA12239, BRALA32630, BRALA08245, BRALA08233, BRALA23546, BRALA24920, BRALA12814, BRALA00447, BRALA25835, BRALA13009, BRALA00483, BRALA00450, BRALA09026, BRALA26977, BRALA09028, BRALA03738, BRALA18788, BRALA11602, BRALA32150
OG0000028	OFUSG21057.1.p1, OFUSG21057.2.p1	BRALA26965, BRALA06262, BRALA06265, BRALA11957, BRALA28259, BRALA27261
OG0000028	OFUSG05527.1.p1, OFUSG03389.1.p1	BRALA08037
OG0000028	OFUSG09732.1.p1, OFUSG14981.3.p1, OFUSG14981.2.p1, OFUSG14981.1.p1, OFUSG09734.1.p1, OFUSG08335.1.p1, OFUSG09733.1.p1, OFUSG09733.2.p1	BRALA08537, BRALA08538, BRALA08539, BRALA08540, BRALA08541, BRALA08543, BRALA08542, BRALA08547, BRALA15654, BRALA01199, BRALA17029, BRALA17030
OG0000028	OFUSG13583.2.p1, OFUSG13583.4.p1, OFUSG13584.1.p1, OFUSG13583.3.p1, OFUSG13583.1.p1, OFUSG09817.1.p1, OFUSG09817.2.p1, OFUSG09817.4.p1, OFUSG09817.3.p1, OFUSG09817.5.p1	BRALA08523
OG0000028	OFUSG16442.1.p1, OFUSG16442.2.p1	BRALA00011, BRALA12956, BRALA12957
OG0000028	OFUSG12432.2.p1, OFUSG12432.1.p1, OFUSG25286.1.p1, OFUSG11555.1.p1	BRALA19589, BRALA19590, BRALA06381, BRALA06380, BRALA21277
OG0000029	OFUSG21155.1.p1	BRALA01099
OG0000029	OFUSG16858.1.p1	BRALA21105
OG0000030	OFUSG16143.1.p1	BRALA04160, BRALA13442
OG0000030	OFUSG16141.1.p1, OFUSG16142.2.p1, OFUSG16142.1.p1	BRALA12198
OG0000030	OFUSG21892.1.p1, OFUSG11273.1.p1	BRALA12205
OG0000030	OFUSG21119.1.p1	BRALA32573
OG0000030	OFUSG17928.1.p1	BRALA13032
OG0000030	OFUSG12869.1.p1	BRALA10449
OG0000030	OFUSG26562.1.p1, OFUSG14908.1.p1, OFUSG24122.1.p1, OFUSG13621.1.p1, OFUSG26418.1.p1, OFUSG03647.1.p1, OFUSG12449.1.p1, OFUSG03648.1.p1, OFUSG03242.1.p1	BRALA29985, BRALA29147
OG0000030	OFUSG14128.1.p1, OFUSG14128.2.p1	BRALA06142
OG0000031	OFUSG03747.1.p1, OFUSG01964.1.p1	BRALA28310, BRALA01948, BRALA09437, BRALA32909, BRALA01946, BRALA12064, BRALA09438, BRALA01951, BRALA14885, BRALA09441, BRALA09439, BRALA32910, BRALA01947, BRALA01952, BRALA14882, BRALA23662, BRALA14883, BRALA19306, BRALA05713, BRALA17265, BRALA15256, BRALA15254, BRALA01977, BRALA22606
OG0000031	OFUSG03902.1.p1, OFUSG03902.2.p1	BRALA04543
OG0000031	OFUSG16479.2.p1, OFUSG16479.1.p1	BRALA04547
OG0000031	OFUSG03938.1.p1	BRALA04610
OG0000031	OFUSG09754.1.p1	BRALA13458, BRALA05046
OG0000031	OFUSG12627.1.p1	BRALA16640
OG0000031	OFUSG02210.1.p1	BRALA28311
OG0000031	OFUSG02928.1.p1, OFUSG02926.1.p1	BRALA28586
OG0000032	OFUSG07861.1.p1	BRALA10240
OG0000032	OFUSG26521.2.p1, OFUSG26521.1.p1	BRALA11179, BRALA11177, BRALA09647
OG0000032	OFUSG17627.1.p1, OFUSG17627.2.p1, OFUSG17268.1.p1	BRALA04146, BRALA04145, BRALA04144, BRALA00632, BRALA09098, BRALA21017, BRALA21018, BRALA21016, BRALA22581, BRALA14174
OG0000034	OFUSG15530.3.p1, OFUSG15530.1.p1, OFUSG15530.2.p1	BRALA27570
OG0000034	OFUSG01833.2.p1, OFUSG01833.1.p1	BRALA08901, BRALA03079
OG0000034	OFUSG08780.1.p1	BRALA17580
OG0000034	OFUSG00313.1.p1	BRALA08885
OG0000034	OFUSG10792.1.p1, OFUSG10792.2.p1	BRALA23966
OG0000034	OFUSG08088.1.p1	BRALA18444
OG0000034	OFUSG09735.1.p1	BRALA02412
OG0000035	OFUSG16461.1.p1	BRALA21367, BRALA35402
OG0000035	OFUSG07703.1.p1	BRALA13925
OG0000035	OFUSG07007.1.p1, OFUSG07007.2.p1	BRALA13921
OG0000035	OFUSG07851.1.p1	BRALA29588
OG0000035	OFUSG25460.1.p1, OFUSG07717.1.p1	BRALA13915, BRALA22877
OG0000035	OFUSG07099.1.p1, OFUSG07288.1.p1, OFUSG07098.1.p1	BRALA13917
OG0000036	OFUSG05112.1.p1	BRALA03126, BRALA19967
OG0000036	OFUSG06787.1.p1, OFUSG20561.1.p1, OFUSG20712.1.p1, OFUSG08497.1.p1, OFUSG08495.1.p1	BRALA22400, BRALA22399, BRALA22398, BRALA02193, BRALA22463, BRALA05181
OG0000036	OFUSG16630.1.p1, OFUSG16630.2.p1, OFUSG14389.1.p1, OFUSG16691.1.p1	BRALA35896, BRALA06754, BRALA31321, BRALA06755, BRALA06753, BRALA18345
OG0000036	OFUSG05272.1.p1	BRALA22402, BRALA22404
OG0000037	OFUSG11734.1.p1, OFUSG11735.1.p1, OFUSG11736.1.p1, OFUSG25144.1.p1	BRALA22282
OG0000037	OFUSG11664.2.p1, OFUSG11664.3.p1, OFUSG11664.1.p1	BRALA22275
OG0000037	OFUSG24232.1.p1, OFUSG22475.1.p1	BRALA16388
OG0000038	OFUSG15211.1.p1	BRALA32346
OG0000038	OFUSG09678.1.p1	BRALA07354
OG0000038	OFUSG15797.1.p1	BRALA07351
OG0000038	OFUSG07063.1.p1, OFUSG04821.1.p1, OFUSG19292.1.p1	BRALA03789
OG0000038	OFUSG04771.1.p1	BRALA13194
OG0000038	OFUSG26080.1.p1, OFUSG26080.2.p1	BRALA27417
OG0000039	OFUSG12767.1.p1, OFUSG04725.1.p1	BRALA06993, BRALA34379, BRALA19136, BRALA31749, BRALA29745, BRALA19134, BRALA23918, BRALA06990, BRALA17755, BRALA26668, BRALA19135, BRALA00263, BRALA19137
OG0000039	OFUSG17021.1.p1	BRALA11768, BRALA25325, BRALA17518, BRALA26162, BRALA32574, BRALA32576, BRALA25316, BRALA21159, BRALA17814, BRALA17816, BRALA17817, BRALA32621, BRALA09388, BRALA21591, BRALA21590, BRALA32620, BRALA26161, BRALA30705, BRALA32623, BRALA17815, BRALA32622, BRALA25326
OG0000039	OFUSG19834.1.p1, OFUSG26646.1.p1	BRALA35483
OG0000039	OFUSG13129.1.p1	BRALA01170
OG0000039	OFUSG05314.1.p1	BRALA17648
OG0000039	OFUSG13135.1.p1	BRALA01164
OG0000039	OFUSG21070.1.p1, OFUSG21072.1.p1, OFUSG21071.1.p1, OFUSG07209.1.p1	BRALA21586
OG0000039	OFUSG11857.1.p1	BRALA02916, BRALA20258, BRALA27882, BRALA01626, BRALA01628, BRALA23751, BRALA01619, BRALA01617, BRALA01627, BRALA01624, BRALA01620, BRALA01618, BRALA04466, BRALA04471, BRALA01927, BRALA16092
OG0000039	OFUSG09877.1.p1, OFUSG09877.2.p1, OFUSG09879.1.p1, OFUSG09879.3.p1	BRALA19542
OG0000041	OFUSG24031.1.p1, OFUSG24027.1.p1	BRALA29257
OG0000041	OFUSG07896.1.p1	BRALA07763, BRALA29216, BRALA11960, BRALA35158
