Orthogroup	OWEFU	AMPFI_ok
OG0000019	OFUSG11853.1.p1, OFUSG11853.3.p1, OFUSG11853.2.p1	AMPFI_01264, AMPFI_06523
OG0000019	OFUSG19407.1.p1, OFUSG06826.1.p1	AMPFI_03780
OG0000020	OFUSG13197.1.p1	AMPFI_01847
OG0000020	OFUSG19131.1.p1	AMPFI_07852
OG0000020	OFUSG13406.1.p1	AMPFI_11933, AMPFI_06907, AMPFI_24792
OG0000021	OFUSG03663.1.p1	AMPFI_08825
OG0000021	OFUSG13532.1.p1, OFUSG13532.2.p1	AMPFI_12629
OG0000021	OFUSG03542.1.p1, OFUSG03403.1.p1, OFUSG03403.2.p1, OFUSG16515.1.p1, OFUSG16515.2.p1, OFUSG16222.2.p1, OFUSG16222.1.p1, OFUSG13726.2.p1, OFUSG13726.1.p1, OFUSG22547.2.p1, OFUSG22547.1.p1	AMPFI_24454
OG0000021	OFUSG19689.1.p1, OFUSG09303.1.p1, OFUSG14494.2.p1, OFUSG14494.1.p1, OFUSG26703.1.p1, OFUSG06096.1.p1, OFUSG07156.1.p1	AMPFI_16391, AMPFI_25518, AMPFI_19616, AMPFI_08794, AMPFI_23196, AMPFI_19941
OG0000021	OFUSG25558.2.p1, OFUSG25558.1.p1, OFUSG03208.1.p1, OFUSG03209.1.p1, OFUSG03193.1.p1, OFUSG03185.1.p1, OFUSG03188.1.p1	AMPFI_00389, AMPFI_07405, AMPFI_24716, AMPFI_19890, AMPFI_10085, AMPFI_07684
OG0000023	OFUSG06069.1.p1	AMPFI_05477
OG0000023	OFUSG15304.2.p1, OFUSG15304.1.p1, OFUSG15456.2.p1, OFUSG15456.1.p1	AMPFI_14885, AMPFI_23006, AMPFI_10764
OG0000023	OFUSG14875.1.p1, OFUSG15289.1.p1, OFUSG15289.2.p1	AMPFI_05765, AMPFI_01138, AMPFI_10312, AMPFI_05031
OG0000026	OFUSG07096.1.p1, OFUSG14450.1.p1, OFUSG11988.1.p1, OFUSG07552.1.p1, OFUSG06751.1.p1, OFUSG08116.1.p1, OFUSG06159.1.p1, OFUSG25623.1.p1	AMPFI_12171
OG0000026	OFUSG10470.1.p1, OFUSG09501.1.p1	AMPFI_01870, AMPFI_14564, AMPFI_11288, AMPFI_23391
OG0000026	OFUSG02601.1.p1, OFUSG19536.1.p1, OFUSG02974.1.p1	AMPFI_09960, AMPFI_03858, AMPFI_13122
OG0000026	OFUSG24598.1.p1	AMPFI_18636, AMPFI_08031
OG0000026	OFUSG26427.1.p1	AMPFI_01077, AMPFI_16904
OG0000026	OFUSG12516.1.p1, OFUSG26867.1.p1	AMPFI_00850
OG0000026	OFUSG00817.1.p1	AMPFI_12169, AMPFI_25654, AMPFI_23954, AMPFI_09282
OG0000026	OFUSG24229.1.p1, OFUSG03608.1.p1, OFUSG03465.1.p1, OFUSG09167.1.p1, OFUSG15979.1.p1, OFUSG18705.1.p1, OFUSG16962.1.p1, OFUSG18029.1.p1	AMPFI_08447, AMPFI_21379, AMPFI_14524, AMPFI_00667, AMPFI_07824, AMPFI_23957
OG0000028	OFUSG08406.1.p1, OFUSG07639.1.p1	AMPFI_13515, AMPFI_15765, AMPFI_17182
OG0000028	OFUSG21057.1.p1, OFUSG21057.2.p1	AMPFI_19162
OG0000028	OFUSG10528.2.p1, OFUSG10528.1.p1	AMPFI_06024
OG0000028	OFUSG09732.1.p1, OFUSG14981.3.p1, OFUSG14981.2.p1, OFUSG14981.1.p1, OFUSG09734.1.p1, OFUSG08335.1.p1, OFUSG09733.1.p1, OFUSG09733.2.p1	AMPFI_04239
OG0000029	OFUSG25151.1.p1, OFUSG10698.1.p1, OFUSG20711.1.p1	AMPFI_24572, AMPFI_17682, AMPFI_23832
OG0000029	OFUSG26611.2.p1, OFUSG26611.1.p1	AMPFI_13521, AMPFI_10300, AMPFI_01562, AMPFI_19753
OG0000029	OFUSG21155.1.p1	AMPFI_05500
OG0000029	OFUSG15790.1.p1, OFUSG00743.1.p1, OFUSG20635.1.p1, OFUSG20634.1.p1, OFUSG14781.1.p1, OFUSG14779.1.p1, OFUSG14780.1.p1, OFUSG14783.1.p1, OFUSG20636.1.p1, OFUSG20271.1.p1, OFUSG26756.1.p1, OFUSG04638.1.p1, OFUSG03243.1.p1, OFUSG11383.1.p1, OFUSG19505.1.p1, OFUSG16898.2.p1, OFUSG16898.1.p1	AMPFI_24440
OG0000030	OFUSG16143.1.p1	AMPFI_02183
OG0000030	OFUSG05961.1.p1, OFUSG16141.1.p1, OFUSG16142.2.p1, OFUSG16142.1.p1, OFUSG07789.1.p1, OFUSG07787.1.p1, OFUSG04213.1.p1	AMPFI_03176
OG0000031	OFUSG02441.1.p1	AMPFI_14371, AMPFI_13166
OG0000031	OFUSG03747.1.p1, OFUSG01964.1.p1	AMPFI_13279, AMPFI_01755, AMPFI_10718, AMPFI_14435, AMPFI_16606
OG0000031	OFUSG03902.1.p1, OFUSG03902.2.p1	AMPFI_06256
OG0000031	OFUSG03938.1.p1	AMPFI_14304
OG0000031	OFUSG09754.1.p1	AMPFI_10484
OG0000031	OFUSG12627.1.p1	AMPFI_01333
OG0000031	OFUSG17671.1.p1	AMPFI_05075
OG0000031	OFUSG16797.1.p1	AMPFI_02985
OG0000032	OFUSG18519.1.p1, OFUSG17008.1.p1, OFUSG09556.1.p1, OFUSG07282.1.p1, OFUSG25694.1.p1, OFUSG01271.1.p1, OFUSG01272.1.p1, OFUSG09756.1.p1, OFUSG20192.1.p1	AMPFI_10091, AMPFI_08698, AMPFI_15533, AMPFI_18245, AMPFI_03345, AMPFI_07304
OG0000032	OFUSG26521.2.p1, OFUSG26521.1.p1	AMPFI_03594
OG0000032	OFUSG17627.1.p1, OFUSG17627.2.p1, OFUSG17268.1.p1	AMPFI_03370
OG0000034	OFUSG15530.3.p1, OFUSG15530.1.p1, OFUSG15530.2.p1	AMPFI_04753
OG0000034	OFUSG01833.2.p1, OFUSG01833.1.p1	AMPFI_00398
OG0000035	OFUSG16461.1.p1	AMPFI_17275
OG0000035	OFUSG07703.1.p1	AMPFI_24612, AMPFI_24508, AMPFI_00269, AMPFI_05651, AMPFI_21566
OG0000035	OFUSG09470.1.p1	AMPFI_20705
OG0000035	OFUSG07007.1.p1, OFUSG07007.2.p1	AMPFI_13261
OG0000035	OFUSG07851.1.p1	AMPFI_07620, AMPFI_08859, AMPFI_16822
OG0000035	OFUSG25460.1.p1, OFUSG07717.1.p1	AMPFI_12878
OG0000035	OFUSG07099.1.p1, OFUSG07288.1.p1, OFUSG07098.1.p1	AMPFI_13349, AMPFI_11303
OG0000036	OFUSG20712.1.p1, OFUSG08497.1.p1, OFUSG08495.1.p1	AMPFI_11948
OG0000036	OFUSG16630.1.p1, OFUSG16630.2.p1, OFUSG14389.1.p1, OFUSG16691.1.p1	AMPFI_06932, AMPFI_06864, AMPFI_10500, AMPFI_14775, AMPFI_19912
OG0000036	OFUSG05272.1.p1	AMPFI_15407, AMPFI_19204, AMPFI_07474, AMPFI_19635, AMPFI_18831, AMPFI_22411
OG0000037	OFUSG11734.1.p1, OFUSG11735.1.p1, OFUSG11736.1.p1, OFUSG25144.1.p1	AMPFI_11581
OG0000037	OFUSG11664.2.p1, OFUSG11664.3.p1, OFUSG11664.1.p1	AMPFI_25668
OG0000038	OFUSG15211.1.p1	AMPFI_07219
OG0000038	OFUSG04771.1.p1	AMPFI_03880
OG0000039	OFUSG02549.1.p1, OFUSG13134.1.p1	AMPFI_23863
OG0000039	OFUSG13129.1.p1, OFUSG05314.1.p1, OFUSG13135.1.p1, OFUSG07045.1.p1	AMPFI_15658
OG0000039	OFUSG04852.1.p1, OFUSG04321.1.p1	AMPFI_25847, AMPFI_16323
OG0000039	OFUSG21070.1.p1, OFUSG21072.1.p1, OFUSG21071.1.p1, OFUSG07209.1.p1	AMPFI_01199
OG0000039	OFUSG11857.1.p1	AMPFI_17373
OG0000039	OFUSG09877.1.p1, OFUSG09877.2.p1, OFUSG09879.1.p1, OFUSG09879.3.p1	AMPFI_20335, AMPFI_20685, AMPFI_03724
OG0000043	OFUSG22688.1.p1	AMPFI_13817
OG0000044	OFUSG03166.1.p1	AMPFI_10491, AMPFI_12455, AMPFI_02748
OG0000044	OFUSG11434.1.p1, OFUSG13798.1.p1, OFUSG12158.2.p1, OFUSG12158.1.p1	AMPFI_18408
OG0000044	OFUSG10029.1.p1	AMPFI_11648, AMPFI_01511
OG0000044	OFUSG22654.1.p1, OFUSG22653.1.p1, OFUSG15735.1.p1, OFUSG15574.1.p1, OFUSG15256.2.p1, OFUSG15256.1.p1, OFUSG15731.1.p1, OFUSG15125.1.p1, OFUSG23742.1.p1, OFUSG15245.1.p1	AMPFI_15551
OG0000045	OFUSG07521.1.p1	AMPFI_24368
OG0000045	OFUSG07524.1.p1, OFUSG00566.1.p1, OFUSG00564.1.p1, OFUSG00563.1.p1, OFUSG00567.1.p1	AMPFI_25297
OG0000046	OFUSG01015.1.p1, OFUSG26772.1.p1, OFUSG12279.1.p1	AMPFI_25804, AMPFI_24317
OG0000046	OFUSG02356.1.p1, OFUSG13304.1.p1, OFUSG25123.1.p1	AMPFI_00292
OG0000048	OFUSG15815.1.p1	AMPFI_07263
OG0000048	OFUSG15705.1.p1	AMPFI_06745
OG0000048	OFUSG19541.1.p1	AMPFI_01185
OG0000048	OFUSG11584.1.p1	AMPFI_17027, AMPFI_21987, AMPFI_06139
OG0000048	OFUSG11587.1.p1	AMPFI_22758
OG0000048	OFUSG11562.2.p1, OFUSG11562.1.p1	AMPFI_10591
OG0000048	OFUSG07757.1.p1, OFUSG07755.1.p1, OFUSG07756.1.p1, OFUSG07755.2.p2, OFUSG07756.2.p1, OFUSG07027.1.p1	AMPFI_19210, AMPFI_10367, AMPFI_21707, AMPFI_01763
OG0000048	OFUSG04756.1.p1	AMPFI_08767
OG0000049	OFUSG21750.1.p1, OFUSG17729.1.p1, OFUSG17727.1.p1, OFUSG17730.1.p1, OFUSG19421.1.p1, OFUSG19423.1.p1, OFUSG19424.1.p1	AMPFI_21732
OG0000049	OFUSG19056.1.p1, OFUSG22443.1.p1	AMPFI_05869
OG0000050	OFUSG09384.1.p1	AMPFI_15208
OG0000051	OFUSG14314.1.p1	AMPFI_25569
OG0000051	OFUSG17623.1.p1, OFUSG24736.1.p1	AMPFI_12251, AMPFI_06956, AMPFI_18032
OG0000053	OFUSG05561.1.p1	AMPFI_03971, AMPFI_14513
OG0000054	OFUSG09960.1.p1, OFUSG09960.2.p1, OFUSG09960.4.p1, OFUSG09960.5.p1, OFUSG09960.3.p1	AMPFI_10274
OG0000054	OFUSG23922.1.p1, OFUSG23922.2.p1, OFUSG23922.3.p1, OFUSG13461.1.p1, OFUSG13461.2.p1, OFUSG22292.2.p1, OFUSG22292.1.p1, OFUSG00951.1.p1, OFUSG00949.1.p1	AMPFI_23388, AMPFI_23387, AMPFI_06988, AMPFI_13427, AMPFI_13250
OG0000054	OFUSG16065.1.p1, OFUSG16065.2.p1, OFUSG16715.1.p1	AMPFI_25267, AMPFI_10354, AMPFI_24076, AMPFI_02790, AMPFI_02789, AMPFI_19023
OG0000056	OFUSG17281.1.p1	AMPFI_10015
OG0000056	OFUSG09997.1.p1, OFUSG11656.1.p1	AMPFI_06567, AMPFI_06885
OG0000056	OFUSG01275.1.p1	AMPFI_13951
OG0000056	OFUSG00148.1.p1	AMPFI_13952, AMPFI_00302
OG0000057	OFUSG18495.1.p1	AMPFI_01580, AMPFI_02256
OG0000057	OFUSG02050.1.p1, OFUSG18016.1.p1, OFUSG01943.1.p1, OFUSG22981.1.p1, OFUSG23264.1.p1, OFUSG15744.1.p1, OFUSG15744.2.p1, OFUSG15743.1.p1, OFUSG15746.1.p1, OFUSG15746.2.p1, OFUSG15747.1.p1, OFUSG12096.1.p1, OFUSG12095.1.p1, OFUSG17581.1.p1	AMPFI_22187, AMPFI_02601, AMPFI_04153, AMPFI_22527
OG0000057	OFUSG08336.1.p1	AMPFI_23737
OG0000058	OFUSG06504.1.p1	AMPFI_18481
OG0000058	OFUSG25338.1.p1	AMPFI_05634
OG0000060	OFUSG14955.1.p1, OFUSG23392.1.p1	AMPFI_23758
OG0000060	OFUSG21371.2.p1, OFUSG21371.1.p1	AMPFI_19643
OG0000062	OFUSG20078.1.p1, OFUSG20078.2.p1	AMPFI_04452, AMPFI_07777, AMPFI_07778, AMPFI_06193
OG0000062	OFUSG20834.1.p1, OFUSG20834.2.p1, OFUSG05008.1.p1	AMPFI_05434
OG0000063	OFUSG05823.2.p1, OFUSG05823.1.p1	AMPFI_21664
OG0000063	OFUSG20081.1.p1	AMPFI_20407, AMPFI_07613
OG0000063	OFUSG17598.1.p1, OFUSG17396.1.p1	AMPFI_16608, AMPFI_24341, AMPFI_23675
OG0000063	OFUSG23292.1.p1	AMPFI_24747, AMPFI_13584, AMPFI_25335
OG0000064	OFUSG18700.1.p1, OFUSG11503.1.p1, OFUSG24568.1.p1, OFUSG14688.1.p1, OFUSG24348.1.p1, OFUSG04845.1.p1, OFUSG24050.1.p1	AMPFI_23500, AMPFI_19990
OG0000066	OFUSG25801.1.p1	AMPFI_16063
OG0000066	OFUSG16714.1.p1	AMPFI_02908
OG0000066	OFUSG25914.1.p1	AMPFI_13029
OG0000066	OFUSG21693.1.p1, OFUSG14092.1.p1	AMPFI_25704, AMPFI_24273
OG0000067	OFUSG01517.1.p1, OFUSG21774.1.p1	AMPFI_04770
OG0000067	OFUSG07801.1.p1, OFUSG07801.2.p1, OFUSG09800.1.p1	AMPFI_09466, AMPFI_18191, AMPFI_01682, AMPFI_10236, AMPFI_18458, AMPFI_18044, AMPFI_00280, AMPFI_18852, AMPFI_24558, AMPFI_14845, AMPFI_03396, AMPFI_25574, AMPFI_12403, AMPFI_06999
OG0000068	OFUSG19455.1.p1	AMPFI_11929, AMPFI_04870
OG0000068	OFUSG06649.2.p1, OFUSG06649.1.p1	AMPFI_11524, AMPFI_11523, AMPFI_24985, AMPFI_16312, AMPFI_23414, AMPFI_23547, AMPFI_24987, AMPFI_02102, AMPFI_23184, AMPFI_04648, AMPFI_15422, AMPFI_22045, AMPFI_24986, AMPFI_14044, AMPFI_25888, AMPFI_25645, AMPFI_12166
OG0000069	OFUSG26968.1.p1	AMPFI_08415
OG0000071	OFUSG17876.1.p1, OFUSG17876.2.p1, OFUSG10287.1.p1	AMPFI_07275
OG0000072	OFUSG02543.3.p1, OFUSG02543.1.p1, OFUSG02543.2.p1	AMPFI_20479
OG0000072	OFUSG02679.1.p1, OFUSG02679.2.p1	AMPFI_26076
OG0000072	OFUSG03079.1.p1	AMPFI_21820
OG0000072	OFUSG09807.1.p1, OFUSG09809.1.p1, OFUSG09812.1.p1, OFUSG09810.1.p1, OFUSG09813.1.p1, OFUSG09811.1.p1	AMPFI_17873
OG0000073	OFUSG22954.1.p1	AMPFI_15154
OG0000073	OFUSG20747.2.p1, OFUSG20747.1.p1, OFUSG03929.1.p1, OFUSG03929.2.p1	AMPFI_14948
OG0000074	OFUSG24829.1.p1, OFUSG06062.1.p1	AMPFI_22998, AMPFI_09812, AMPFI_05452
OG0000075	OFUSG16172.1.p1	AMPFI_12462
OG0000075	OFUSG16504.1.p1	AMPFI_03839
OG0000075	OFUSG13755.2.p1, OFUSG13755.1.p1	AMPFI_10510
OG0000075	OFUSG16171.1.p1, OFUSG16171.2.p1	AMPFI_15829
OG0000075	OFUSG06373.1.p1	AMPFI_15139
OG0000075	OFUSG05709.1.p1	AMPFI_15917
OG0000075	OFUSG19094.1.p1	AMPFI_17574
OG0000077	OFUSG05776.1.p1, OFUSG24718.1.p1	AMPFI_08518
OG0000078	OFUSG04718.1.p1	AMPFI_10742, AMPFI_19118, AMPFI_00030, AMPFI_21986
OG0000078	OFUSG16348.1.p1, OFUSG16350.1.p1, OFUSG04342.1.p1, OFUSG04340.1.p1, OFUSG04336.1.p1, OFUSG16350.2.p1, OFUSG16350.3.p1, OFUSG14729.1.p1, OFUSG25407.3.p1, OFUSG25407.2.p1, OFUSG25408.1.p1, OFUSG25407.1.p1, OFUSG06117.1.p1, OFUSG13932.1.p1, OFUSG09478.1.p1, OFUSG04630.1.p1, OFUSG00727.1.p1	AMPFI_13696
OG0000079	OFUSG21029.1.p1	AMPFI_09380
OG0000079	OFUSG23598.1.p1, OFUSG13995.1.p1, OFUSG00197.1.p1, OFUSG00197.2.p1, OFUSG13998.1.p1, OFUSG10422.3.p1, OFUSG10422.2.p1, OFUSG10422.1.p1, OFUSG10422.4.p1	AMPFI_09436, AMPFI_07753, AMPFI_20678, AMPFI_00442
OG0000079	OFUSG24101.1.p1	AMPFI_24805
OG0000079	OFUSG19660.3.p1, OFUSG19660.2.p1, OFUSG19660.1.p1	AMPFI_06359, AMPFI_07521
OG0000081	OFUSG16424.1.p1, OFUSG09104.3.p1, OFUSG09104.1.p1, OFUSG09104.2.p1, OFUSG05420.1.p1, OFUSG05002.1.p1, OFUSG24784.1.p1, OFUSG21093.1.p1	AMPFI_00581
OG0000082	OFUSG08036.1.p1	AMPFI_21007
OG0000082	OFUSG05603.1.p1	AMPFI_06890
OG0000082	OFUSG21176.1.p1	AMPFI_15952, AMPFI_11015
OG0000083	OFUSG03973.1.p1	AMPFI_25070, AMPFI_02950, AMPFI_03183, AMPFI_17026, AMPFI_02353, AMPFI_06007, AMPFI_06006, AMPFI_09389, AMPFI_12969, AMPFI_20938, AMPFI_06531, AMPFI_19967, AMPFI_19634, AMPFI_12970, AMPFI_07180, AMPFI_16886, AMPFI_05215, AMPFI_19858, AMPFI_09445, AMPFI_16696, AMPFI_22106, AMPFI_21518, AMPFI_02555, AMPFI_04299, AMPFI_21565, AMPFI_18422, AMPFI_09390, AMPFI_04259, AMPFI_17422, AMPFI_12422, AMPFI_18573
OG0000085	OFUSG23228.1.p1, OFUSG17240.1.p1	AMPFI_20771
OG0000085	OFUSG17241.1.p1	AMPFI_25543
OG0000085	OFUSG24119.1.p1	AMPFI_09379
OG0000085	OFUSG04918.1.p1	AMPFI_25819
OG0000085	OFUSG23884.1.p1	AMPFI_25579
OG0000085	OFUSG00479.1.p1	AMPFI_04349
OG0000086	OFUSG19605.1.p1	AMPFI_00738
OG0000086	OFUSG21368.1.p1	AMPFI_19036, AMPFI_25553
OG0000086	OFUSG04354.1.p1	AMPFI_11751
OG0000086	OFUSG19606.1.p1	AMPFI_21419
OG0000087	OFUSG13953.1.p1	AMPFI_20352
OG0000087	OFUSG13948.1.p1	AMPFI_08050
OG0000087	OFUSG12025.1.p1	AMPFI_01947
