Orthogroup	XENTR	Other
OG0000597	XENTR17671, XENTR17670, XENTR19170	APOSC_18654
OG0000611	XENTR00513	OFUSG22889.2.p1, OFUSG22889.1.p1
OG0000635	XENTR02072, XENTR02107	STRPU_24923, STRPU_24924
OG0000635	XENTR02072, XENTR02107	AENJA_03389
OG0000636	XENTR11087, XENTR12476	APOSC_03996
OG0000662	XENTR12483	HELIO_03239
OG0000690	XENTR13758	APOSC_06077
OG0000708	XENTR06811	AMPFI_19554
OG0000750	XENTR08374	OFUSG12214.1.p1
OG0000750	XENTR08374	AENJA_26108
OG0000750	XENTR08374	APOSJ_40920
OG0000750	XENTR08374	APOSC_27901
OG0000818	XENTR04812	ASTMX12923
OG0000851	XENTR10592, XENTR01014	APOSJ_05432, APOSJ_09645, APOSJ_05433
OG0000965	XENTR14312	bflo_07554
OG0000982	XENTR15733, XENTR18658, XENTR06997	APOSJ_12877
OG0000984	XENTR03417	TCONS_00019326.p1
OG0001000	XENTR02326, XENTR14403	AMPFI_02319
OG0001091	XENTR11804	MOUSE26426
OG0001110	XENTR01316, XENTR07736	SACKO_15731
OG0001170	XENTR14411	TCONS_00002128.p1
OG0001170	XENTR14411	bflo_04525
OG0001175	XENTR04334, XENTR01937	AMPFI_01688
OG0001221	XENTR15915	TCONS_00038811.p1, TCONS_00038873.p1, TCONS_00038810.p1, TCONS_00038875.p1, TCONS_00038876.p1, TCONS_00038807.p1, TCONS_00038874.p1
OG0001221	XENTR15915	SACKO_15128
OG0001264	XENTR02490, XENTR03731, XENTR05140	LYTVA_04650
OG0001279	XENTR11976	APOSC_10702
OG0001306	XENTR00068	AMPFI_04010
OG0001306	XENTR00068	AENJA_04590
OG0001326	XENTR01916, XENTR08643	DANRE33553, DANRE33551
OG0001331	XENTR14937, XENTR18315	BRALA34734
OG0001375	XENTR05015	TCONS_00045949.p1
OG0001378	XENTR01998	SACKO_24430
OG0001408	XENTR01315	ASTMX19996
OG0001408	XENTR01315	AENJA_10000
OG0001434	XENTR14258	LYTVA_11544
OG0001434	XENTR14258	HELIO_10029, HELIO_10027
OG0001434	XENTR14258	STRPU_17872
OG0001434	XENTR14258	APOSJ_18726
OG0001434	XENTR14258	APOSC_12550
OG0001434	XENTR14258	TCONS_00054778.p1, TCONS_00012407.p1
OG0001434	XENTR14258	OFUSG01506.1.p1
OG0001434	XENTR14258	SACKO_08035, SACKO_22760
OG0001434	XENTR14258	ASTMX09914, ASTMX09915
OG0001434	XENTR14258	NEMVE01045
OG0001434	XENTR14258	SCHMD11795
OG0001434	XENTR14258	AMPFI_06188, AMPFI_09637
OG0001434	XENTR14258	BRALA19313
OG0001474	XENTR01827	AMPFI_25092
OG0001484	XENTR07065	AMPFI_09544
OG0001518	XENTR06101	APOSJ_06109
OG0001557	XENTR11819	APOSC_03713
OG0001582	XENTR07708, XENTR17762, XENTR01173	STRPU_06829, STRPU_06376
OG0001635	XENTR03970	AMPFI_19476
OG0001635	XENTR03970	STRPU_05304
OG0001635	XENTR03970	HELIO_00639
OG0001635	XENTR03970	LYTVA_01903
OG0001661	XENTR10294	APOSJ_45271, APOSJ_16132
OG0001664	XENTR11452	MOUSE47904
OG0001664	XENTR11452	DANRE28710, DANRE28713, DANRE28709, DANRE28711, DANRE28712
OG0001673	XENTR14539	HELIO_05452
OG0001673	XENTR14539	STRPU_21686, STRPU_21751
OG0001673	XENTR14539	LYTVA_21841
OG0001673	XENTR14539	APOSC_21746
OG0001673	XENTR14539	APOSJ_53472, APOSJ_63447, APOSJ_63452
OG0001673	XENTR14539	AENJA_11329
OG0001673	XENTR14539	AMPFI_18848
OG0001673	XENTR14539	BRALA23470, BRALA33336
OG0001673	XENTR14539	bflo_18854
OG0001673	XENTR14539	TCONS_00010575.p1
OG0001673	XENTR14539	SACKO_02320
OG0001673	XENTR14539	OFUSG11305.1.p1
OG0001673	XENTR14539	DROME15611, DROME15610
OG0001673	XENTR14539	NEMVE07546
OG0001673	XENTR14539	CAEEL17134, CAEEL17133
OG0001673	XENTR14539	ASTMX10983
OG0001673	XENTR14539	ASTMX10983
OG0001682	XENTR12019	HELIO_05905
OG0001809	XENTR00099	SACKO_20097
OG0001923	XENTR13216	LYTVA_02896
OG0001923	XENTR13216	APOSJ_02740, APOSJ_02734, APOSJ_45692
OG0001943	XENTR02451	bflo_10186
OG0001943	XENTR02451	BRALA16392
OG0001943	XENTR02451	SACKO_13918
OG0001943	XENTR02451	TCONS_00046367.p1
OG0001943	XENTR02451	AMPFI_17954
OG0001943	XENTR02451	LYTVA_09619
OG0001943	XENTR02451	HELIO_10645
OG0001943	XENTR02451	STRPU_07623
OG0001943	XENTR02451	APOSC_02483
OG0001943	XENTR02451	APOSJ_50356, APOSJ_45596
OG0001943	XENTR02451	AENJA_12411
OG0001943	XENTR02451	NEMVE07567
OG0001943	XENTR02451	DROME05587, DROME05589, DROME05586, DROME05588
OG0001943	XENTR02451	HUMAN18949
OG0001943	XENTR02451	HUMAN18949
OG0001944	XENTR13879, XENTR13878	APOSC_02088
OG0001946	XENTR07293	DANRE20165
OG0001978	XENTR04821, XENTR00953, XENTR00943, XENTR00949, XENTR00945, XENTR00947, XENTR00946, XENTR00948, XENTR00952, XENTR00951, XENTR00944	CAEEL00552
OG0001992	XENTR05527, XENTR15316	SCHMD23667
OG0001992	XENTR05527, XENTR15316	BRALA35588
OG0002028	XENTR14364	LYTVA_02071
OG0002169	XENTR11319, XENTR12444	BRALA33277
OG0002190	XENTR01498, XENTR01499	AMPFI_03087
OG0002223	XENTR14551, XENTR10106	bflo_22378
OG0002258	XENTR11554	AMPFI_24977
OG0002261	XENTR12712, XENTR18200, XENTR12711	APOSC_01376
OG0002261	XENTR12712, XENTR18200, XENTR12711	BRALA35135
OG0002261	XENTR12712, XENTR18200, XENTR12711	AMPFI_00774
OG0002266	XENTR10523, XENTR10524, XENTR01757	AMPFI_03178
OG0002294	XENTR12369	MOUSE40042
OG0002399	XENTR12730, XENTR02977, XENTR09322	HELIO_01674
OG0002407	XENTR18256	MOUSE11499
OG0002407	XENTR18256	NEMVE24388
OG0002407	XENTR18256	SCHMD07149
OG0002407	XENTR18256	MOUSE11499
OG0002407	XENTR18256	SACKO_17878, SACKO_17871, SACKO_17874
OG0002407	XENTR18256	TCONS_00030158.p1
OG0002407	XENTR18256	DROME16665, DROME16666, DROME16663, DROME16664
OG0002407	XENTR18256	AENJA_04703
OG0002407	XENTR18256	BRALA03717
OG0002407	XENTR18256	bflo_06998
OG0002407	XENTR18256	APOSC_09967, APOSC_09969
OG0002422	XENTR12603	APOSC_11565
OG0002443	XENTR00383	AMPFI_15890
OG0002520	XENTR16161	APOSC_09886
OG0002542	XENTR13960, XENTR03763	APOSC_13581
OG0002550	XENTR12637, XENTR10916	TCONS_00027283.p1, TCONS_00027288.p1
OG0002553	XENTR18636	ASTMX22208, ASTMX22207
OG0002590	XENTR02492, XENTR10729, XENTR17979	LYTVA_05045
OG0002623	XENTR00145	AMPFI_25644
OG0002708	XENTR05903	DROME16440
OG0002718	XENTR14481	MOUSE34798
OG0002746	XENTR12491	APOSC_13976
OG0002749	XENTR10274	AENJA_13469
OG0002766	XENTR08503	APOSJ_39716, APOSJ_58172, APOSJ_58171, APOSJ_39717, APOSJ_58170, APOSJ_39718
OG0002774	XENTR18198	AENJA_20726
OG0002774	XENTR18198	TCONS_00028627.p1
OG0002774	XENTR18198	SACKO_02543
OG0002774	XENTR18198	OFUSG08706.1.p1, OFUSG08706.2.p1
OG0002774	XENTR18198	NEMVE11224
OG0002774	XENTR18198	SCHMD14518
OG0002774	XENTR18198	HELIO_01198
OG0002774	XENTR18198	bflo_03686
OG0002774	XENTR18198	BRALA17566
OG0002811	XENTR10804	AMPFI_04646, AMPFI_07322
OG0002812	XENTR00060	TCONS_00054658.p1
OG0002880	XENTR09153	LYTVA_24596
OG0002965	XENTR07283	HELIO_08079
OG0002967	XENTR06032	AMPFI_24955, AMPFI_10453, AMPFI_03488
OG0002977	XENTR09457	AMPFI_18550
OG0003040	XENTR18563	APOSC_00535
OG0003114	XENTR18657	APOSC_12830
OG0003118	XENTR06207, XENTR15713	APOSC_13717
OG0003148	XENTR10073	AMPFI_01181
OG0003188	XENTR05320, XENTR02763	APOSC_27314
OG0003199	XENTR13157	TCONS_00054864.p1
OG0003225	XENTR02604	APOSC_07724
OG0003258	XENTR09647	AENJA_01707
OG0003267	XENTR06701	APOSC_05198
OG0003282	XENTR08973	APOSJ_26406
OG0003296	XENTR00824	APOSC_07542
OG0003375	XENTR00570	TCONS_00029032.p1
OG0003375	XENTR00570	APOSC_16084
OG0003375	XENTR18878	TCONS_00029032.p1
OG0003375	XENTR18878	SCHMD08102
OG0003375	XENTR18878	CAEEL04860
OG0003375	XENTR18878	TCONS_00029032.p1
OG0003375	XENTR18878	APOSC_16084
OG0003375	XENTR18878	APOSC_16084
OG0003388	XENTR06699	AMPFI_20188
OG0003388	XENTR06699	APOSC_17998
OG0003392	XENTR09804	APOSJ_30179
OG0003447	XENTR05985	AMPFI_22475
OG0003447	XENTR05985	APOSJ_05681
OG0003448	XENTR05059	APOSC_13687
OG0003462	XENTR16197	MOUSE50378
OG0003462	XENTR16197	LYTVA_28602, LYTVA_22633
OG0003463	XENTR11861	APOSC_18574
OG0003508	XENTR17069	AMPFI_00704
OG0003511	XENTR05842	AMPFI_18153
OG0003533	XENTR06013	AMPFI_02269
OG0003546	XENTR06379, XENTR00109	BRALA35137
OG0003546	XENTR06379, XENTR00109	STRPU_19646
OG0003601	XENTR05348, XENTR05349	SACKO_22950, SACKO_22963
OG0003617	XENTR18835	LYTVA_11705
OG0003636	XENTR14237	LYTVA_04868
OG0003636	XENTR14237	APOSC_19573
OG0003669	XENTR08683	APOSJ_43894
OG0003689	XENTR14093	DANRE13806
OG0003697	XENTR07379	STRPU_00014
OG0003697	XENTR07379	HELIO_12072
OG0003740	XENTR15199	APOSC_08481
OG0003806	XENTR07356	APOSC_27759
OG0003808	XENTR13676	APOSJ_56883
OG0003826	XENTR01516	BRALA34514, BRALA34863
OG0003831	XENTR03490	APOSC_18338
OG0003846	XENTR11317	LYTVA_08542
OG0003857	XENTR10397	LYTVA_25367
OG0003923	XENTR04190	AMPFI_23190
OG0003944	XENTR06236	APOSC_03774, APOSC_25388, APOSC_28777
OG0004011	XENTR09432, XENTR02695	TCONS_00030947.p1
OG0004020	XENTR18787	ORYLA03618
OG0004020	XENTR18787	DROME17726, DROME17727
OG0004020	XENTR18787	AENJA_17512
OG0004020	XENTR18787	SACKO_23773
OG0004020	XENTR18787	TCONS_00021521.p1
OG0004020	XENTR18787	STRPU_06472
OG0004020	XENTR18787	SCHMD29535, SCHMD26610
OG0004020	XENTR18787	MOUSE22764
OG0004020	XENTR18787	MOUSE22764
OG0004020	XENTR18787	BRALA33134
OG0004027	XENTR05193, XENTR01694	APOSJ_49299
OG0004085	XENTR02748	MOUSE22019
OG0004120	XENTR09438	APOSJ_24987
OG0004126	XENTR02624, XENTR17192	AMPFI_19897
OG0004136	XENTR14548	AMPFI_23022
OG0004143	XENTR14330	AMPFI_12398
OG0004164	XENTR07533	BRALA03977
OG0004220	XENTR19132	APOSJ_55154, APOSJ_50842
OG0004220	XENTR19132	AENJA_10199
OG0004229	XENTR09293	LYTVA_26921
OG0004279	XENTR14989	AENJA_07838, AENJA_17816
OG0004281	XENTR18517	AENJA_07872
OG0004338	XENTR09719	APOSC_27265
OG0004358	XENTR11117	AMPFI_19007
OG0004358	XENTR11117	AENJA_18673
OG0004404	XENTR05022	APOSC_15852
OG0004487	XENTR05509, XENTR05510, XENTR05511	APOSC_13922
OG0004516	XENTR04054	bflo_04748
OG0004520	XENTR09651	APOSC_25046
OG0004539	XENTR06560, XENTR11278	APOSC_15371
OG0004546	XENTR11757	APOSC_02200
OG0004568	XENTR03875	DANRE05440
OG0004573	XENTR04046	BRALA32832
OG0004594	XENTR10141	APOSJ_48750
OG0004605	XENTR01842, XENTR01844	AMPFI_01215, AMPFI_03310
OG0004606	XENTR15899	APOSC_14341
OG0004609	XENTR16103	APOSC_14861
OG0004648	XENTR13808	APOSC_19767
OG0004659	XENTR13300	AMPFI_24972
OG0004754	XENTR01802	LYTVA_09941
OG0004769	XENTR15393	APOSC_17401
OG0004795	XENTR06349	BRALA35226, BRALA35282
OG0004795	XENTR06349	ASTMX05972
OG0004854	XENTR05196	APOSC_24117
OG0004855	XENTR01667	APOSC_25569
OG0004898	XENTR14341, XENTR18232	AENJA_15712
OG0004945	XENTR12373	AENJA_22088
OG0004949	XENTR10188	LYTVA_17623
OG0004971	XENTR06568	AMPFI_03928
OG0004971	XENTR06568	LYTVA_21887
OG0004981	XENTR01741	APOSC_14915
OG0004991	XENTR07044	APOSC_17350
OG0005073	XENTR17939	AMPFI_05809
OG0005116	XENTR09652	APOSJ_32781, APOSJ_43383, APOSJ_32775, APOSJ_43377, APOSJ_38856, APOSJ_38858, APOSJ_26538, APOSJ_56095, APOSJ_32777, APOSJ_56065
OG0005139	XENTR16239	HELIO_08484
OG0005155	XENTR17503	STRPU_06007
OG0005171	XENTR05531, XENTR15783	LYTVA_04687, LYTVA_13351, LYTVA_04233
OG0005237	XENTR12797	SCHMD13955
OG0005299	XENTR00453	AMPFI_20586
OG0005302	XENTR10050, XENTR08277	AMPFI_03808, AMPFI_18711
OG0005321	XENTR13052	SACKO_31374
OG0005370	XENTR18458	APOSC_19517
OG0005370	XENTR19057	LYTVA_12163
OG0005433	XENTR08308, XENTR06429	BRALA32085
OG0005459	XENTR06604	bflo_12126
OG0005459	XENTR06604	STRPU_23360
OG0005499	XENTR06475	APOSC_20319
OG0005600	XENTR06836	AMPFI_21973
OG0005850	XENTR09236	AMPFI_20033
OG0005853	XENTR11690	LYTVA_13543
OG0005945	XENTR12111	APOSJ_27334
OG0005966	XENTR07355	STRPU_00119
OG0006000	XENTR14856	APOSJ_59193
OG0006087	XENTR04594	APOSC_27471
OG0006120	XENTR00584, XENTR09766	STRPU_00038
OG0006120	XENTR00584	bflo_05359
OG0006120	XENTR00584	BRALA33378, BRALA33685
OG0006120	XENTR00584	CAEEL19875
OG0006120	XENTR00584	SCHMD01574
OG0006123	XENTR18981	AMPFI_21221, AMPFI_22425
OG0006193	XENTR04349	AMPFI_14632
OG0006217	XENTR09237	APOSC_27262
OG0006231	XENTR07806	APOSC_21160
OG0006361	XENTR00507	APOSC_06699
OG0006361	XENTR00507	APOSJ_26135
OG0006361	XENTR00507	AENJA_25897
OG0006361	XENTR00507	AMPFI_13719
OG0006361	XENTR00507	SACKO_16411
OG0006361	XENTR00507	TCONS_00004369.p1
OG0006361	XENTR00507	OFUSG20881.1.p1
OG0006361	XENTR00507	HELIO_08471
OG0006361	XENTR00507	STRPU_26003
OG0006361	XENTR00507	LYTVA_28927
OG0006361	XENTR00507	BRALA35163
OG0006361	XENTR00507	NEMVE24246
OG0006391	XENTR02605	AMPFI_11392
OG0006468	XENTR05148	AENJA_01370
OG0006491	XENTR07123	APOSC_25623
OG0006493	XENTR17127, XENTR17126	MOUSE45213
OG0006511	XENTR06903	APOSC_10649
OG0006537	XENTR01017	APOSC_19643
OG0006550	XENTR00769, XENTR00770	AMPFI_17946
OG0006580	XENTR13958, XENTR13959	AMPFI_04144
OG0006584	XENTR02296	LYTVA_01051
OG0006626	XENTR04565, XENTR13907	SACKO_20620
OG0006670	XENTR03934	APOSC_09168
OG0006758	XENTR19253	APOSJ_41069
OG0006758	XENTR19253	APOSC_29158
OG0006850	XENTR05570	HUMAN22746
OG0006913	XENTR04002	AMPFI_22851
OG0006916	XENTR18036	LYTVA_25691, LYTVA_07151
OG0007040	XENTR16157	APOSC_28613
OG0007095	XENTR11185	APOSC_23242
OG0007128	XENTR05067	APOSC_00622
OG0007389	XENTR06158	LYTVA_13623
OG0007438	XENTR02922	LYTVA_04235
OG0007453	XENTR01387	HELIO_07039
OG0007495	XENTR08419	APOSC_05318
OG0007609	XENTR10306	LYTVA_26890
OG0007668	XENTR06339	APOSJ_64552, APOSJ_50490
OG0007706	XENTR01370	APOSC_22591
OG0007823	XENTR09570	APOSC_12438
OG0008217	XENTR03890	LYTVA_26320
OG0008264	XENTR00573	APOSC_16007
OG0008380	XENTR00197	AMPFI_19814
OG0008576	XENTR09218	BRALA11513
OG0008656	XENTR01636	APOSC_06708
OG0008693	XENTR13743	LYTVA_01451, LYTVA_11823
OG0010324	XENTR10197	bflo_09721
