Orthogroup	NEMVE	Other
OG0004358	NEMVE08331	AENJA_18673
OG0004375	NEMVE20939, NEMVE22727	MOUSE27750
OG0004516	NEMVE01959	bflo_04748
OG0004537	NEMVE06806, NEMVE06793	STRPU_12968
OG0004546	NEMVE24991	APOSC_02200
OG0004568	NEMVE15087	DANRE05440
OG0004569	NEMVE11455, NEMVE25874	bflo_19832
OG0004573	NEMVE10987, NEMVE20146	BRALA32832
OG0004573	NEMVE10987, NEMVE20146	MOUSE04827, MOUSE51637
OG0004596	NEMVE03724	STRPU_15859
OG0004600	NEMVE18939	MOUSE25947
OG0004609	NEMVE13242	APOSC_14861
OG0004659	NEMVE07785, NEMVE00194, NEMVE11615	AMPFI_24972
OG0004748	NEMVE24482, NEMVE00840	AENJA_02211
OG0004795	NEMVE09760	ASTMX05972
OG0004795	NEMVE09760	BRALA35226
OG0004845	NEMVE20247	HUMAN05756
OG0004874	NEMVE08254	APOSJ_20927, APOSJ_20926
OG0004900	NEMVE15535, NEMVE25162	MOUSE22531, MOUSE22525
OG0004903	NEMVE13217	bflo_05231
OG0004922	NEMVE25720, NEMVE22660	AENJA_18036
OG0004971	NEMVE20816	LYTVA_21887
OG0004971	NEMVE20816	AMPFI_03928
OG0004975	NEMVE11552	AMPFI_13767
OG0004981	NEMVE21260	APOSC_14915
OG0004991	NEMVE05198	APOSC_17350
OG0005151	NEMVE13659	DANRE03017
OG0005155	NEMVE14140	STRPU_06007
OG0005179	NEMVE07829	MOUSE36304
OG0005187	NEMVE13161	AMPFI_09348, AMPFI_03439
OG0005237	NEMVE14603, NEMVE02535	SCHMD13955
OG0005317	NEMVE14531	ASTMX00041
OG0005479	NEMVE14532	HUMAN11180
OG0005494	NEMVE20276, NEMVE23985	APOSJ_12436
OG0005494	NEMVE20276, NEMVE23985	ASTMX11292
OG0005729	NEMVE12801, NEMVE05206	SCHMD24968
OG0005738	NEMVE22405	HUMAN21605
OG0005803	NEMVE13133	SCHMD24297
OG0005812	NEMVE14364	ASTMX06754
OG0005829	NEMVE24686	MOUSE00183
OG0005829	NEMVE24686	DANRE18382
OG0005853	NEMVE14317	LYTVA_13543
OG0005899	NEMVE06363, NEMVE06372, NEMVE16370	HUMAN15102
OG0006000	NEMVE18781	APOSJ_59193
OG0006222	NEMVE01385	AMPFI_10422
OG0006361	NEMVE24246	XENTR00507
OG0006496	NEMVE00019	MOUSE23970
OG0006496	NEMVE00019	HUMAN02168
OG0006512	NEMVE22978	HUMAN20060
OG0006533	NEMVE04409	SCHMD14559
OG0006580	NEMVE13359	AMPFI_04144
OG0006670	NEMVE14438	APOSC_09168
OG0006709	NEMVE06920	HUMAN17844, HUMAN17845
OG0006758	NEMVE23646	APOSC_29158
OG0006758	NEMVE23646	APOSJ_41069
OG0006835	NEMVE16968	MOUSE45015
OG0006850	NEMVE06805	HUMAN22746
OG0006916	NEMVE23817	LYTVA_25691, LYTVA_07151
OG0006961	NEMVE16865	TCONS_00009618.p1, TCONS_00009615.p1
OG0006961	NEMVE21638	TCONS_00009613.p1
OG0006978	NEMVE08429, NEMVE20677	ORYLA17388
OG0007249	NEMVE03114	AMPFI_17736
OG0007304	NEMVE19345	SACKO_17525
OG0007309	NEMVE20201	APOSJ_58403
OG0007664	NEMVE09875	MOUSE44792
