Orthogroup	ASTMX	Other
OG0000122	ASTMX10444, ASTMX20272, ASTMX16361, ASTMX12761, ASTMX10832	AMPFI_04266, AMPFI_05019
OG0000128	ASTMX18325	HUMAN21996
OG0000128	ASTMX18325	AENJA_21735
OG0000128	ASTMX18325	BRALA31378
OG0000128	ASTMX18325	SCHMD29825
OG0000128	ASTMX18325	YEAST01398, YEAST05967, YEAST05716
OG0000128	ASTMX18325	AMPFI_16622, AMPFI_18803, AMPFI_04850
OG0000128	ASTMX18325	STRPU_05989
OG0000128	ASTMX18325	HELIO_00789
OG0000128	ASTMX18325	LYTVA_25168
OG0000128	ASTMX18325	HUMAN21996
OG0000192	ASTMX22789, ASTMX13707	HELIO_03073
OG0000240	ASTMX02102, ASTMX10352, ASTMX10354, ASTMX10617	TCONS_00005653.p1
OG0000260	ASTMX18863	MOUSE46801
OG0000263	ASTMX18876	AMPFI_01637
OG0000265	ASTMX17905	LYTVA_27571
OG0000265	ASTMX17905	SACKO_28292
OG0000306	ASTMX13715	STRPU_00072
OG0000306	ASTMX13715	APOSC_12441
OG0000374	ASTMX04768, ASTMX06554, ASTMX08406	OFUSG15949.1.p1
OG0000405	ASTMX21258, ASTMX08631	MOUSE10145, MOUSE10152
OG0000427	ASTMX04360, ASTMX10338	APOSC_18019
OG0000442	ASTMX06201, ASTMX00907, ASTMX14474	BRALA33737
OG0000446	ASTMX14082	HELIO_01194
OG0000446	ASTMX14082	STRPU_24006
OG0000446	ASTMX14082	APOSJ_03580
OG0000446	ASTMX14082	APOSC_26266
OG0000446	ASTMX14082	AENJA_15743
OG0000446	ASTMX14082	NEMVE14089
OG0000446	ASTMX14082	CAEEL11745
OG0000446	ASTMX14082	SCHMD12871
OG0000446	ASTMX14082	AMPFI_02401
OG0000446	ASTMX14082	SACKO_08437
OG0000446	ASTMX14082	TCONS_00018303.p1
OG0000459	ASTMX06073, ASTMX06074, ASTMX07294	SACKO_12873
OG0000474	ASTMX17013	APOSC_01743
OG0000480	ASTMX07171	AENJA_14480
OG0000480	ASTMX07171	SACKO_31389
OG0000480	ASTMX07171	AMPFI_18780
OG0000480	ASTMX07171	HELIO_08413
OG0000480	ASTMX07171	BRALA28328
OG0000480	ASTMX07171	LYTVA_02506
OG0000521	ASTMX16377	AENJA_00888
OG0000521	ASTMX16377	LYTVA_03547
OG0000521	ASTMX16377	STRPU_20675
OG0000521	ASTMX16377	HELIO_07126
OG0000521	ASTMX16377	APOSC_09518
OG0000521	ASTMX16377	APOSJ_42057, APOSJ_42056, APOSJ_42055, APOSJ_42054
OG0000521	ASTMX16377	SACKO_05637
OG0000521	ASTMX16377	TCONS_00011900.p1, TCONS_00040878.p1
OG0000521	ASTMX16377	SCHMD05167, SCHMD05164
OG0000525	ASTMX02688	STRPU_08645
OG0000590	ASTMX20440	AMPFI_19054
OG0000591	ASTMX06564	APOSC_29125, APOSC_25553
OG0000591	ASTMX06564	APOSJ_27883, APOSJ_27882
OG0000591	ASTMX06564	AENJA_25061
OG0000591	ASTMX06564	TCONS_00012323.p1
OG0000591	ASTMX06564	OFUSG18333.1.p1
OG0000591	ASTMX06564	DROME20132, DROME20133, DROME20134
OG0000591	ASTMX06564	BRALA25344
OG0000591	ASTMX06564	HELIO_00717
OG0000591	ASTMX06564	STRPU_08932
OG0000591	ASTMX06564	LYTVA_18700
OG0000591	ASTMX06564	SACKO_22613
OG0000591	ASTMX06564	bflo_23823, bflo_04558
OG0000591	ASTMX06564	CAEEL19878
OG0000591	ASTMX06564	HUMAN17607
OG0000591	ASTMX06564	HUMAN17607
OG0000591	ASTMX06091	AENJA_08329
OG0000591	ASTMX06091	SCHMD09048, SCHMD27550, SCHMD09047
OG0000591	ASTMX06091	BRALA13642
OG0000591	ASTMX06091	bflo_22417
OG0000591	ASTMX06091	TCONS_00022888.p1
OG0000591	ASTMX06091	SACKO_32007
OG0000597	ASTMX18806	APOSC_18654
OG0000600	ASTMX20647	SACKO_30716
OG0000608	ASTMX19885	MOUSE14207
OG0000611	ASTMX12827	OFUSG22889.2.p1, OFUSG22889.1.p1
OG0000636	ASTMX16568, ASTMX15211, ASTMX02467, ASTMX01529, ASTMX19165, ASTMX14950	APOSC_03996
OG0000662	ASTMX17885	HELIO_03239
OG0000676	ASTMX03141	APOSJ_06120, APOSJ_06122, APOSJ_06117, APOSJ_06121
OG0000676	ASTMX03141	APOSC_24592
OG0000676	ASTMX03141	LYTVA_18544
OG0000676	ASTMX03141	HELIO_04321
OG0000676	ASTMX03141	STRPU_06999
OG0000676	ASTMX03141	NEMVE10858, NEMVE20237, NEMVE10856
OG0000676	ASTMX03141	SCHMD08131
OG0000690	ASTMX22294	APOSC_06077
OG0000708	ASTMX01986, ASTMX04018	AMPFI_19554
OG0000718	ASTMX22450	TCONS_00035589.p1
OG0000718	ASTMX22450	SACKO_32613
OG0000718	ASTMX22450	HELIO_08422
OG0000718	ASTMX22450	LYTVA_29448
OG0000718	ASTMX22450	STRPU_04006, STRPU_04005
OG0000718	ASTMX22450	AENJA_24056, AENJA_24052, AENJA_21088
OG0000718	ASTMX22450	AMPFI_05696, AMPFI_05695
OG0000718	ASTMX22450	APOSC_06058
OG0000718	ASTMX22450	APOSJ_33271, APOSJ_33274, APOSJ_33273, APOSJ_33272
OG0000718	ASTMX22450	bflo_19048
OG0000718	ASTMX22450	BRALA29518
OG0000718	ASTMX22450	SCHMD24218
OG0000718	ASTMX22450	APOSC_09944
OG0000718	ASTMX22450	APOSC_09944
OG0000757	ASTMX17086	BRALA34967
OG0000787	ASTMX22236	HUMAN24286
OG0000787	ASTMX22236	HUMAN24286
OG0000787	ASTMX22236	DROME06230
OG0000787	ASTMX22236	SACKO_19113
OG0000798	ASTMX11679	APOSC_20554
OG0000798	ASTMX11679	SCHMD19563, SCHMD17465, SCHMD04713
OG0000798	ASTMX11679	AMPFI_16263
OG0000798	ASTMX11679	TCONS_00044180.p1
OG0000798	ASTMX11679	SACKO_10604
OG0000809	ASTMX06550	SACKO_11703
OG0000809	ASTMX06550	MOUSE48490, MOUSE10214
OG0000814	ASTMX15594	HELIO_12586
OG0000818	ASTMX12923	XENTR04812
OG0000818	ASTMX12923	HUMAN20109
OG0000818	ASTMX12923	CAPO307028
OG0000818	ASTMX12923	SCHMD25196, SCHMD21411
OG0000818	ASTMX12923	NEMVE25555
OG0000851	ASTMX09789, ASTMX17144, ASTMX08263	APOSJ_05432, APOSJ_09645, APOSJ_05433
OG0000851	ASTMX09788	OFUSG02239.1.p1, OFUSG02239.2.p1
OG0000851	ASTMX09788	NEMVE23273
OG0000851	ASTMX09788	DROME20685, DROME20686
OG0000851	ASTMX09788	APOSJ_05432, APOSJ_09645, APOSJ_05433
OG0000851	ASTMX09788	APOSJ_05432, APOSJ_09645, APOSJ_05433
OG0000851	ASTMX09788	SCHMD21876, SCHMD17205
OG0000851	ASTMX09788	CAEEL08745
OG0000873	ASTMX22220	APOSJ_25707
OG0000875	ASTMX15020	APOSC_10816
OG0000875	ASTMX15020	MOUSE22325, MOUSE22324
OG0000877	ASTMX02085	APOSJ_22156
OG0000877	ASTMX02085	LYTVA_26866, LYTVA_01909
OG0000965	ASTMX11644	bflo_07554
OG0000982	ASTMX07919, ASTMX18187, ASTMX11536, ASTMX07445, ASTMX13438, ASTMX10025	APOSJ_12877
OG0001000	ASTMX00037, ASTMX14963	AMPFI_02319
OG0001110	ASTMX19998, ASTMX20209, ASTMX10366, ASTMX18902, ASTMX13352	SACKO_15731
OG0001161	ASTMX22922	TCONS_00032840.p1
OG0001161	ASTMX22922	AENJA_03513
OG0001161	ASTMX22922	APOSC_06253
OG0001161	ASTMX22922	SCHMD27832, SCHMD10429, SCHMD10428
OG0001161	ASTMX22922	MOUSE11704
OG0001161	ASTMX22922	MOUSE11704
OG0001170	ASTMX11047	TCONS_00002128.p1
OG0001170	ASTMX11047	bflo_04525
OG0001175	ASTMX15626, ASTMX17938, ASTMX10319	AMPFI_01688
OG0001216	ASTMX20220	APOSC_27402
OG0001221	ASTMX07026	TCONS_00038811.p1, TCONS_00038873.p1, TCONS_00038810.p1, TCONS_00038875.p1, TCONS_00038876.p1, TCONS_00038807.p1, TCONS_00038874.p1
OG0001221	ASTMX07026	SACKO_15128
OG0001241	ASTMX06697	SCHMD04757
OG0001264	ASTMX07471, ASTMX13848, ASTMX00881	LYTVA_04650
OG0001279	ASTMX06329	APOSC_10702
OG0001306	ASTMX15047, ASTMX12449	AMPFI_04010
OG0001306	ASTMX15047, ASTMX12449	AENJA_04590
OG0001325	ASTMX19331	AENJA_18977
OG0001331	ASTMX11613	BRALA34734
OG0001375	ASTMX15348	TCONS_00045949.p1
OG0001378	ASTMX12590, ASTMX15728	SACKO_24430
OG0001408	ASTMX18903	AENJA_10000
OG0001408	ASTMX19996	HUMAN01329
OG0001408	ASTMX19996	XENTR01315
OG0001408	ASTMX19996	MOUSE31266
OG0001408	ASTMX19996	DANRE24539
OG0001408	ASTMX19996	AENJA_10000
OG0001408	ASTMX19996	AENJA_10000
OG0001434	ASTMX09914, ASTMX09915	XENTR14258
OG0001456	ASTMX18389	AENJA_07027
OG0001456	ASTMX18389	LYTVA_29753
OG0001456	ASTMX18389	STRPU_27191, STRPU_27192, STRPU_27208
OG0001456	ASTMX18389	HELIO_09922
OG0001456	ASTMX18389	APOSC_10360, APOSC_00503
OG0001456	ASTMX18389	APOSJ_36129, APOSJ_36127, APOSJ_36126, APOSJ_36125, APOSJ_36128, APOSJ_36124, APOSJ_14012, APOSJ_25848
OG0001456	ASTMX18389	TCONS_00005200.p1
OG0001456	ASTMX18389	OFUSG19840.1.p1
OG0001456	ASTMX18389	bflo_02658
OG0001456	ASTMX18389	BRALA15558
OG0001456	ASTMX18389	AMPFI_00318
OG0001456	ASTMX18389	NEMVE11079, NEMVE05799
OG0001474	ASTMX07703	AMPFI_25092
OG0001484	ASTMX18774	AMPFI_09544
OG0001500	ASTMX07006	AMPFI_22915
OG0001502	ASTMX07826	APOSC_05753, APOSC_21241
OG0001502	ASTMX07826	APOSJ_52685, APOSJ_52686, APOSJ_52688, APOSJ_58829, APOSJ_52681, APOSJ_52682, APOSJ_52683, APOSJ_52684, APOSJ_52687
OG0001502	ASTMX07826	HELIO_00925
OG0001502	ASTMX07826	STRPU_08256
OG0001502	ASTMX07826	LYTVA_00394
OG0001502	ASTMX07826	SACKO_22382
OG0001502	ASTMX07826	TCONS_00013726.p1
OG0001502	ASTMX07826	OFUSG10006.1.p1, OFUSG10006.2.p1
OG0001502	ASTMX07826	BRALA06307
OG0001502	ASTMX07826	DROME08522, DROME08516, DROME08521, DROME08519, DROME08518, DROME08517, DROME08520
OG0001502	ASTMX07826	NEMVE06315
OG0001502	ASTMX07826	SCHMD06697
OG0001510	ASTMX20539	LYTVA_09042
OG0001518	ASTMX10339	APOSJ_06109
OG0001557	ASTMX20060	APOSC_03713
OG0001582	ASTMX05961, ASTMX13814, ASTMX08233, ASTMX17082	STRPU_06829, STRPU_06376
OG0001609	ASTMX10748	LYTVA_09772
OG0001660	ASTMX08833, ASTMX08831	LYTVA_26564
OG0001660	ASTMX08833, ASTMX08831	STRPU_04934
OG0001660	ASTMX08833, ASTMX08831	HELIO_04664
OG0001660	ASTMX08833, ASTMX08831	AMPFI_15599
OG0001660	ASTMX08833, ASTMX08831	APOSC_25851
OG0001660	ASTMX08833, ASTMX08831	APOSJ_24838
OG0001660	ASTMX08833, ASTMX08831	AENJA_04731
OG0001660	ASTMX08833, ASTMX08831	TCONS_00042955.p1
OG0001660	ASTMX08833, ASTMX08831	SACKO_16124
OG0001660	ASTMX08833, ASTMX08831	BRALA12583
OG0001660	ASTMX08833, ASTMX08831	bflo_15018
OG0001660	ASTMX08833	SCHMD01572
OG0001660	ASTMX08831	SCHMD29332
OG0001661	ASTMX14504	APOSJ_45271, APOSJ_16132
OG0001664	ASTMX14304	MOUSE47904
OG0001664	ASTMX14304	DANRE28710, DANRE28713, DANRE28709, DANRE28711, DANRE28712
OG0001673	ASTMX10983	XENTR14539
OG0001673	ASTMX10983	XENTR14539
OG0001673	ASTMX10983	CAEEL17134, CAEEL17133
OG0001673	ASTMX10983	DROME15611, DROME15610
OG0001673	ASTMX10983	NEMVE07546
OG0001673	ASTMX10983	OFUSG11305.1.p1
OG0001673	ASTMX10983	TCONS_00010575.p1
OG0001673	ASTMX10983	SACKO_02320
OG0001673	ASTMX10983	HELIO_05452
OG0001673	ASTMX10983	STRPU_21686, STRPU_21751
OG0001673	ASTMX10983	LYTVA_21841
OG0001673	ASTMX10983	APOSC_21746
OG0001673	ASTMX10983	APOSJ_53472, APOSJ_63447, APOSJ_63452
OG0001673	ASTMX10983	AENJA_11329
OG0001673	ASTMX10983	bflo_18854
OG0001673	ASTMX10983	AMPFI_18848
OG0001673	ASTMX10983	BRALA33336
OG0001718	ASTMX19689	APOSC_06428
OG0001731	ASTMX21815	DROME16558
OG0001731	ASTMX21815	AMPFI_24445
OG0001731	ASTMX21815	MOUSE01917
OG0001731	ASTMX21815	MOUSE01917
OG0001731	ASTMX21815	CAEEL19569
OG0001731	ASTMX21815	LYTVA_24284
OG0001789	ASTMX22705	AENJA_06214
OG0001789	ASTMX22705	OFUSG22370.1.p1
OG0001789	ASTMX22705	SACKO_03274, SACKO_03284
OG0001789	ASTMX22705	TCONS_00005017.p1
OG0001789	ASTMX22705	AMPFI_24598, AMPFI_14245
OG0001789	ASTMX22705	NEMVE02570
OG0001789	ASTMX22705	bflo_20646
OG0001789	ASTMX22705	HELIO_10048, HELIO_10049
OG0001789	ASTMX22705	STRPU_15451, STRPU_15452
OG0001789	ASTMX22705	LYTVA_15527, LYTVA_15528
OG0001789	ASTMX22705	APOSJ_49885, APOSJ_49884
OG0001789	ASTMX22705	APOSC_28424, APOSC_28423
OG0001789	ASTMX22705	DROME15206, DROME15202, DROME15200, DROME15204
OG0001809	ASTMX16684	SACKO_20097
OG0001896	ASTMX03109	SACKO_23598
OG0001896	ASTMX03109	TCONS_00016058.p1
OG0001896	ASTMX03109	AMPFI_00391
OG0001896	ASTMX03109	AENJA_22934
OG0001896	ASTMX03109	APOSJ_05101
OG0001896	ASTMX03109	APOSC_29153
OG0001923	ASTMX15481	LYTVA_02896
OG0001923	ASTMX15481	APOSJ_02740, APOSJ_02734, APOSJ_45692
OG0001944	ASTMX02482, ASTMX10544	APOSC_02088
OG0001978	ASTMX10513, ASTMX20541, ASTMX19834, ASTMX07677, ASTMX07680, ASTMX19831, ASTMX19833, ASTMX19832, ASTMX07679, ASTMX07678	CAEEL00552
OG0001992	ASTMX04244, ASTMX09494	SCHMD23667
OG0001992	ASTMX04244, ASTMX09494	BRALA35588
OG0002028	ASTMX10542	LYTVA_02071
OG0002061	ASTMX19773	MOUSE48024, MOUSE48025
OG0002141	ASTMX22344	OFUSG03101.2.p1, OFUSG03101.1.p1
OG0002141	ASTMX22344	SACKO_01890
OG0002141	ASTMX22344	TCONS_00043161.p1
OG0002141	ASTMX22344	bflo_14247
OG0002141	ASTMX22344	BRALA28309
OG0002141	ASTMX22344	AMPFI_24291
OG0002141	ASTMX22344	AENJA_08191
OG0002141	ASTMX22344	LYTVA_27475, LYTVA_21058
OG0002141	ASTMX22344	HELIO_11644
OG0002141	ASTMX22344	STRPU_05738
OG0002141	ASTMX22344	APOSC_00470
OG0002141	ASTMX22344	APOSJ_32536
OG0002160	ASTMX06371	APOSC_04273
OG0002169	ASTMX05633, ASTMX10425	BRALA33277
OG0002184	ASTMX22891	STRPU_18607
OG0002190	ASTMX15824	AMPFI_03087
OG0002223	ASTMX05554, ASTMX10305	bflo_22378
OG0002258	ASTMX05578	AMPFI_24977
OG0002261	ASTMX04970, ASTMX16399, ASTMX04971	APOSC_01376
OG0002261	ASTMX04970, ASTMX16399, ASTMX04971	BRALA35135
OG0002261	ASTMX04970, ASTMX16399, ASTMX04971	AMPFI_00774
OG0002266	ASTMX01568, ASTMX19605	AMPFI_03178
OG0002272	ASTMX06090	SACKO_24588
OG0002272	ASTMX06090	TCONS_00015510.p1
OG0002272	ASTMX06090	AENJA_18110
OG0002272	ASTMX06090	AMPFI_08490
OG0002272	ASTMX06090	LYTVA_11721
OG0002272	ASTMX06090	STRPU_16446
OG0002272	ASTMX06090	HELIO_11743
OG0002272	ASTMX06090	APOSC_09837
OG0002272	ASTMX06090	APOSJ_41581, APOSJ_65236, APOSJ_65234, APOSJ_41580, APOSJ_41576, APOSJ_41579, APOSJ_41577, APOSJ_41583, APOSJ_41582, APOSJ_65235, APOSJ_41575, APOSJ_41578
OG0002272	ASTMX06090	OFUSG08163.1.p1
OG0002272	ASTMX06090	CAEEL00181
OG0002272	ASTMX06090	bflo_03132, bflo_06911
OG0002272	ASTMX06090	BRALA08886, BRALA18101
OG0002272	ASTMX06090	NEMVE09461
OG0002272	ASTMX06090	SCHMD08789, SCHMD22434
OG0002294	ASTMX11558, ASTMX15048	MOUSE40042
OG0002319	ASTMX18446	APOSC_18537
OG0002375	ASTMX22044	AENJA_25871
OG0002375	ASTMX22044	APOSJ_60710, APOSJ_60709, APOSJ_60711, APOSJ_60714, APOSJ_60716, APOSJ_60715, APOSJ_60713, APOSJ_60712, APOSJ_59787, APOSJ_59786
OG0002375	ASTMX22044	APOSC_01864, APOSC_19578
OG0002375	ASTMX22044	TCONS_00019563.p1, TCONS_00019570.p1, TCONS_00019565.p1, TCONS_00019569.p1
OG0002375	ASTMX22044	SACKO_10157, SACKO_11681
OG0002375	ASTMX22044	LYTVA_15054
OG0002399	ASTMX03862, ASTMX05513, ASTMX03428, ASTMX12752, ASTMX03430, ASTMX03429	HELIO_01674
OG0002402	ASTMX22445	APOSJ_26768, APOSJ_04299, APOSJ_04296, APOSJ_04297, APOSJ_04300, APOSJ_04298, APOSJ_64172, APOSJ_04301
OG0002402	ASTMX22445	APOSC_09555
OG0002402	ASTMX22445	HELIO_01596
OG0002402	ASTMX22445	STRPU_11673
OG0002402	ASTMX22445	AENJA_03150
OG0002402	ASTMX22445	AMPFI_08689
OG0002422	ASTMX04519	APOSC_11565
OG0002443	ASTMX15145	AMPFI_15890
OG0002447	ASTMX06034	APOSC_21796
OG0002451	ASTMX05346	LYTVA_04164, LYTVA_13285
OG0002479	ASTMX13727	APOSJ_51343
OG0002504	ASTMX06003	SACKO_09835
OG0002511	ASTMX22741	OFUSG03967.2.p1, OFUSG03967.1.p1
OG0002511	ASTMX22741	DROME06803
OG0002511	ASTMX22741	CAEEL03054
OG0002511	ASTMX22741	SCHMD22603
OG0002520	ASTMX04728	APOSC_09886
OG0002522	ASTMX06873	AMPFI_24208, AMPFI_23958
OG0002547	ASTMX08915	SACKO_13783
OG0002547	ASTMX08915	TCONS_00045453.p1, TCONS_00045484.p1, TCONS_00045452.p1
OG0002547	ASTMX08915	AMPFI_20544
OG0002547	ASTMX08915	HUMAN19251
OG0002547	ASTMX08915	HUMAN19251
OG0002550	ASTMX13897, ASTMX22395, ASTMX09655	TCONS_00027283.p1, TCONS_00027288.p1
OG0002553	ASTMX22208, ASTMX22207	APOSC_15295
OG0002553	ASTMX22208, ASTMX22207	APOSJ_36058, APOSJ_36057, APOSJ_36056, APOSJ_36059
OG0002553	ASTMX22208, ASTMX22207	HELIO_01973
OG0002553	ASTMX22208, ASTMX22207	STRPU_01916, STRPU_22760
OG0002553	ASTMX22208, ASTMX22207	AENJA_18919
OG0002553	ASTMX22208, ASTMX22207	SCHMD21087, SCHMD22996, SCHMD22907
OG0002553	ASTMX22208, ASTMX22207	SACKO_12252
OG0002553	ASTMX22208, ASTMX22207	TCONS_00018976.p1
OG0002553	ASTMX22208, ASTMX22207	XENTR18636
OG0002590	ASTMX07472, ASTMX16287, ASTMX18576	LYTVA_05045
OG0002605	ASTMX22634	MOUSE31339
OG0002623	ASTMX12300	AMPFI_25644
OG0002669	ASTMX13936	HUMAN15609, HUMAN15610
OG0002708	ASTMX09919	DROME16440
OG0002746	ASTMX14540	APOSC_13976
OG0002749	ASTMX11896	AENJA_13469
OG0002766	ASTMX12280	APOSJ_39716, APOSJ_58172, APOSJ_58171, APOSJ_39717, APOSJ_58170, APOSJ_39718
OG0002780	ASTMX12328	DROME00776, DROME00775
OG0002780	ASTMX12328	NEMVE17788, NEMVE19824
OG0002780	ASTMX12328	bflo_22863
OG0002780	ASTMX12328	BRALA06535
OG0002780	ASTMX12328	TCONS_00012584.p1
OG0002780	ASTMX12328	SACKO_28755
OG0002780	ASTMX12328	AMPFI_15995
OG0002780	ASTMX12328	HELIO_04586, HELIO_08537
OG0002780	ASTMX12328	LYTVA_15420, LYTVA_07675
OG0002780	ASTMX12328	STRPU_08346
OG0002780	ASTMX12328	APOSJ_48451, APOSJ_48449, APOSJ_48450, APOSJ_48452, APOSJ_48447, APOSJ_48453, APOSJ_48454, APOSJ_07716
OG0002780	ASTMX12328	APOSC_04352, APOSC_04353
OG0002811	ASTMX08335, ASTMX08336	AMPFI_04646, AMPFI_07322
OG0002812	ASTMX10334	AENJA_00075, AENJA_18658
OG0002812	ASTMX10333	TCONS_00054658.p1
OG0002874	ASTMX22419	AENJA_16110
OG0002874	ASTMX22419	APOSJ_55452, APOSJ_51205, APOSJ_18413, APOSJ_55439
OG0002874	ASTMX22419	APOSC_24836, APOSC_24837, APOSC_24835
OG0002874	ASTMX22419	STRPU_22380
OG0002874	ASTMX22419	HELIO_11635
OG0002874	ASTMX22419	LYTVA_23232, LYTVA_01839
OG0002874	ASTMX22419	AMPFI_15785
OG0002874	ASTMX22419	OFUSG06465.1.p1
OG0002874	ASTMX22419	HUMAN20546
OG0002874	ASTMX22419	HUMAN20546
OG0002880	ASTMX12917, ASTMX10766	LYTVA_24596
OG0002884	ASTMX09433	APOSJ_12840, APOSJ_58678
OG0002965	ASTMX02526	HELIO_08079
OG0002977	ASTMX16248	AMPFI_18550
OG0002989	ASTMX22597	MOUSE11229
OG0002989	ASTMX22597	MOUSE11229
OG0002989	ASTMX22597	SCHMD09813, SCHMD01483
OG0002989	ASTMX22597	HELIO_04721
OG0002989	ASTMX22597	TCONS_00049575.p1
OG0002989	ASTMX22597	SACKO_23453
OG0002989	ASTMX22597	AMPFI_07541
OG0002989	ASTMX22597	LYTVA_23227
OG0002989	ASTMX22597	STRPU_22387
OG0002989	ASTMX22597	ORYLA14532, ORYLA14531
OG0002989	ASTMX22597	LYTVA_10772
OG0002989	ASTMX22597	APOSJ_04210, APOSJ_58686
OG0002989	ASTMX22597	APOSC_03729, APOSC_03730
OG0002989	ASTMX22597	BRALA24378
OG0002989	ASTMX22597	bflo_07369
OG0002989	ASTMX22597	ORYLA14532, ORYLA14531
OG0002989	ASTMX22597	LYTVA_10772
OG0003006	ASTMX15978, ASTMX15977	APOSC_03888
OG0003040	ASTMX06981	APOSC_00535
OG0003109	ASTMX18781	APOSJ_51968
OG0003118	ASTMX17621, ASTMX15584, ASTMX10419	APOSC_13717
OG0003148	ASTMX14971	AMPFI_01181
OG0003188	ASTMX05144, ASTMX18728, ASTMX06943	APOSC_27314
OG0003199	ASTMX17609	TCONS_00054864.p1
OG0003225	ASTMX22401	APOSC_07724
OG0003258	ASTMX11167	AENJA_01707
OG0003267	ASTMX07667	APOSC_05198
OG0003282	ASTMX09305, ASTMX07991	APOSJ_26406
OG0003296	ASTMX13206	APOSC_07542
OG0003303	ASTMX21947	MOUSE24465
OG0003303	ASTMX20298	APOSC_00584
OG0003305	ASTMX07789	AENJA_11741
OG0003305	ASTMX07789	TCONS_00045454.p1, TCONS_00045430.p1
OG0003305	ASTMX07789	SACKO_20237
OG0003305	ASTMX07789	SCHMD12414
OG0003305	ASTMX07789	AMPFI_11439
OG0003305	ASTMX07789	CAEEL04396
OG0003312	ASTMX23023	APOSJ_46279
OG0003328	ASTMX10051	bflo_00597, bflo_00596
OG0003328	ASTMX10051	BRALA19968, BRALA03294
OG0003328	ASTMX10051	SCHMD28972
OG0003328	ASTMX10051	AMPFI_00690
OG0003328	ASTMX10051	APOSC_07445
OG0003375	ASTMX13635	TCONS_00029032.p1
OG0003375	ASTMX13635	APOSC_16084
OG0003388	ASTMX07669, ASTMX03217, ASTMX03218	AMPFI_20188
OG0003388	ASTMX07669	APOSC_17998
OG0003392	ASTMX17435	APOSJ_30179
OG0003447	ASTMX07133	AMPFI_22475
OG0003447	ASTMX07133	APOSJ_05681
OG0003448	ASTMX17648	APOSC_13687
OG0003463	ASTMX08158	APOSC_18574
OG0003508	ASTMX08692	AMPFI_00704
OG0003511	ASTMX12073	AMPFI_18153
OG0003533	ASTMX14253	AMPFI_02269
OG0003546	ASTMX03306, ASTMX06923, ASTMX13133	BRALA35137
OG0003546	ASTMX03306, ASTMX06923, ASTMX13133	STRPU_19646
OG0003556	ASTMX21299	APOSJ_04978
OG0003557	ASTMX07636	LYTVA_20994
OG0003601	ASTMX05402, ASTMX21482	SACKO_22940
OG0003601	ASTMX21464, ASTMX21480	SACKO_22950, SACKO_22963
OG0003636	ASTMX14519	LYTVA_04868
OG0003636	ASTMX14519	APOSC_19573
OG0003654	ASTMX18753	AENJA_07431
OG0003654	ASTMX18753	LYTVA_07082
OG0003654	ASTMX18753	HELIO_11410
OG0003654	ASTMX18753	STRPU_07070, STRPU_07065
OG0003654	ASTMX18753	SCHMD08972, SCHMD20129, SCHMD08971, SCHMD21219
OG0003654	ASTMX18753	AMPFI_17684
OG0003654	ASTMX18753	BRALA21275
OG0003654	ASTMX18753	bflo_05910
OG0003669	ASTMX15273	APOSJ_43894
OG0003697	ASTMX06569	STRPU_00014
OG0003697	ASTMX06569	HELIO_12072
OG0003738	ASTMX11367	TCONS_00013945.p1
OG0003738	ASTMX11367	SACKO_02219
OG0003738	ASTMX11367	bflo_23509
OG0003738	ASTMX11367	BRALA18659
