Orthogroup	SACKO_ok	Other
OG0000208	SACKO_05740	AMPFI_25934, AMPFI_04187
OG0000208	SACKO_05740	BRALA33938, BRALA33891, BRALA27230, BRALA35033, BRALA34389
OG0000208	SACKO_05740	DROME02132
OG0000208	SACKO_05740	SCHMD02566, SCHMD12405, SCHMD11985, SCHMD22998, SCHMD11986, SCHMD02567, SCHMD02568, SCHMD12406, SCHMD01555, SCHMD12407, SCHMD05900
OG0000208	SACKO_05740	HUMAN11860
OG0000208	SACKO_05740	HUMAN11860
OG0000227	SACKO_24661	bflo_10496
OG0000239	SACKO_03853	AMPFI_08248
OG0000260	SACKO_18171	MOUSE03191
OG0000265	SACKO_28292	XENTR04690
OG0000265	SACKO_28292	ASTMX17905
OG0000265	SACKO_28292	LYTVA_27571
OG0000265	SACKO_28292	MOUSE24034, MOUSE24037, MOUSE25772
OG0000265	SACKO_28292	DANRE17651
OG0000265	SACKO_28292	SCHMD14945, SCHMD03613
OG0000265	SACKO_28292	BRALA18329
OG0000265	SACKO_28292	LYTVA_27571
OG0000265	SACKO_28292	NEMVE16690
OG0000306	SACKO_05913	STRPU_04180
OG0000309	SACKO_02717	HUMAN02856
OG0000309	SACKO_02717	MOUSE11293, MOUSE24979
OG0000320	SACKO_22868, SACKO_11521, SACKO_22869, SACKO_11537, SACKO_11550, SACKO_11577, SACKO_11552, SACKO_19177, SACKO_19175, SACKO_19191	BRALA12781, BRALA17040
OG0000326	SACKO_00052	BRALA08568
OG0000329	SACKO_22665	HUMAN06604
OG0000329	SACKO_26706	HUMAN12535, HUMAN06603
OG0000374	SACKO_03086	OFUSG15949.1.p1
OG0000397	SACKO_06461	DANRE04701, DANRE19132, DANRE04702, DANRE19141, DANRE19136, DANRE19121, DANRE19122, DANRE04703, DANRE04741, DANRE19133, DANRE19130, DANRE19129, DANRE19134, DANRE04720
OG0000404	SACKO_13740	CAEEL15426
OG0000404	SACKO_13740	NEMVE18805
OG0000427	SACKO_09178	AMPFI_08931
OG0000436	SACKO_03318	MOUSE23254
OG0000442	SACKO_00306	BRALA33737
OG0000446	SACKO_08437	ASTMX14082
OG0000450	SACKO_10223	MOUSE46534
OG0000453	SACKO_27333, SACKO_27397, SACKO_25837	BRALA02456
OG0000459	SACKO_12873	XENTR07204, XENTR12836, XENTR12837
OG0000459	SACKO_12873	DANRE19705, DANRE16614
OG0000459	SACKO_12873	ASTMX06073, ASTMX06074, ASTMX07294
OG0000459	SACKO_12873	ORYLA04622
OG0000459	SACKO_12873	HUMAN19503, HUMAN19500, HUMAN19501, HUMAN19502, HUMAN19499
OG0000459	SACKO_12873	MOUSE16376, MOUSE16375, MOUSE16374
OG0000465	SACKO_34041	DANRE26401, DANRE26400
OG0000474	SACKO_26694	APOSC_06438, APOSC_01743
OG0000478	SACKO_25523	SCHMD11958, SCHMD18286, SCHMD18287, SCHMD14103, SCHMD12511, SCHMD15398, SCHMD08460
OG0000478	SACKO_25523	OFUSG06603.1.p1, OFUSG06780.1.p1
OG0000478	SACKO_25523	XENTR07036
OG0000478	SACKO_25523	BRALA03122
OG0000478	SACKO_25523	bflo_13973, bflo_13972
OG0000480	SACKO_31389	ASTMX07171
OG0000501	SACKO_31636	STRPU_04968, STRPU_24516, STRPU_24080, STRPU_00604, STRPU_24511, STRPU_24509, STRPU_04537, STRPU_04519, STRPU_00603, STRPU_24513, STRPU_24508, STRPU_24507, STRPU_24505, STRPU_24504, STRPU_24506, STRPU_24510, STRPU_24688, STRPU_24704, STRPU_24687, STRPU_24705
OG0000501	SACKO_31636	LYTVA_10687, LYTVA_29124, LYTVA_18405
OG0000501	SACKO_31636	AMPFI_07485, AMPFI_13181, AMPFI_25271, AMPFI_05442
OG0000501	SACKO_31636	AENJA_00530, AENJA_00529, AENJA_07419, AENJA_06738
OG0000501	SACKO_31636	APOSC_18174, APOSC_10072, APOSC_10071, APOSC_10070
OG0000501	SACKO_31636	APOSJ_06661, APOSJ_19719, APOSJ_19718
OG0000501	SACKO_31636	HELIO_01592, HELIO_04898, HELIO_07352
OG0000501	SACKO_31636	BRALA21637, BRALA16550
OG0000501	SACKO_31636	BRALA21637, BRALA16550
OG0000501	SACKO_31636	OFUSG05132.1.p1, OFUSG08027.1.p1, OFUSG11389.1.p1, OFUSG21090.1.p1, OFUSG15540.1.p1, OFUSG17744.1.p1, OFUSG13693.1.p1, OFUSG00424.1.p1
OG0000503	SACKO_18333, SACKO_27461	MOUSE51372
OG0000521	SACKO_05637	ASTMX16377
OG0000523	SACKO_22414, SACKO_18696, SACKO_04917, SACKO_04936, SACKO_14510, SACKO_21286, SACKO_32496	BRALA18475
OG0000527	SACKO_06716, SACKO_06738	MOUSE25384
OG0000527	SACKO_06716	HUMAN02304
OG0000560	SACKO_30877	DANRE40243, DANRE40242
OG0000568	SACKO_15842, SACKO_14342	APOSJ_51198
OG0000591	SACKO_22613	ASTMX06564
OG0000591	SACKO_22613	HUMAN17607
OG0000591	SACKO_32007	ASTMX06091
OG0000600	SACKO_30716	ASTMX20647
OG0000600	SACKO_30716	DANRE15568
OG0000600	SACKO_30716	MOUSE00135, MOUSE00136
OG0000600	SACKO_30716	BRALA16892
OG0000600	SACKO_30716	bflo_17336
OG0000600	SACKO_30716	NEMVE07602
OG0000611	SACKO_26761	OFUSG22889.2.p1, OFUSG22889.1.p1
OG0000628	SACKO_26977	ORYLA19646
OG0000635	SACKO_29739, SACKO_14557	STRPU_24923, STRPU_24924
OG0000635	SACKO_29739, SACKO_14557	AENJA_03389
OG0000658	SACKO_23223	AMPFI_03440
OG0000662	SACKO_06148	HELIO_03239
OG0000718	SACKO_32613	ASTMX22450
OG0000787	SACKO_05969, SACKO_19113	HUMAN24286
OG0000787	SACKO_19113	ASTMX22236
OG0000798	SACKO_10604	ASTMX11679
OG0000809	SACKO_11703	DANRE40060, DANRE40059, DANRE40058
OG0000809	SACKO_11703	MOUSE48492, MOUSE48491
OG0000809	SACKO_11703	HUMAN15029
OG0000809	SACKO_11703	ORYLA12961
OG0000809	SACKO_11703	SCHMD21850, SCHMD00682
OG0000809	SACKO_11703	MOUSE48490, MOUSE10214
OG0000809	SACKO_11703	DROME15572, DROME15573
OG0000809	SACKO_11703	NEMVE08335, NEMVE12321
OG0000809	SACKO_11703	ASTMX06550
OG0000809	SACKO_11703	OFUSG17351.1.p1, OFUSG17351.2.p1
OG0000809	SACKO_11703	MOUSE48490, MOUSE10214
OG0000810	SACKO_08781	LYTVA_14958
OG0000812	SACKO_09567	AMPFI_22391
OG0000842	SACKO_18541, SACKO_32072	MOUSE39642
OG0000842	SACKO_18541, SACKO_32072	HUMAN28734
OG0000875	SACKO_01411	MOUSE22325, MOUSE22324
OG0000924	SACKO_31698	LYTVA_06876
OG0000957	SACKO_21298	MOUSE13271, MOUSE01612
OG0000957	SACKO_21298	HUMAN29142
OG0000965	SACKO_31862, SACKO_21944	bflo_07554
OG0000971	SACKO_31352	AMPFI_19239
OG0001013	SACKO_12317	bflo_22743
OG0001013	SACKO_12317	BRALA25040, BRALA34547
OG0001013	SACKO_12317	HUMAN06060
OG0001013	SACKO_12317	MOUSE44308
OG0001045	SACKO_28078	BRALA33554
OG0001045	SACKO_28078	HELIO_10745
OG0001076	SACKO_06837	MOUSE36456
OG0001102	SACKO_27070	bflo_15231
OG0001110	SACKO_15731	OFUSG08276.1.p1
OG0001110	SACKO_15731	BRALA02581, BRALA02578
OG0001110	SACKO_15731	bflo_16461, bflo_16317
OG0001110	SACKO_15731	ASTMX19998, ASTMX20209, ASTMX10366, ASTMX18902, ASTMX13352
OG0001110	SACKO_15731	ORYLA08952, ORYLA02458, ORYLA08953, ORYLA18020
OG0001110	SACKO_15731	HUMAN01328, HUMAN29331, HUMAN29332
OG0001110	SACKO_15731	MOUSE31269, MOUSE31270, MOUSE31274, MOUSE31267, MOUSE31276, MOUSE31268, MOUSE31272, MOUSE31273, MOUSE31271, MOUSE31275, MOUSE25541, MOUSE25546, MOUSE25545, MOUSE25543, MOUSE25544, MOUSE25542
OG0001110	SACKO_15731	DANRE26726, DANRE26727, DANRE24537, DANRE24538, DANRE39856, DANRE19108, DANRE39854, DANRE39855
OG0001110	SACKO_15731	XENTR01316, XENTR07736
OG0001114	SACKO_08523	APOSJ_15885
OG0001158	SACKO_17286	MOUSE28962
OG0001158	SACKO_17286	DANRE36873
OG0001158	SACKO_17286	ORYLA13611
OG0001178	SACKO_03875	HELIO_07560
OG0001184	SACKO_02591	LYTVA_26638, LYTVA_24278
OG0001184	SACKO_02591	STRPU_09552
OG0001184	SACKO_02591	HELIO_02728
OG0001184	SACKO_02591	AMPFI_08874
OG0001184	SACKO_02591	SCHMD29753, SCHMD15110, SCHMD23640
OG0001221	SACKO_15128	TCONS_00038811.p1, TCONS_00038873.p1, TCONS_00038810.p1, TCONS_00038875.p1, TCONS_00038876.p1, TCONS_00038807.p1, TCONS_00038874.p1
OG0001221	SACKO_15128	TCONS_00038811.p1, TCONS_00038873.p1, TCONS_00038810.p1, TCONS_00038875.p1, TCONS_00038876.p1, TCONS_00038807.p1, TCONS_00038874.p1
OG0001221	SACKO_15128	DANRE38048, DANRE38049
OG0001221	SACKO_15128	ORYLA07491
OG0001221	SACKO_15128	ASTMX07026
OG0001221	SACKO_15128	MOUSE12352, MOUSE12358, MOUSE12355, MOUSE12353
OG0001221	SACKO_15128	HUMAN08173, HUMAN08174, HUMAN08177, HUMAN08176, HUMAN08178, HUMAN08175, HUMAN08179, HUMAN08180
OG0001221	SACKO_15128	XENTR15915
OG0001221	SACKO_15128	NEMVE10455, NEMVE21175
OG0001221	SACKO_15128	SCHMD16690
OG0001294	SACKO_03533	ORYLA11435
OG0001294	SACKO_03533	DANRE05494
OG0001304	SACKO_19061	HUMAN07988
OG0001312	SACKO_03694	DANRE33360, DANRE33361
OG0001316	SACKO_32180	DANRE06942
OG0001325	SACKO_27663	AENJA_18977
OG0001331	SACKO_23573	BRALA34734
OG0001350	SACKO_01074	MOUSE33385
OG0001378	SACKO_24430	XENTR01998
OG0001378	SACKO_24430	ORYLA04943
OG0001378	SACKO_24430	ASTMX12590, ASTMX15728
OG0001378	SACKO_24430	DANRE04190, DANRE04191
OG0001378	SACKO_24430	MOUSE12734, MOUSE46833
OG0001378	SACKO_24430	bflo_08974
OG0001378	SACKO_24430	SCHMD12504, SCHMD07107
OG0001378	SACKO_24430	HUMAN24020
OG0001378	SACKO_24430	LYTVA_17384
OG0001383	SACKO_27457	MOUSE27507
OG0001434	SACKO_08035, SACKO_22760	XENTR14258
OG0001461	SACKO_33755	DANRE25864
OG0001484	SACKO_06239	AMPFI_09544
OG0001502	SACKO_22382	ASTMX07826
OG0001505	SACKO_14128	ORYLA10202
OG0001507	SACKO_07854	MOUSE20175, MOUSE20176, MOUSE07523
OG0001522	SACKO_04762	AMPFI_18320, AMPFI_13603
OG0001527	SACKO_08580	MOUSE04312
OG0001538	SACKO_28388, SACKO_28412	APOSC_24317
OG0001557	SACKO_08809	APOSC_03713
OG0001615	SACKO_32434	MOUSE27062
OG0001620	SACKO_08656	HUMAN02053
OG0001632	SACKO_01195	DANRE40470
OG0001632	SACKO_01195	ORYLA19517
OG0001633	SACKO_20042, SACKO_31542, SACKO_20001	DANRE38756
OG0001657	SACKO_20167	BRALA35457
OG0001660	SACKO_16124	ASTMX08833, ASTMX08831
OG0001673	SACKO_02320	XENTR14539
OG0001673	SACKO_02320	ASTMX10983
OG0001710	SACKO_07572, SACKO_32793	AMPFI_00172
OG0001710	SACKO_32793	AENJA_01527
OG0001740	SACKO_22519	BRALA30517
OG0001779	SACKO_22394	STRPU_27324
OG0001779	SACKO_22394	LYTVA_10614
OG0001779	SACKO_22394	HELIO_05156
OG0001779	SACKO_22394	AENJA_05068, AENJA_03226
OG0001779	SACKO_22394	BRALA01658
OG0001779	SACKO_22394	AMPFI_14359, AMPFI_04902, AMPFI_15956, AMPFI_09586
OG0001789	SACKO_03274, SACKO_03284	ASTMX22705
OG0001809	SACKO_20097	HUMAN02155, HUMAN02158, HUMAN02157, HUMAN02156
OG0001809	SACKO_20097	MOUSE23989, MOUSE23990, MOUSE23988
OG0001809	SACKO_20097	ORYLA10311, ORYLA13183
OG0001809	SACKO_20097	ASTMX16684
OG0001809	SACKO_20097	DANRE21533
OG0001809	SACKO_20097	XENTR00099
OG0001852	SACKO_00057	HUMAN20900, HUMAN20899
OG0001852	SACKO_00057	DANRE43025
OG0001875	SACKO_22430	MOUSE31669
OG0001875	SACKO_22430	DANRE04850
OG0001883	SACKO_02765	AMPFI_12080
OG0001896	SACKO_23598	ASTMX03109
OG0001914	SACKO_00613	AMPFI_23742
OG0001941	SACKO_28144	MOUSE53037
OG0001943	SACKO_13918	XENTR02451
OG0001943	SACKO_13918	HUMAN18949
OG0001951	SACKO_09715	APOSC_14703
OG0001951	SACKO_09715	APOSJ_33380, APOSJ_33379, APOSJ_33378, APOSJ_33377
OG0001951	SACKO_09715	HELIO_04565
OG0001951	SACKO_09715	STRPU_22044
OG0001951	SACKO_09715	LYTVA_24979
OG0001951	SACKO_09715	AMPFI_06568
OG0001951	SACKO_09715	HUMAN06388
OG0001951	SACKO_09715	MOUSE53151
OG0001988	SACKO_19763	DANRE10195
OG0001988	SACKO_19763	HUMAN28138, HUMAN28140, HUMAN28139
OG0001992	SACKO_18086, SACKO_18064	SCHMD23667
OG0001992	SACKO_18064	BRALA35588
OG0002006	SACKO_32238	MOUSE05504
OG0002011	SACKO_00275	APOSC_29016
OG0002060	SACKO_33981	HUMAN08798
OG0002060	SACKO_33981	MOUSE07891
OG0002094	SACKO_08816, SACKO_08826	DANRE22168
OG0002138	SACKO_16832	HELIO_10373
OG0002141	SACKO_01890	ASTMX22344
OG0002151	SACKO_31544	ORYLA00735
OG0002184	SACKO_07039	STRPU_18607
OG0002240	SACKO_14136	HUMAN21965
OG0002240	SACKO_14126	HUMAN21964
OG0002257	SACKO_18497	HUMAN16802
OG0002261	SACKO_16053	APOSC_01376
OG0002261	SACKO_16053	AMPFI_00774
OG0002272	SACKO_24588	ASTMX06090
OG0002321	SACKO_23570	AMPFI_00776
OG0002375	SACKO_10157, SACKO_11681	ASTMX22044
OG0002406	SACKO_33790	OFUSG16824.1.p1
OG0002406	SACKO_33790	NEMVE05742
OG0002406	SACKO_33790	TCONS_00050817.p1
OG0002406	SACKO_33790	HELIO_01959
OG0002406	SACKO_33790	STRPU_10508
OG0002406	SACKO_33790	LYTVA_16025
OG0002406	SACKO_33790	APOSJ_64758, APOSJ_64760
OG0002406	SACKO_33790	BRALA05674
OG0002406	SACKO_33790	bflo_24870
OG0002406	SACKO_33790	APOSC_03558
OG0002406	SACKO_33790	SCHMD19891
OG0002407	SACKO_17878, SACKO_17871, SACKO_17874	MOUSE11499
OG0002407	SACKO_17878, SACKO_17871, SACKO_17874	XENTR18256
OG0002410	SACKO_18805, SACKO_11678	AMPFI_25695
OG0002416	SACKO_09399	AMPFI_00862
OG0002433	SACKO_24905	HUMAN13300
OG0002497	SACKO_22650	MOUSE18375
OG0002500	SACKO_04375	SCHMD27186, SCHMD17843, SCHMD20787, SCHMD09150
OG0002504	SACKO_09835	ASTMX06003
OG0002504	SACKO_09835	DANRE08086
OG0002504	SACKO_09835	HUMAN19931
OG0002504	SACKO_09835	MOUSE37297, MOUSE37296
OG0002504	SACKO_09835	SCHMD02702, SCHMD02703
OG0002520	SACKO_06589	APOSC_09886
OG0002547	SACKO_13783	ASTMX08915
OG0002547	SACKO_13783	HUMAN19251
OG0002553	SACKO_12252	ASTMX22208, ASTMX22207
OG0002568	SACKO_24362	HUMAN22293
OG0002592	SACKO_33979	AENJA_00877
OG0002592	SACKO_33979	APOSC_25420
OG0002592	SACKO_33979	APOSJ_46410, APOSJ_08541
OG0002592	SACKO_33979	AMPFI_13088
OG0002592	SACKO_33979	STRPU_01523, STRPU_09437
OG0002592	SACKO_33979	HELIO_12783
OG0002592	SACKO_33979	LYTVA_23598, LYTVA_03295, LYTVA_21866
OG0002592	SACKO_33979	OFUSG18883.1.p1
OG0002705	SACKO_02809, SACKO_11668	DANRE01893, DANRE01894
OG0002705	SACKO_02809, SACKO_11668	MOUSE10470
OG0002708	SACKO_20775	DROME16440
OG0002715	SACKO_15095	DANRE02874
OG0002718	SACKO_28799	MOUSE34798
OG0002720	SACKO_12119	SCHMD27297
OG0002730	SACKO_31288	AMPFI_11827
OG0002738	SACKO_33914	HUMAN20112
OG0002774	SACKO_02543	XENTR18198
OG0002780	SACKO_28755	ASTMX12328
OG0002873	SACKO_09763	STRPU_08690
OG0002880	SACKO_12966	LYTVA_24596
OG0002889	SACKO_25507	AMPFI_18322
OG0002892	SACKO_25315	DANRE19161
OG0002977	SACKO_20192	AMPFI_18550
OG0002989	SACKO_23453	MOUSE11229
OG0002989	SACKO_23453	ORYLA14532, ORYLA14531
OG0002989	SACKO_23453	ASTMX22597
OG0003006	SACKO_09983	APOSC_03888
OG0003011	SACKO_09511	HUMAN10459
OG0003011	SACKO_09511	ORYLA00615
OG0003017	SACKO_30528	HUMAN14075
OG0003037	SACKO_16276	AMPFI_14720
OG0003044	SACKO_29708	AMPFI_18286
OG0003049	SACKO_27605	AMPFI_20646
OG0003206	SACKO_17979, SACKO_17971, SACKO_19787	MOUSE16899
OG0003220	SACKO_26339	MOUSE55318
OG0003296	SACKO_04472	APOSC_07542
OG0003305	SACKO_20237	ASTMX07789
OG0003319	SACKO_26946	HUMAN19328
OG0003321	SACKO_30235	MOUSE28457
OG0003388	SACKO_17919, SACKO_17906	AMPFI_20188
OG0003388	SACKO_17919, SACKO_17906	APOSC_17998
OG0003432	SACKO_21364	HUMAN13670
OG0003447	SACKO_16916	APOSJ_05681
OG0003447	SACKO_16916	AMPFI_22475
OG0003462	SACKO_00776	MOUSE50378
OG0003469	SACKO_13507	ORYLA15258
OG0003511	SACKO_09852	AMPFI_18153
OG0003513	SACKO_14277	CAEEL07182
OG0003513	SACKO_14277	SCHMD25986, SCHMD27084
OG0003513	SACKO_14277	bflo_18565
OG0003513	SACKO_14277	BRALA14520
OG0003520	SACKO_18568, SACKO_23243	HELIO_02766
OG0003546	SACKO_10975	BRALA35137
OG0003546	SACKO_10975	STRPU_19646
OG0003601	SACKO_22940	DANRE35781, DANRE35782
OG0003601	SACKO_22940	ASTMX05402, ASTMX21482
OG0003601	SACKO_22940	ORYLA10291, ORYLA10290
OG0003601	SACKO_22950, SACKO_22963	ASTMX21464, ASTMX21480
OG0003601	SACKO_22950, SACKO_22963	XENTR05348, XENTR05349
OG0003601	SACKO_22950, SACKO_22963	MOUSE35209, MOUSE35208, MOUSE35210
OG0003601	SACKO_22950, SACKO_22963	HUMAN26533, HUMAN26534
OG0003669	SACKO_29382	APOSJ_43894
OG0003684	SACKO_16167	AMPFI_00490
OG0003696	SACKO_23747	DANRE24940
OG0003696	SACKO_23747	MOUSE35452
OG0003697	SACKO_33327	HELIO_12072
OG0003697	SACKO_33327	STRPU_00014
OG0003721	SACKO_27819	DANRE11800
OG0003738	SACKO_02219	ASTMX11367
OG0003740	SACKO_08475	APOSC_07560, APOSC_10879
OG0003755	SACKO_29745	MOUSE04960
OG0003769	SACKO_26729	ASTMX09113
OG0003769	SACKO_26729	AMPFI_03825
OG0003853	SACKO_06109	MOUSE18179
OG0003853	SACKO_06109	DANRE05313
OG0003944	SACKO_18909	APOSC_03774, APOSC_25388, APOSC_28777
OG0003973	SACKO_17940	MOUSE28068
OG0004020	SACKO_23773	XENTR18787
OG0004020	SACKO_23773	MOUSE22764
OG0004040	SACKO_14400	LYTVA_01753
OG0004070	SACKO_26538, SACKO_33985	DANRE15502, DANRE15500
OG0004070	SACKO_26538, SACKO_33985	ASTMX20983
OG0004123	SACKO_05474	HUMAN05601
OG0004146	SACKO_21251	MOUSE37809
OG0004223	SACKO_14230, SACKO_01885	LYTVA_15378
OG0004229	SACKO_17477	LYTVA_26921
OG0004269	SACKO_02690, SACKO_17980	LYTVA_07560
OG0004269	SACKO_02690, SACKO_17980	HUMAN03614
OG0004269	SACKO_02690	STRPU_09465
OG0004284	SACKO_19468, SACKO_24083	OFUSG19168.1.p1
OG0004308	SACKO_01785	ASTMX22955
OG0004338	SACKO_24216	APOSC_27265
OG0004358	SACKO_23737	AMPFI_19007
OG0004358	SACKO_23737	AENJA_18673
OG0004375	SACKO_01917	MOUSE27750, MOUSE27753
OG0004385	SACKO_28528	AMPFI_02615
OG0004485	SACKO_32612	DANRE13311
OG0004485	SACKO_32612	HUMAN05735
OG0004534	SACKO_19903, SACKO_12762	DANRE01101
OG0004546	SACKO_28524	APOSC_16773
OG0004550	SACKO_19164	AMPFI_09809
OG0004559	SACKO_28715	MOUSE06489, MOUSE06490
OG0004559	SACKO_28715	HUMAN13596, HUMAN13595
OG0004569	SACKO_07551	bflo_19832
OG0004620	SACKO_19040	HUMAN11643
OG0004647	SACKO_11839	bflo_25260
OG0004688	SACKO_26453, SACKO_26468, SACKO_26437	MOUSE10857
OG0004709	SACKO_01308	APOSC_06454, APOSC_09851
OG0004728	SACKO_04940	DANRE39344
OG0004728	SACKO_04940	HUMAN11622
OG0004732	SACKO_25624, SACKO_15851	AMPFI_04115
OG0004748	SACKO_32597	AENJA_02211
OG0004817	SACKO_27094	MOUSE26507
OG0004817	SACKO_27094	DANRE41426
OG0004817	SACKO_27094	LYTVA_29184
OG0004817	SACKO_27094	LYTVA_29184
OG0004835	SACKO_20126	bflo_13560
OG0004849	SACKO_34056	HUMAN20143, HUMAN20137
OG0004874	SACKO_11278	APOSJ_20927, APOSJ_20926
OG0004887	SACKO_01697	HUMAN00786
OG0004907	SACKO_12356	BRALA10831
OG0004922	SACKO_12192	AENJA_18036
OG0004923	SACKO_11979	LYTVA_13903
OG0004928	SACKO_30858	ASTMX10205
OG0004928	SACKO_30858	HUMAN12519
OG0004949	SACKO_22218	LYTVA_17623
OG0004963	SACKO_23165	MOUSE37240
OG0004975	SACKO_00488	AMPFI_13767
OG0005075	SACKO_15979	bflo_10876
OG0005107	SACKO_25977	AMPFI_08427
OG0005139	SACKO_31277	HELIO_08484
OG0005151	SACKO_21163	DANRE03017
OG0005179	SACKO_15705	MOUSE36304
OG0005206	SACKO_07503	HUMAN15090
OG0005261	SACKO_26304	AMPFI_08888
OG0005302	SACKO_17756	MOUSE51380
OG0005305	SACKO_23919	AMPFI_00085
OG0005317	SACKO_13887	ASTMX00041
OG0005321	SACKO_31374	AMPFI_08070
OG0005321	SACKO_31374	DROME10451, DROME10452
OG0005321	SACKO_31374	SCHMD07438
OG0005321	SACKO_31374	MOUSE03028, MOUSE03027, MOUSE03030, MOUSE03029
OG0005321	SACKO_31374	HUMAN17015
OG0005321	SACKO_31374	XENTR13052
OG0005321	SACKO_31374	ORYLA04704
OG0005321	SACKO_31374	DANRE11319
OG0005321	SACKO_31374	ASTMX20881
OG0005416	SACKO_25204	BRALA35059
OG0005418	SACKO_22284, SACKO_27752	MOUSE26413
OG0005479	SACKO_04943	HUMAN11180
OG0005494	SACKO_13730	APOSJ_12436
OG0005494	SACKO_13730	ASTMX11292
OG0005499	SACKO_01720, SACKO_27671	APOSC_20319
OG0005551	SACKO_07498	DANRE03835
OG0005582	SACKO_11957	HELIO_11627
OG0005613	SACKO_09102	MOUSE03014
OG0005652	SACKO_07569	MOUSE31214
OG0005701	SACKO_25580	APOSJ_32430
OG0005701	SACKO_25580	APOSC_01491
OG0005701	SACKO_25580	HELIO_11001
OG0005701	SACKO_25580	STRPU_08625
OG0005701	SACKO_25580	MOUSE11437
OG0005701	SACKO_25580	AMPFI_09363
OG0005701	SACKO_25580	LYTVA_30025
OG0005701	SACKO_25580	SCHMD02012
OG0005701	SACKO_25580	ORYLA05083
OG0005729	SACKO_05332	SCHMD24968
OG0005738	SACKO_00441	HUMAN21605
OG0005763	SACKO_08702	HUMAN23715
OG0005803	SACKO_31550	SCHMD24297
OG0005812	SACKO_09960	ASTMX06754
OG0005861	SACKO_23213	TCONS_00032729.p1
OG0005899	SACKO_00286	HUMAN15102
OG0005932	SACKO_28105	DROME15731
OG0005932	SACKO_28105	CAPO300797
OG0005932	SACKO_28105	SCHMD11131, SCHMD00511
OG0005932	SACKO_28105	CAEEL11316
OG0006000	SACKO_31601	APOSJ_59193
OG0006120	SACKO_30278	bflo_09539
OG0006222	SACKO_07689	AMPFI_10422
OG0006286	SACKO_27133	MOUSE35474
OG0006304	SACKO_03519	HUMAN08878
OG0006361	SACKO_16411	XENTR00507
OG0006496	SACKO_27963	MOUSE23970
OG0006496	SACKO_27963	HUMAN02168
OG0006512	SACKO_22144	HUMAN20060
OG0006525	SACKO_26613	AENJA_06860
OG0006533	SACKO_33047	SCHMD14559
OG0006534	SACKO_03373	HUMAN03548
OG0006550	SACKO_32798	AMPFI_17946
OG0006580	SACKO_05003	AMPFI_04144
OG0006606	SACKO_14668	AMPFI_02730
OG0006626	SACKO_20620	XENTR04565, XENTR13907
OG0006626	SACKO_20620	HUMAN20006, HUMAN21273
OG0006626	SACKO_20620	MOUSE17467, MOUSE02715, MOUSE02716, MOUSE15964
OG0006626	SACKO_20620	ORYLA17629
OG0006626	SACKO_20620	ASTMX00608
OG0006626	SACKO_20620	DANRE25071
OG0006626	SACKO_20620	CAEEL07560
OG0006666	SACKO_30813	MOUSE09373
OG0006670	SACKO_27428	APOSC_09168
OG0006686	SACKO_11003	bflo_17043
OG0006758	SACKO_32935	APOSC_29158
OG0006758	SACKO_32935	APOSJ_41069
OG0006762	SACKO_27822	DANRE05905
OG0006916	SACKO_05125	LYTVA_25691, LYTVA_07151
OG0006925	SACKO_14274	MOUSE27505
