Orthogroup	LYTVA_ok	Other
OG0000465	LYTVA_30093	DANRE26401, DANRE26400
OG0000480	LYTVA_02506	ASTMX07171
OG0000501	LYTVA_10687, LYTVA_29124, LYTVA_18405	SACKO_31636
OG0000501	LYTVA_10687	BRALA21637
OG0000521	LYTVA_03547	ASTMX16377
OG0000524	LYTVA_27652	MOUSE11129, MOUSE11143
OG0000527	LYTVA_20562	MOUSE25384
OG0000560	LYTVA_01495	DANRE40243, DANRE40242
OG0000563	LYTVA_03057, LYTVA_03056, LYTVA_01124	OFUSG15273.1.p1
OG0000563	LYTVA_03057, LYTVA_03056, LYTVA_01124	AMPFI_08659, AMPFI_10297
OG0000563	LYTVA_03057, LYTVA_03056, LYTVA_01124	SCHMD00956, SCHMD23940
OG0000563	LYTVA_03057, LYTVA_03056, LYTVA_01124	HUMAN07268
OG0000563	LYTVA_03057, LYTVA_03056, LYTVA_01124	MOUSE05023
OG0000568	LYTVA_15169, LYTVA_08231, LYTVA_23287	APOSJ_51198
OG0000591	LYTVA_18700	ASTMX06564
OG0000591	LYTVA_18700	HUMAN17607
OG0000611	LYTVA_21486	OFUSG22889.2.p1, OFUSG22889.1.p1
OG0000628	LYTVA_03881	ORYLA19646
OG0000676	LYTVA_18544	ASTMX03141
OG0000688	LYTVA_27276	SCHMD18781
OG0000688	LYTVA_06802	SCHMD18275
OG0000707	LYTVA_16227, LYTVA_05498, LYTVA_07776	DANRE29542, DANRE29543
OG0000718	LYTVA_29448	ASTMX22450
OG0000778	LYTVA_14479	bflo_24104
OG0000787	LYTVA_15690	HUMAN24286
OG0000810	LYTVA_14958	TCONS_00054964.p1
OG0000810	LYTVA_14958	OFUSG25434.3.p1, OFUSG25434.2.p1, OFUSG25434.1.p1
OG0000810	LYTVA_14958	bflo_00231
OG0000810	LYTVA_14958	BRALA10599
OG0000810	LYTVA_14958	AENJA_02925
OG0000810	LYTVA_14958	NEMVE02291
OG0000810	LYTVA_14958	DROME08670
OG0000810	LYTVA_14958	SACKO_08781
OG0000819	LYTVA_08950	BRALA07696
OG0000842	LYTVA_06739	MOUSE39642
OG0000842	LYTVA_06739	HUMAN28734
OG0000875	LYTVA_12521	MOUSE22325, MOUSE22324
OG0000877	LYTVA_26866, LYTVA_01909	ASTMX02085
OG0000877	LYTVA_26866, LYTVA_01909	ORYLA15563
OG0000877	LYTVA_26866, LYTVA_01909	DANRE41354, DANRE41352, DANRE41353
OG0000877	LYTVA_26866, LYTVA_01909	bflo_12965, bflo_12968
OG0000877	LYTVA_26866, LYTVA_01909	BRALA03177, BRALA03178
OG0000877	LYTVA_26866, LYTVA_01909	NEMVE16415
OG0000877	LYTVA_26866, LYTVA_01909	HUMAN20047
OG0000877	LYTVA_26866, LYTVA_01909	MOUSE01806, MOUSE01805
OG0000877	LYTVA_26866, LYTVA_01909	AENJA_09093
OG0000877	LYTVA_26866, LYTVA_01909	APOSJ_22156
OG0000877	LYTVA_26866, LYTVA_01909	CAEEL14736, CAEEL01576, CAEEL15069, CAEEL11424, CAEEL10392, CAEEL07961, CAEEL14735, CAEEL06683, CAEEL20717
OG0000877	LYTVA_26866, LYTVA_01909	APOSJ_22156
OG0000894	LYTVA_12588	SCHMD26280
OG0000924	LYTVA_06876	TCONS_00041904.p1
OG0000924	LYTVA_06876	SACKO_31698
OG0000924	LYTVA_06876	bflo_15112
OG0000924	LYTVA_06876	NEMVE04674
OG0000942	LYTVA_19043, LYTVA_21137	TCONS_00032142.p1, TCONS_00044500.p1, TCONS_00033431.p1
OG0000942	LYTVA_19043, LYTVA_21137	AENJA_15626, AENJA_24314, AENJA_25006
OG0000942	LYTVA_19043, LYTVA_21137	OFUSG01806.1.p1
OG0000957	LYTVA_29537	MOUSE13271, MOUSE01612
OG0000957	LYTVA_29537	HUMAN29142
OG0000965	LYTVA_08512, LYTVA_30143, LYTVA_17394	bflo_07554
OG0001031	LYTVA_02087	MOUSE19158
OG0001042	LYTVA_13445	ORYLA11092
OG0001076	LYTVA_12589	MOUSE36456
OG0001170	LYTVA_06397, LYTVA_13191	TCONS_00002128.p1
OG0001170	LYTVA_06397, LYTVA_13191	bflo_04525
OG0001184	LYTVA_26638, LYTVA_24278	SACKO_02591
OG0001230	LYTVA_07788	MOUSE33963
OG0001264	LYTVA_04650	DROME08249, DROME08250, DROME08248
OG0001264	LYTVA_04650	HUMAN28020, HUMAN18861, HUMAN18860, HUMAN11601, HUMAN28023
OG0001264	LYTVA_04650	DANRE14753, DANRE14754, DANRE37060, DANRE37059, DANRE37061, DANRE39137, DANRE14755, DANRE14750, DANRE14751, DANRE14752
OG0001264	LYTVA_04650	MOUSE49815, MOUSE28325, MOUSE28323, MOUSE28324, MOUSE28327, MOUSE28322, MOUSE28326, MOUSE49812, MOUSE49814, MOUSE49813, MOUSE32092, MOUSE32093, MOUSE32094
OG0001264	LYTVA_04650	XENTR02490, XENTR03731, XENTR05140
OG0001264	LYTVA_04650	ORYLA13965, ORYLA12302, ORYLA02150
OG0001264	LYTVA_04650	ASTMX07471, ASTMX13848, ASTMX00881
OG0001264	LYTVA_04650	SCHMD27230, SCHMD17432
OG0001288	LYTVA_10306	TCONS_00029022.p1, TCONS_00036487.p1
OG0001294	LYTVA_19271	ORYLA11435
OG0001294	LYTVA_19271	DANRE05494
OG0001300	LYTVA_03792	bflo_05339
OG0001300	LYTVA_05607	SCHMD19001, SCHMD09152, SCHMD17144, SCHMD02202
OG0001300	LYTVA_05607	CAEEL09562
OG0001300	LYTVA_05607	AMPFI_08329
OG0001300	LYTVA_05607	bflo_05339
OG0001300	LYTVA_05607	bflo_05339
OG0001300	LYTVA_05607	APOSC_24410
OG0001300	LYTVA_05607	NEMVE10660
OG0001302	LYTVA_08998	APOSJ_52700, APOSJ_52698
OG0001312	LYTVA_06396	DANRE33360, DANRE33361
OG0001316	LYTVA_13297, LYTVA_13299	DANRE06942
OG0001331	LYTVA_16616	BRALA34734
OG0001350	LYTVA_25134	APOSC_01928
OG0001378	LYTVA_17384	SACKO_24430
OG0001379	LYTVA_28884	MOUSE45251, MOUSE52412
OG0001405	LYTVA_11923	APOSJ_37660, APOSJ_37658
OG0001434	LYTVA_11544	XENTR14258
OG0001436	LYTVA_23400	MOUSE32581
OG0001452	LYTVA_07052	MOUSE30199, MOUSE44846, MOUSE44847
OG0001456	LYTVA_29753	ASTMX18389
OG0001502	LYTVA_00394	ASTMX07826
OG0001503	LYTVA_21678	MOUSE41773
OG0001507	LYTVA_12072	MOUSE07523
OG0001510	LYTVA_09042	bflo_25624
OG0001510	LYTVA_09042	AMPFI_24135
OG0001510	LYTVA_09042	MOUSE33181
OG0001510	LYTVA_09042	SCHMD18903
OG0001510	LYTVA_09042	HUMAN14673
OG0001510	LYTVA_09042	ASTMX20539
OG0001510	LYTVA_09042	ORYLA16557
OG0001527	LYTVA_20326	MOUSE04312
OG0001555	LYTVA_12326	TCONS_00046603.p1, TCONS_00046601.p1, TCONS_00046602.p1
OG0001609	LYTVA_09772	DANRE02201
OG0001609	LYTVA_09772	ORYLA14062
OG0001609	LYTVA_09772	ASTMX10748
OG0001609	LYTVA_09772	MOUSE40802
OG0001609	LYTVA_09772	HUMAN07645
OG0001615	LYTVA_29681, LYTVA_02240	MOUSE27062
OG0001633	LYTVA_21365	DANRE38756
OG0001635	LYTVA_01903	XENTR03970
OG0001660	LYTVA_26564	ASTMX08833, ASTMX08831
OG0001664	LYTVA_11249	DANRE28710, DANRE28713, DANRE28709, DANRE28711, DANRE28712
OG0001664	LYTVA_11249	MOUSE47904
OG0001673	LYTVA_21841	XENTR14539
OG0001673	LYTVA_21841	ASTMX10983
OG0001724	LYTVA_06501, LYTVA_06496	bflo_17956
OG0001724	LYTVA_06501, LYTVA_06496	BRALA32012
OG0001724	LYTVA_06501, LYTVA_06496	SCHMD24845, SCHMD14505, SCHMD24846
OG0001724	LYTVA_06501, LYTVA_06496	AENJA_04715, AENJA_04714
OG0001731	LYTVA_24284	MOUSE01917
OG0001731	LYTVA_24284	ASTMX21815
OG0001740	LYTVA_17839, LYTVA_21620	BRALA30517
OG0001779	LYTVA_10614	SACKO_22394
OG0001785	LYTVA_20637	DANRE42337
OG0001789	LYTVA_15527, LYTVA_15528	ASTMX22705
OG0001810	LYTVA_27471, LYTVA_27472	MOUSE38995, MOUSE38993
OG0001818	LYTVA_09386	MOUSE18124
OG0001852	LYTVA_04485	HUMAN20900, HUMAN20899
OG0001852	LYTVA_04485	DANRE43025
OG0001906	LYTVA_23158	MOUSE01562
OG0001923	LYTVA_02896	XENTR13216
OG0001923	LYTVA_02896	DANRE35425, DANRE35424
OG0001923	LYTVA_02896	ASTMX15481
OG0001923	LYTVA_02896	ORYLA00273
OG0001923	LYTVA_02896	APOSJ_02740, APOSJ_02734, APOSJ_45692
OG0001923	LYTVA_02896	APOSJ_02740, APOSJ_02734, APOSJ_45692
OG0001923	LYTVA_02896	BRALA01345
OG0001923	LYTVA_02896	HUMAN14921
OG0001943	LYTVA_09619	XENTR02451
OG0001943	LYTVA_09619	HUMAN18949
OG0001945	LYTVA_02199	ORYLA09524
OG0001951	LYTVA_24979	SACKO_09715
OG0001988	LYTVA_13692	DANRE10195
OG0001988	LYTVA_13692	HUMAN28138, HUMAN28140, HUMAN28139
OG0001988	LYTVA_16970	OFUSG17151.1.p1
OG0001988	LYTVA_16970	bflo_06652
OG0001988	LYTVA_16970	BRALA17550
OG0001988	LYTVA_16970	AMPFI_17891
OG0001988	LYTVA_16970	NEMVE13461, NEMVE20802, NEMVE11686
OG0001988	LYTVA_16970	DANRE10195
OG0001988	LYTVA_16970	DANRE10195
OG0001988	LYTVA_16970	HUMAN28138, HUMAN28140, HUMAN28139
OG0001988	LYTVA_16970	HUMAN28138, HUMAN28140, HUMAN28139
OG0001992	LYTVA_21528	SCHMD23667
OG0002006	LYTVA_30202	MOUSE05504
OG0002028	LYTVA_02071	DANRE21869
OG0002028	LYTVA_02071	ASTMX10542
OG0002028	LYTVA_02071	ORYLA19659
OG0002028	LYTVA_02071	HUMAN18734
OG0002028	LYTVA_02071	MOUSE28064, MOUSE28063
OG0002028	LYTVA_02071	XENTR14364
OG0002028	LYTVA_02071	bflo_19599
OG0002028	LYTVA_02071	BRALA31054
OG0002028	LYTVA_02071	NEMVE02830
OG0002028	LYTVA_02071	SCHMD21205, SCHMD23213, SCHMD07644, SCHMD21204, SCHMD23215
OG0002031	LYTVA_03117	MOUSE35281
OG0002031	LYTVA_03117	DANRE10346
OG0002060	LYTVA_30217	HUMAN08798
OG0002060	LYTVA_30217	MOUSE07891
OG0002061	LYTVA_21428	MOUSE48024, MOUSE48025
OG0002076	LYTVA_20709	MOUSE02518
OG0002094	LYTVA_25874, LYTVA_02272	DANRE22168
OG0002141	LYTVA_27475, LYTVA_21058	ASTMX22344
OG0002151	LYTVA_10951, LYTVA_15395, LYTVA_15390	ORYLA00735
OG0002169	LYTVA_19343	BRALA33277
OG0002184	LYTVA_03835	STRPU_18607
OG0002189	LYTVA_28734	TCONS_00052736.p1
OG0002189	LYTVA_28734	AENJA_23289
OG0002189	LYTVA_28734	AMPFI_03764
OG0002189	LYTVA_28734	NEMVE23618
OG0002192	LYTVA_27314	HUMAN12371
OG0002223	LYTVA_27194, LYTVA_07164	BRALA06051
OG0002236	LYTVA_01006	MOUSE21596
OG0002240	LYTVA_07262, LYTVA_13376	HUMAN21965, HUMAN21964
OG0002244	LYTVA_15294	HUMAN30021
OG0002272	LYTVA_11721	ASTMX06090
OG0002320	LYTVA_08436, LYTVA_08437	MOUSE50960
OG0002328	LYTVA_01279	OFUSG11177.1.p1
OG0002328	LYTVA_01279	BRALA01144
OG0002328	LYTVA_01279	bflo_25621
OG0002328	LYTVA_01279	SCHMD03174, SCHMD05628, SCHMD15031, SCHMD24105
OG0002358	LYTVA_02933	HUMAN02384
OG0002375	LYTVA_15054	ASTMX22044
OG0002406	LYTVA_16025	SACKO_33790
OG0002407	LYTVA_09107	MOUSE11499
OG0002433	LYTVA_18440	HUMAN13300
OG0002433	LYTVA_02521	BRALA06198
OG0002433	LYTVA_02521	bflo_23332
OG0002433	LYTVA_02521	AMPFI_10800
OG0002433	LYTVA_02521	SCHMD07182, SCHMD18419, SCHMD21667
OG0002433	LYTVA_02521	NEMVE20617
OG0002433	LYTVA_02521	HUMAN13300
OG0002433	LYTVA_02521	HUMAN13300
OG0002443	LYTVA_18888	DANRE24994
OG0002443	LYTVA_18888	AMPFI_15890
OG0002451	LYTVA_04164, LYTVA_13285	HUMAN06898
OG0002451	LYTVA_04164, LYTVA_13285	DROME11090, DROME11091
OG0002451	LYTVA_04164, LYTVA_13285	ASTMX05346
OG0002451	LYTVA_04164, LYTVA_13285	SCHMD14654
OG0002451	LYTVA_04164, LYTVA_13285	MOUSE52543
OG0002451	LYTVA_04164, LYTVA_13285	DANRE01620
OG0002497	LYTVA_19407, LYTVA_09946	MOUSE18375
OG0002568	LYTVA_12663	HUMAN22293
OG0002590	LYTVA_05045	MOUSE28320, MOUSE28321, MOUSE13583, MOUSE13584, MOUSE49464, MOUSE49465
OG0002590	LYTVA_05045	HUMAN18859, HUMAN28191, HUMAN11314
OG0002590	LYTVA_05045	XENTR02492, XENTR10729, XENTR17979
OG0002590	LYTVA_05045	ASTMX07472, ASTMX16287, ASTMX18576
OG0002590	LYTVA_05045	DANRE37063, DANRE37062, DANRE09406, DANRE26039
OG0002590	LYTVA_05045	ORYLA13964
OG0002590	LYTVA_05045	OFUSG23108.1.p1
OG0002590	LYTVA_05045	BRALA03125
OG0002590	LYTVA_05045	bflo_12781
OG0002590	LYTVA_05045	HELIO_02709
OG0002590	LYTVA_05045	AMPFI_13771
OG0002590	LYTVA_05045	DROME12629, DROME12628, DROME12630
OG0002590	LYTVA_05045	SCHMD26025
OG0002590	LYTVA_05045	AENJA_00515
OG0002592	LYTVA_23598, LYTVA_03295, LYTVA_21866	SACKO_33979
OG0002623	LYTVA_08762	AMPFI_25644
OG0002627	LYTVA_16829	MOUSE27737
OG0002640	LYTVA_25858, LYTVA_08060	APOSJ_57570
OG0002654	LYTVA_12075, LYTVA_09026	DANRE40237, DANRE40238, DANRE40239, DANRE40236
OG0002669	LYTVA_27272	HUMAN15610
OG0002708	LYTVA_06941	DROME16440
OG0002718	LYTVA_22419	MOUSE34798
OG0002720	LYTVA_04741	SCHMD27297
OG0002738	LYTVA_08098, LYTVA_04589	HUMAN20112
OG0002763	LYTVA_11931	HUMAN12876
OG0002780	LYTVA_15420, LYTVA_07675	ASTMX12328
OG0002874	LYTVA_23232, LYTVA_01839	HUMAN20546
OG0002874	LYTVA_23232, LYTVA_01839	ASTMX22419
OG0002880	LYTVA_24596	TCONS_00045912.p1
OG0002880	LYTVA_24596	SACKO_12966
OG0002880	LYTVA_24596	XENTR09153
OG0002880	LYTVA_24596	MOUSE00478
OG0002880	LYTVA_24596	HUMAN25485
OG0002880	LYTVA_24596	DANRE17261
OG0002880	LYTVA_24596	ASTMX12917, ASTMX10766
OG0002880	LYTVA_24596	ORYLA11943
OG0002977	LYTVA_25111	AMPFI_18550
OG0002989	LYTVA_23227, LYTVA_10772	MOUSE11229
OG0002989	LYTVA_23227	ORYLA14532, ORYLA14531
OG0002989	LYTVA_23227	ASTMX22597
OG0002989	LYTVA_10772	ASTMX22597
OG0002989	LYTVA_10772	ASTMX22597
OG0002989	LYTVA_10772	APOSJ_04210, APOSJ_58686
OG0002989	LYTVA_10772	APOSC_03729, APOSC_03730
OG0002989	LYTVA_10772	ORYLA14531
OG0002989	LYTVA_10772	ORYLA14531
OG0002989	LYTVA_10772	BRALA24378
OG0002989	LYTVA_10772	bflo_07369
OG0003011	LYTVA_26566	HUMAN10459
OG0003011	LYTVA_26566	ORYLA00615
OG0003017	LYTVA_19123	HUMAN14078, HUMAN14075
OG0003113	LYTVA_03180	ORYLA10064
OG0003234	LYTVA_29645, LYTVA_00303, LYTVA_07989, LYTVA_16996, LYTVA_07481, LYTVA_24015, LYTVA_15403, LYTVA_05454, LYTVA_17107, LYTVA_02073, LYTVA_12901, LYTVA_07700, LYTVA_28681, LYTVA_29461, LYTVA_29992, LYTVA_09022, LYTVA_12924, LYTVA_18391	BRALA08065
OG0003234	LYTVA_29645, LYTVA_00303, LYTVA_07989, LYTVA_16996, LYTVA_07481, LYTVA_24015, LYTVA_15403, LYTVA_05454, LYTVA_17107, LYTVA_02073, LYTVA_12901, LYTVA_07700, LYTVA_28681, LYTVA_29461, LYTVA_29992, LYTVA_09022, LYTVA_12924, LYTVA_18391	bflo_14580, bflo_14579
OG0003234	LYTVA_29645, LYTVA_00303, LYTVA_07989, LYTVA_16996, LYTVA_07481, LYTVA_24015, LYTVA_15403, LYTVA_05454, LYTVA_17107, LYTVA_02073, LYTVA_12901, LYTVA_07700, LYTVA_28681, LYTVA_29461, LYTVA_29992, LYTVA_09022, LYTVA_12924, LYTVA_18391	APOSJ_35347
OG0003234	LYTVA_29645, LYTVA_00303, LYTVA_07989, LYTVA_16996, LYTVA_07481, LYTVA_24015, LYTVA_15403, LYTVA_05454, LYTVA_17107, LYTVA_02073, LYTVA_12901, LYTVA_07700, LYTVA_28681, LYTVA_29461, LYTVA_29992, LYTVA_09022, LYTVA_12924, LYTVA_18391	APOSC_16222
OG0003234	LYTVA_29645, LYTVA_00303, LYTVA_07989, LYTVA_16996, LYTVA_07481, LYTVA_24015, LYTVA_15403, LYTVA_05454, LYTVA_17107, LYTVA_02073, LYTVA_12901, LYTVA_07700, LYTVA_28681, LYTVA_29461, LYTVA_29992, LYTVA_09022, LYTVA_12924, LYTVA_18391	NEMVE03676
OG0003252	LYTVA_18274	APOSC_22505
OG0003312	LYTVA_02182	APOSJ_46279
OG0003319	LYTVA_03878	HUMAN19328
OG0003321	LYTVA_12209	MOUSE28457
OG0003365	LYTVA_23475	MOUSE35392
OG0003429	LYTVA_26105	MOUSE17279
OG0003429	LYTVA_26105	DANRE40349
OG0003447	LYTVA_21925	APOSJ_05681
OG0003447	LYTVA_21925	AMPFI_22475
OG0003462	LYTVA_03993	MOUSE50378
OG0003462	LYTVA_28602, LYTVA_22633	OFUSG25414.1.p1
OG0003462	LYTVA_28602, LYTVA_22633	bflo_15758
OG0003462	LYTVA_28602, LYTVA_22633	XENTR16197
OG0003462	LYTVA_28602, LYTVA_22633	SCHMD28411
OG0003462	LYTVA_28602, LYTVA_22633	BRALA10146
OG0003462	LYTVA_28602, LYTVA_22633	MOUSE50378
OG0003462	LYTVA_28602, LYTVA_22633	MOUSE50378
OG0003462	LYTVA_28602, LYTVA_22633	AENJA_20654
OG0003464	LYTVA_06647	MOUSE38665, MOUSE38667
OG0003475	LYTVA_22320	BRALA35136, BRALA12279
OG0003505	LYTVA_23504	DROME04896, DROME04894, DROME04898, DROME04897, DROME04895
OG0003505	LYTVA_23504	BRALA03121
OG0003505	LYTVA_23504	CAEEL07950
OG0003505	LYTVA_23504	NEMVE05913
OG0003505	LYTVA_23504	OFUSG05340.1.p1
OG0003505	LYTVA_23504	bflo_12682
OG0003505	LYTVA_23504	TCONS_00008628.p1
OG0003505	LYTVA_23504	TCONS_00008628.p1
OG0003505	LYTVA_23504	AMPFI_07475
OG0003523	LYTVA_11260	HUMAN21873
OG0003557	LYTVA_20994	SCHMD08732
OG0003557	LYTVA_20994	ASTMX07636
OG0003557	LYTVA_20994	DANRE05211
OG0003557	LYTVA_20994	ORYLA05103
OG0003557	LYTVA_20994	NEMVE12283
OG0003557	LYTVA_20994	MOUSE11069, MOUSE11070
OG0003557	LYTVA_20994	BRALA02541
OG0003557	LYTVA_20994	HUMAN27748
OG0003617	LYTVA_11705	APOSC_11452
OG0003617	LYTVA_11705	APOSJ_38825, APOSJ_38826
OG0003617	LYTVA_11705	CAPO306844
OG0003617	LYTVA_11705	YEAST01843
OG0003617	LYTVA_11705	SCHMD19266, SCHMD24604
OG0003617	LYTVA_11705	XENTR18835
OG0003617	LYTVA_11705	BRALA23864
OG0003626	LYTVA_29415	MOUSE50482
OG0003636	LYTVA_04868	APOSC_19573
OG0003636	LYTVA_04868	SCHMD16813
OG0003636	LYTVA_04868	XENTR14237
OG0003636	LYTVA_04868	DANRE02585, DANRE02586
OG0003636	LYTVA_04868	ASTMX14519
OG0003636	LYTVA_04868	ORYLA05265
OG0003636	LYTVA_04868	APOSC_19573
OG0003636	LYTVA_04868	bflo_07722
OG0003636	LYTVA_04868	BRALA30883
OG0003654	LYTVA_07082	ASTMX18753
OG0003684	LYTVA_15283	AMPFI_00490
OG0003696	LYTVA_10724	DANRE24940
OG0003696	LYTVA_10724	MOUSE35452
OG0003734	LYTVA_23146	HUMAN29356
OG0003769	LYTVA_18678	ASTMX09113
OG0003826	LYTVA_13850	BRALA34863
OG0003846	LYTVA_08542	XENTR11317
OG0003846	LYTVA_08542	HUMAN17115, HUMAN27512, HUMAN17116
OG0003846	LYTVA_08542	MOUSE40451, MOUSE40452, MOUSE40453
OG0003846	LYTVA_08542	DANRE00602
OG0003853	LYTVA_09397	MOUSE18179
OG0003853	LYTVA_09397	DANRE05313
OG0003857	LYTVA_25367	ORYLA19469, ORYLA19468
OG0003857	LYTVA_25367	XENTR10397
OG0003857	LYTVA_25367	HUMAN10555
OG0003857	LYTVA_25367	MOUSE15137, MOUSE15138, MOUSE15136, MOUSE15135
OG0003857	LYTVA_25367	ASTMX17813
OG0003857	LYTVA_25367	DANRE29893
OG0003857	LYTVA_25367	NEMVE20217, NEMVE25998
