Orthogroup	MOUSE	Other
OG0000162	MOUSE14762, MOUSE26325, MOUSE26308, MOUSE14755, MOUSE14763, MOUSE26307	DANRE42795, DANRE42796
OG0000162	MOUSE14762, MOUSE26325, MOUSE26308, MOUSE14755, MOUSE14763, MOUSE26307	DROME21138, DROME21116
OG0000162	MOUSE14755, MOUSE14763	ORYLA08646
OG0000162	MOUSE14755, MOUSE14763	SCHMD08936
OG0000162	MOUSE26307	SCHMD26694
OG0000162	MOUSE26307	AENJA_09371
OG0000162	MOUSE26307	BRALA29217, BRALA32848, BRALA35892, BRALA35512, BRALA28170, BRALA34322, BRALA34430, BRALA35671, BRALA34178
OG0000162	MOUSE26307	bflo_03351
OG0000166	MOUSE46601, MOUSE46183	LYTVA_08486
OG0000166	MOUSE46601, MOUSE46183	LYTVA_13825
OG0000192	MOUSE25324	HELIO_03073
OG0000240	MOUSE01108, MOUSE01109, MOUSE01110, MOUSE01106, MOUSE01103, MOUSE01105, MOUSE01104, MOUSE01111, MOUSE01114, MOUSE01115, MOUSE01113	TCONS_00005653.p1
OG0000260	MOUSE03191	DANRE04207, DANRE04206
OG0000260	MOUSE03191	SACKO_18171
OG0000260	MOUSE03191	AMPFI_02009
OG0000260	MOUSE46801	ASTMX18863
OG0000260	MOUSE46801	NEMVE12262, NEMVE00014
OG0000260	MOUSE46801	AMPFI_19737
OG0000260	MOUSE46801	AENJA_18084
OG0000263	MOUSE21739	AMPFI_01637
OG0000265	MOUSE24034, MOUSE24037, MOUSE25772	SACKO_28292
OG0000265	MOUSE24034, MOUSE24037, MOUSE25772	LYTVA_27571
OG0000306	MOUSE11060, MOUSE19585, MOUSE19586, MOUSE31468, MOUSE31467, MOUSE11059	ORYLA02312
OG0000306	MOUSE19585, MOUSE19586, MOUSE31468, MOUSE31467	APOSC_12441
OG0000306	MOUSE19585, MOUSE19586, MOUSE31468, MOUSE31467	STRPU_00072
OG0000306	MOUSE19585, MOUSE19586	DANRE01564
OG0000306	MOUSE31468, MOUSE31467	DANRE39185
OG0000306	MOUSE11059	DANRE04108
OG0000306	MOUSE31462, MOUSE31461	STRPU_04180
OG0000309	MOUSE11293, MOUSE24979	HUMAN02856
OG0000309	MOUSE11293, MOUSE24979	HUMAN02856
OG0000309	MOUSE11293, MOUSE24979	SACKO_02717
OG0000309	MOUSE11293	AMPFI_05314
OG0000309	MOUSE11293	LYTVA_16555
OG0000309	MOUSE11293	AENJA_09002
OG0000309	MOUSE24979	AENJA_08385
OG0000309	MOUSE24979	AMPFI_03296
OG0000309	MOUSE24979	STRPU_22638, STRPU_18593
OG0000372	MOUSE31598	APOSC_25245
OG0000374	MOUSE14767, MOUSE26220	OFUSG15949.1.p1
OG0000399	MOUSE30468	APOSJ_47890
OG0000399	MOUSE30468	APOSC_12699
OG0000399	MOUSE30468	HELIO_04949
OG0000399	MOUSE30468	LYTVA_10216
OG0000399	MOUSE30468	STRPU_07796
OG0000399	MOUSE30468	AENJA_11784, AENJA_23430, AENJA_13359, AENJA_24563, AENJA_03668
OG0000399	MOUSE30468	bflo_06800
OG0000399	MOUSE30468	AMPFI_24563
OG0000399	MOUSE30468	SCHMD23059
OG0000399	MOUSE30468	DANRE09642
OG0000399	MOUSE30468	DANRE09642
OG0000403	MOUSE53959, MOUSE53961	HUMAN05389
OG0000403	MOUSE53959, MOUSE53961	HUMAN05389
OG0000403	MOUSE53959, MOUSE53961	SCHMD28969, SCHMD27788, SCHMD15934, SCHMD03300, SCHMD02225, SCHMD03301
OG0000403	MOUSE53959, MOUSE53961	TCONS_00002331.p1, TCONS_00002320.p1, TCONS_00022532.p1, TCONS_00022534.p1
OG0000403	MOUSE53959, MOUSE53961	AENJA_06241
OG0000403	MOUSE53959, MOUSE53961	BRALA05874
OG0000403	MOUSE53959, MOUSE53961	bflo_22142
OG0000403	MOUSE53959, MOUSE53961	OFUSG00753.1.p1, OFUSG00756.1.p1
OG0000403	MOUSE53959, MOUSE53961	CAEEL13991
OG0000405	MOUSE10145, MOUSE10152	DANRE01496, DANRE01497, DANRE01495, DANRE01502, DANRE01500, DANRE01499, DANRE01501, DANRE34777, DANRE34779, DANRE34778
OG0000405	MOUSE10145, MOUSE10152	ASTMX21258, ASTMX08631
OG0000405	MOUSE10145, MOUSE10152	ORYLA17691
OG0000405	MOUSE10145, MOUSE10152	XENTR04243
OG0000405	MOUSE10160	APOSJ_63025, APOSJ_63022, APOSJ_27533, APOSJ_27536, APOSJ_27531, APOSJ_27534, APOSJ_63023, APOSJ_27532, APOSJ_27535, APOSJ_27528, APOSJ_27530, APOSJ_27529
OG0000405	MOUSE10160	APOSC_22532, APOSC_22533
OG0000405	MOUSE10160	AMPFI_10725
OG0000405	MOUSE10160	AENJA_21234
OG0000405	MOUSE10160	LYTVA_02873
OG0000405	MOUSE10160	STRPU_27356
OG0000405	MOUSE10160	HELIO_10657
OG0000419	MOUSE23531	AENJA_25245, AENJA_25372, AENJA_25244
OG0000419	MOUSE23531	CAPO304227
OG0000419	MOUSE23531	DROME15435
OG0000419	MOUSE23531	AMPFI_16286
OG0000419	MOUSE23531	SCHMD20590, SCHMD23181
OG0000419	MOUSE23531	APOSC_08566
OG0000427	MOUSE15450, MOUSE15454, MOUSE15446, MOUSE15449, MOUSE15457, MOUSE15447, MOUSE15451, MOUSE15452, MOUSE15448	APOSC_18019
OG0000436	MOUSE23254	NEMVE06326
OG0000436	MOUSE23254	TCONS_00020627.p1, TCONS_00020628.p1
OG0000436	MOUSE23254	APOSC_07601, APOSC_07603, APOSC_07602, APOSC_07600
OG0000436	MOUSE23254	APOSJ_08955, APOSJ_08956, APOSJ_28155, APOSJ_20785, APOSJ_28151, APOSJ_46522, APOSJ_62168, APOSJ_20013, APOSJ_28156, APOSJ_26846, APOSJ_20011, APOSJ_20014, APOSJ_23211, APOSJ_20012, APOSJ_23209, APOSJ_28157, APOSJ_28158, APOSJ_62167, APOSJ_62176, APOSJ_28160, APOSJ_28154, APOSJ_23207, APOSJ_23208, APOSJ_28159, APOSJ_23213, APOSJ_28152, APOSJ_20010, APOSJ_20009, APOSJ_28153
OG0000436	MOUSE23254	AENJA_24307
OG0000436	MOUSE23254	AMPFI_15525
OG0000436	MOUSE23254	SACKO_03318
OG0000436	MOUSE23254	HELIO_08988, HELIO_08989
OG0000436	MOUSE23254	STRPU_23785
OG0000436	MOUSE23254	LYTVA_21248
OG0000436	MOUSE23254	bflo_26554
OG0000442	MOUSE15751, MOUSE34094, MOUSE34093, MOUSE34095, MOUSE15757	BRALA33737
OG0000450	MOUSE46534	LYTVA_17101
OG0000450	MOUSE46534	HELIO_01846
OG0000450	MOUSE46534	APOSC_13051
OG0000450	MOUSE46534	APOSJ_17390, APOSJ_17391, APOSJ_17389, APOSJ_17392, APOSJ_17388, APOSJ_17393
OG0000450	MOUSE46534	AMPFI_01260
OG0000450	MOUSE46534	AENJA_10311
OG0000450	MOUSE46534	BRALA29697
OG0000450	MOUSE46534	SACKO_10223
OG0000450	MOUSE46534	TCONS_00006748.p1
OG0000450	MOUSE46534	STRPU_14805
OG0000450	MOUSE46534	bflo_20906
OG0000450	MOUSE46534	SCHMD15839, SCHMD21713
OG0000459	MOUSE16376, MOUSE16375, MOUSE16374	SACKO_12873
OG0000465	MOUSE18960	DANRE26401, DANRE26400
OG0000467	MOUSE55117, MOUSE23401	APOSC_08499
OG0000474	MOUSE22409, MOUSE22410, MOUSE22411, MOUSE22408	APOSC_06438, APOSC_01743
OG0000503	MOUSE39194, MOUSE39200, MOUSE39201	AMPFI_17798
OG0000503	MOUSE51372	NEMVE21447
OG0000503	MOUSE51372	TCONS_00016415.p1
OG0000503	MOUSE51372	SACKO_18333, SACKO_27461
OG0000503	MOUSE51372	SCHMD28480, SCHMD07183, SCHMD28610
OG0000524	MOUSE11129, MOUSE11143	AENJA_03124
OG0000524	MOUSE11129, MOUSE11143	HELIO_03929
OG0000524	MOUSE11129, MOUSE11143	STRPU_04273
OG0000524	MOUSE11129, MOUSE11143	LYTVA_27652
OG0000524	MOUSE11129, MOUSE11143	APOSJ_32896, APOSJ_32901, APOSJ_32898, APOSJ_32899, APOSJ_32897, APOSJ_32900
OG0000524	MOUSE11129, MOUSE11143	APOSC_03189, APOSC_03192, APOSC_03190, APOSC_03187
OG0000524	MOUSE11129, MOUSE11143	AMPFI_14569
OG0000525	MOUSE44263	STRPU_08645
OG0000527	MOUSE25384	HUMAN02304
OG0000527	MOUSE25384	SCHMD13845, SCHMD20940, SCHMD24670
OG0000527	MOUSE25384	TCONS_00017774.p1
OG0000527	MOUSE25384	SACKO_06716, SACKO_06738
OG0000527	MOUSE25384	NEMVE23398, NEMVE20683
OG0000527	MOUSE25384	APOSC_09343
OG0000527	MOUSE25384	APOSJ_65018, APOSJ_06433, APOSJ_20427, APOSJ_05086, APOSJ_20425, APOSJ_00813, APOSJ_65009, APOSJ_20426, APOSJ_00811, APOSJ_00815, APOSJ_65017, APOSJ_00814, APOSJ_00816, APOSJ_12256, APOSJ_65015
OG0000527	MOUSE25384	HELIO_07197
OG0000527	MOUSE25384	STRPU_25067
OG0000527	MOUSE25384	LYTVA_20562
OG0000527	MOUSE25384	BRALA12888
OG0000527	MOUSE25384	bflo_01262
OG0000527	MOUSE25384	HUMAN02304
OG0000527	MOUSE25384	AMPFI_21522
OG0000545	MOUSE43194	AMPFI_15543
OG0000545	MOUSE43194	APOSJ_11134
OG0000545	MOUSE43194	APOSC_27316
OG0000545	MOUSE43194	SCHMD20709
OG0000560	MOUSE00938, MOUSE00940	bflo_21065
OG0000563	MOUSE05023	LYTVA_03057, LYTVA_03056, LYTVA_01124
OG0000579	MOUSE02042	AENJA_20737
OG0000582	MOUSE23948	AMPFI_03684
OG0000590	MOUSE05523	AMPFI_19054
OG0000597	MOUSE04601, MOUSE04603, MOUSE04605, MOUSE04604	APOSC_18654
OG0000600	MOUSE00135, MOUSE00136	SACKO_30716
OG0000608	MOUSE14207, MOUSE14208	DROME19052, DROME19054
OG0000608	MOUSE14207, MOUSE14208	CAEEL06882
OG0000608	MOUSE14207	APOSJ_31338, APOSJ_25747, APOSJ_25749, APOSJ_25748, APOSJ_50494
OG0000608	MOUSE14207	APOSC_28336, APOSC_00407
OG0000608	MOUSE14207	AENJA_01735
OG0000608	MOUSE14207	ASTMX19885
OG0000608	MOUSE14208	APOSJ_11343
OG0000608	MOUSE14208	SCHMD15186
OG0000611	MOUSE48953, MOUSE48957	OFUSG22889.2.p1, OFUSG22889.1.p1
OG0000626	MOUSE29300	HELIO_03382
OG0000635	MOUSE42730	STRPU_24923, STRPU_24924
OG0000635	MOUSE42730	AENJA_03389
OG0000636	MOUSE35989, MOUSE35990, MOUSE35986, MOUSE35987, MOUSE35980, MOUSE35985, MOUSE35979, MOUSE35984, MOUSE35991, MOUSE35982, MOUSE35983, MOUSE35981, MOUSE19615, MOUSE21409, MOUSE21405, MOUSE21413, MOUSE21412, MOUSE21406, MOUSE21410, MOUSE21402, MOUSE21407, MOUSE21403, MOUSE21408, MOUSE21404, MOUSE21411, MOUSE21415, MOUSE21414	APOSC_03996
OG0000662	MOUSE19603, MOUSE19601, MOUSE19604, MOUSE19602, MOUSE19605, MOUSE19607, MOUSE19606	HELIO_03239
OG0000690	MOUSE19350	APOSC_06077
OG0000708	MOUSE14490, MOUSE54269, MOUSE54268	AMPFI_19554
OG0000734	MOUSE31240	AMPFI_12486
OG0000757	MOUSE46249, MOUSE46248	BRALA34967
OG0000809	MOUSE48492, MOUSE48491	SACKO_11703
OG0000809	MOUSE48490, MOUSE10214	ORYLA12961
OG0000809	MOUSE48490, MOUSE10214	SCHMD21850, SCHMD00682
OG0000809	MOUSE48490, MOUSE10214	SACKO_11703
OG0000809	MOUSE48490, MOUSE10214	SACKO_11703
OG0000809	MOUSE48490, MOUSE10214	OFUSG17351.1.p1, OFUSG17351.2.p1
OG0000809	MOUSE48490, MOUSE10214	DROME15572, DROME15573
OG0000809	MOUSE48490, MOUSE10214	NEMVE12321
OG0000809	MOUSE48490, MOUSE10214	ASTMX06550
OG0000814	MOUSE02913	HELIO_12586
OG0000842	MOUSE39642	BRALA00081
OG0000842	MOUSE39642	bflo_26481
OG0000842	MOUSE39642	AMPFI_11234
OG0000842	MOUSE39642	APOSC_09796
OG0000842	MOUSE39642	APOSJ_02046, APOSJ_02045, APOSJ_12472, APOSJ_02044
OG0000842	MOUSE39642	STRPU_22935
OG0000842	MOUSE39642	HELIO_07760
OG0000842	MOUSE39642	LYTVA_06739
OG0000842	MOUSE39642	AENJA_00962
OG0000842	MOUSE39642	TCONS_00019047.p1
OG0000842	MOUSE39642	SACKO_18541, SACKO_32072
OG0000842	MOUSE39642	DROME10888, DROME10889
OG0000842	MOUSE39642	SCHMD01343
OG0000842	MOUSE39642	OFUSG17660.1.p1
OG0000842	MOUSE39642	NEMVE20517, NEMVE23509, NEMVE25014, NEMVE03321, NEMVE17616
OG0000842	MOUSE39642	HUMAN28734
OG0000842	MOUSE39642	HUMAN28734
OG0000842	MOUSE39642	CAEEL11884
OG0000851	MOUSE21881, MOUSE21886, MOUSE21884, MOUSE21885, MOUSE21878, MOUSE21877, MOUSE21880, MOUSE21879, MOUSE21883, MOUSE21882, MOUSE48757, MOUSE48751, MOUSE48756, MOUSE48754, MOUSE48752, MOUSE48755	APOSJ_05432, APOSJ_09645, APOSJ_05433
OG0000875	MOUSE22325, MOUSE22324	bflo_19415
OG0000875	MOUSE22325, MOUSE22324	BRALA09033
OG0000875	MOUSE22325, MOUSE22324	OFUSG16237.1.p1
OG0000875	MOUSE22325, MOUSE22324	TCONS_00056388.p1, TCONS_00041427.p1
OG0000875	MOUSE22325, MOUSE22324	SACKO_01411
OG0000875	MOUSE22325, MOUSE22324	AMPFI_14018
OG0000875	MOUSE22325, MOUSE22324	STRPU_13557
OG0000875	MOUSE22325, MOUSE22324	LYTVA_12521
OG0000875	MOUSE22325, MOUSE22324	APOSJ_52605, APOSJ_58380
OG0000875	MOUSE22325, MOUSE22324	APOSC_05938
OG0000875	MOUSE22325, MOUSE22324	SCHMD17655, SCHMD18552, SCHMD00030, SCHMD10336
OG0000875	MOUSE22325, MOUSE22324	APOSC_10816
OG0000875	MOUSE22325, MOUSE22324	APOSC_10816
OG0000875	MOUSE22325, MOUSE22324	NEMVE14079
OG0000875	MOUSE22325, MOUSE22324	ASTMX15020
OG0000877	MOUSE01806, MOUSE01805	APOSJ_22156
OG0000877	MOUSE01806, MOUSE01805	LYTVA_26866, LYTVA_01909
OG0000921	MOUSE23301, MOUSE23303, MOUSE23302, MOUSE23300	DANRE41397
OG0000957	MOUSE13271, MOUSE01612	APOSJ_09728, APOSJ_62676, APOSJ_09727
OG0000957	MOUSE13271, MOUSE01612	APOSC_18814
OG0000957	MOUSE13271, MOUSE01612	HELIO_09500
OG0000957	MOUSE13271, MOUSE01612	LYTVA_29537
OG0000957	MOUSE13271, MOUSE01612	STRPU_26358
OG0000957	MOUSE13271, MOUSE01612	TCONS_00029595.p1
OG0000957	MOUSE13271, MOUSE01612	SACKO_21298
OG0000957	MOUSE13271, MOUSE01612	AENJA_17036
OG0000957	MOUSE13271, MOUSE01612	AMPFI_23600
OG0000957	MOUSE13271, MOUSE01612	bflo_03309
OG0000957	MOUSE13271, MOUSE01612	BRALA14646
OG0000957	MOUSE13271, MOUSE01612	CAEEL00119
OG0000957	MOUSE13271, MOUSE01612	HUMAN29142
OG0000957	MOUSE13271, MOUSE01612	HUMAN29142
OG0000957	MOUSE13271, MOUSE01612	SCHMD18023
OG0000957	MOUSE13271	AENJA_17037
OG0000957	MOUSE13271	AENJA_17037
OG0000965	MOUSE36703, MOUSE36704, MOUSE36705	bflo_07554
OG0000982	MOUSE01632, MOUSE01629, MOUSE01628, MOUSE01633, MOUSE30694, MOUSE30693, MOUSE30696, MOUSE30695, MOUSE20747, MOUSE20746	APOSJ_12877
OG0000984	MOUSE10080, MOUSE10081	TCONS_00019326.p1
OG0001000	MOUSE53658, MOUSE53659, MOUSE54860, MOUSE54857, MOUSE54859, MOUSE54858, MOUSE16553, MOUSE16552, MOUSE16554, MOUSE16556, MOUSE16555	AMPFI_02319
OG0001013	MOUSE44308	SACKO_12317
OG0001031	MOUSE19158	SCHMD21518, SCHMD21621, SCHMD16193, SCHMD12815, SCHMD19646, SCHMD16992, SCHMD17709, SCHMD09373
OG0001031	MOUSE19158	bflo_01411, bflo_21667
OG0001031	MOUSE19158	OFUSG14788.2.p1, OFUSG14788.1.p1
OG0001031	MOUSE19158	NEMVE12566, NEMVE03083, NEMVE18815, NEMVE03518, NEMVE01512, NEMVE05098, NEMVE01877, NEMVE05278, NEMVE00495, NEMVE02692, NEMVE05018, NEMVE00690, NEMVE08345
OG0001031	MOUSE19158	BRALA11517, BRALA31101, BRALA16794, BRALA30770
OG0001031	MOUSE19158	TCONS_00020015.p1, TCONS_00028711.p1
OG0001031	MOUSE19158	LYTVA_02087
OG0001031	MOUSE19158	HUMAN03539, HUMAN23850
OG0001031	MOUSE19158	HUMAN03539, HUMAN23850
OG0001076	MOUSE36456	TCONS_00043600.p1
OG0001076	MOUSE36456	SACKO_06837
OG0001076	MOUSE36456	STRPU_05726
OG0001076	MOUSE36456	AMPFI_03111, AMPFI_09505, AMPFI_03148
OG0001076	MOUSE36456	LYTVA_12589
OG0001076	MOUSE36456	AENJA_01569
OG0001076	MOUSE36456	APOSJ_20280
OG0001076	MOUSE36456	APOSC_12173
OG0001076	MOUSE36456	HELIO_10241
OG0001076	MOUSE36456	BRALA20184
OG0001076	MOUSE36456	bflo_14398
OG0001076	MOUSE36456	CAEEL07541
OG0001076	MOUSE36456	AMPFI_21677
OG0001076	MOUSE36456	AMPFI_21677
OG0001076	MOUSE36456	SCHMD07131
OG0001076	MOUSE36456	CAPO306580
OG0001091	MOUSE26426	APOSC_06445
OG0001091	MOUSE26426	AMPFI_08267
OG0001091	MOUSE26426	CAEEL07358
OG0001091	MOUSE26426	STRPU_23757
OG0001091	MOUSE26426	HELIO_12660, HELIO_12659
OG0001091	MOUSE26426	BRALA18566
OG0001091	MOUSE26426	XENTR11804
OG0001110	MOUSE31269, MOUSE31270, MOUSE31274, MOUSE31267, MOUSE31276, MOUSE31268, MOUSE31272, MOUSE31273, MOUSE31271, MOUSE31275, MOUSE25541, MOUSE25546, MOUSE25545, MOUSE25543, MOUSE25544, MOUSE25542	SACKO_15731
OG0001114	MOUSE51577, MOUSE51576, MOUSE51579, MOUSE51580, MOUSE51575, MOUSE51581, MOUSE30318	APOSJ_15885
OG0001158	MOUSE28962	DROME08138, DROME08137
OG0001158	MOUSE28962	OFUSG20905.2.p1, OFUSG20905.1.p1
OG0001158	MOUSE28962	BRALA34638
OG0001158	MOUSE28962	bflo_11159
OG0001158	MOUSE28962	AMPFI_03369
OG0001158	MOUSE28962	SACKO_17286
OG0001158	MOUSE28962	SCHMD01514
OG0001158	MOUSE28962	DANRE36873
OG0001158	MOUSE28962	DANRE36873
OG0001161	MOUSE11704	TCONS_00032840.p1
OG0001161	MOUSE11704	ASTMX22922
OG0001161	MOUSE11704	ASTMX22922
OG0001161	MOUSE11704	AENJA_03513
OG0001161	MOUSE11704	APOSC_06253
OG0001161	MOUSE11704	SCHMD27832, SCHMD10429, SCHMD10428
OG0001170	MOUSE16455	TCONS_00002128.p1
OG0001170	MOUSE16455	bflo_04525
OG0001175	MOUSE47768, MOUSE27822	AMPFI_01688
OG0001184	MOUSE17556, MOUSE17557	DANRE14295
OG0001216	MOUSE04150	APOSC_27402
OG0001221	MOUSE12352, MOUSE12358, MOUSE12355, MOUSE12353	TCONS_00038811.p1, TCONS_00038873.p1, TCONS_00038810.p1, TCONS_00038875.p1, TCONS_00038876.p1, TCONS_00038807.p1, TCONS_00038874.p1
OG0001221	MOUSE12352, MOUSE12358, MOUSE12355, MOUSE12353	SACKO_15128
OG0001230	MOUSE33960	bflo_16407
OG0001230	MOUSE33960	CAEEL12987, CAEEL17236, CAEEL15243
OG0001230	MOUSE33960	SCHMD04385, SCHMD04382
OG0001230	MOUSE33958	CAEEL01949
OG0001230	MOUSE33958	AENJA_02087
OG0001230	MOUSE33963	LYTVA_07788
OG0001230	MOUSE33963	SCHMD28531
OG0001241	MOUSE28271	SCHMD04757
OG0001264	MOUSE49815, MOUSE28325, MOUSE28323, MOUSE28324, MOUSE28327, MOUSE28322, MOUSE28326, MOUSE49812, MOUSE49814, MOUSE49813, MOUSE32092, MOUSE32093, MOUSE32094	LYTVA_04650
OG0001279	MOUSE43221, MOUSE43228, MOUSE43223, MOUSE43226, MOUSE43225, MOUSE08244, MOUSE08245, MOUSE43227, MOUSE43224, MOUSE43222	APOSC_10702
OG0001286	MOUSE47132	APOSJ_64115
OG0001306	MOUSE33396, MOUSE33395, MOUSE33394, MOUSE33397	AMPFI_04010
OG0001306	MOUSE33396, MOUSE33395, MOUSE33394, MOUSE33397	AENJA_04590
OG0001323	MOUSE43335	SCHMD14852, SCHMD22300
OG0001323	MOUSE43335	NEMVE11887
OG0001323	MOUSE43335	AMPFI_22091
OG0001323	MOUSE43335	APOSJ_22973
OG0001325	MOUSE31666	AENJA_18977
OG0001326	MOUSE21836	DANRE33553, DANRE33551
OG0001331	MOUSE36112, MOUSE36111, MOUSE03117	BRALA34734
OG0001350	MOUSE33385	BRALA27720
OG0001350	MOUSE33385	bflo_25719
OG0001350	MOUSE33385	DROME03240, DROME03239
OG0001350	MOUSE33385	CAEEL06068
OG0001350	MOUSE33385	OFUSG20926.1.p1
OG0001350	MOUSE33385	NEMVE14117
OG0001350	MOUSE33385	CAPO305116, CAPO303054
OG0001350	MOUSE33385	SACKO_01074
OG0001350	MOUSE33385	AMPFI_25832
OG0001350	MOUSE33385	SCHMD16735, SCHMD15485
OG0001350	MOUSE33385	AENJA_05873
OG0001350	MOUSE28075	APOSC_01928
OG0001378	MOUSE12734, MOUSE46833	SACKO_24430
OG0001379	MOUSE45251, MOUSE52412	ORYLA12825
OG0001379	MOUSE45251, MOUSE52412	TCONS_00021662.p1
OG0001379	MOUSE45251, MOUSE52412	LYTVA_28884
OG0001379	MOUSE52412	bflo_05155
OG0001383	MOUSE27507	bflo_16647
OG0001383	MOUSE27507	OFUSG08386.1.p1, OFUSG08386.2.p1
OG0001383	MOUSE27507	CAEEL18479
OG0001383	MOUSE27507	DROME08849, DROME08848, DROME08850, DROME08851
OG0001383	MOUSE27507	SACKO_27457
OG0001383	MOUSE27507	TCONS_00015024.p1
OG0001383	MOUSE27507	SCHMD28197, SCHMD18572
OG0001383	MOUSE27507	AENJA_25087
OG0001383	MOUSE27507	AMPFI_07068, AMPFI_11555
OG0001383	MOUSE27507	HELIO_10404
OG0001383	MOUSE27507	DANRE11521
OG0001408	MOUSE31266	ASTMX19996
OG0001408	MOUSE31266	AENJA_10000
OG0001428	MOUSE04268	NEMVE21876
OG0001428	MOUSE04268	AMPFI_11938
OG0001428	MOUSE04268	AENJA_18858
OG0001428	MOUSE04268	APOSC_06360, APOSC_19650, APOSC_18933
OG0001428	MOUSE04268	APOSJ_61295, APOSJ_40068, APOSJ_08747, APOSJ_02448
OG0001428	MOUSE04268	SCHMD06125
OG0001436	MOUSE32581	APOSC_05330, APOSC_05328, APOSC_05329
OG0001436	MOUSE32581	APOSJ_52665, APOSJ_52664
OG0001436	MOUSE32581	HELIO_09777
OG0001436	MOUSE32581	STRPU_24142
