Orthogroup	HUMAN	Other
OG0000208	HUMAN11860	AMPFI_04187
OG0000208	HUMAN11860	SCHMD02566, SCHMD12405, SCHMD11985, SCHMD22998
OG0000240	HUMAN19892, HUMAN19897	TCONS_00005653.p1
OG0000263	HUMAN25245	AMPFI_01637
OG0000306	HUMAN26265	ORYLA02312
OG0000306	HUMAN26265	DANRE04108
OG0000306	HUMAN26268	STRPU_04180
OG0000309	HUMAN02856	APOSJ_47573, APOSJ_32978, APOSJ_32977, APOSJ_08466, APOSJ_08467, APOSJ_08468, APOSJ_54931, APOSJ_62351, APOSJ_62350
OG0000309	HUMAN02856	APOSC_11709, APOSC_12572, APOSC_03120, APOSC_28024
OG0000309	HUMAN02856	SACKO_02717
OG0000309	HUMAN02856	AMPFI_00020, AMPFI_05314, AMPFI_03296
OG0000309	HUMAN02856	AENJA_22214, AENJA_22215, AENJA_09002, AENJA_08385
OG0000309	HUMAN02856	LYTVA_17019, LYTVA_16555
OG0000309	HUMAN02856	HELIO_05101
OG0000309	HUMAN02856	STRPU_22639, STRPU_23489, STRPU_22638, STRPU_18593
OG0000309	HUMAN02856	MOUSE11293, MOUSE24979
OG0000309	HUMAN02856	MOUSE11293, MOUSE24979
OG0000329	HUMAN06604	SACKO_22665
OG0000329	HUMAN06604	TCONS_00003596.p1, TCONS_00002563.p1, TCONS_00021337.p1
OG0000329	HUMAN12535, HUMAN06603	SACKO_26706
OG0000329	HUMAN12535, HUMAN06603	TCONS_00021560.p1
OG0000329	HUMAN12535, HUMAN06603	AMPFI_20416
OG0000329	HUMAN12535	APOSC_01657, APOSC_01654, APOSC_01655, APOSC_01656
OG0000329	HUMAN12535	APOSJ_62928, APOSJ_33711
OG0000329	HUMAN12535	LYTVA_04971
OG0000329	HUMAN12535	SCHMD24777, SCHMD26844, SCHMD15152
OG0000329	HUMAN06603	HELIO_07087
OG0000329	HUMAN06603	APOSC_11373, APOSC_11372, APOSC_11371, APOSC_11374
OG0000329	HUMAN06603	APOSJ_01332, APOSJ_18484, APOSJ_36539, APOSJ_60553, APOSJ_60551, APOSJ_60546, APOSJ_18481, APOSJ_18480, APOSJ_01338, APOSJ_01335, APOSJ_18477, APOSJ_06966, APOSJ_01336, APOSJ_06967, APOSJ_60550, APOSJ_60554, APOSJ_06968, APOSJ_60549, APOSJ_06965, APOSJ_06963, APOSJ_01334, APOSJ_18482, APOSJ_01339, APOSJ_18483, APOSJ_08295, APOSJ_18485, APOSJ_43929, APOSJ_18479, APOSJ_01337, APOSJ_43939, APOSJ_60552, APOSJ_60545, APOSJ_18478, APOSJ_43938, APOSJ_01333
OG0000374	HUMAN06431, HUMAN06430, HUMAN17757	OFUSG15949.1.p1
OG0000403	HUMAN05389	AENJA_09961, AENJA_06241
OG0000403	HUMAN05389	AMPFI_17320
OG0000403	HUMAN05389	NEMVE25175
OG0000403	HUMAN05389	TCONS_00022535.p1, TCONS_00002334.p1, TCONS_00002331.p1, TCONS_00002320.p1, TCONS_00022532.p1, TCONS_00022534.p1
OG0000403	HUMAN05389	bflo_07864, bflo_22142
OG0000403	HUMAN05389	BRALA02035, BRALA06762, BRALA05874
OG0000403	HUMAN05389	SCHMD28969, SCHMD27788, SCHMD15934, SCHMD03300, SCHMD02225, SCHMD03301
OG0000403	HUMAN05389	OFUSG00753.1.p1, OFUSG00756.1.p1
OG0000403	HUMAN05389	CAEEL13991
OG0000403	HUMAN05389	MOUSE53959, MOUSE53961
OG0000403	HUMAN05389	MOUSE53959, MOUSE53961
OG0000425	HUMAN15883	AMPFI_13246
OG0000425	HUMAN15883	STRPU_20952
OG0000427	HUMAN21885	APOSC_18019
OG0000442	HUMAN21390, HUMAN00644, HUMAN25507	BRALA33737
OG0000459	HUMAN19503, HUMAN19500, HUMAN19501, HUMAN19502, HUMAN19499	SACKO_12873
OG0000465	HUMAN13778	DANRE26401, DANRE26400
OG0000467	HUMAN02440, HUMAN20851	APOSC_08499
OG0000471	HUMAN22681, HUMAN22684, HUMAN22683	bflo_10902
OG0000471	HUMAN22681, HUMAN22684, HUMAN22683	BRALA25247, BRALA25253, BRALA25252
OG0000471	HUMAN22681, HUMAN22684, HUMAN22683	AENJA_08857
OG0000471	HUMAN22681, HUMAN22684, HUMAN22683	APOSC_28784
OG0000474	HUMAN18157	APOSC_06438, APOSC_01743
OG0000523	HUMAN07167	BRALA18475
OG0000525	HUMAN12020	STRPU_08645
OG0000527	HUMAN02304	AMPFI_21522
OG0000527	HUMAN02304	MOUSE25384
OG0000527	HUMAN02304	MOUSE25384
OG0000527	HUMAN02304	SCHMD13845
OG0000527	HUMAN02304	TCONS_00017774.p1
OG0000527	HUMAN02304	SACKO_06716
OG0000563	HUMAN07268	LYTVA_03057, LYTVA_03056, LYTVA_01124
OG0000579	HUMAN02365	AENJA_20737
OG0000590	HUMAN20582	AMPFI_19054
OG0000591	HUMAN17607	ASTMX06564
OG0000591	HUMAN17607	ASTMX06564
OG0000591	HUMAN17607	APOSC_29125, APOSC_25553
OG0000591	HUMAN17607	APOSJ_27883, APOSJ_27882
OG0000591	HUMAN17607	AENJA_25061
OG0000591	HUMAN17607	TCONS_00012323.p1
OG0000591	HUMAN17607	OFUSG18333.1.p1
OG0000591	HUMAN17607	DROME20132, DROME20133, DROME20134
OG0000591	HUMAN17607	BRALA25344
OG0000591	HUMAN17607	HELIO_00717
OG0000591	HUMAN17607	STRPU_08932
OG0000591	HUMAN17607	LYTVA_18700
OG0000591	HUMAN17607	SACKO_22613
OG0000591	HUMAN17607	bflo_23823, bflo_04558
OG0000591	HUMAN17607	CAEEL19878
OG0000597	HUMAN12318	APOSC_18654
OG0000611	HUMAN11001, HUMAN11004	OFUSG22889.2.p1, OFUSG22889.1.p1
OG0000635	HUMAN15837	STRPU_24923, STRPU_24924
OG0000635	HUMAN15837	AENJA_03389
OG0000636	HUMAN22182, HUMAN24046, HUMAN03669, HUMAN24047	APOSC_03996
OG0000662	HUMAN07575, HUMAN24055	HELIO_03239
OG0000670	HUMAN21597	CAEEL11500
OG0000670	HUMAN21595	AENJA_01881
OG0000684	HUMAN13720	CAEEL11185
OG0000684	HUMAN13720	BRALA33966
OG0000684	HUMAN13720	SCHMD23235, SCHMD27158
OG0000684	HUMAN13720	AMPFI_21883, AMPFI_26002
OG0000690	HUMAN23985	APOSC_06077
OG0000708	HUMAN06223, HUMAN30508, HUMAN30507	AMPFI_19554
OG0000757	HUMAN10800	BRALA34967
OG0000787	HUMAN24286	DROME06230
OG0000787	HUMAN24286	OFUSG11014.1.p1
OG0000787	HUMAN24286	HELIO_09002
OG0000787	HUMAN24286	LYTVA_15690
OG0000787	HUMAN24286	STRPU_04197, STRPU_04234
OG0000787	HUMAN24286	APOSC_24396
OG0000787	HUMAN24286	APOSJ_43413, APOSJ_01851, APOSJ_01850, APOSJ_43419, APOSJ_01847, APOSJ_05854, APOSJ_40802, APOSJ_43417, APOSJ_01845, APOSJ_43418, APOSJ_01848, APOSJ_43415, APOSJ_01844, APOSJ_43416, APOSJ_37424, APOSJ_05862
OG0000787	HUMAN24286	AMPFI_10777
OG0000787	HUMAN24286	AENJA_00390
OG0000787	HUMAN24286	TCONS_00030413.p1
OG0000787	HUMAN24286	SACKO_05969, SACKO_19113
OG0000787	HUMAN24286	BRALA03891
OG0000787	HUMAN24286	bflo_08501
OG0000787	HUMAN24286	ASTMX22236
OG0000787	HUMAN24286	ASTMX22236
OG0000809	HUMAN15029	SACKO_11703
OG0000818	HUMAN20109	ASTMX12923
OG0000835	HUMAN19696	AENJA_17324
OG0000835	HUMAN19696	SCHMD14959
OG0000835	HUMAN19696	DROME14049, DROME14051, DROME14048, DROME14057, DROME14058
OG0000835	HUMAN19696	OFUSG01553.1.p1, OFUSG01553.2.p1, OFUSG21973.1.p1
OG0000835	HUMAN19696	NEMVE10452
OG0000835	HUMAN19696	APOSJ_42069, APOSJ_02483, APOSJ_02485, APOSJ_15072, APOSJ_14519, APOSJ_14522, APOSJ_14520, APOSJ_27386, APOSJ_48184, APOSJ_47257, APOSJ_48182, APOSJ_33110, APOSJ_48181, APOSJ_48183, APOSJ_48179, APOSJ_37505, APOSJ_48180, APOSJ_47256, APOSJ_48185
OG0000835	HUMAN19696	APOSC_04775, APOSC_05126, APOSC_22110
OG0000842	HUMAN28734	BRALA00081
OG0000842	HUMAN28734	bflo_26481
OG0000842	HUMAN28734	AMPFI_11234
OG0000842	HUMAN28734	APOSC_09796
OG0000842	HUMAN28734	APOSJ_02046, APOSJ_02045, APOSJ_12472, APOSJ_02044
OG0000842	HUMAN28734	STRPU_22935
OG0000842	HUMAN28734	HELIO_07760
OG0000842	HUMAN28734	LYTVA_06739
OG0000842	HUMAN28734	AENJA_00962
OG0000842	HUMAN28734	TCONS_00019047.p1
OG0000842	HUMAN28734	SACKO_18541, SACKO_32072
OG0000842	HUMAN28734	DROME10888, DROME10889
OG0000842	HUMAN28734	SCHMD01343
OG0000842	HUMAN28734	OFUSG17660.1.p1
OG0000842	HUMAN28734	MOUSE39642
OG0000842	HUMAN28734	CAEEL11884
OG0000842	HUMAN28734	MOUSE39642
OG0000842	HUMAN28734	NEMVE20517, NEMVE23509, NEMVE25014, NEMVE03321, NEMVE17616
OG0000851	HUMAN17389, HUMAN22898	APOSJ_05432, APOSJ_09645, APOSJ_05433
OG0000877	HUMAN20047	APOSJ_22156
OG0000877	HUMAN20047	LYTVA_26866, LYTVA_01909
OG0000921	HUMAN17556, HUMAN17558, HUMAN17557, HUMAN17559	DANRE41397
OG0000957	HUMAN29142	APOSJ_09728, APOSJ_62676, APOSJ_09727
OG0000957	HUMAN29142	APOSC_18814
OG0000957	HUMAN29142	HELIO_09500
OG0000957	HUMAN29142	LYTVA_29537
OG0000957	HUMAN29142	STRPU_26358
OG0000957	HUMAN29142	TCONS_00029595.p1
OG0000957	HUMAN29142	SACKO_21298
OG0000957	HUMAN29142	AENJA_17036
OG0000957	HUMAN29142	AMPFI_23600
OG0000957	HUMAN29142	bflo_03309
OG0000957	HUMAN29142	BRALA14646
OG0000957	HUMAN29142	CAEEL00119
OG0000957	HUMAN29142	MOUSE13271, MOUSE01612
OG0000957	HUMAN29142	AENJA_17037
OG0000957	HUMAN29142	SCHMD18023
OG0000957	HUMAN29142	MOUSE13271, MOUSE01612
OG0000957	HUMAN29142	AENJA_17037
OG0000965	HUMAN22507	bflo_07554
OG0000982	HUMAN14333, HUMAN01637, HUMAN28757	APOSJ_12877
OG0000984	HUMAN23607	TCONS_00019326.p1
OG0001000	HUMAN29732, HUMAN30113, HUMAN25791	AMPFI_02319
OG0001013	HUMAN06060	SACKO_12317
OG0001031	HUMAN03539, HUMAN23850	MOUSE19158
OG0001031	HUMAN03539, HUMAN23850	MOUSE19158
OG0001031	HUMAN03539	bflo_01411
OG0001031	HUMAN03539	BRALA31101
OG0001031	HUMAN03539	NEMVE05098
OG0001031	HUMAN03539	SCHMD19646, SCHMD16992
OG0001031	HUMAN03539	TCONS_00020015.p1
OG0001109	HUMAN13297	CAEEL14851, CAEEL20028, CAEEL14852, CAEEL14853, CAEEL13761, CAEEL14859, CAEEL09898, CAEEL19118
OG0001109	HUMAN13297	DROME00590, DROME00591, DROME00592, DROME00589, DROME19273, DROME19275, DROME19274
OG0001109	HUMAN13297	OFUSG13382.1.p1, OFUSG03479.1.p1, OFUSG03480.1.p1, OFUSG02782.1.p1, OFUSG02782.2.p1
OG0001109	HUMAN13297	BRALA30580, BRALA30582
OG0001109	HUMAN13297	bflo_14803, bflo_14804
OG0001110	HUMAN01328, HUMAN29331, HUMAN29332	SACKO_15731
OG0001175	HUMAN27761, HUMAN17515	AMPFI_01688
OG0001184	HUMAN24892, HUMAN24891	DANRE14295
OG0001216	HUMAN05988	APOSC_27402
OG0001221	HUMAN08173, HUMAN08174, HUMAN08177, HUMAN08176, HUMAN08178, HUMAN08175, HUMAN08179, HUMAN08180	TCONS_00038811.p1, TCONS_00038873.p1, TCONS_00038810.p1, TCONS_00038875.p1, TCONS_00038876.p1, TCONS_00038807.p1, TCONS_00038874.p1
OG0001221	HUMAN08173, HUMAN08174, HUMAN08177, HUMAN08176, HUMAN08178, HUMAN08175, HUMAN08179, HUMAN08180	SACKO_15128
OG0001241	HUMAN18832	SCHMD04757
OG0001264	HUMAN28020, HUMAN18861, HUMAN18860, HUMAN11601, HUMAN28023	LYTVA_04650
OG0001279	HUMAN15552, HUMAN15549	APOSC_10702
OG0001304	HUMAN07988	TCONS_00007180.p1
OG0001304	HUMAN07988	SACKO_19061
OG0001304	HUMAN07988	bflo_13694
OG0001304	HUMAN07988	BRALA22379
OG0001304	HUMAN07988	SCHMD13840
OG0001304	HUMAN07988	AENJA_14579
OG0001304	HUMAN07988	AMPFI_10342
OG0001304	HUMAN07988	HELIO_08290
OG0001306	HUMAN01015, HUMAN01014	AMPFI_04010
OG0001306	HUMAN01015, HUMAN01014	AENJA_04590
OG0001325	HUMAN22703	AENJA_18977
OG0001326	HUMAN17367	DANRE33553, DANRE33551
OG0001331	HUMAN22233, HUMAN22231, HUMAN24247, HUMAN13998	BRALA34734
OG0001339	HUMAN25157	AMPFI_22494, AMPFI_15490
OG0001350	HUMAN18742	APOSC_01928
OG0001378	HUMAN24020	SACKO_24430
OG0001408	HUMAN01329	ASTMX19996
OG0001408	HUMAN01329	AENJA_10000
OG0001474	HUMAN10738, HUMAN10739, HUMAN10736	AMPFI_25092
OG0001484	HUMAN29782, HUMAN20929	AMPFI_09544
OG0001490	HUMAN08811	TCONS_00012204.p1
OG0001500	HUMAN18404	AMPFI_22915
OG0001510	HUMAN14673	LYTVA_09042
OG0001515	HUMAN19954	AENJA_10215
OG0001515	HUMAN19954	SCHMD18483
OG0001515	HUMAN19954	AMPFI_22558
OG0001515	HUMAN19954	HELIO_11317
OG0001515	HUMAN19954	APOSC_23285
OG0001515	HUMAN19954	YEAST03320
OG0001515	HUMAN19954	APOSJ_15158
OG0001518	HUMAN21520, HUMAN20795, HUMAN21522	APOSJ_06109
OG0001557	HUMAN04310	APOSC_03713
OG0001582	HUMAN11710, HUMAN19935	STRPU_06829, STRPU_06376
OG0001609	HUMAN07645	LYTVA_09772
OG0001620	HUMAN02053	APOSC_25992
OG0001620	HUMAN02053	APOSJ_13629, APOSJ_60470, APOSJ_13630
OG0001620	HUMAN02053	HELIO_04031
OG0001620	HUMAN02053	STRPU_19915
OG0001620	HUMAN02053	AMPFI_12324
OG0001620	HUMAN02053	AENJA_13924
OG0001620	HUMAN02053	TCONS_00015452.p1
OG0001620	HUMAN02053	SACKO_08656
OG0001620	HUMAN02053	OFUSG08065.1.p1
OG0001620	HUMAN02053	CAEEL18514, CAEEL18862
OG0001620	HUMAN02053	DROME01154, DROME01153, DROME01150, DROME01151
OG0001620	HUMAN02053	SCHMD22740, SCHMD18214
OG0001620	HUMAN02053	NEMVE05238, NEMVE07316
OG0001633	HUMAN15429	DANRE38756
OG0001633	HUMAN15429	DANRE38756
OG0001633	HUMAN15429	STRPU_24119
OG0001712	HUMAN03209	AMPFI_03150
OG0001809	HUMAN02155, HUMAN02158, HUMAN02157, HUMAN02156	SACKO_20097
OG0001827	HUMAN29270	NEMVE06953, NEMVE22019, NEMVE13541
OG0001827	HUMAN29270	bflo_16284
OG0001827	HUMAN29270	BRALA02872
OG0001827	HUMAN29270	SCHMD17765, SCHMD19189
OG0001852	HUMAN20900, HUMAN20899	HELIO_00847
OG0001852	HUMAN20900, HUMAN20899	LYTVA_04485
OG0001852	HUMAN20900, HUMAN20899	STRPU_23919
OG0001852	HUMAN20900, HUMAN20899	AMPFI_09915
OG0001852	HUMAN20900, HUMAN20899	APOSJ_34711
OG0001852	HUMAN20900, HUMAN20899	APOSC_08845
OG0001852	HUMAN20900, HUMAN20899	TCONS_00047986.p1
OG0001852	HUMAN20900, HUMAN20899	bflo_15363
OG0001852	HUMAN20900, HUMAN20899	AENJA_13282, AENJA_18334
OG0001852	HUMAN20900, HUMAN20899	SACKO_00057
OG0001852	HUMAN20900, HUMAN20899	SCHMD01397
OG0001852	HUMAN20900, HUMAN20899	DANRE43025
OG0001852	HUMAN20900, HUMAN20899	DANRE43025
OG0001923	HUMAN14921	APOSJ_02740, APOSJ_02734, APOSJ_45692
OG0001923	HUMAN14921	LYTVA_02896
OG0001943	HUMAN18949	XENTR02451
OG0001943	HUMAN18949	XENTR02451
OG0001943	HUMAN18949	bflo_10186
OG0001943	HUMAN18949	BRALA16392
OG0001943	HUMAN18949	SACKO_13918
OG0001943	HUMAN18949	TCONS_00046367.p1
OG0001943	HUMAN18949	AMPFI_17954
OG0001943	HUMAN18949	LYTVA_09619
OG0001943	HUMAN18949	HELIO_10645
OG0001943	HUMAN18949	STRPU_07623
OG0001943	HUMAN18949	APOSC_02483
OG0001943	HUMAN18949	APOSJ_50356, APOSJ_45596
OG0001943	HUMAN18949	AENJA_12411
OG0001943	HUMAN18949	NEMVE07567
OG0001943	HUMAN18949	DROME05587, DROME05589, DROME05586, DROME05588
OG0001944	HUMAN18721	APOSC_02088
OG0001946	HUMAN03301	DANRE20165
OG0001951	HUMAN06388	SACKO_09715
OG0001978	HUMAN13521, HUMAN20089, HUMAN26594, HUMAN25954	CAEEL00552
OG0001988	HUMAN28138, HUMAN28140, HUMAN28139	AENJA_00356
OG0001988	HUMAN28138, HUMAN28140, HUMAN28139	TCONS_00046879.p1, TCONS_00045602.p1
OG0001988	HUMAN28138, HUMAN28140, HUMAN28139	SACKO_19763
OG0001988	HUMAN28138, HUMAN28140, HUMAN28139	STRPU_07708
OG0001988	HUMAN28138, HUMAN28140, HUMAN28139	HELIO_07776
OG0001988	HUMAN28138, HUMAN28140, HUMAN28139	LYTVA_13692
OG0001988	HUMAN28138, HUMAN28140, HUMAN28139	APOSC_25583, APOSC_25582
OG0001988	HUMAN28138, HUMAN28140, HUMAN28139	APOSJ_61860, APOSJ_07661, APOSJ_61861, APOSJ_34710, APOSJ_54838, APOSJ_54840, APOSJ_54841, APOSJ_61862, APOSJ_07662, APOSJ_54842, APOSJ_07657, APOSJ_07660, APOSJ_54839, APOSJ_07658, APOSJ_07659
OG0001988	HUMAN28138, HUMAN28140, HUMAN28139	OFUSG17151.1.p1
OG0001988	HUMAN28138, HUMAN28140, HUMAN28139	bflo_06652
OG0001988	HUMAN28138, HUMAN28140, HUMAN28139	BRALA17550
OG0001988	HUMAN28138, HUMAN28140, HUMAN28139	AMPFI_17891
OG0001988	HUMAN28138, HUMAN28140, HUMAN28139	NEMVE13461, NEMVE20802, NEMVE11686
OG0001988	HUMAN28138, HUMAN28140, HUMAN28139	DANRE10195
OG0001988	HUMAN28138, HUMAN28140, HUMAN28139	DANRE10195
OG0001988	HUMAN28138, HUMAN28140, HUMAN28139	LYTVA_16970
OG0001988	HUMAN28138, HUMAN28140, HUMAN28139	LYTVA_16970
OG0001992	HUMAN25065, HUMAN25066, HUMAN09362	SCHMD23667
OG0001992	HUMAN25066, HUMAN09362	BRALA35588
OG0002028	HUMAN18734	LYTVA_02071
OG0002057	HUMAN28905, HUMAN00904	BRALA13905
OG0002060	HUMAN08798	BRALA22621
OG0002060	HUMAN08798	bflo_14027
OG0002060	HUMAN08798	SACKO_33981
OG0002060	HUMAN08798	TCONS_00010367.p1
OG0002060	HUMAN08798	AMPFI_08802
OG0002060	HUMAN08798	APOSC_01592
OG0002060	HUMAN08798	APOSJ_49383
OG0002060	HUMAN08798	STRPU_20989
OG0002060	HUMAN08798	HELIO_06438
OG0002060	HUMAN08798	LYTVA_30217
OG0002060	HUMAN08798	AENJA_02775
OG0002060	HUMAN08798	OFUSG22066.1.p1
OG0002060	HUMAN08798	MOUSE07891
OG0002060	HUMAN08798	MOUSE07891
OG0002065	HUMAN11195	APOSJ_05621, APOSJ_30601
OG0002160	HUMAN30547, HUMAN30546	APOSC_02113
OG0002160	HUMAN30548	APOSC_02505
OG0002160	HUMAN30549, HUMAN30550	APOSC_23874
OG0002169	HUMAN17132, HUMAN03434	BRALA33277
OG0002190	HUMAN21255, HUMAN21256	AMPFI_03087
OG0002192	HUMAN12371	APOSC_27419
OG0002192	HUMAN12371	AENJA_24752
OG0002192	HUMAN12371	LYTVA_27314
OG0002192	HUMAN12371	HELIO_10287
OG0002192	HUMAN12371	STRPU_02131
OG0002192	HUMAN12371	APOSJ_16315, APOSJ_59878
OG0002223	HUMAN02421, HUMAN02422, HUMAN06736	bflo_22378
OG0002223	HUMAN02422	APOSC_03804
OG0002227	HUMAN28363	NEMVE05812, NEMVE00081
OG0002227	HUMAN28363	AENJA_02303
OG0002227	HUMAN28363	BRALA33920
OG0002227	HUMAN28363	DANRE27372, DANRE27373, DANRE27374, DANRE27375, DANRE27376, DANRE38788
OG0002227	HUMAN28363	DANRE27372, DANRE27373, DANRE27374, DANRE27375, DANRE27376, DANRE38788
OG0002240	HUMAN21965, HUMAN21964	NEMVE13693
OG0002240	HUMAN21965, HUMAN21964	LYTVA_07262, LYTVA_13376
OG0002240	HUMAN21965, HUMAN21964	STRPU_10910
OG0002240	HUMAN21965, HUMAN21964	HELIO_06722
OG0002240	HUMAN21965, HUMAN21964	APOSC_27129
OG0002240	HUMAN21965, HUMAN21964	APOSJ_42565, APOSJ_29802, APOSJ_06745, APOSJ_56303
OG0002240	HUMAN21965, HUMAN21964	TCONS_00050321.p1, TCONS_00050336.p1
OG0002240	HUMAN21965	SACKO_14136
OG0002240	HUMAN21965	AMPFI_00960
OG0002240	HUMAN21965	AENJA_05936
OG0002240	HUMAN21965	SCHMD15638, SCHMD19507, SCHMD19508
OG0002240	HUMAN21964	SACKO_14126
OG0002240	HUMAN21964	AMPFI_15717
OG0002240	HUMAN21964	AENJA_05935
OG0002240	HUMAN21964	SCHMD15639
OG0002244	HUMAN30021	HELIO_09967
OG0002244	HUMAN30021	STRPU_04996
OG0002244	HUMAN30021	LYTVA_15294
OG0002244	HUMAN30021	AENJA_11508
