Orthogroup	HELIO_ok	Other
OG0000662	HELIO_03239	MOUSE19603, MOUSE19601, MOUSE19604, MOUSE19602, MOUSE19605, MOUSE19607, MOUSE19606
OG0000662	HELIO_03239	HUMAN07575, HUMAN24055
OG0000662	HELIO_03239	DANRE07121, DANRE07120, DANRE07123, DANRE07122
OG0000662	HELIO_03239	XENTR12483
OG0000662	HELIO_03239	TCONS_00025890.p1
OG0000662	HELIO_03239	ASTMX17885
OG0000676	HELIO_04321	ASTMX03141
OG0000707	HELIO_04545	DANRE29542, DANRE29543
OG0000718	HELIO_08422	ASTMX22450
OG0000778	HELIO_07926	bflo_24104
OG0000787	HELIO_09002	HUMAN24286
OG0000812	HELIO_06900, HELIO_08476	AMPFI_22391
OG0000814	HELIO_12586	BRALA13770
OG0000814	HELIO_12586	bflo_04758
OG0000814	HELIO_12586	ASTMX15594
OG0000814	HELIO_12586	AMPFI_05882
OG0000814	HELIO_12586	MOUSE02913
OG0000814	HELIO_12586	SCHMD03060, SCHMD13676
OG0000819	HELIO_01104	BRALA07696
OG0000842	HELIO_07760	MOUSE39642
OG0000842	HELIO_07760	HUMAN28734
OG0000894	HELIO_06317	SCHMD26280
OG0000957	HELIO_09500	MOUSE13271, MOUSE01612
OG0000957	HELIO_09500	HUMAN29142
OG0000965	HELIO_02433, HELIO_01613	bflo_07554
OG0001042	HELIO_08977	ORYLA11092
OG0001045	HELIO_10745	TCONS_00023478.p1, TCONS_00023250.p1
OG0001045	HELIO_10745	SACKO_28078
OG0001045	HELIO_10745	OFUSG02021.1.p1, OFUSG02023.1.p1, OFUSG02022.1.p1, OFUSG02019.1.p1, OFUSG03692.1.p1, OFUSG19959.1.p1, OFUSG02020.1.p1, OFUSG08123.2.p1, OFUSG08123.1.p1, OFUSG16051.1.p1, OFUSG08074.1.p1, OFUSG15512.1.p1, OFUSG20790.1.p1, OFUSG14863.1.p1, OFUSG14991.1.p1, OFUSG01891.2.p1, OFUSG01891.1.p1, OFUSG17422.1.p1, OFUSG17430.1.p1
OG0001045	HELIO_10745	NEMVE17384, NEMVE15704, NEMVE18352, NEMVE17386, NEMVE21043
OG0001045	HELIO_10745	BRALA33554
OG0001045	HELIO_10745	BRALA33554
OG0001045	HELIO_10745	AENJA_06741
OG0001076	HELIO_10241	MOUSE36456
OG0001091	HELIO_12660, HELIO_12659	MOUSE26426
OG0001170	HELIO_06339	TCONS_00002128.p1
OG0001170	HELIO_06339	bflo_04525
OG0001178	HELIO_07560	OFUSG12774.1.p1
OG0001178	HELIO_07560	TCONS_00052837.p1
OG0001178	HELIO_07560	SACKO_03875
OG0001178	HELIO_07560	BRALA05138
OG0001178	HELIO_07560	bflo_25556
OG0001178	HELIO_07560	AMPFI_18821
OG0001184	HELIO_02728	SACKO_02591
OG0001288	HELIO_10795	TCONS_00029022.p1, TCONS_00036487.p1
OG0001294	HELIO_08951	ORYLA11435
OG0001294	HELIO_08951	DANRE05494
OG0001300	HELIO_09555	bflo_05339
OG0001302	HELIO_08651	APOSJ_52700, APOSJ_52698
OG0001304	HELIO_08290	HUMAN07988
OG0001312	HELIO_11963	DANRE33360, DANRE33361
OG0001316	HELIO_08864	DANRE06942
OG0001331	HELIO_10456, HELIO_10455	BRALA34734
OG0001383	HELIO_10404	MOUSE27507
OG0001434	HELIO_10029, HELIO_10027	XENTR14258
OG0001436	HELIO_09777	MOUSE32581
OG0001452	HELIO_09077, HELIO_09076	MOUSE30199, MOUSE44846, MOUSE44847
OG0001456	HELIO_09922	ASTMX18389
OG0001502	HELIO_00925	ASTMX07826
OG0001503	HELIO_00967	MOUSE41773
OG0001505	HELIO_01480	ORYLA10202
OG0001515	HELIO_11317	HUMAN19954
OG0001527	HELIO_04544	MOUSE04312
OG0001555	HELIO_06994	TCONS_00046603.p1, TCONS_00046601.p1, TCONS_00046602.p1
OG0001615	HELIO_04146	MOUSE27062
OG0001620	HELIO_04031	HUMAN02053
OG0001633	HELIO_08917	DANRE38756
OG0001635	HELIO_00639	XENTR03970
OG0001660	HELIO_04664	ASTMX08833, ASTMX08831
OG0001673	HELIO_05452	XENTR14539
OG0001673	HELIO_05452	ASTMX10983
OG0001682	HELIO_05905	OFUSG24638.2.p1, OFUSG24638.1.p1
OG0001682	HELIO_05905	NEMVE09695
OG0001682	HELIO_05905	MOUSE22395
OG0001682	HELIO_05905	XENTR12019
OG0001682	HELIO_05905	ORYLA08622
OG0001740	HELIO_06383	BRALA30517
OG0001778	HELIO_09235, HELIO_06485	TCONS_00019832.p1
OG0001779	HELIO_05156	SACKO_22394
OG0001785	HELIO_04363	DANRE42337
OG0001789	HELIO_10048, HELIO_10049	ASTMX22705
OG0001810	HELIO_10709	MOUSE38995, MOUSE38993
OG0001818	HELIO_10184	MOUSE18124
OG0001852	HELIO_00847	HUMAN20900, HUMAN20899
OG0001852	HELIO_00847	DANRE43025
OG0001906	HELIO_01042	MOUSE01562
OG0001922	HELIO_03786	BRALA02392, BRALA12207
OG0001943	HELIO_10645	XENTR02451
OG0001943	HELIO_10645	HUMAN18949
OG0001945	HELIO_03288	ORYLA09524
OG0001951	HELIO_04565	SACKO_09715
OG0001988	HELIO_07776	DANRE10195
OG0001988	HELIO_07776	HUMAN28138, HUMAN28140, HUMAN28139
OG0001992	HELIO_10036	SCHMD23667
OG0002006	HELIO_12425	MOUSE05504
OG0002031	HELIO_07245	MOUSE35281
OG0002031	HELIO_07245	DANRE10346
OG0002060	HELIO_06438	HUMAN08798
OG0002060	HELIO_06438	MOUSE07891
OG0002061	HELIO_12011	MOUSE48024, MOUSE48025
OG0002076	HELIO_08411	MOUSE02518
OG0002094	HELIO_05259, HELIO_04476	DANRE22168
OG0002138	HELIO_10373	OFUSG25383.3.p1, OFUSG25383.1.p1, OFUSG25383.2.p1
OG0002138	HELIO_10373	SACKO_16832
OG0002138	HELIO_10373	TCONS_00023522.p1, TCONS_00023530.p1
OG0002138	HELIO_10373	AENJA_06936
OG0002138	HELIO_10373	AMPFI_24662
OG0002138	HELIO_10373	SCHMD05605
OG0002141	HELIO_11644	ASTMX22344
OG0002151	HELIO_01394	ORYLA00735
OG0002169	HELIO_05746, HELIO_06281	BRALA33277
OG0002192	HELIO_10287	HUMAN12371
OG0002223	HELIO_09083	BRALA06051
OG0002236	HELIO_10095, HELIO_10094	MOUSE21596
OG0002240	HELIO_06722	HUMAN21965, HUMAN21964
OG0002244	HELIO_09967	HUMAN30021
OG0002272	HELIO_11743	ASTMX06090
OG0002320	HELIO_10607	MOUSE50960
OG0002399	HELIO_01674	MOUSE06604, MOUSE06603, MOUSE06599, MOUSE06601, MOUSE06597, MOUSE06598, MOUSE06602, MOUSE06600, MOUSE28800, MOUSE28801, MOUSE21605, MOUSE21604, MOUSE21606
OG0002399	HELIO_01674	ASTMX03862, ASTMX05513, ASTMX03428, ASTMX12752, ASTMX03430, ASTMX03429
OG0002399	HELIO_01674	DANRE18376, DANRE02239, DANRE02238, DANRE24087, DANRE24086
OG0002399	HELIO_01674	XENTR12730, XENTR02977, XENTR09322
OG0002399	HELIO_01674	HUMAN16692, HUMAN19126, HUMAN27904
OG0002399	HELIO_01674	ORYLA14287, ORYLA15962, ORYLA09074, ORYLA06393
OG0002402	HELIO_01596	ASTMX22445
OG0002406	HELIO_01959	SACKO_33790
OG0002407	HELIO_11688	MOUSE11499
OG0002433	HELIO_07051	HUMAN13300
OG0002443	HELIO_09645	DANRE24994
OG0002443	HELIO_09645	AMPFI_15890
OG0002497	HELIO_02505	MOUSE18375
OG0002553	HELIO_01973	ASTMX22208, ASTMX22207
OG0002590	HELIO_02709	LYTVA_05045
OG0002592	HELIO_12783	SACKO_33979
OG0002605	HELIO_03379	MOUSE31339
OG0002627	HELIO_00237	MOUSE27737
OG0002640	HELIO_06175	APOSJ_57570
OG0002654	HELIO_03154	DANRE40237, DANRE40238, DANRE40239, DANRE40236
OG0002708	HELIO_08992	DROME16440
OG0002718	HELIO_05744	MOUSE34798
OG0002751	HELIO_10298	APOSC_25172, APOSC_25173, APOSC_01746
OG0002751	HELIO_10298	APOSJ_17474, APOSJ_17471, APOSJ_17473, APOSJ_17475, APOSJ_17472, APOSJ_17476
OG0002751	HELIO_10298	BRALA27383
OG0002751	HELIO_10298	bflo_22793
OG0002751	HELIO_10298	OFUSG05851.1.p1
OG0002751	HELIO_10298	AMPFI_25256
OG0002751	HELIO_10298	NEMVE13229
OG0002763	HELIO_07170	HUMAN12876
OG0002774	HELIO_01198	XENTR18198
OG0002780	HELIO_04586, HELIO_08537	ASTMX12328
OG0002874	HELIO_11635	HUMAN20546
OG0002874	HELIO_11635	ASTMX22419
OG0002892	HELIO_10616	DANRE19161
OG0002965	HELIO_08079	ASTMX02526
OG0002965	HELIO_08079	ORYLA05184
OG0002965	HELIO_08079	XENTR07283
OG0002965	HELIO_08079	CAPO304902
OG0002965	HELIO_08079	OFUSG00878.1.p1
OG0002965	HELIO_08079	AMPFI_07076
OG0002965	HELIO_08079	BRALA06727
OG0002965	HELIO_08079	bflo_01675, bflo_07078
OG0002965	HELIO_08079	TCONS_00030551.p1
OG0002965	HELIO_08079	AENJA_03749
OG0002965	HELIO_08079	APOSJ_52959
OG0002965	HELIO_08079	APOSC_12121
OG0002977	HELIO_08539	AMPFI_18550
OG0002989	HELIO_04721	MOUSE11229
OG0002989	HELIO_04721	ORYLA14532, ORYLA14531
OG0002989	HELIO_04721	ASTMX22597
OG0003011	HELIO_05238	HUMAN10459
OG0003011	HELIO_05238	ORYLA00615
OG0003017	HELIO_02953	HUMAN14078, HUMAN14075
OG0003113	HELIO_07738	TCONS_00045474.p1
OG0003319	HELIO_09121	HUMAN19328
OG0003321	HELIO_08818	MOUSE28457
OG0003365	HELIO_08582	MOUSE35392
OG0003447	HELIO_12555	APOSJ_05681
OG0003447	HELIO_12555	AMPFI_22475
OG0003462	HELIO_10720	MOUSE50378
OG0003464	HELIO_08682, HELIO_08683	MOUSE38665, MOUSE38667
OG0003468	HELIO_03353	DANRE11505
OG0003475	HELIO_09101	BRALA35136
OG0003520	HELIO_02766	TCONS_00003471.p1
OG0003520	HELIO_02766	SACKO_18568, SACKO_23243
OG0003520	HELIO_02766	AENJA_17161
OG0003520	HELIO_02766	AMPFI_05023
OG0003523	HELIO_02927	DANRE26581
OG0003626	HELIO_07783	MOUSE50482
OG0003654	HELIO_11410	ASTMX18753
OG0003684	HELIO_08776	AMPFI_00490
OG0003696	HELIO_11257	DANRE24940
OG0003696	HELIO_11257	MOUSE35452
OG0003697	HELIO_12072	STRPU_00014
OG0003697	HELIO_12072	TCONS_00012511.p1
OG0003697	HELIO_12072	SACKO_33327
OG0003697	HELIO_12072	BRALA16767
OG0003697	HELIO_12072	bflo_23717
OG0003697	HELIO_12072	AENJA_15049
OG0003697	HELIO_12072	APOSJ_29486, APOSJ_29484
OG0003697	HELIO_12072	APOSC_19087
OG0003697	HELIO_12072	STRPU_00014
OG0003697	HELIO_12072	CAPO307718
OG0003697	HELIO_12072	DROME03932, DROME03930, DROME03929, DROME03931
OG0003697	HELIO_12072	DANRE04036
OG0003697	HELIO_12072	ASTMX06569
OG0003697	HELIO_12072	ORYLA18863
OG0003697	HELIO_12072	XENTR07379
OG0003697	HELIO_12072	MOUSE06524
OG0003697	HELIO_12072	HUMAN13631
OG0003721	HELIO_03702	DANRE11800
OG0003734	HELIO_06093	HUMAN29356
OG0003755	HELIO_08454	MOUSE04960
OG0003769	HELIO_09666	ASTMX09113
OG0003826	HELIO_02592	BRALA34863
OG0003859	HELIO_02262	DANRE18445
OG0003928	HELIO_10922	APOSJ_12613, APOSJ_12612
OG0004070	HELIO_11759	DANRE15502, DANRE15500
OG0004070	HELIO_11759	ASTMX20983
OG0004123	HELIO_10333	HUMAN05601
OG0004146	HELIO_08871	BRALA17719
OG0004150	HELIO_10914	ASTMX22642
OG0004150	HELIO_10914	MOUSE53097
OG0004190	HELIO_06104	APOSJ_12010
OG0004269	HELIO_06762	HUMAN03614
OG0004284	HELIO_08102	OFUSG19168.1.p1
OG0004308	HELIO_02621	ASTMX22955
OG0004332	HELIO_03735	MOUSE51034, MOUSE51033
OG0004375	HELIO_10600	MOUSE27750, MOUSE27753
OG0004498	HELIO_05086	ASTMX11988
OG0004534	HELIO_01164, HELIO_01163	DANRE01101
OG0004559	HELIO_05624	MOUSE06489, MOUSE06490
OG0004559	HELIO_05624	HUMAN13596, HUMAN13595
OG0004573	HELIO_11161	BRALA32832
OG0004573	HELIO_11161	MOUSE04827, MOUSE51637
OG0004600	HELIO_10167	MOUSE25947
OG0004615	HELIO_08842	MOUSE37120
OG0004615	HELIO_08842	BRALA18479
OG0004637	HELIO_04732	HUMAN11592
OG0004647	HELIO_00821	bflo_25260
OG0004649	HELIO_03519	ASTMX21812
OG0004688	HELIO_02857	MOUSE10857
OG0004728	HELIO_00269	DANRE39344
OG0004748	HELIO_03593	AENJA_02211
OG0004835	HELIO_10353	bflo_13560
OG0004845	HELIO_10157	HUMAN05756
OG0004865	HELIO_10000	BRALA32090
OG0004907	HELIO_07173	BRALA10831
OG0004922	HELIO_01685	AENJA_18036
OG0004924	HELIO_01952	HUMAN23140
OG0004975	HELIO_10270	AMPFI_13767
OG0005075	HELIO_01457	bflo_10876
OG0005139	HELIO_08484	ORYLA09370
OG0005139	HELIO_08484	ASTMX09824
OG0005139	HELIO_08484	DANRE41899
OG0005139	HELIO_08484	MOUSE30931
OG0005139	HELIO_08484	HUMAN01482
OG0005139	HELIO_08484	XENTR16239
OG0005139	HELIO_08484	TCONS_00002289.p1
OG0005139	HELIO_08484	SACKO_31277
OG0005139	HELIO_08484	OFUSG01555.1.p1
OG0005139	HELIO_08484	AENJA_09924
OG0005139	HELIO_08484	BRALA30038
OG0005151	HELIO_08645	DANRE03017
OG0005179	HELIO_06111	MOUSE36304
OG0005187	HELIO_07825	AMPFI_09348, AMPFI_03439
OG0005261	HELIO_01034	AMPFI_08888
OG0005302	HELIO_02253	MOUSE51380
OG0005329	HELIO_11287	MOUSE24678
OG0005398	HELIO_03199	BRALA08633
OG0005416	HELIO_03332	BRALA35059
OG0005418	HELIO_11469	MOUSE26413
OG0005434	HELIO_02164	bflo_14305
OG0005479	HELIO_12634	HUMAN11180
OG0005494	HELIO_09879	ASTMX11292
OG0005551	HELIO_10756	DANRE03835
OG0005565	HELIO_05680	HUMAN12663
OG0005582	HELIO_11627	APOSJ_52339
OG0005582	HELIO_11627	APOSC_18669
OG0005582	HELIO_11627	SACKO_11957
OG0005582	HELIO_11627	TCONS_00011142.p1
OG0005582	HELIO_11627	SCHMD14269
OG0005613	HELIO_01777	MOUSE03014
OG0005652	HELIO_07272	MOUSE31214
OG0005691	HELIO_05597	DANRE25058
OG0005691	HELIO_05597	SCHMD28962
OG0005701	HELIO_11001	SACKO_25580
OG0005729	HELIO_01495	SCHMD24968
OG0005738	HELIO_10585	HUMAN21605
OG0005763	HELIO_09742	HUMAN23715
OG0005803	HELIO_12301	SCHMD24297
OG0005861	HELIO_03174	TCONS_00032729.p1
OG0005977	HELIO_12506	BRALA02503
OG0006000	HELIO_10172	APOSJ_59193
OG0006120	HELIO_01402	bflo_09539
OG0006126	HELIO_10074	HUMAN14606
OG0006238	HELIO_00495	MOUSE41253
OG0006286	HELIO_12161	MOUSE35474
OG0006304	HELIO_02086	HUMAN08878
OG0006361	HELIO_08471	XENTR00507
OG0006444	HELIO_10343	LYTVA_02499
OG0006496	HELIO_00474	MOUSE23970
OG0006496	HELIO_00474	HUMAN02168
OG0006512	HELIO_00915	HUMAN20060
OG0006533	HELIO_10267	SCHMD14559
OG0006534	HELIO_09880	HUMAN03548
OG0006595	HELIO_09575	MOUSE11155
OG0006599	HELIO_03613	MOUSE36733
OG0006623	HELIO_11233	HUMAN04365
OG0006666	HELIO_12248	MOUSE09373
OG0006670	HELIO_08029	APOSC_09168
OG0006680	HELIO_02680	MOUSE28338
OG0006686	HELIO_12341	bflo_17043
OG0006709	HELIO_01142	HUMAN17844, HUMAN17845
OG0006834	HELIO_09834, HELIO_02971, HELIO_12610	APOSC_03732
OG0006875	HELIO_10647	MOUSE51192
OG0006925	HELIO_06577	MOUSE27505
OG0006946	HELIO_08697	HUMAN29373, HUMAN29374
OG0006955	HELIO_06102	DANRE12440, DANRE12439, DANRE12441, DANRE12442
OG0006955	HELIO_06102	MOUSE35291, MOUSE35293
OG0007038	HELIO_07154	MOUSE31028
OG0007064	HELIO_02033	DANRE07305
OG0007090	HELIO_02778	MOUSE31320
OG0007134	HELIO_02796	HUMAN03575
OG0007188	HELIO_00663	MOUSE26114, MOUSE26113, MOUSE26115
OG0007296	HELIO_03612	MOUSE49539
OG0007405	HELIO_03624	MOUSE14443
OG0007410	HELIO_07916	ORYLA16770
OG0007419	HELIO_03480	HUMAN12143
OG0007453	HELIO_07039	BRALA02538
OG0007453	HELIO_07039	bflo_16585
OG0007453	HELIO_07039	ORYLA16527
OG0007453	HELIO_07039	ASTMX14696
OG0007453	HELIO_07039	DANRE30091, DANRE30092
OG0007453	HELIO_07039	XENTR01387
OG0007453	HELIO_07039	HUMAN10744
OG0007453	HELIO_07039	MOUSE46202, MOUSE46201
OG0007453	HELIO_07039	ASTMX23041
OG0007453	HELIO_07039	ASTMX23041
OG0007453	HELIO_07039	DROME08632, DROME08631
OG0007453	HELIO_07039	SCHMD22069
OG0007453	HELIO_07039	CAEEL15555
OG0007668	HELIO_03931	APOSJ_64552, APOSJ_50490
OG0007963	HELIO_01376	HUMAN00079
OG0008011	HELIO_10599	MOUSE52843
OG0008057	HELIO_04003	HUMAN19653
OG0008106	HELIO_09935	DANRE43427
OG0008108	HELIO_11492	HUMAN14058
OG0008108	HELIO_11492	MOUSE49141
OG0008216	HELIO_10403	TCONS_00010959.p1
OG0008216	HELIO_10403	SACKO_03841
OG0008216	HELIO_10403	BRALA22497
OG0008216	HELIO_10403	bflo_24967
OG0008216	HELIO_10403	ASTMX15095
OG0008216	HELIO_10403	OFUSG12125.1.p1
OG0008216	HELIO_10403	SCHMD25991, SCHMD19838
OG0008216	HELIO_10403	HUMAN08718
OG0008216	HELIO_10403	DROME01108, DROME00866
OG0008216	HELIO_10403	MOUSE07747, MOUSE07748
OG0008259	HELIO_09486	HUMAN16698
OG0008575	HELIO_12752	MOUSE42013
OG0008619	HELIO_03456	MOUSE08137
OG0008698	HELIO_01424	MOUSE34371
OG0008927	HELIO_11802	HUMAN23373
OG0009100	HELIO_07507	AENJA_13017
OG0009100	HELIO_07507	APOSJ_46385
OG0009404	HELIO_03194	HUMAN25848
