Orthogroup	DROME	Other
OG0004534	DROME11128, DROME11127	AMPFI_00646
OG0004534	DROME11128, DROME11127	DANRE01101
OG0004664	DROME04843, DROME04844	DANRE07607
OG0004754	DROME22044	LYTVA_09941
OG0004769	DROME02034	APOSC_17401
OG0004835	DROME16717	bflo_13560
OG0004845	DROME01007	HUMAN05756
OG0004854	DROME04906	APOSC_24117
OG0004865	DROME08867, DROME08869, DROME08868	BRALA32090
OG0004890	DROME19247, DROME19248	APOSC_28225, APOSC_28544
OG0005116	DROME17446	APOSJ_32781, APOSJ_43383, APOSJ_32775, APOSJ_43377, APOSJ_38856, APOSJ_38858, APOSJ_26538, APOSJ_56095, APOSJ_32777, APOSJ_56065
OG0005155	DROME13946	STRPU_06007
OG0005321	DROME10451, DROME10452	SACKO_31374
OG0005398	DROME19824, DROME19822, DROME19823, DROME19821, DROME19825	BRALA08633
OG0005416	DROME05882, DROME05883	BRALA35059
OG0005499	DROME03401, DROME07297	APOSC_20319
OG0005565	DROME07683, DROME07684	HUMAN12663
OG0005729	DROME00800	SCHMD24968
OG0005754	DROME07364	MOUSE32226
OG0005829	DROME17916, DROME17917, DROME17918	MOUSE00183
OG0005829	DROME17916, DROME17917, DROME17918	DANRE18382
OG0005880	DROME17652, DROME17653	DANRE21271
OG0005932	DROME15731	SACKO_28105
OG0005953	DROME11680	HUMAN23467, HUMAN23461
OG0006102	DROME01980	TCONS_00029782.p1
OG0006123	DROME16430	AMPFI_21221, AMPFI_22425
OG0006231	DROME06401, DROME06402, DROME06407	APOSC_21160
OG0006364	DROME14912	ORYLA17403
OG0006623	DROME03084	HUMAN04365
OG0006666	DROME07406, DROME07405, DROME07404, DROME07403	MOUSE09373
OG0006670	DROME03282	APOSC_09168
OG0006758	DROME17868, DROME17867	APOSJ_41069
OG0006758	DROME17868, DROME17867	APOSC_29158
OG0006875	DROME18909	MOUSE51192
OG0006925	DROME11109	MOUSE27505
OG0006946	DROME06810	HUMAN29373, HUMAN29374
OG0007113	DROME08212	LYTVA_23019
OG0007438	DROME05724	LYTVA_04235
OG0007453	DROME08632, DROME08631	ASTMX23041
OG0007453	DROME08632, DROME08631	HELIO_07039
OG0007664	DROME16279	MOUSE44792
OG0007668	DROME16715, DROME16716, DROME16714	APOSJ_64552, APOSJ_50490
OG0008108	DROME01195, DROME01194	HUMAN14058
OG0008108	DROME01195, DROME01194	MOUSE49141
OG0008216	DROME01108, DROME00866	HELIO_10403
OG0008348	DROME00896	TCONS_00014673.p1
OG0008380	DROME20197	AMPFI_19814
