Orthogroup	STRPU_ok	Other
OG0003546	STRPU_19646	BRALA35137
OG0003546	STRPU_19646	OFUSG18888.1.p1
OG0003546	STRPU_19646	XENTR06379, XENTR00109
OG0003546	STRPU_19646	HUMAN29089, HUMAN02169
OG0003546	STRPU_19646	MOUSE32868, MOUSE23969, MOUSE23968
OG0003546	STRPU_19646	ORYLA02573, ORYLA06777
OG0003546	STRPU_19646	ASTMX03306, ASTMX06923, ASTMX13133
OG0003546	STRPU_19646	DANRE35129, DANRE35130, DANRE35372, DANRE27446
OG0003546	STRPU_19646	NEMVE00903
OG0003546	STRPU_19646	AENJA_21963
OG0003546	STRPU_19646	TCONS_00015103.p1, TCONS_00044318.p1
OG0003546	STRPU_19646	SACKO_10975
OG0003546	STRPU_19646	AMPFI_00349
OG0003654	STRPU_07070, STRPU_07065	ASTMX18753
OG0003684	STRPU_26095	AMPFI_00490
OG0003696	STRPU_23695	DANRE24940
OG0003696	STRPU_23695	MOUSE35452
OG0003697	STRPU_00014	CAPO307718
OG0003697	STRPU_00014	DROME03932, DROME03930, DROME03929, DROME03931
OG0003697	STRPU_00014	DANRE04036
OG0003697	STRPU_00014	ASTMX06569
OG0003697	STRPU_00014	ORYLA18863
OG0003697	STRPU_00014	XENTR07379
OG0003697	STRPU_00014	MOUSE06524
OG0003697	STRPU_00014	HUMAN13631
OG0003697	STRPU_00014	HELIO_12072
OG0003697	STRPU_00014	HELIO_12072
OG0003697	STRPU_00014	APOSJ_29486, APOSJ_29484
OG0003697	STRPU_00014	APOSC_19087
OG0003697	STRPU_00014	TCONS_00012511.p1
OG0003697	STRPU_00014	SACKO_33327
OG0003697	STRPU_00014	BRALA16767
OG0003697	STRPU_00014	bflo_23717
OG0003697	STRPU_00014	AENJA_15049
OG0003734	STRPU_00129	HUMAN29356
OG0003755	STRPU_15415	MOUSE04960
OG0003769	STRPU_26021	ASTMX09113
OG0003826	STRPU_14827	BRALA34863
OG0003859	STRPU_23995	DANRE18445
OG0003928	STRPU_25726	APOSJ_12613, APOSJ_12612
OG0003973	STRPU_21229	MOUSE28068
OG0004020	STRPU_06472	XENTR18787
OG0004020	STRPU_06472	MOUSE22764
OG0004070	STRPU_08271	DANRE15502, DANRE15500
OG0004070	STRPU_08271	ASTMX20983
OG0004108	STRPU_08376	MOUSE41099, MOUSE41100
OG0004123	STRPU_24495	HUMAN05601
OG0004146	STRPU_14257	BRALA17719
OG0004150	STRPU_17897	ASTMX22642
OG0004150	STRPU_17897	MOUSE53097
OG0004190	STRPU_08808	APOSJ_12010
OG0004269	STRPU_09466	HUMAN03614
OG0004269	STRPU_09465	OFUSG06518.1.p1
OG0004269	STRPU_09465	LYTVA_07560
OG0004269	STRPU_09465	LYTVA_07560
OG0004269	STRPU_09465	NEMVE11660
OG0004269	STRPU_09465	SCHMD06048
OG0004269	STRPU_09465	HUMAN03614
OG0004269	STRPU_09465	DROME16782
OG0004269	STRPU_09465	CAEEL07842
OG0004269	STRPU_09465	HUMAN03614
OG0004269	STRPU_09465	APOSJ_26849
OG0004269	STRPU_09465	APOSC_26344
OG0004269	STRPU_09465	AMPFI_02131
OG0004269	STRPU_09465	SACKO_02690
OG0004284	STRPU_10181	OFUSG19168.1.p1
OG0004308	STRPU_17528	ASTMX22955
OG0004375	STRPU_21903	MOUSE27750, MOUSE27753
OG0004534	STRPU_04976	DANRE01101
OG0004537	STRPU_12968	NEMVE06806, NEMVE06793
OG0004537	STRPU_12968	OFUSG19069.1.p1
OG0004537	STRPU_12968	BRALA21822
OG0004537	STRPU_12968	bflo_08291, bflo_05042
OG0004559	STRPU_01434, STRPU_08736	MOUSE06489, MOUSE06490
OG0004559	STRPU_01434, STRPU_08736	HUMAN13596, HUMAN13595
OG0004573	STRPU_15071	BRALA32832
OG0004573	STRPU_15071	MOUSE04827, MOUSE51637
OG0004596	STRPU_15859	NEMVE03724
OG0004596	STRPU_15859	SCHMD22206
OG0004596	STRPU_15859	ASTMX21770
OG0004596	STRPU_15859	BRALA07736
OG0004600	STRPU_19612, STRPU_19703, STRPU_19613	MOUSE25947
OG0004615	STRPU_19902	MOUSE37120
OG0004615	STRPU_19902	BRALA18479
OG0004637	STRPU_25859	HUMAN11592
OG0004637	STRPU_25858	APOSJ_34563, APOSJ_34565, APOSJ_34564, APOSJ_02620, APOSJ_02619
OG0004637	STRPU_25858	APOSC_22109, APOSC_06043, APOSC_26091, APOSC_06042
OG0004637	STRPU_25858	BRALA28098
OG0004637	STRPU_25858	HUMAN11592
OG0004637	STRPU_25858	HUMAN11592
OG0004637	STRPU_25858	AMPFI_14539
OG0004647	STRPU_26907	bflo_25260
OG0004649	STRPU_14306	ASTMX21812
OG0004688	STRPU_23968, STRPU_23943	MOUSE10857
OG0004728	STRPU_25586	DANRE39344
OG0004728	STRPU_25586	HUMAN11622
OG0004748	STRPU_26332	AENJA_02211
OG0004835	STRPU_14491	bflo_13560
OG0004865	STRPU_15150, STRPU_02532	BRALA32090
OG0004907	STRPU_21713, STRPU_21649	BRALA10831
OG0004922	STRPU_26354	AENJA_18036
OG0004924	STRPU_24409	HUMAN23140
OG0004963	STRPU_03333	MOUSE37240
OG0004975	STRPU_18856, STRPU_18940	AMPFI_13767
OG0005075	STRPU_21684, STRPU_21749	bflo_10876
OG0005151	STRPU_06556, STRPU_06542	DANRE03017
OG0005155	STRPU_06007	SCHMD06441
OG0005155	STRPU_06007	CAEEL00411, CAEEL19156
OG0005155	STRPU_06007	DROME13946
OG0005155	STRPU_06007	HUMAN07772
OG0005155	STRPU_06007	MOUSE13083
OG0005155	STRPU_06007	XENTR17503
OG0005155	STRPU_06007	ASTMX05603, ASTMX12964, ASTMX12965
OG0005155	STRPU_06007	DANRE37939, DANRE42243
OG0005155	STRPU_06007	ORYLA07470, ORYLA09918
OG0005155	STRPU_06007	OFUSG25768.1.p1
OG0005155	STRPU_06007	NEMVE14140
OG0005155	STRPU_06007	bflo_21651
OG0005155	STRPU_06007	BRALA11593
OG0005155	STRPU_06007	AMPFI_14736
OG0005179	STRPU_05161, STRPU_05082	MOUSE36304
OG0005187	STRPU_00668	AMPFI_09348, AMPFI_03439
OG0005261	STRPU_24559	AMPFI_08888
OG0005302	STRPU_22612	MOUSE51380
OG0005329	STRPU_20509	MOUSE24678
OG0005398	STRPU_13512	BRALA08633
OG0005416	STRPU_17942	BRALA35059
OG0005418	STRPU_11326	MOUSE26413
OG0005434	STRPU_05663	bflo_14305
OG0005459	STRPU_23360	HUMAN06916
OG0005459	STRPU_23360	MOUSE02028
OG0005459	STRPU_23360	DANRE12592, DANRE12590, DANRE12591
OG0005459	STRPU_23360	ORYLA15096
OG0005459	STRPU_23360	ASTMX07270
OG0005459	STRPU_23360	XENTR06604
OG0005459	STRPU_23360	bflo_12126
OG0005459	STRPU_23360	OFUSG06854.2.p1, OFUSG06854.4.p1, OFUSG06854.3.p1, OFUSG06854.1.p1
OG0005459	STRPU_23360	bflo_12126
OG0005459	STRPU_23360	AENJA_08812
OG0005479	STRPU_26167	HUMAN11180
OG0005494	STRPU_09929	ASTMX11292
OG0005551	STRPU_27419	DANRE03835
OG0005565	STRPU_24998	HUMAN12663
OG0005613	STRPU_21112	MOUSE03014
OG0005652	STRPU_23662, STRPU_23636	MOUSE31214
OG0005691	STRPU_00012, STRPU_00001, STRPU_23314	DANRE25058
OG0005691	STRPU_00012, STRPU_00001, STRPU_23314	SCHMD28962
OG0005701	STRPU_08625	SACKO_25580
OG0005729	STRPU_17722	SCHMD24968
OG0005738	STRPU_06615	HUMAN21605
OG0005763	STRPU_27025	HUMAN23715
OG0005803	STRPU_01875, STRPU_25191	SCHMD24297
OG0005812	STRPU_20595	ASTMX06754
OG0005813	STRPU_15598, STRPU_02209	OFUSG22102.2.p1, OFUSG22102.1.p1
OG0005838	STRPU_00058	AENJA_12196
OG0005838	STRPU_00058	BRALA26875, BRALA35802
OG0005838	STRPU_00058	bflo_20528
OG0005838	STRPU_00058	OFUSG22578.1.p1
OG0005861	STRPU_19227	TCONS_00032729.p1
OG0005966	STRPU_00119	BRALA13003
OG0005966	STRPU_00119	bflo_23330
OG0005966	STRPU_00119	XENTR07355
OG0005966	STRPU_00119	ORYLA16765
OG0005966	STRPU_00119	DANRE30542, DANRE30541
OG0005966	STRPU_00119	ASTMX21448
OG0005966	STRPU_00119	AMPFI_00202
OG0005977	STRPU_01218, STRPU_12082	BRALA02503
OG0006000	STRPU_20827	APOSJ_59193
OG0006120	STRPU_10344	bflo_09539
OG0006120	STRPU_00038	ASTMX22300
OG0006120	STRPU_00038	DANRE04888, DANRE04887
OG0006120	STRPU_00038	ORYLA10724
OG0006120	STRPU_00038	SCHMD01574
OG0006120	STRPU_00038	XENTR00584, XENTR09766
OG0006120	STRPU_00038	CAEEL19875
OG0006120	STRPU_00038	bflo_05359
OG0006120	STRPU_00038	BRALA33378, BRALA33685
OG0006120	STRPU_00038	HUMAN17280
OG0006120	STRPU_00038	MOUSE40195
OG0006126	STRPU_19506	HUMAN14606
OG0006238	STRPU_12641	MOUSE41253
OG0006286	STRPU_16014	MOUSE35474
OG0006304	STRPU_21283	HUMAN08878
OG0006361	STRPU_26003	XENTR00507
OG0006496	STRPU_19486	MOUSE23970
OG0006496	STRPU_19486	HUMAN02168
OG0006512	STRPU_21460	HUMAN20060
OG0006533	STRPU_02314, STRPU_18116	SCHMD14559
OG0006534	STRPU_10089, STRPU_10152	HUMAN03548
OG0006595	STRPU_04349	MOUSE11155
OG0006599	STRPU_04862	MOUSE36733
OG0006623	STRPU_13116, STRPU_13085	HUMAN04365
OG0006666	STRPU_22001	MOUSE09373
OG0006670	STRPU_19873, STRPU_19899	APOSC_09168
OG0006680	STRPU_15636	MOUSE28338
OG0006686	STRPU_20136	bflo_17043
OG0006709	STRPU_13686, STRPU_02389	HUMAN17844, HUMAN17845
OG0006834	STRPU_10673, STRPU_00567, STRPU_00566	APOSC_03732
OG0006850	STRPU_17760	HUMAN22746
OG0006875	STRPU_14351	MOUSE51192
OG0006925	STRPU_26381	MOUSE27505
OG0006946	STRPU_19536	HUMAN29373, HUMAN29374
OG0006955	STRPU_23524	DANRE12440, DANRE12439, DANRE12441, DANRE12442
OG0006955	STRPU_23524	MOUSE35291, MOUSE35293
OG0006987	STRPU_19460	TCONS_00016667.p1
OG0007038	STRPU_23533	MOUSE31028
OG0007064	STRPU_05910	DANRE07305
OG0007090	STRPU_19228	MOUSE31320
OG0007134	STRPU_09504	HUMAN03575
OG0007188	STRPU_13438	MOUSE26114, MOUSE26113, MOUSE26115
OG0007249	STRPU_04960	AMPFI_17736
OG0007296	STRPU_12923	MOUSE49539
OG0007405	STRPU_15404	MOUSE14443
OG0007410	STRPU_08354	ORYLA16770
OG0007419	STRPU_08298	HUMAN12143
OG0007668	STRPU_14387	APOSJ_64552, APOSJ_50490
OG0007963	STRPU_11066	HUMAN00079
OG0008011	STRPU_23173	MOUSE52843
OG0008057	STRPU_13507	HUMAN19653
OG0008106	STRPU_01988, STRPU_22827	DANRE43427
OG0008108	STRPU_26222	HUMAN14058
OG0008108	STRPU_26222	MOUSE49141
